territory,territory_iso3,mrgid,region,region_specific,shp_to_use,fao_country_profile,country_profile,fao_memberships,fisheries_subsidies,treaties_conventions,internal_fishing_access_agreements
Equatorial Guinea,GNQ,8398,Africa,Central African group,180,http://www.fao.org/countryprofiles/index.asp?lang=en&iso3=GNQ&subj=6,http://www.seaaroundus.org/data/#/country/226,,http://www.seaaroundus.org/data/#/subsidy/61,http://www.fishbase.org/Country/CountryTreatyList.php?Country=226,http://www.seaaroundus.org/data/#/eez/226/internal-fishing-access/
Eritrea,ERI,8351,Africa,East and South African group,180,http://www.fao.org/countryprofiles/index.asp?lang=en&iso3=ERI&subj=6,http://www.seaaroundus.org/data/#/country/111,,http://www.seaaroundus.org/data/#/subsidy/62,http://www.fishbase.org/Country/CountryTreatyList.php?Country=F111,http://www.seaaroundus.org/data/#/eez/111/internal-fishing-access/
Eswatini,SWZ,,Africa,South African group,180,,,,,,
Ethiopia,ETH,,Africa,East and South African group,180,,,,,,
Fiji,FJI,8325,Pacific,Pacific group,360,http://www.fao.org/countryprofiles/index.asp?lang=en&iso3=FJI&subj=6,http://www.seaaroundus.org/data/#/country/242,,http://www.seaaroundus.org/data/#/subsidy/67,http://www.fishbase.org/Country/CountryTreatyList.php?Country=242,http://www.seaaroundus.org/data/#/eez/242/internal-fishing-access/
Gabon,GAB,8476,Africa,Central African group,180,http://www.fao.org/countryprofiles/index.asp?lang=en&iso3=GAB&subj=6,http://www.seaaroundus.org/data/#/country/266,,http://www.seaaroundus.org/data/#/subsidy/72,http://www.fishbase.org/Country/CountryTreatyList.php?Country=266,http://www.seaaroundus.org/data/#/eez/266/internal-fishing-access/
Gambia,GMB,8370,Africa,West African group,180,http://www.fao.org/countryprofiles/index.asp?lang=en&iso3=GMB&subj=6,http://www.seaaroundus.org/data/#/country/270,,http://www.seaaroundus.org/data/#/subsidy/74,http://www.fishbase.org/Country/CountryTreatyList.php?Country=270,http://www.seaaroundus.org/data/#/eez/270/internal-fishing-access/
Ghana,GHA,8400,Africa,West African group,180,http://www.fao.org/countryprofiles/index.asp?lang=en&iso3=GHA&subj=6,http://www.seaaroundus.org/data/#/country/288,,http://www.seaaroundus.org/data/#/subsidy/78,http://www.fishbase.org/Country/CountryTreatyList.php?Country=288,http://www.seaaroundus.org/data/#/eez/288/internal-fishing-access/
Grenada,GRD,8419,Caribbean,Caribbean group,360,http://www.fao.org/countryprofiles/index.asp?lang=en&iso3=GRD&subj=6,http://www.seaaroundus.org/data/#/country/308,,http://www.seaaroundus.org/data/#/subsidy/82,http://www.fishbase.org/Country/CountryTreatyList.php?Country=308,http://www.seaaroundus.org/data/#/eez/308/internal-fishing-access/
Guinea,GIN,8472,Africa,West African group,180,http://www.fao.org/countryprofiles/index.asp?lang=en&iso3=GIN&subj=6,http://www.seaaroundus.org/data/#/country/324,,http://www.seaaroundus.org/data/#/subsidy/86,http://www.fishbase.org/Country/CountryTreatyList.php?Country=324,http://www.seaaroundus.org/data/#/eez/324/internal-fishing-access/
