year,eez_id,eez_ter_iso3,lat_cen,lon_cen,flag_iso3,fishing_hours,fishing_KWh,bad_subs_per_fishing_KWh,ugly_subs_per_fishing_KWh,bad_subs,ugly_subs
2018,48950,RUS,45.15,146.55,CHN,2.1466666666666665,1209.6155946220765,1.08571,0.15938,1313.2917472371346,192.78853347086655
2018,48950,RUS,41.95,149.65,CHN,0.33499999999999996,251.4643613111068,1.08571,0.15938,273.0173717190818,40.078389905764205
2018,48950,RUS,41.65,150.35000000000002,CHN,0.7755555555555556,437.01432973406287,1.08571,0.15938,474.4708279355694,69.65134387301494
2018,48950,RUS,41.75,146.95000000000002,CHN,11.390555555555554,10693.996548303869,1.08571,0.15938,11610.578992458994,1704.4091698686705
2018,48950,RUS,40.95,149.05,CHN,3.108888888888889,2634.319040978903,1.08571,0.15938,2860.106525981205,419.8577687512176
2018,48950,RUS,45.05,146.55,CHN,4.474444444444444,2521.284678852537,1.08571,0.15938,2737.383988676988,401.8423521155174
2018,48950,RUS,45.65,147.05,CHN,5.073333333333333,6202.761267416681,1.08571,0.15938,6734.399935646965,988.5960908008706
2018,48950,RUS,41.35,148.05,CHN,1.7972222222222223,895.1708118736332,1.08571,0.15938,971.8959021593222,142.67232399641964
2018,48950,RUS,42.75,148.45000000000002,CHN,38.61222222222223,36250.99488368608,1.08571,0.15938,39358.06765516681,5777.683564561887
2018,48950,RUS,45.65,147.15,CHN,13.141666666666667,16067.270891452214,1.08571,0.15938,17444.396679558584,2560.8016346796535
2018,48950,RUS,41.45,147.25000000000003,CHN,11.467222222222222,9716.75827820685,1.08571,0.15938,10549.581630231958,1548.6569343806075
2018,48950,RUS,41.85,148.75000000000003,CHN,0.7141666666666666,536.0819841881058,1.08571,0.15938,582.0295710528684,85.4407466399003
2018,48950,RUS,41.85,149.15,CHN,0.5730555555555555,430.15835604047544,1.08571,0.15938,467.02722873670456,68.55863878573098
2018,48950,RUS,41.95,149.55,CHN,0.6594444444444444,495.0053016190445,1.08571,0.15938,537.4322060208127,78.8939449720433
2018,48950,RUS,41.95,149.35000000000002,CHN,0.4222222222222223,316.93684012676823,1.08571,0.15938,344.10149669403353,50.513393579404315
2018,48950,RUS,42.55,150.85000000000002,CHN,0.07777777777777778,139.7471013763689,1.08571,0.15938,151.72482543533746,22.272893017365675
2018,48950,RUS,42.35,150.95000000000002,CHN,2.8533333333333335,1421.2047263625905,1.08571,0.15938,1543.0161834591281,226.51160928766967
2018,48950,RUS,40.75,148.75000000000003,CHN,0.8163888888888889,406.63168718649274,1.08571,0.15938,441.484089095247,64.80895830378321
2018,48950,RUS,42.15,148.35000000000002,CHN,0.016944444444444446,12.75785077446277,1.08571,0.15938,13.851326164341975,2.0333462564338762
2018,48950,RUS,40.85,149.05,CHN,9.6530555555555555,8179.522962210315,1.08571,0.15938,8880.58987530136,1303.65236971708
2018,48950,RUS,42.55,148.95000000000002,CHN,4.054722222222223,2703.392551631284,1.08571,0.15938,2935.100327231601,430.86670487899397
2018,48950,RUS,41.75,150.45000000000002,CHN,5.864722222222222,3304.6860829782486,1.08571,0.15938,3587.930727150314,526.7008679050732
2018,48950,RUS,41.55,148.75000000000003,CHN,0.030555555555555555,23.089245881631108,1.08571,0.15938,25.068225146145707,3.6799640086143657
2018,48950,RUS,42.25,150.95000000000002,CHN,21.32277777777778,14052.327664744102,1.08571,0.15938,15256.752668889318,2239.659983206915
2018,48950,RUS,41.85,150.45000000000002,CHN,5.331388888888889,9579.164702559458,1.08571,0.15938,10400.194909215828,1526.7272702939263
2018,48950,RUS,41.85,148.45000000000002,CHN,1.693888888888889,1271.5005599296267,1.08571,0.15938,1380.480872921195,202.6517592415839
2018,48950,RUS,40.75,148.85000000000002,CHN,1.6836111111111112,838.5827342760573,1.08571,0.15938,910.4576604308581,133.653316188918
2018,48950,RUS,43.25,146.55,CHN,1.771388888888889,1789.736689493365,1.08571,0.15938,1943.1350211498414,285.2482335714525
2018,48950,RUS,45.75,147.75000000000003,CHN,1.2197222222222224,921.7327005035995,1.08571,0.15938,1000.734410263763,146.9057578062637
2018,48950,RUS,42.55,148.65,CHN,2.716666666666667,2550.5361713508228,1.08571,0.15938,2769.142626597302,406.5044549898941
2018,48950,RUS,41.95,149.85000000000002,CHN,0.2877777777777778,216.0174778758762,1.08571,0.15938,234.53233590461755,34.42886562385715
2018,48950,RUS,41.55,150.25000000000003,CHN,1.2,1075.252787827728,1.08571,0.15938,1167.4127042724426,171.3737893239833
2018,48950,RUS,41.95,149.25000000000003,CHN,0.5813888888888888,436.4136884113985,1.08571,0.15938,473.8187056451394,69.55561365900869
2018,48950,RUS,41.75,147.05,CHN,6.357777777777778,5968.984855815709,1.08571,0.15938,6480.586547807673,951.3368063199077
2018,48950,RUS,42.05,150.45000000000002,CHN,0.07472222222222222,70.1527842631259,1.08571,0.15938,76.16557940231841,11.180950755857005
2018,48950,RUS,42.85,149.75000000000003,CHN,0.8269444444444445,776.3748652465644,1.08571,0.15938,842.9179549468473,123.73862602299742
2018,48950,RUS,42.85,148.85000000000002,CHN,2.1733333333333333,2040.4289370806582,1.08571,0.15938,2215.3141012778415,325.2035639919153
2018,48950,RUS,41.55,150.15,CHN,2.4158333333333335,2164.6929388281833,1.08571,0.15938,2350.228770615147,345.0087605904358
2018,48950,RUS,41.75,147.15,CHN,5.256944444444445,4935.470045277538,1.08571,0.15938,5358.489182858275,786.615215816334
2018,48950,RUS,42.15,148.15,CHN,6.3999999999999995,4836.14750102528,1.08571,0.15938,5250.653703338156,770.7851887134091
