year,eez_id,eez_ter_iso3,lat_cen,lon_cen,flag_iso3,fishing_hours,fishing_KWh,bad_subs_per_fishing_KWh,ugly_subs_per_fishing_KWh,bad_subs,ugly_subs
2018,8464,BRA,-25.45,-48.150000000000006,BOL,13.422500000000001,3598.4334309560913,NA,NA,NA,NA
2018,8464,BRA,-25.55,-48.35000000000001,BOL,0.2502777777777778,67.09688378327101,NA,NA,NA,NA
2018,8464,BRA,-25.35,-48.150000000000006,BOL,2.4319444444444445,651.9791537431049,NA,NA,NA,NA
2018,8464,BRA,-24.95,-47.75000000000001,BOL,12.547222222222222,3363.78051108807,NA,NA,NA,NA
2018,8464,BRA,-27.45,-48.35000000000001,BOL,5.1516666666666655,1381.1085534345657,NA,NA,NA,NA
2018,8464,BRA,-25.55,-48.150000000000006,BOL,2.156111111111111,578.031089817702,NA,NA,NA,NA
2018,8464,BRA,-25.55,-48.25000000000001,BOL,0.5841666666666667,156.609041727213,NA,NA,NA,NA
2018,8464,BRA,-25.650000000000002,-48.25000000000001,BOL,26.26333333333334,7040.928044329309,NA,NA,NA,NA
2018,8464,BRA,-25.650000000000002,-48.35000000000001,BOL,0.4847222222222223,129.94901465239502,NA,NA,NA,NA
2018,8464,BRA,-33.85,-52.45,CHN,2.6352777777777776,4806.850985780746,1.08571,0.15938,5218.846183772013,766.1159101137353
2018,8464,BRA,-26.650000000000002,-46.150000000000006,CHN,0.4572222222222222,894.1513025576369,1.08571,0.15938,970.7890106998519,142.50983460163616
2018,8464,BRA,-28.85,-47.95,CHN,1.0841666666666665,1985.5972208251096,1.08571,0.15938,2155.7827586220296,316.46448505510597
2018,8464,BRA,-23.05,-43.150000000000006,CHN,11.75416666666667,23032.387357812542,1.08571,0.15938,25006.493278250655,3670.901897088163
2018,8464,BRA,-34.050000000000004,-52.550000000000004,CHN,1.577777777777778,2915.879174725964,1.08571,0.15938,3165.7991787917263,464.7328228678241
2018,8464,BRA,-26.45,-45.95,CHN,0.46638888888888885,929.33627478319,1.08571,0.15938,1008.9896868948572,148.1176154749448
2018,8464,BRA,-33.650000000000006,-52.25000000000001,CHN,1.1319444444444442,2061.2742932523433,1.08571,0.15938,2237.9461129270016,328.5258968585585
2018,8464,BRA,-29.25,-48.45,CHN,0.24638888888888888,481.84216608057346,1.08571,0.15938,523.1408581353394,76.7960044299218
2018,8464,BRA,-28.55,-47.75000000000001,CHN,0.2155555555555555,398.3665914766456,1.08571,0.15938,432.5105920321089,63.491667349547775
2018,8464,BRA,-26.75,-46.150000000000006,CHN,0.7613888888888889,1488.9846417439144,1.08571,0.15938,1616.6055153877853,237.31437220114506
2018,8464,BRA,-33.75000000000001,-52.25000000000001,CHN,2.229166666666666,4119.706052319692,1.08571,0.15938,4472.806058064013,656.5987506187125
2018,8464,BRA,-28.650000000000002,-47.85000000000001,CHN,3.243055555555556,5877.67374213398,1.08571,0.15938,6381.4491585722835,936.7836410213138
2018,8464,BRA,-28.95,-48.150000000000006,CHN,2.613888888888889,4757.769377397846,1.08571,0.15938,5165.557790734615,758.2932833696688
2018,8464,BRA,-28.95,-48.050000000000004,CHN,1.1122222222222222,2055.4894745779507,1.08571,0.15938,2231.6654774440267,327.60391245823376
2018,8464,BRA,-25.45,-45.150000000000006,CHN,0.6591666666666666,1313.4693151045324,1.08571,0.15938,1426.0467701021419,209.34073944136037
2018,8464,BRA,-25.55,-45.150000000000006,CHN,1.0380555555555555,2068.451256024289,1.08571,0.15938,2245.7382131781305,329.6697611851511
2018,8464,BRA,-23.25,-43.25000000000001,CHN,0.5666666666666667,1019.8044249119008,1.08571,0.15938,1107.2118621710997,162.53642924245875
2018,8464,BRA,-33.85,-52.35000000000001,CHN,1.6027777777777776,2962.0814855931003,1.08571,0.15938,3215.9614897232846,472.0965471738283
2018,8464,BRA,-26.75,-46.25000000000001,CHN,0.33166666666666667,648.6127917702421,1.08571,0.15938,704.2053941528695,103.37590675234118
2018,8464,BRA,-23.35,-43.25000000000001,CHN,0.2783333333333333,500.9039381184925,1.08571,0.15938,543.8364146546285,79.83406965732533
2018,8464,BRA,-29.150000000000002,-48.35000000000001,CHN,0.8133333333333335,1498.109964934148,1.08571,0.15938,1626.5129700286536,238.76876621120448
