year,eez_id,eez_ter_iso3,lat_cen,lon_cen,flag_iso3,fishing_hours,fishing_KWh,bad_subs_per_fishing_KWh,ugly_subs_per_fishing_KWh,bad_subs,ugly_subs
2018,8346,LKA,4.35,81.45,CHN,2.250277777777778,890.3065196801685,1.08571,0.15938,966.6146914819558,141.89705310662526
2018,8346,LKA,4.25,79.45,CHN,14.804166666666667,5857.1640496672735,1.08571,0.15938,6359.181580364255,933.51480623597
2018,8346,LKA,5.15,78.15,CHN,4.461388888888889,1765.117024143092,1.08571,0.15938,1916.4052042823964,281.324351307926
2018,8346,LKA,4.8500000000000005,82.45,CHN,9.2155555555555555,3646.0695095555207,1.08571,0.15938,3958.574127219524,581.1105584329589
2018,8346,LKA,4.05,81.25,CHN,9.738055555555556,3852.792946602601,1.08571,0.15938,4183.01583005591,614.0581398295226
2018,8346,LKA,4.65,80.25,CHN,12.981388888888889,5135.99488757108,1.08571,0.15938,5576.201009384797,818.5748651810786
2018,8346,LKA,5.25,79.55,CHN,10.9825,4345.148607405854,1.08571,0.15938,4717.571294546609,692.5297850483449
2018,8346,LKA,4.95,78.15,CHN,5.4591666666666665,2159.880759322843,1.08571,0.15938,2345.0041392044036,344.2417954208747
2018,8346,LKA,4.35,78.25,CHN,17.870833333333334,7070.469070932434,1.08571,0.15938,7676.478975002053,1126.8913605252112
2018,8346,LKA,3.85,80.55,CHN,13.785277777777779,5454.04785238461,1.08571,0.15938,5921.5142938124955,869.2661467130591
2018,8346,LKA,6.15,82.15,CHN,0.22055555555555556,87.26124881200516,1.08571,0.15938,94.74041044768212,13.907697835657382
2018,8346,LKA,3.65,80.95,CHN,12.65,5004.883212718785,1.08571,0.15938,5433.8517528809125,797.67828644312
2018,8346,LKA,4.75,78.65,CHN,5.948611111111111,2353.525999129837,1.08571,0.15938,2555.2467125152552,375.1049737413134
2018,8346,LKA,5.65,79.15,CHN,2.8430555555555554,1124.8348634645754,1.08571,0.15938,1221.244459612124,179.27618053898402
2018,8346,LKA,4.75,81.55,CHN,0.4002777777777778,158.36707750390357,1.08571,0.15938,171.94071971676314,25.24054481257215
2018,8346,LKA,4.65,77.95,CHN,13.365833333333333,5288.097618497799,1.08571,0.15938,5741.340465379245,842.8169984361791
2018,8346,LKA,5.3500000000000005,79.45,CHN,6.3225,2501.4524990051,1.08571,0.15938,2715.851992694827,398.68149929143283
2018,8346,LKA,4.65,79.05,CHN,17.21388888888889,6810.553638387859,1.08571,0.15938,7394.286190734082,1085.466038886257
2018,8346,LKA,4.55,78.55,CHN,5.262222222222222,2081.9610799680427,1.08571,0.15938,2260.4059641321037,331.82295692530664
2018,8346,LKA,4.45,81.25,CHN,0.6091666666666666,241.01249199587824,1.08571,0.15938,261.66967268484495,38.41257097430307
2018,8346,LKA,4.05,79.85000000000001,CHN,5.961388888888889,2358.581436718442,1.08571,0.15938,2560.7354516595797,375.9107093841853
2018,8346,LKA,4.65,78.65,CHN,1.5005555555555554,593.6842142096372,1.08571,0.15938,644.5688882095451,94.62139006073197
2018,8346,LKA,4.65,80.15,CHN,2.096111111111111,829.3115661654798,1.08571,0.15938,900.3918605015231,132.17567741545417
2018,8346,LKA,3.95,81.15,CHN,8.575,3392.638225222417,1.08571,0.15938,3683.4212475062304,540.7186803359488
2018,8346,LKA,4.55,81.95,CHN,11.083888888888888,4385.262405663262,1.08571,0.15938,4761.12324645266,698.9231222146107
2018,8346,LKA,4.8500000000000005,80.05,CHN,10.928333333333335,4323.717948062856,1.08571,0.15938,4694.303813391322,689.1141665622579
2018,8346,LKA,4.95,78.25,CHN,8.190555555555555,3240.535494295698,1.08571,0.15938,3518.281791511782,516.4765470808483
2018,8346,LKA,4.45,81.75,CHN,12.998611111111112,5142.808738233983,1.08571,0.15938,5583.598875188017,819.6608566997321
2018,8346,LKA,5.3500000000000005,79.75,CHN,17.02888888888889,6737.359694170233,1.08571,0.15938,7314.818793557563,1073.8003880568517
2018,8346,LKA,4.35,81.55,CHN,8.304722222222223,3285.704730141711,1.08571,0.15938,3567.322482562157,523.6756198899859
2018,8346,LKA,4.65,78.05,CHN,5.680833333333333,2247.581611403423,1.08571,0.15938,2440.22183131681,358.2195572254775
2018,8346,LKA,4.45,78.05,CHN,23.47,9285.739842095643,1.08571,0.15938,10081.62060396166,1479.9612160332035
2018,8346,LKA,4.55,78.05,CHN,11.335,4484.612744361062,1.08571,0.15938,4868.988902680248,714.7575791962661
2018,8346,LKA,5.15,80.35000000000001,CHN,8.505,3364.943219302235,1.08571,0.15938,3653.3525026286293,536.3046502923902
2018,8346,LKA,4.45,78.15,CHN,3.0744444444444445,1216.3822441451803,1.08571,0.15938,1320.6383662908636,193.86700207185882
2018,8346,LKA,3.75,80.95,CHN,1.6425,649.8435317700083,1.08571,0.15938,705.5416208780157,103.57206209350392
2018,8346,LKA,4.45,81.95,CHN,1.4541666666666666,575.3307777466587,1.08571,0.15938,624.6423787073247,91.69621935726245
2018,8346,LKA,4.65,78.95,CHN,19.24722222222222,7615.027619878888,1.08571,0.15938,8267.711637178707,1213.683102056297
2018,8346,LKA,3.95,81.05,CHN,1.0877777777777777,430.3715999342723,1.08571,0.15938,467.25874976463876,68.59262559752432
2018,8346,LKA,4.55,78.65,CHN,4.603055555555556,1821.1664408863194,1.08571,0.15938,1977.2586165346856,290.25750734846156
2018,8346,LKA,4.8500000000000005,82.05,CHN,9.479722222222222,3750.5851866590683,1.08571,0.15938,4072.047843007617,597.7682670497223
2018,8346,LKA,4.65,78.55,CHN,0,0,1.08571,0.15938,0,0
