rmfo_name,rmfo_abbr,link
Comite Regional des peches du Golfe de Guinea,COREP,http://www.fao.org/fishery/rfb/corep/en
Fishery Committee for the Eastern Central Atlantic,CECAF,http://www.fao.org/fishery/rfb/cecaf/en
International Commission for the Conservation of Atlantic Tunas,ICCAT,http://www.fao.org/fishery/rfb/iccat/en
Ministerial Conference on Fisheries Cooperation Among African States Bordering the Atlantic,COMHAFAT-ATLAFCO,http://www.fao.org/fishery/rfb/comhafat-atlafco/en
South East Atlantic Fisheries Organisation,SEAFO,http://www.fao.org/fishery/rfb/seafo/en
Caribbean Regional Fisheries Mechanism,CRFM,http://www.fao.org/fishery/rfb/crfm/en
International Whaling Commission,IWC,http://www.fao.org/fishery/rfb/iwc/en
Western Central Atlantic Fishery Commission,WECAFC,http://www.fao.org/fishery/rfb/wecafc/en
Central America Fisheries and Aquaculture Organization,OSPESCA,http://www.fao.org/fishery/rfb/ospesca/en
Indian Ocean Tuna Commission,IOTC,http://www.fao.org/fishery/rfb/iotc/en
Inter-American Tropical Tuna Commission,IATTC,http://www.fao.org/fishery/rfb/iattc/en
Latin-American Fisheries Development Organization,OLDEPESCA,http://www.fao.org/fishery/rfb/oldepesca/en
South Pacific Regional Fisheries Management Organisation,SPRFMO,http://www.fao.org/fishery/rfb/sprfmo/en
Committee on Inland Fisheries and Aquaculture of Africa,CIFAA,http://www.fao.org/fishery/rfb/cifaa/en
Fishery Committee of the West Central Gulf of Guinea,FCWC,http://www.fao.org/fishery/rfb/fcwc/en
Subregional Fisheries Commission,SRFC,http://www.fao.org/fishery/rfb/srfc/en
Southwest Indian Ocean Fisheries Commission,SWIOFC,http://www.fao.org/fishery/rfb/swiofc/en
Lake Tanganyika Authority,LTA,http://www.fao.org/fishery/rfb/lta/en
Agreement on the Conservation of Albatrosses and Petrels,ACAP,http://www.fao.org/fishery/rfb/acap/en
Asia Pacific Fisheries Commission,APFIC,http://www.fao.org/fishery/rfb/apfic/en
Commission for the Conservation of Antarctic Marine Living Resources,CCAMLR,http://www.fao.org/fishery/rfb/ccamlr/en
Commission for the Conservation of Southern Bluefin Tuna,CCSBT,http://www.fao.org/fishery/rfb/ccsbt/en
Forum Fisheries Agency,FFA,http://www.fao.org/fishery/rfb/ffa/en
North-East Atlantic Fisheries Commission,NEAFC,http://www.fao.org/fishery/rfb/neafc/en
Western and Central Pacific Fisheries Commission,WCPFC,http://www.fao.org/fishery/rfb/wcpfc/en
Commission for Inland Fisheries and Aquaculture of Latin America and the Caribbean,COPESCAALC,http://www.fao.org/fishery/rfb/copescaalc/en
Northwest Atlantic Fisheries Organization,NAFO,http://www.fao.org/fishery/rfb/nafo/en
Red Sea and Gulf of Aden Environment Program,PERSGA,http://www.fao.org/fishery/rfb/persga/en
Secretariat of the Pacific Community,SPC,http://www.fao.org/fishery/rfb/spc/en
Lake Victoria Fisheries Organization,LVFO,http://www.fao.org/fishery/rfb/lvfo/en
