year,ssvid,flag,vessel_class,length_m,tonnage_gt,engine_power_kw,broadcast_shipname,broadcast_callsign,eez_code,eez_type,eez_name,eez_territory_iso3,eez_sovereign_iso3,eez_sovereign2_iso3,eez_sovereign3_iso3,fishing_hours_year_eez,fishing_KWh_year_eez,fishing_days_year_eez
2018,219799000,DNK,fishing,24.647402180671428,228.92782813177857,432.30681052387143,KAREN MARGRETHE,OYMD,5669,200NM,German Exclusive Economic Zone,DEU,DEU,NA,NA,111.63833333333338,48262.011815534155,19
2018,220067000,DNK,fishing,24.20109667286923,156.09468522953077,443.96177128763077,FISHINGV.E95,OZTQ,5669,200NM,German Exclusive Economic Zone,DEU,DEU,NA,NA,1.1904166666666667,528.4994919036504,2
2018,244205000,NLD,fishing,43.99,546,1471,HD29 MORGENSTER,PGAP,5669,200NM,German Exclusive Economic Zone,DEU,DEU,NA,NA,51.52486111111111,75793.07069444444,8
2018,219017501,DNK,fishing,14.13227575425,25.220487954675,152.38573626509998,SIMONE-ASSENS,XP2636,5669,200NM,German Exclusive Economic Zone,DEU,DEU,NA,NA,2.2329166666666667,340.26465026861285,3
2018,261023870,POL,fishing,19.9265778461,52.963707440144454,277.0964361281222,KOL-161,SPS3041,5669,200NM,German Exclusive Economic Zone,DEU,DEU,NA,NA,62.548472222222195,17331.958738036617,7
2018,219650000,DNK,fishing,24.740204164269233,209.79775879608462,453.83113272813847,L232 TOVE KYNDE,OWQR,5669,200NM,German Exclusive Economic Zone,DEU,DEU,NA,NA,137.96138888888893,62611.17339219168,15
2018,247121820,ITA,fishing,20.3,76,220.8,EOLO,IZJI,5670,200NM,Albanian Exclusive Economic Zone,ALB,ALB,NA,NA,2.026111111111111,447.36533333333335,1
2018,262500050,MNE,fishing,21.888384174575,159.802779128325,310.342712668075,TRIO MARE,4OBY,5670,200NM,Albanian Exclusive Economic Zone,ALB,ALB,NA,NA,35.08305555555555,10887.77062979589,5
2018,247054650,ITA,fishing,22.93,95,317,GIADA,IQBU,5673,200NM,Croatian Exclusive Economic Zone,HRV,HRV,NA,NA,1990.7799999999995,631077.2599999999,132
2018,258140470,NOR,fishing,20.23897581555,27,155.4676087782375,RINGJEN,LNFN,5673,200NM,Croatian Exclusive Economic Zone,HRV,HRV,NA,NA,6.919166666666666,1075.7062964047548,5
2018,247101340,ITA,fishing,21.39,77,220.58,NUOVO ATERNO,IJIU,5673,200NM,Croatian Exclusive Economic Zone,HRV,HRV,NA,NA,7.384722222222221,1628.9220277777777,2
2018,247081150,ITA,fishing,22.8,101,412,AUDACE,ISWA,5673,200NM,Croatian Exclusive Economic Zone,HRV,HRV,NA,NA,1069.8141666666668,440763.4366666667,86
2018,247100360,ITA,fishing,25.06,100,216,LUPETTO,IKAL,5673,200NM,Croatian Exclusive Economic Zone,HRV,HRV,NA,NA,26.97263888888888,5826.089999999998,2
2018,247102810,ITA,fishing,21.3,99,190,ANTONIO PADRE,IKJZ2,5673,200NM,Croatian Exclusive Economic Zone,HRV,HRV,NA,NA,14.305277777777778,2718.0027777777777,5
2018,247120390,ITA,fishing,29,152,399,SS.COSMA E DAMIANO,IMIC,5673,200NM,Croatian Exclusive Economic Zone,HRV,HRV,NA,NA,9.637083333333333,3845.19625,6
2018,247121820,ITA,fishing,20.3,76,220.8,EOLO,IZJI,5673,200NM,Croatian Exclusive Economic Zone,HRV,HRV,NA,NA,678.8504166666665,149890.172,53
2018,247071940,ITA,fishing,23.77,121,441.3,ANNA C,IWLV,5673,200NM,Croatian Exclusive Economic Zone,HRV,HRV,NA,NA,4.241666666666667,1871.8475000000003,5
2018,247121290,ITA,fishing,22.06,48,221,SHAULA,IUGV,5673,200NM,Croatian Exclusive Economic Zone,HRV,HRV,NA,NA,1.1070833333333334,244.6654166666667,1
2018,247100050,ITA,fishing,23.37,89,441,VICHINGO,ISGV,5673,200NM,Croatian Exclusive Economic Zone,HRV,HRV,NA,NA,96.39125,42508.54125,15
2018,257190140,NOR,fishing,10.66,18.903889248864285,113.267,SANDOEYJENTA,LK8869,5674,200NM,Danish Exclusive Economic Zone,DNK,DNK,NA,NA,17.640277777777776,1998.0613430555552,6
2018,261006320,POL,fishing,18.662078985119997,44.6039511144,209.81928177446,M/Y NUREK,SPS2481,5674,200NM,Danish Exclusive Economic Zone,DNK,DNK,NA,NA,8.245277777777778,1730.018261364249,3
2018,257003700,NOR,fishing,10.65,25,242.715,ANTILDE,LF5177,5674,200NM,Danish Exclusive Economic Zone,DNK,DNK,NA,NA,53.50375,12986.16268125,8
2018,257857750,NOR,fishing,12.467931162416667,25.972251958658333,196.65765064016665,RISOEY,LG3330,5674,200NM,Danish Exclusive Economic Zone,DNK,DNK,NA,NA,51.01555555555556,10032.599301658458,7
2018,257541760,NOR,fishing,14.107606655618183,27.084388229554545,270.1175819792182,SILJANN,LN7418,5674,200NM,Danish Exclusive Economic Zone,DNK,DNK,NA,NA,89.98069444444444,24305.367608144203,13
2018,257533600,NOR,fishing,12.004149503770002,19.63826786357,169.58829959855,ARCTIC,LF5456,5674,200NM,Danish Exclusive Economic Zone,DNK,DNK,NA,NA,7.102638888888889,1204.5244518292013,5
2018,265563310,SWE,fishing,12.710008580679999,23.3577641963,156.64792624775998,GG75 MANILL,SFC7507,5674,200NM,Danish Exclusive Economic Zone,DNK,DNK,NA,NA,30.32888888888889,4750.957549843174,6
2018,244810702,NLD,fishing,23.460121466380002,155.77578486988,481.2134478780801,UK190 GERRIT SENIOR,PBAY,5674,200NM,Danish Exclusive Economic Zone,DNK,DNK,NA,NA,408.450138888889,196551.69962100298,34
2018,266461000,SWE,fishing,40.8416929836,642.14138268155,1286.8245265884998,GG707 ARKO,SBAK,5674,200NM,Danish Exclusive Economic Zone,DNK,DNK,NA,NA,1169.42902777778,1504849.9550489914,121
2018,261012540,POL,fishing,13.58732525105,14.7499397961,149.5590262504,JAMES COOK,SPS2649,5674,200NM,Danish Exclusive Economic Zone,DNK,DNK,NA,NA,30.80513888888888,4607.1865757305495,3
2018,265661180,SWE,fishing,14.537401348683332,26.5338340325,243.6457601251,RAGNA GG184,SFC7341,5674,200NM,Danish Exclusive Economic Zone,DNK,DNK,NA,NA,85.15486111111112,20747.620863763987,19
2018,265674430,SWE,fishing,12.965843689325,25.26814179293333,148.69344221486668,SOLVAAG GG146,SFC7281,5674,200NM,Danish Exclusive Economic Zone,DNK,DNK,NA,NA,107.75069444444443,16021.821657986755,24
2018,265646610,SWE,fishing,10.7,9.66,84.56,SHAMROCK HG104,SFB8239,5674,200NM,Danish Exclusive Economic Zone,DNK,DNK,NA,NA,2.837638888888889,239.95074444444444,7
2018,257303920,NOR,fishing,10.62,14,136.0675,LENE-MARI,LM5743,5674,200NM,Danish Exclusive Economic Zone,DNK,DNK,NA,NA,1.3620833333333333,185.33527395833332,1
2018,258084230,NOR,fishing,10.5,12,198.585,BROSMA,LI3019,5674,200NM,Danish Exclusive Economic Zone,DNK,DNK,NA,NA,9.338611111111113,1854.5080875000006,5
2018,257305840,NOR,fishing,10.63,32.27455994532,478.075,SJOSPROYT,LG3986,5674,200NM,Danish Exclusive Economic Zone,DNK,DNK,NA,NA,94.07166666666666,44973.312041666664,10
2018,211234500,DEU,fishing,26.29,125,340,NG2 RHEIDERLAND,DEOG,5674,200NM,Danish Exclusive Economic Zone,DNK,DNK,NA,NA,2.4840277777777775,844.5694444444443,1
2018,257310340,NOR,fishing,12.62278380085,22.495977566575,195.08865580980003,STREIF,LG4550,5674,200NM,Danish Exclusive Economic Zone,DNK,DNK,NA,NA,134.07236111111112,26155.996710412775,21
2018,261023870,POL,fishing,19.9265778461,52.963707440144454,277.0964361281222,KOL-161,SPS3041,5674,200NM,Danish Exclusive Economic Zone,DNK,DNK,NA,NA,40.20263888888889,11140.007959056962,5
2018,257045610,NOR,fishing,62.61526636015,2559.2208346277503,3998.0916971095003,ENDRE DYROEY,LFOA,5674,200NM,Danish Exclusive Economic Zone,DNK,DNK,NA,NA,54.55999999999991,218135.88299429396,4
