flag,subs_per_fishing_KWh
AGO,0.722466139991157
ALB,0.7002138756941976
ARG,0.3701185004213219
ATF,0.1776662730202731
ATG,182.00871869432845
AUS,0.17482785528903844
BEL,0.27706448992380284
BES,0.28322258102925424
BGR,1.183245691435115
BHR,0.2169089741772408
BLZ,1.2222824076245755
BMU,0.11011585625498331
BRA,2.842986895558384
CAN,0.4549608008476304
CHL,0.8059270911081977
CHN,0.7385330517197958
CIV,7.745943000446299
CMR,1.7575356380266174
COG,90.6217168803257
COK,0.0870044194008228
COL,0.2504777858524259
COM,12.53317328076011
CRI,10.556068010524273
CUW,0.28322258102925424
CXR,0.17482785528903844
CYP,1.0091582664493244
DEU,0.28730138373192465
DJI,12.973775449164597
DNK,0.11315814468036116
DZA,568.154587804107
ECU,0.330708192137767
EGY,1242.832911417235
ESP,0.8072192635285973
EST,0.38736905622339823
FIN,0.29546790700908687
FJI,0.2757873194686746
FLK,0.11011585625498331
FRA,0.1776662730202731
FRO,0.11315814468036116
FSM,0.08479982458958694
GBR,0.11011585625498331
GEO,1.2063387856908592
GHA,1.4672901316336284
GIB,0.11011585625498331
GIN,1.185575386040371
GMB,75.23575244296573
GNB,0.0011507305742411318
GNQ,0.1343012863400535
GRC,1.4956388548068993
GRL,0.11315814468036116
GTM,0.5589915287616252
GUF,0.1776662730202731
GUY,135.8869244349367
HKG,41.81429303271727
HND,466.00730822485514
HRV,0.02894956081601137
HTI,3.795648656256659
IDN,37.051908194332746
IND,3.333537100634069
IRL,0.4436993856174775
IRN,1.6736319853831214
ISL,0.10751907473121787
ISR,0.019335803998532675
ITA,0.3056608263218841
JAM,1031.537955494245
JOR,0.34003067487810373
JPN,1.7688813232206986
KEN,39.691415474412715
KHM,3.3229109330827176
KIR,0.6587680321731013
KNA,0.07332456372851152
KOR,1.171588203837603
LBR,488.8274162270656
LKA,1.447107909320116
LTU,0.22884718382222252
LVA,1.0355982300025857
MAR,1.7858615208293607
MDG,2.51919410576641
MEX,1.6298377504589399
MHL,0.22685758897334743
MLT,1.340592485391233
MNE,0.04879635687021697
MOZ,0.5531823098373083
MRT,2.5729735061691765
MUS,0.04568575705479067
MYS,6.405829138208586
NAM,0.4270369185109226
NCL,0.1776662730202731
NGA,3.4778065966023988
NIC,3.576109557062919
NLD,0.28322258102925424
NOR,0.3002386983993066
NRU,0.1762419914656994
NZL,0.0870044194008228
OMN,813.8706130414217
PAK,53589.1317188871
PAN,1.3198507737063396
PER,4.4042935607506335
PHL,5.919205475036972
PLW,0.35289204085415105
PNG,0.2993415916356449
POL,0.7215855271216035
PRK,17.022100148980392
PRT,0.3820489729556527
PYF,0.1776662730202731
QAT,0.3450637548508161
REU,0.1776662730202731
ROU,13.52133907574231
RUS,0.2553758764733651
SAU,39.215602641679546
SEN,3.1403946773673885
SGP,0.033822550416712435
SHN,0.11011585625498331
SLB,2.7476593536429075
SLE,524.0348757302469
SLV,0.1245405337026175
SOM,80.16133753709825
SPM,0.1776662730202731
STP,1.713890067891472
SVN,2.1443206171288116
SWE,0.4440979734182468
SYC,0.16223608122245145
TCA,0.11011585625498331
THA,263.5770058530913
TUN,45.9929535062089
TUR,1.1748697250565805
TUV,9.049313648005874
TWN,0.271044420413886
TZA,9.576067040912026
UKR,2.472535816874942
URY,0.045256563076157316
USA,1.0468906201889223
VCT,0.03234168238666648
VEN,2.0383679719691687
VGB,0.11011585625498331
VNM,96.645426821544
VUT,0.06297365256192788
WLF,0.1776662730202731
WSM,7.139554705070658
YEM,2970.038712745528
ZAF,0.251938916075897
