eez_code,eez_territory_iso3,eez_sovereign_iso3,total_vessels,total_capacity,total_fishing_hours,total_fishing_KWh,vessel_rank,capacity_rank,fishing_hours_rank,fishing_KWh_rank,avg_rank
5697,TUR,TUR,90,38475.01164463786,8839.65611111111,2721324.0594432936,36,75,54,83,62
8472,GIN,GIN,82,131781.0572934776,58936.97777777776,48789496.22531525,37,31,23,26,29.25
8313,VUT,VUT,81,37565.92660574537,147408.4731944447,61776804.92488876,38,78,6,21,35.75
33181,SJM,NOR,80,203109.81819980923,95783.68694444507,234008979.47404525,39,22,11,1,18.25
48954,TWN,CHN,77,25852.105252373258,399.9604166666667,139654.9315271256,40,90,128,144,100.5
8473,CIV,CIV,74,162466.27603342957,12746.218888888878,17819214.698092896,41,29,48,38,39
8362,CPV,CPV,73,87303.54707680436,22645.402083333323,18142772.906831592,42,43,38,37,40
8372,LBY,LBY,71,31871.24736586081,8444.022777777776,3292863.2474616664,43,84,56,81,66
8450,KIR,KIR,71,180018.62192882804,4749.511527777779,13173037.045799552,43,27,74,45,47.25
8485,SGP,SGP,71,58981.00479295678,2766.555555555555,2100226.4657910536,43,56,88,90,69.25
8463,USA,USA,68,177539.2966376383,2819.8491666666664,3293113.578871037,44,28,87,80,59.75
8429,MEX,MEX,67,63605.18417429843,5690.865259786388,5317610.461840662,45,53,66,71,58.75
8345,MDV,MDV,66,28924.55852216667,1055.4294444444442,496620.34641165717,46,86,107,117,89
8456,USA,USA,64,36834.515855981,6096.85222222222,2691677.250387305,47,79,64,84,68.5
8446,COK,NZL,61,99514.92789093388,34070.54361111135,27066700.2324564,48,39,30,34,37.75
8390,SLE,SLE,58,123281.14067669575,60433.34916666672,64303720.261272684,49,33,21,19,30.5
8480,IND,IND,58,37765.39656159526,1709.972361111111,1233188.8887970643,49,77,99,98,80.75
8440,PYF,FRA,57,42657.82389111996,565.6256944444444,404388.31506988493,50,71,118,121,90
8347,MOZ,MOZ,54,42702.01936122905,90976.98333333353,64101319.12512938,51,70,12,20,38.25
8395,NAM,NAM,54,72327.26044207173,17713.095138889064,39318053.879097685,51,49,40,27,41.75
48980,MNP,USA,53,44879.64516181285,511.07597222222216,418998.0117490434,52,68,121,120,90.25
8441,KIR,KIR,53,84678.02166146637,2439.0662499999985,7033323.541439921,52,44,90,58,61
5678,GEO,GEO,49,23175.734691057336,1510.0002777777781,852936.3366039773,53,94,100,106,88.25
8321,TWN,CHN,49,45037.10431143246,5727.823194444446,5603009.125531239,53,67,65,68,63.25
8370,GMB,GMB,49,27857.07450554907,33349.74583333332,19423131.488579847,53,87,32,36,52
8465,CHL,CHL,47,89985.20440274593,940.7431944444442,2827210.0448757894,54,42,108,82,71.5
5695,UKR,UKR,46,21504.52635006062,10803.86152777778,4774008.878372539,55,99,50,73,69.25
8322,PHL,PHL,46,41217.63190940766,1160.033888888889,794176.8536910964,55,73,104,107,84.75
8449,TKL,NZL,46,102056.37509780313,17098.567083333346,13201849.979784684,55,38,42,44,44.75
8492,IDN,IDN,46,36598.96981329703,2926.694861111112,7575362.910292988,55,80,85,56,69
8455,NZL,NZL,44,47324.941663026904,7125.3719444443595,10530475.952633483,56,64,60,50,57.5
8364,ESP,ESP,43,66411.07259033334,311.6672222222222,346815.6483129706,57,52,133,122,91
8432,PER,PER,43,59553.227533534235,3241.1701388888882,5707874.71425584,57,55,81,67,65
48961,URY,URY,42,44367.22023511903,6384.554861111107,4672165.303358256,58,69,62,76,66.25
21789,JEY,GBR,41,14271.966930039032,5670.554861111111,1415919.7489484365,59,114,67,97,84.25
8344,IOT,GBR,41,19678.77038538123,577.90125,279240.9347585686,59,102,117,126,101
8464,BRA,BRA,41,45339.76196161212,10072.174166666668,9503218.774800606,59,65,51,53,57
8471,GNB,GNB,41,48886.825583043654,46362.9270833333,36440568.7781223,59,62,26,28,43.75
8391,LBR,LBR,39,112526.14375520727,5201.523611111111,10437660.914111182,60,36,70,51,54.25
8445,WSM,WSM,38,22833.913160238437,30915.254583333357,14508118.336503776,61,95,33,42,57.75
8367,MAR,MAR,37,27288.915225082405,5214.814444444442,1889057.8958929207,62,88,69,94,78.25
5685,MLT,MLT,36,20010.222374456953,1302.8869444444445,628481.6220771907,63,101,103,113,95
48964,SEN,SEN,34,49155.66070943823,9459.091666666664,11795031.517280873,64,61,53,47,56.25
8346,LKA,LKA,34,25070.278508446587,1935.5015277777775,940645.6650740488,64,91,97,101,88.25
8400,GHA,GHA,32,78411.9354888992,15436.141388888884,16846764.04331647,65,47,44,39,48.75
8404,BHS,BHS,32,34149.14257166418,283.1272222222222,438103.55757333734,65,83,134,119,100.25
5670,ALB,ALB,31,10898.939722524628,2269.6988888888886,667540.0423129124,66,121,91,110,97
8483,MYS,MYS,31,18027.47542806994,1153.428611111111,675512.2078923999,66,106,105,109,96.5
8423,PAN,PAN,29,55782.761010735114,717.0922222222222,1966216.6230252127,67,58,113,92,82.5
5682,ITA,ITA,28,22289.8482058438,800.8611111111111,559372.8443171539,68,96,110,115,97.25
5691,MNE,MNE,27,7079.878211040384,3841.0883333333327,978747.8223505239,69,138,78,100,96.25
8312,NCL,FRA,26,18528.34561750994,174.07291666666666,104794.35844207523,70,104,143,150,116.75
8444,ASM,USA,26,17047.298219164142,405.3566666666667,270105.4609890322,70,108,127,127,108
8468,QAT,QAT,26,12010.836305552963,99.69236111111111,46839.77387335247,70,117,151,162,125
8356,SAU,SAU,25,15431.103853366316,1438.28,655610.802385741,71,113,101,112,99.25
8476,GAB,GAB,25,57528.29663376067,4674.15972222222,13400700.949585818,71,57,75,43,61.5
8323,AUS,AUS,23,23693.235354114968,1954.0204166666674,2154621.354390125,72,92,96,89,87.25
8403,ECU,ECU,23,42595.59565186148,1145.6236111111123,1838442.2795168236,72,72,106,95,86.25
8401,CPT,FRA,22,63136.92321060949,786.6838888888885,2074233.6570562783,73,54,111,91,82.25
8453,USA,USA,22,19074.46806331791,221.49319444444453,212869.37099510015,73,103,140,132,112
8376,CYP,CYP,21,11992.868344963896,714.2226388888889,858136.5726531079,74,118,114,105,102.75
8477,COD,COD,21,10968.08644906396,1752.7112500000014,871565.3215427974,74,120,98,104,99
8479,TZA,TZA,21,16959.83797319695,7980.181944444441,6463898.224960595,74,109,58,62,75.75
8360,ARE,ARE,20,17798.272280133748,4896.975972222223,2626080.152935499,75,107,72,85,84.75
8378,DZA,DZA,20,10469.715688224253,503.19708333333335,190918.0827943647,75,124,122,135,114
48957,GUM,USA,19,23450.81600658775,514.8659722222222,310796.1361034888,76,93,120,125,103.5
5680,ISL,ISL,19,54567,4784.865416666663,10910744.197916659,76,60,73,48,64.25
8338,REU,FRA,19,16932.060472208046,273.3431944444444,312547.1615935172,76,110,135,124,111.25
8393,BEN,BEN,19,22235.589270939814,2084.147499999999,2541619.9504626156,76,97,95,86,88.5
48946,REU,FRA,18,15882.786403895236,250.42263888888883,210068.18408176542,77,112,137,134,115
8397,STP,STP,18,47876.30277739207,4061.193749999997,3968926.712105067,77,63,77,77,73.5
8424,CRI,CRI,17,30025.17577756027,2972.908194444447,7078058.115589648,78,85,84,57,76
8431,ECU,ECU,17,45197.75740709133,350.09861111111127,924834.2361472279,78,66,131,102,94.25
8494,SPM,FRA,17,7543.283468919187,386.23625000000004,187572.37970782942,78,135,129,137,119.75
48967,GBR,GBR,16,90590.62532938314,5622.385416666668,30795451.131412085,79,41,68,32,55
8373,SYR,SYR,16,6802.612092251598,234.39027777777778,93775.23364842699,79,141,139,152,127.75
8383,SGS,GBR,16,40576.72536469244,13045.996944444189,30885899.923865996,79,74,47,31,57.75
8448,TON,TON,16,12944.340399792589,16885.490138889203,8511328.209629456,79,115,43,54,72.75
8382,TAA,GBR,15,26147.9021944258,345.9373611111108,661496.9331588424,80,89,132,111,103
5674,DNK,DNK,14,55688.84572478993,244.46875000000003,321559.79769704695,81,59,138,123,100.25
8349,KEN,KEN,14,16651.544658384868,8419.458055555553,6609543.18014516,81,111,57,60,77.25
8392,TGO,TGO,14,18421.75879059949,115.61166666666666,167111.9166803835,81,105,147,139,118
8385,ATF,FRA,11,12167.11199420691,1425.9426388888871,1536862.147846125,82,116,102,96,99
8420,TTO,TTO,11,5820.047480180506,164.12513888888893,72206.67794448842,82,145,145,154,131.5
8469,IRN,IRN,11,6254.306473935642,8805.380833333335,5896668.536226608,82,143,55,65,86.25
5687,POL,POL,10,35694.1156720767,70.37416666666665,210347.86053370012,83,81,160,133,114.25
5696,GBR,GBR,10,35475.4384085077,3737.2559722222218,7699000.875225725,83,82,79,55,74.75
8332,THA,THA,10,8658.6959367764,2199.193333333333,900285.4621832663,83,128,92,103,101.5
8398,GNQ,GNQ,10,9402.623661579897,4591.336111111112,1893813.8716379816,83,126,76,93,94.5
5693,ESP,ESP,9,11761.55321707801,170.93083333333334,218644.99223221937,84,119,144,130,119.25
8350,SOM,SOM,9,8109.70118083345,197.90055555555554,182213.78263291356,84,134,142,138,124.5
8354,OMN,OMN,9,6601.260695187874,477.42347222222224,258200.94040064604,84,142,123,128,119.25
8426,COL,COL,9,22037.541073371056,2720.125694444443,6423529.794862334,84,98,89,63,83.5
8447,NIU,NZL,9,5212.1799371331,9872.316666666668,4733165.896869791,84,153,52,75,91
8461,SUR,SUR,9,9393.54999959418,2850.904166666667,2408237.763894879,84,127,86,87,96
48973,FRO,DNK,8,38077.88099639642,103.05111111111114,520299.934121418,85,76,148,116,106.25
8394,COG,COG,8,5618.959366711867,25388.50694444465,10681597.26270156,85,146,37,49,79.25
8409,DOM,DOM,8,10547.736675189191,72.80250000000001,77792.24171066146,85,123,158,153,129.75
8475,CMR,CMR,8,7493.0255441842,6676.969069081948,6572188.646478107,85,136,61,61,85.75
8386,ATF,FRA,7,4164.738101767984,101.54597222222223,58308.89307495079,86,162,149,156,138.25
8418,BRB,BRB,7,4168.256382086337,80.70402777777778,56210.42503120937,86,161,156,157,140
8490,EGY,EGY,7,8154.4982314314875,422.97055555555556,163266.92193890488,86,133,126,141,121.5
48944,MYT,FRA,6,4970.546448313342,19.249722222222218,15769.810359426552,87,155,185,186,153.25
5676,FIN,FIN,6,5225.0944269385,210.77875000000003,163559.07950280095,87,152,141,140,130
5681,IRL,IRL,6,20469.716953693922,56.50152777777778,119016.288305127,87,100,161,148,124
8310,NFK,AUS,6,3940.2746137954473,43.55847222222222,29823.768232157192,87,166,166,169,147
8319,UMI,USA,6,3222.5954323343,7.993333333333332,4222.309951969611,87,171,200,207,166.25
8340,ATF,FRA,6,10810.996809819722,40.183194444444446,68011.7044313595,87,122,168,155,133
8451,UMI,USA,6,4753.44,47.46805555555556,35704.67988611111,87,157,164,166,143.5
8454,WLF,FRA,6,3850.80870079395,32.79208333333333,23027.1684666466,87,168,171,178,151
8460,GUY,GUY,6,6805.9770656874,549.8250000000002,241670.33411651608,87,140,119,129,118.75
8474,NGA,NGA,6,8405.450300385311,3342.6051388888886,6778302.206682794,87,130,80,59,89
26520,BES,NLD,5,8391.239239847717,19.320277777777775,29642.188050239085,88,131,184,170,143.25
33185,GUY,GUY,5,2353.317341935675,82.19638888888888,28837.437383500106,88,177,155,171,147.75
5675,EST,EST,5,1765.0078850333,12.370833333333335,4325.304192710868,88,185,194,206,168.25
8308,CCK,AUS,5,3952.7499395242785,26.46541666666667,20572.469579236582,88,165,177,182,153
8334,COM,COM,5,4099.052521952779,29.053472222222226,23320.830273006188,88,163,175,177,150.75
8365,GIB,GBR,5,647.6940507574778,86.00555555555555,8928.435565110814,88,209,154,194,161.25
8433,VEN,VEN,5,8261.350208642138,273.11222222222216,97620.74578621122,88,132,136,151,126.75
8442,UMI,USA,5,8411.535704128784,32.70263888888889,41663.00358688071,88,129,172,163,138
22756,CHL,CHL,4,4778.712297143434,18.058055555555555,27291.830592220267,89,156,187,173,151.25
48948,NCL,FRA,4,2508.346187083826,25.963611111111113,13923.93670011916,89,176,180,190,158.75
5689,ROU,ROU,4,3972.8,890.7106944444448,214336.98013888896,89,164,109,131,123.25
5694,SWE,SWE,4,5533.889295474735,23.927500000000002,29915.608457632487,89,147,181,168,146.25
8333,IND,IND,4,5273.785969010667,16.405833333333334,15227.36183170473,89,150,190,187,154
8374,LBN,LBN,4,724.01087066545,40.05583333333333,6007.172381507158,89,206,169,197,165.25
8411,VGB,GBR,4,2940.464012296815,88.6098611111111,53310.24339678381,89,173,153,159,143.5
8421,VCT,VCT,4,988.7981350028999,649.761388888889,153540.0613123281,89,197,115,142,135.75
8427,HND,HND,4,1825.6599650270914,72.63263888888888,41165.42905960327,89,184,159,165,149.25
8437,SJM,NOR,4,7445,29.487083333333338,52049.45972222223,89,137,174,160,140
21790,MCO,MCO,3,5820.162548349839,457.16083333333336,148326.18793501757,90,144,124,143,125.25
21797,STP,STP,3,3117.6891960090434,143.1533333333333,117680.89924244024,90,172,146,149,139.25
26521,BRN,BRN,3,1758.0526827827368,580.5440277777778,477490.73117002414,90,186,116,118,127.5
48978,USA,USA,3,9647.5,16.872777777777777,54763.767013888886,90,125,189,158,140.5
5673,HRV,HRV,3,648.1105526132999,99.7248611111111,20753.31933343218,90,208,150,181,157.25
5677,FRA,FRA,3,5288.662029118001,429.43416666666644,580175.7795447343,90,149,125,114,119.5
8339,ATF,FRA,3,2110.1924056733833,8.285138888888891,5626.685813917368,90,180,199,198,166.75
8341,ATF,FRA,3,1612.5483665107095,21.04361111111111,10903.75186153742,90,191,183,192,164
8375,ISR,ISR,3,3888.6813252303996,26.288611111111116,10089.47157446407,90,167,179,193,157.25
8380,SHN,GBR,3,1953.7251837469585,27.39361111111111,21074.12497002496,90,182,176,180,157
8388,HMD,AUS,3,4351.256888881071,23.775000000000002,34968.49032560978,90,160,182,167,149.75
8399,BVT,NOR,3,4404.089295474736,2997.10777777778,5531084.807248059,90,159,83,69,100.25
8419,GRD,GRD,3,942.6717277017999,2132.7694444444446,700670.1549570891,90,199,93,108,122.5
8462,GUF,FRA,3,974.3176426126,3232.4890277777786,980727.4435897834,90,198,82,99,117.25
21787,CHL,CHL,2,1363.2137146638377,33.73361111111111,23746.64749395854,91,193,170,176,157.5
48969,BRB,BRB,2,772.8905289268,13.137638888888887,5095.499379317811,91,203,192,199,171.25
5668,NLD,NLD,2,5122.689295474735,755.8918055555553,2320847.6586559056,91,154,112,88,111.25
5688,PRT,PRT,2,5247.8,8.509444444444444,24925.313111111107,91,151,197,175,153.5
8357,KWT,KWT,2,1657.17988594565,44.16222222222223,27400.495371461227,91,188,165,172,154
8358,BHR,BHR,2,324.3730605315001,9.222777777777779,1737.2775643125856,91,214,195,214,178.5
8363,PRT,PRT,2,7042.3360333917,8.67611111111111,20054.282114528978,91,139,196,183,152.25
8379,ASC,GBR,2,1679.9702249943,48.42902777777778,41522.02591696209,91,187,163,164,151.25
8381,BRA,BRA,2,736.6139307752,357.582083333333,131927.7438055057,91,204,130,145,142.5
8387,ATF,FRA,2,5321.889295474735,43.1325,125332.15786662462,91,148,167,147,138.25
8402,BMU,GBR,2,3785.750143348983,30.10791666666666,52025.19461548713,91,169,173,161,148.5
8414,ATG,ATG,2,284.5149224254686,26.37972222222222,4959.833611517042,91,215,178,200,171
8430,GTM,GTM,2,2298.7451836531445,4.896111111111111,3735.096674545258,91,178,208,209,171.5
8439,PCN,GBR,2,1470,17.13277777777778,12592.591666666667,91,192,188,191,165.5
8443,UMI,USA,2,1635.15,18.51486111111111,14862.130229166665,91,190,186,188,163.75
21798,PNG,PNG,1,200.0935905127,2.2887500000000003,457.96420528594206,92,217,214,217,185
26517,CUW,NLD,1,38.05249975974999,2.8943055555555572,110.13556145742088,92,218,212,218,185
26526,BES,NLD,1,211.45770138712862,80.38791666666667,16998.644077633373,92,216,157,184,162.25
33176,KEN,KEN,1,813.6883936200253,2.761666666666667,2247.1361137139697,92,200,213,213,179.5
33177,GLP,FRA,1,3775.4206647428996,5.7027777777777775,21530.38506865882,92,170,206,179,161.75
33179,PRI,USA,1,711.8306397761125,6.803194444444444,4842.722253910182,92,207,201,201,175.25
48974,ECU,ECU,1,2715.2990053036997,1.690972222222222,4591.495192996186,92,174,216,203,171.25
48975,ISL,ISL,1,2200,6.5365277777777795,14380.361111111115,92,179,202,189,165.5
5669,DEU,DEU,1,1914.8892954747355,99.41888888888887,190376.16610132548,92,183,152,136,140.75
5683,LVA,LVA,1,2060,2.1386111111111106,4405.5388888888865,92,181,215,204,173
5684,LTU,LTU,1,1103,3.480416666666667,3838.8995833333342,92,195,211,208,176.5
8309,CXR,AUS,1,387.764,1.6179166666666671,627.3698383333334,92,211,217,216,184
8311,AUS,AUS,1,353,8.35875,2950.63875,92,212,198,211,178.25
8351,ERI,ERI,1,1060,6.037361111111112,6399.602777777779,92,196,205,196,172.25
8352,DJI,DJI,1,800,1.3783333333333336,1102.6666666666667,92,202,218,215,181.75
8353,YEM,YEM,1,4566.981345360387,3.6941666666666673,16871.190253318833,92,158,210,185,161.25
8355,SDN,SDN,1,1654.875,16.086111111111112,26620.503125000007,92,189,191,174,161.5
8384,ZAF,ZAF,1,735,6.501250000000001,4778.418749999999,92,205,203,202,175.5
8405,TCA,GBR,1,811.4141200470667,4.349861111111112,3529.5387257991783,92,201,209,210,178
8425,NIC,NIC,1,1113.3917685577997,6.281805555555556,6994.110597236213,92,194,204,195,171.25
8428,SLV,SLV,1,2592.8339130121576,49.01638888888891,127091.35540450345,92,175,162,146,143.75
8459,JAM,JAM,1,458.82,5.191666666666666,2382.0405,92,210,207,212,180.25
8482,MMR,MMR,1,351.5698753196668,12.511666666666668,4398.725090041229,92,213,193,205,175.75
