flag,total_vessels,total_capacity,total_fishing_hours,total_fishing_KWh,vessel_rank,capacity_rank,fishing_hours_rank,fishing_KWh_rank,avg_rank
CHN,3613,1764032.9248410545,1012758.4408490966,657761634.201142,1,1,1,2,1.25
TWN,1082,729064.5110482604,729432.4515277782,611764755.0658578,2,3,2,3,2.5
RUS,448,915866.7463503329,303790.0825000003,800219413.739125,3,2,3,1,2.25
KOR,436,349353.7184578128,160327.6465277778,185438157.50280887,4,4,6,5,4.75
TUR,307,95743.14814116285,25958.335555555557,8100733.95813166,5,12,17,37,17.75
JPN,290,253948.47728641136,236874.49333333306,199716316.52407926,6,5,4,4,4.75
USA,266,242057.68344435116,67233.81152777781,158435071.92527187,7,6,8,6,6.75
ESP,232,191376.2426728764,220875.32486111159,137364173.78429094,8,9,5,7,7.25
ITA,226,87185.6624648442,93334.80472222224,54918087.28404624,9,13,7,11,10
FRA,154,115144.39636184442,53564.30958333333,46882897.03664002,10,11,9,13,10.75
ARG,107,130282.25906528637,22885.936111111107,30447389.39659065,11,10,19,18,14.5
NOR,106,238691.94114642864,35387.71138888881,91518518.41632609,12,7,14,8,10.25
CAN,99,69522.90089283901,7418.9404166666645,4327571.339452273,13,14,36,49,28
ISL,91,192155.95113159332,18212.57333333332,90228412.31406423,14,8,23,9,13.5
LKA,80,30385.871162931096,1759.567361111111,708236.9537261872,15,29,67,83,48.5
GRC,63,16714.453519476538,10115.698472222222,3293389.2632412696,16,53,30,55,38.5
URY,51,29294.98824295539,40175.72986111108,25310112.103569623,17,32,13,20,20.5
BHR,48,19269.95452926271,1495.8788888888887,512889.87086690497,18,46,73,88,56.25
VUT,39,39542.857158099134,52537.557916666636,32903838.95499856,19,25,10,17,17.75
SEN,37,29350.34260438065,29761.045555555513,24588696.008760408,20,31,16,21,22
VNM,37,8154.509754132099,6498.243611111112,1387522.788649036,20,72,39,67,49.5
SYC,36,40223.38688446691,9638.894305555563,8522821.95300571,21,21,31,36,27.25
GHA,31,39764.89507421962,8698.458194444444,8651278.372177877,22,23,33,35,28.25
MAR,31,22304.76728946811,50498.21916666664,37351875.818647675,22,40,12,15,22.25
MLT,30,13563.412636103325,3665.081527777778,1276678.5008895174,23,58,49,68,49.5
FJI,28,14210.46732535592,50826.81652777778,21755473.44724249,24,55,11,24,28.5
FSM,27,50871.12119390115,34505.93902777806,35975597.69111857,25,16,15,16,18
HKG,27,13857.043985522932,5670.729027777777,2436910.8772340333,25,56,41,62,46
PRT,26,26004.961447429938,9096.122222222206,4935138.22968476,26,37,32,45,35
ALB,25,8826.577969464659,7692.769583333336,2727474.534131019,27,67,34,61,47.25
FRO,22,39941.38307502066,22708.521805555603,56402600.59722638,28,22,20,10,20
ZAF,22,12304.930450974878,11454.898194444439,6163868.97796075,28,62,26,40,39
VEN,21,36205.26901936225,2665.7838888888905,4745435.118246873,29,27,57,47,40
GBR,20,20577.68169517074,875.3559722222218,715302.7839159911,30,44,82,82,59.5
MEX,20,64551.393010987,1547.7273611111095,4057995.93942983,30,15,71,51,41.75
BEL,19,18165.413841894508,1534.4141666666667,1418585.2565290034,31,51,72,66,55
BLZ,19,50007.805043147506,11085.605694444524,23962683.660164997,31,17,29,22,24.75
PAN,19,36906.35642872386,7482.703055555742,8991020.270537604,31,26,35,32,31
PHL,19,44748.7518288235,11184.0561111111,27007320.312636774,31,19,28,19,24.25
CHL,18,29059.004183522102,3784.933611111081,5126409.2498569405,32,34,48,44,39.5
IDN,18,5359.573774410508,4345.686111111142,1077106.4656560102,32,80,46,72,57.5
NAM,18,22287.68311484135,24149.010694444478,14787770.08124753,32,41,18,28,29.75
NLD,18,39610.31666217596,2254.672361111112,8957502.174721897,32,24,60,33,37.25
TUN,18,8920.790010161289,1165.7531944444443,562281.5360296092,32,66,76,87,65.25
LTU,17,25191.768218441848,811.9777777777779,6105290.199975425,33,38,85,41,49.25
PNG,17,46804.379199999996,17626.559305555533,47913393.86901588,33,18,24,12,21.75
AGO,15,8666.740059200758,1561.5481944444455,887786.2809828977,34,68,70,75,61.75
LVA,15,19080.5668237918,4510.380277777771,4078334.010831405,34,47,45,50,44
GNQ,14,2752.1530601113336,1611.6343055555553,282803.80318062793,35,91,69,94,72.25
REU,14,29100.178509578087,6765.4887499999995,3102318.921667836,35,33,38,57,40.75
POL,13,16319.569824320439,2723.4429166666555,13920453.767313508,36,54,56,29,43.75
AUS,12,7098.140175979365,2596.1609722222247,882735.4104810684,37,75,58,77,61.75
COK,12,6762.150086417579,20267.444305555586,11535753.613581438,37,78,22,30,41.75
MHL,12,26770.807019417276,6256.247638888887,15844099.821456302,37,36,40,27,35
MYS,12,6969.551529459683,5608.695555555556,3519766.421382614,37,77,42,53,52.25
KIR,11,30045.638894639174,1979.2293055555585,5890568.836377949,38,30,65,42,43.75
LBY,11,7087.76936376028,606.8312499999998,310311.5158801303,38,76,90,92,74
COL,10,22564.898676369063,57.38930555555555,114527.51689849074,39,39,115,102,73.75
CUW,10,44071.26960172174,4795.8787499999935,18134623.207826227,39,20,43,26,32
CYP,10,7885.862753745826,21983.95333333469,23368722.680513047,39,73,21,23,39
DNK,10,13413.719063354742,4719.428611111104,5131653.3135983655,39,59,44,43,46.25
FLK,10,21158.27061078155,338.1454166666663,716139.6695189043,39,43,94,81,64.25
GNB,10,28179.501638239177,1753.1269444444442,4882460.360542045,39,35,68,46,47
IRN,10,8212.930537343427,207.1895833333333,115815.35838512745,39,71,101,101,78
UKR,10,18907.62344833276,1036.1220833333327,886113.3017099791,39,48,77,76,60
GRL,9,18285.336814237726,3602.857083333333,10618791.091887873,40,50,51,31,43
MUS,9,11666.118668315516,12743.64152777778,7013674.143160107,40,63,25,38,41.5
NZL,9,12870.303779467304,2311.5493055554775,3059069.0085970066,40,60,59,58,54.25
QAT,9,1805.8933099725748,158.76569444444445,32295.142600079696,40,104,105,118,91.75
KNA,8,19772.725171631642,2918.640972222222,4737877.82627454,41,45,55,48,47.25
MRT,8,5803.345088023126,327.9387499999998,329727.5959743426,41,79,95,90,76.25
SGP,8,3713.49861931928,102.54361111111112,48987.614772211295,41,87,107,112,86.75
VCT,8,17646.542408934954,6971.920833333327,21190594.777769245,41,52,37,25,38.75
DEU,7,32363.95858105938,11196.165833333549,42642914.570295684,42,28,27,14,27.75
DZA,7,3114.150242299393,668.4034722222221,305336.69415311195,42,90,88,93,78.25
ECU,6,13818.328242489959,720.7872222222223,1517360.2717533503,43,57,86,64,62.5
GEO,6,21502.01572324555,403.3890277777778,835102.9004092973,43,42,92,79,64
EST,5,12548.8584246232,371.442083333334,1208396.1663918763,44,61,93,69,66.75
MOZ,5,3845.3703853680304,45.0013888888889,39958.39691153306,44,85,119,113,90.25
SLV,5,18310.24461222245,2028.0352777777787,6626511.766878584,44,49,64,39,49
COM,4,7484.0290967834735,3231.9745833333336,3447641.4751597173,45,74,53,54,56.5
