geoname,eez_id,n_vessels,mean_length,mean_tonnage,tot_tonnage,mean_engine_power,tot_engine_power,fishing_hours,fishing_KWh,bad_subs,ugly_subs,mark
Japanese Exclusive Economic Zone,8487,487,41.18801535724773,710.5639627143563,374467.2083504658,968.675845870652,510492.1707738336,33506.10416666668,49806928.43341489,26217864.643654995,1259130.8357185642,overlapping & joint
Samoan Exclusive Economic Zone,8445,27,29.79762525404347,189.51196224166964,7959.502414150125,587.3226629584511,24667.551844254944,29461.04305555542,14093669.203548532,639611.0061858775,8993.465467933587,none
Gambian Exclusive Economic Zone,8370,54,34.23100722347463,297.77133757052474,21141.764967507257,554.1054514022287,39341.487049558236,28729.59361111111,16841363.299052417,26672491.593897007,2387811.033080746,none
Overlapping claim Western Saharan Exclusive Economic Zone,8368,116,54.48391856371088,1690.3687511357793,265387.89392831735,1691.3317201308723,265539.080060547,25668.771388888872,36598886.45980463,23361970.24826359,1677469.1720497976,is_overlapping
European Union Exclusive Economic Zone,9999,380,38.068514224130055,672.7064135860204,376042.88519458537,921.7331187396794,515248.81337548076,25386.099444444444,10056046.04587588,164500449.5552795,2348377.691792228,aggregate
Congolese Exclusive Economic Zone,8394,7,31.68592281539881,241.60290959471786,3382.44073432605,451.5656238159809,6321.918733423733,24909.1875000001,10424359.931507856,9861211.332151799,384071.4687647182,none
Nauruan Exclusive Economic Zone,8317,123,69.87367249273414,1395.044750375979,171590.50429624543,2574.4678198224465,316659.54183816095,24210.438333333368,61455397.888898924,46248149.34744081,2656527.2450914695,none
Fijian Exclusive Economic Zone,8325,169,34.76989667097119,256.0176687373389,65284.50552802142,579.5736007590606,147791.26819356045,24157.998055555527,8846676.779069858,9078875.718293663,1335976.2615338785,none
Joint regime area Japan / Korea,21796,347,35.68407681454927,496.1619556800607,344336.39724196214,381.78945261470176,264961.88011460303,21452.625555555554,8038331.399660951,8517084.632019002,1250294.8595442667,is_joint
Joint regime area Japan / Korea,21796,347,35.68407681454927,496.1619556800607,344336.39724196214,381.78945261470176,264961.88011460303,21452.625555555554,8038331.399660951,8517084.632019002,1250294.8595442667,is_joint
