mrgid,pol_type,geoname,iso_sov,x_cen,y_cen,iso_ter,name_ter,name_sov,region
21796,Joint regime,Joint regime area Japan / Korea,KOR,127.57808,30.81396,KOR,South Korea,South Korea,East Asia & Pacific
8327,200NM,South Korean Exclusive Economic Zone,KOR,127.57712,35.74071,KOR,South Korea,South Korea,East Asia & Pacific
48955,Overlapping claim,Overlapping claim Liancourt Rocks: Japan / South Korea,KOR,131.86633,37.24233,KOR,South Korea,South Korea,East Asia & Pacific
48954,Overlapping claim,Overlapping claim Senkaku Islands: Japan / China / Taiwan,TWN,124.12211,26.5208,TWN,Taiwan,Taiwan,East Asia & Pacific
8321,200NM,Taiwanese Exclusive Economic Zone,TWN,118.71458,21.42076,TWN,Taiwan,Taiwan,East Asia & Pacific
8332,200NM,Thailand Exclusive Economic Zone,THA,99.62868,9.16617,THA,Thailand,Thailand,East Asia & Pacific
21791,200NM,Oecussi Ambeno Exclusive Economic Zone,TLS,124.27075,-9.04989,TLS,Timor-Leste,Timor-Leste,East Asia & Pacific
8758,200NM,East Timorian Exclusive Economic Zone,TLS,126.8541,-9.78156,TLS,Timor-Leste,Timor-Leste,East Asia & Pacific
8449,200NM,Tokelau Exclusive Economic Zone,NZL,-172.08495,-8.63257,TKL,Tokelau,New Zealand,East Asia & Pacific
8448,200NM,Tongan Exclusive Economic Zone,TON,-174.76586,-20.22175,TON,Tonga,Tonga,East Asia & Pacific
8326,200NM,Tuvaluan Exclusive Economic Zone,TUV,74.28785,-7.81254,TUV,Tuvalu,Tuvalu,East Asia & Pacific
8443,200NM,Palmyra Atoll Exclusive Economic Zone,USA,-162.89881,6.68794,UMI,United States Minor Outlying Islands (the),United States,East Asia & Pacific
8452,200NM,Johnston Atoll Exclusive Economic Zone,USA,-169.50612,16.75109,UMI,United States Minor Outlying Islands (the),United States,East Asia & Pacific
8319,200NM,Wake Island Exclusive Economic Zone,USA,166.53046,19.50326,UMI,United States Minor Outlying Islands (the),United States,East Asia & Pacific
8442,200NM,Jarvis Island Exclusive Economic Zone,USA,-160.46839,-0.914,UMI,United States Minor Outlying Islands (the),United States,East Asia & Pacific
8451,200NM,Howland and Baker Islands Exclusive Economic Zone,USA,-176.72727,0.7913,UMI,United States Minor Outlying Islands (the),United States,East Asia & Pacific
8313,200NM,Vanuatu Exclusive Economic Zone,VUT,168.56883,-16.59488,VUT,Vanuatu,Vanuatu,East Asia & Pacific
48948,Overlapping claim,Overlapping claim Matthew and Hunter Islands: New Caledonia / Vanuatu,VUT,172.03655,-23.27911,VUT,Vanuatu,Vanuatu,East Asia & Pacific
8484,200NM,Vietnamese Exclusive Economic Zone,VNM,108.75813,11.61103,VNM,Vietnam,Vietnam,East Asia & Pacific
8454,200NM,Wallis and Futuna Exclusive Economic Zone,FRA,-172.77595,-12.79664,WLF,Wallis & Futuna,France,East Asia & Pacific
5670,200NM,Albanian Exclusive Economic Zone,ALB,19.113,40.92708,ALB,Albania,Albania,Europe & Central Asia
26524,200NM,Azerbaijanis Exclusive Economic Zone,AZE,50.33172,40.2835,AZE,Azerbaijan,Azerbaijan,Europe & Central Asia
3293,200NM,Belgian Exclusive Economic Zone,BEL,2.70504,51.46545,BEL,Belgium,Belgium,Europe & Central Asia
22491,200NM,Bosnian and Herzegovinian Exclusive Economic Zone,BIH,17.59256,42.91656,BIH,Bosnia & Herzegovina,Bosnia & Herzegovina,Europe & Central Asia
5672,200NM,Bulgarian Exclusive Economic Zone,BGR,29.20165,42.93396,BGR,Bulgaria,Bulgaria,Europe & Central Asia
5673,200NM,Croatian Exclusive Economic Zone,HRV,15.65218,43.43006,HRV,Croatia,Croatia,Europe & Central Asia
50167,Joint regime,Joint regime area Croatia / Slovenia,HRV,13.30933,45.4977,HRV,Croatia,Croatia,Europe & Central Asia
8376,200NM,Cypriote Exclusive Economic Zone,CYP,32.63526,34.48929,CYP,Cyprus,Cyprus,Europe & Central Asia
5674,200NM,Danish Exclusive Economic Zone,DNK,9.24983,56.14213,DNK,Denmark,Denmark,Europe & Central Asia
5675,200NM,Estonian Exclusive Economic Zone,EST,23.00232,58.77012,EST,Estonia,Estonia,Europe & Central Asia
8435,200NM,Faeroe Exclusive Economic Zone,DNK,-6.9969,62.5946,FRO,Faroe Islands,Denmark,Europe & Central Asia
48967,Joint regime,Joint regime area United Kingdom / Denmark (Faeroe Islands),DNK,-7.51858,60.03609,FRO,Faroe Islands,Denmark,Europe & Central Asia
48973,Joint regime,Joint regime area Iceland / Denmark (Faeroe Islands),DNK,-10.98204,63.15298,FRO,Faroe Islands,Denmark,Europe & Central Asia
5676,200NM,Finnish Exclusive Economic Zone,FIN,21.88919,61.75484,FIN,Finland,Finland,Europe & Central Asia
48946,Overlapping claim,Overlapping claim Ile Tromelin: Reunion / Madagascar / Mauritus,FRA,54.67305,-15.71127,FRA,France,France,Europe & Central Asia
48948,Overlapping claim,Overlapping claim Matthew and Hunter Islands: New Caledonia / Vanuatu,FRA,172.03655,-23.27911,FRA,France,France,Europe & Central Asia
8401,200NM,Clipperton Exclusive Economic Zone,FRA,-109.21728,10.30869,FRA,France,France,Europe & Central Asia
48966,Joint regime,Joint regime area Spain / France,FRA,-5.33333,45.25417,FRA,France,France,Europe & Central Asia
48976,Joint regime,Joint regime area Italy / France,FRA,9.04886,41.30715,FRA,France,France,Europe & Central Asia
5677,200NM,French Exclusive Economic Zone,FRA,-1.96613,46.04212,FRA,France,France,Europe & Central Asia
5678,200NM,Georgian Exclusive Economic Zone,GEO,40.56174,42.44625,GEO,Georgia,Georgia,Europe & Central Asia
5669,200NM,German Exclusive Economic Zone,DEU,8.3944,54.55354,DEU,Germany,Germany,Europe & Central Asia
8365,Overlapping claim,Overlapping claim Gibraltarian Exclusive Economic Zone,GIB,-5.21961,36.08832,GIB,Gibraltar,Gibraltar,Europe & Central Asia
5679,200NM,Greek Exclusive Economic Zone,GRC,23.93245,36.50714,GRC,Greece,Greece,Europe & Central Asia
8438,200NM,Greenlandic Exclusive Economic Zone,DNK,-31.97096,75.47965,GRL,Greenland,Denmark,Europe & Central Asia
21788,200NM,Guernsey Exclusive Economic Zone,GBR,-2.65845,49.63968,GGY,Guernsey,United Kingdom,Europe & Central Asia
5680,200NM,Icelandic Exclusive Economic Zone,ISL,-18.44845,64.69826,ISL,Iceland,Iceland,Europe & Central Asia
48973,Joint regime,Joint regime area Iceland / Denmark (Faeroe Islands),ISL,-10.98204,63.15298,ISL,Iceland,Iceland,Europe & Central Asia
48975,Joint regime,Joint regime area Iceland / Norway (Jan Mayen),ISL,-8.5,69.29167,ISL,Iceland,Iceland,Europe & Central Asia
5681,200NM,Irish Exclusive Economic Zone,IRL,-11.74631,52.65269,IRL,Ireland,Ireland,Europe & Central Asia
48976,Joint regime,Joint regime area Italy / France,ITA,9.04886,41.30715,ITA,Italy,Italy,Europe & Central Asia
