eez_ter_iso3,n_vessels,mean_length,mean_tonnage,tot_tonnage,mean_engine_power,tot_engine_power,fishing_hours,fishing_KWh,bad_subs,ugly_subs,eez_id
SLB,194,44.18526900525178,586.544673436653,143703.44499197998,1237.3246735523987,303144.5450203377,311275.24861111265,190018900.79590192,98343351.55254835,8779696.693987394,8314
FSM,284,49.63647487221741,727.3929954984948,257497.12040646715,1509.851547838475,534487.4479348201,199315.72916666645,190503935.32032496,201350154.90098056,19798482.682744298,8316
MRT,144,50.74954589871175,1352.2987220790271,297505.718857386,1617.6290379604177,355878.3883512919,165824.38277777782,99788914.96183217,110470790.72196677,6031812.753270965,8369
BRA,132,25.804372287741735,219.7691301990337,51645.74559677292,443.22969999387936,104158.97949856166,149574.04361111112,50755957.61437443,1292513.3884842545,56880.89921207753,8464
BRA,132,25.804372287741735,219.7691301990337,51645.74559677292,443.22969999387936,104158.97949856166,149574.04361111112,50755957.61437443,1292513.3884842545,56880.89921207753,8381
PNG,170,58.46964627946295,943.4583774092104,198126.2592559342,1915.8556170170295,402329.6795735762,143340.5336111111,168889155.9055293,251132147.2271973,12498819.252441164,8324
VUT,71,34.340524900677046,218.76830107538456,17501.464086030763,451.0948830518603,36087.590644148826,140198.5563888893,58094672.60128706,53708363.5327229,7621516.227399485,8313
VUT,71,34.340524900677046,218.76830107538456,17501.464086030763,451.0948830518603,36087.590644148826,140198.5563888893,58094672.60128706,53708363.5327229,7621516.227399485,48948
TWN,1987,27.57637183592315,195.70356819272638,419979.8573415908,347.2342401643788,745164.6793927569,139935.41833333333,40689961.96804169,39457286.41818778,4894291.221957063,8321
TWN,1987,27.57637183592315,195.70356819272638,419979.8573415908,347.2342401643788,745164.6793927569,139935.41833333333,40689961.96804169,39457286.41818778,4894291.221957063,48954
MUS,247,36.824565685536285,335.1217695484002,116622.37580284328,811.0753661931669,282254.2274352221,139724.81388888872,91604728.04620232,36359415.007352285,1319562.5323866333,8343
MUS,247,36.824565685536285,335.1217695484002,116622.37580284328,811.0753661931669,282254.2274352221,139724.81388888872,91604728.04620232,36359415.007352285,1319562.5323866333,8344
MUS,247,36.824565685536285,335.1217695484002,116622.37580284328,811.0753661931669,282254.2274352221,139724.81388888872,91604728.04620232,36359415.007352285,1319562.5323866333,48946
MDG,115,36.84534669130555,363.8833481704941,43666.00178045929,821.5443815310634,98585.3257837276,125186.31722222196,82046022.08873813,64716385.41746613,5095246.751732859,8348
ARG,247,55.56984593804744,919.3579348599716,339243.0779633295,1302.8948068039958,480768.18371067446,125117.88999999939,170120338.53254822,95024459.1326406,2300524.864929369,8466
ARG,247,55.56984593804744,919.3579348599716,339243.0779633295,1302.8948068039958,480768.18371067446,125117.88999999939,170120338.53254822,95024459.1326406,2300524.864929369,8389
ARG,247,55.56984593804744,919.3579348599716,339243.0779633295,1302.8948068039958,480768.18371067446,125117.88999999939,170120338.53254822,95024459.1326406,2300524.864929369,48961
ARG,247,55.56984593804744,919.3579348599716,339243.0779633295,1302.8948068039958,480768.18371067446,125117.88999999939,170120338.53254822,95024459.1326406,2300524.864929369,8383
NGA,77,28.147622589803966,199.69274494604682,30552.98997674516,599.8291493550948,91773.85985132951,124695.30277777779,74284233.38158154,1496532.8922914881,203535.51967747652,8474
NGA,77,28.147622589803966,199.69274494604682,30552.98997674516,599.8291493550948,91773.85985132951,124695.30277777779,74284233.38158154,1496532.8922914881,203535.51967747652,21797
SYC,167,50.918887681740294,779.3499625689668,141841.69318755195,1350.2943693792154,245753.5752270172,96924.98166666654,84544136.97340849,35484041.18742007,2409127.533296607,8337
AGO,94,50.14828083004279,1056.1690107094291,151032.16853144838,1552.8162804900328,222052.72811007468,96260.34555555615,65686154.08168916,49578718.24699356,2208822.9557387806,8478
PLW,112,27.682239348617014,208.5823102700794,27324.282645380405,647.8342761602606,84866.29017699414,89962.0261111111,35116078.77298202,16937463.97840047,930516.5404963025,8315
FLK,105,65.76049345620403,1093.6568729298954,142175.39348088639,1725.3190545829887,224291.47709578852,83436.1247222217,141034117.44387788,89510599.25392419,1581675.6715665057,8389
MHL,178,52.75886902239146,817.5557835654048,195395.83227213175,1590.9303275489335,380232.3482841951,83165.70805555547,41283500.191980876,35559473.05896276,3801537.8601913187,8318
GRL,77,57.33926239498055,2040.2975202956434,228513.32227311205,2345.18076886811,262660.2461132284,82991.23000000017,188547293.5808752,39719018.33600212,7281199.616742933,8438
MOZ,45,42.39366122194295,408.2617386811575,31436.153878449128,774.3981306821279,59628.65606252384,76316.25583333314,54578688.15413338,47240780.98461421,3378074.727910986,8347
KOR,2006,35.399181882797464,481.32962719385466,1039190.6651115322,521.5814994382347,1126094.4572871486,68192.06527777777,28486598.35374715,29520716.261374146,4238988.248084549,8327
KOR,2006,35.399181882797464,481.32962719385466,1039190.6651115322,521.5814994382347,1126094.4572871486,68192.06527777777,28486598.35374715,29520716.261374146,4238988.248084549,48955
KOR,2006,35.399181882797464,481.32962719385466,1039190.6651115322,521.5814994382347,1126094.4572871486,68192.06527777777,28486598.35374715,29520716.261374146,4238988.248084549,21796
