flag_iso3,n_vessels,mean_length,mean_tonnage,tot_tonnage,mean_engine_power,tot_engine_power,fishing_hours,fishing_KWh,bad_subs,ugly_subs
CHN,4615,34.041127983445605,383.78726052734,2492698.257125073,498.5154244440528,3237857.681764123,969607.6950000008,585129283.3195975,635287142.9815826,93259170.65780593
TWN,863,38.042504897184465,359.4235514537249,617130.2378460456,878.3878912684111,1508192.0093078618,699067.0636111114,600725562.0269027,178331369.342681,2498175.043276432
EU,954,38.454018674234945,696.6226389049888,1408570.9758658875,1024.408265045188,2071353.5119213704,586786.2702777782,535797776.5406547,282929458.7518404,16318347.956433753
NA,474,26.749570588708007,234.91495596358544,221289.8885176975,473.7929581593175,446312.96658607706,424600.7594444444,195926371.22281158,0,0
ESP,217,46.33979839620089,768.2626271509934,540856.8895142993,1146.5508899460815,807171.8265220413,254619.35361111126,180997714.64836058,170364407.61698633,1541910.6524970299
JPN,221,48.344135685775264,490.67058725108734,263490.10535383393,1029.2635372461493,552714.5195011821,209724.1863888884,175624046.99473077,243454561.69855914,20959324.27238242
RUS,352,70.70274977084377,2626.6988852123113,2148639.6881036707,2678.292785136967,2190843.4982420392,155380.78305555566,456906682.9401304,173287731.0505165,8222433.147531973
KOR,333,50.069264412276645,709.1049173810975,524028.533944631,1398.497583679099,1033489.7143388542,134846.52083333267,157520994.52548113,217210050.3317019,6716677.363734462
ITA,223,26.866806113593476,170.8623170565057,54505.079141025315,479.00464650737007,152802.48223585106,94087.99861111141,55370210.106270775,12838250.830763914,5345379.352198259
FRA,163,33.50984440679467,528.1653530278401,223942.10968380418,1033.2540649980162,438099.7235591589,90771.24388888884,59878898.284730166,10840189.883337054,1390106.6738749226
DNK,21,52.1567495071968,2016.9526740984397,125051.06579410327,2152.8770244059715,133478.37551317023,63662.73805555556,131166389.24210337,15996988.173761638,4984175.098055091
VUT,40,46.55995858346893,572.9815625521427,56725.174692662134,1111.5995694296894,110048.35737353926,54241.933333333174,36311800.8402656,2081535.150781286,0
FJI,23,35.98129320525334,197.2101456908805,9860.507284544025,444.9531263362706,22247.65631681353,47861.36111111109,20637540.68140969,3928625.8382524243,0
URY,45,30.05276336656963,271.8699178496944,20933.98367442647,526.3965723219075,40532.536068786874,35335.0641666666,21015115.93270273,57193.398130962094,0
USA,261,37.80274915899164,628.4169071548048,294727.52945560345,1231.1554163903068,577411.8902870539,32019.921666666683,57647411.45592093,64785276.26381158,6450248.631744904
SEN,38,41.65438971123478,651.0145832974932,51430.15208050197,1166.0448108424182,92117.54005655104,28874.257499999967,23813918.936569106,56142508.23733203,1891577.547205766
FSM,22,60.40933899169688,1227.580231291498,117847.70220398379,2219.1139222909796,213034.93653993405,28173.194444444474,26994209.452731162,3591268.890671269,0
GBR,90,24.81235372500531,281.88966780533053,36081.87747908231,579.5568248868149,74183.2735855123,27525.968055555564,10765230.748886907,1218656.9107534054,309176.5162493769
TUR,275,29.220236881046162,155.5262037337848,59099.95741883822,319.2425841057018,121312.18196016668,23231.359166666665,6897995.32703023,8404917.525780251,1341045.9342120178
NOR,59,50.85892075577254,1513.5492316432533,131678.78315296303,2220.083421993667,193147.257713449,21183.888888888865,42559454.100286685,17489823.09240772,1741616.8862482742
COK,12,28.652791350570517,156.69839848094168,5641.1423453139,540.4035655910354,19454.528361277276,20172.604999999967,11330670.237227228,0,0
NAM,16,42.489159051282144,651.29330104852545,20190.092332504286,1198.555710460084,37155.2270242626,18104.892222222294,11527976.686694587,3070322.5330662406,0
PNG,18,74.55247457954975,1613.0539427966542,195179.52707839513,2782.1889376321124,336644.86145348556,17676.499166666697,47960827.7961339,15352621.943907075,0
FRO,19,48.41523319779755,1370.6196296296296,37006.73,1758.4969628723084,47479.41799755233,14382.854722222197,29387076.301928088,3584033.339483547,1116675.8096722772
ISL,22,72.883196699136775,2311.9371082194,71670.0503548014,5479.276140516119,169857.56035599968,13713.550555555543,78239795.89721392,15236519.051848099,2361044.0863835355
MUS,10,34.27514415292435,554.7016460149388,12758.137858343593,1117.8164601821543,25709.77858418955,13270.678333333333,7317224.111525312,1046575.5528458474,75142.04597955837
ZAF,17,29.91885108151622,267.32767817178126,6950.519632466313,526.7501476354804,13695.50383852249,11500.868055555522,6134856.193729581,1527076.5048447822,0
PRT,23,42.124177445299694,652.2539533581033,32612.697667905166,891.5518262264735,44577.591311323675,11329.765555555528,5707346.264129288,2246079.3025162946,23185.966652470655
GRC,62,25.01896707615482,125.52828158443982,10293.319089924065,279.44825807537467,22914.757162180726,10393.400555555556,3666655.1181550766,5035026.267478097,362836.0209005924
DEU,5,118.58764705882353,6898.705882352941,117278,6178.020705882353,105026.352,9824.860555555706,37946168.00295387,16062401.446814401,324251.0382902837
PHL,17,67.54723163841525,1115.1962940852732,65796.58135103113,2453.062305919331,144730.67604924052,9513.693055555545,23484138.13797324,131812332.7751611,0
GHA,29,52.313540580115244,688.50537132276,44752.8491359794,1321.2975116263638,85884.33825571365,8695.674444444447,8727898.426520409,5186013.222343364,0
SYC,37,48.95535295092164,596.6220275815925,39973.6758479667,1167.3108185897,78209.8248455099,8675.595555555521,7504233.710821149,1511126.8673074304,0
BLZ,17,76.3758026954859,2730.1889084153677,180192.46795541426,3149.3917291743737,207859.85412550866,7057.104166666634,19141708.092357516,29320142.715712965,96015.20938310622
ALB,20,20.50214138983919,72.27316089412928,2674.1069530827835,310.08775042422883,11473.246765696467,7051.446666666666,2344855.1754270988,1320498.80341583,0
PAN,17,48.75450429868516,827.0112435166225,41350.562175831124,1493.290319283333,74664.51596416665,7019.6913888894005,6223793.967190687,10566529.349989416,0
CAN,107,26.75966340669001,370.77982173262933,53763.07415123125,692.3090562700443,100384.81315915642,6645.913333333337,3674282.1548413318,1648337.7895159228,2668480.7311735037
VNM,34,19.773699226574628,80.65290452383432,5403.7446030969,218.83086539584775,14661.6679815218,6454.3338888888875,1378537.6975863427,64115307.34516053,0
CUW,9,80.5551140538124,2330.2413793103447,135154,3790.0279549222923,219821.62138549297,5841.635000000003,21422113.255831398,6551016.248799672,659127.7111425061
MYS,13,26.66648865652555,107.65493841349806,3121.993213991444,566.0487897307149,16415.414902190732,5649.268611111097,3579835.296514804,16121136.43061902,1175607.7633823354
HKG,23,35.07056613112881,558.923352310011,20680.164035470407,571.747729266132,21154.665982846884,5296.016666666667,2199390.9909071745,112730832.30400002,0
CYP,4,57.44564540965715,1308.6923076923076,17013,1748.9798416031822,22736.73794084137,5220.648611111045,10654567.851203255,20537143.342592858,88132.79352190661
PSE,3,20.9006539801,101.81088540806999,509.05442704035,331.43862546646,1657.1931273323,4390.6708333333345,1247397.5396698676,0,0
MHL,8,68.39273382708947,3639.8914123691625,138315.87367002817,2502.333672429391,95088.67955231685,4378.737777777779,11376783.366903922,3474551.6973782466,0
LVA,14,52.091888888886665,912.3333333333334,27370,1130.2666666666667,33908,4353.140833333259,3951455.3366666012,6418645.938684597,188369.05844515082
IDN,12,24.895074824802183,174.19906822051928,3658.180432630905,277.04501147723596,5817.945241021955,4022.9508333333515,924985.2305670506,27067493.217405356,0
REU,11,61.16734625998118,1538.8243880818573,35392.96092588271,2503.6150266743434,57583.14561350989,3791.837777777777,2284268.607961634,413533.08367673657,53029.98431519582
MLT,29,24.557675353553275,135.94404809032142,5709.6500197935,411.3972159121139,17278.683068308783,3533.6833333333334,1188872.242023943,1697679.4682395228,331494.63675765635
KHM,1,51.53642028751818,693.1310899381181,1386.2621798762361,925.2305883489728,1850.4611766979456,3412.5633333333412,3157407.9806781393,7606529.385999999,930672.2241
MNG,3,29.745567513966666,241.45876003758332,1448.7525602255,389.10321632853334,2334.6192979712,3383.831111111111,1439114.118258059,0,0
KNA,8,62.94070353449976,1908.717831562008,38174.35663124017,2381.018383850473,47620.36767700946,3129.7983333333354,4990436.934831642,0,0
COM,4,55.708424546294445,1832.2350744824055,16490.11567034165,2040.1909694852834,18361.71872536755,2760.647500000002,2861165.2096568258,5782166.436635087,0
NLD,17,67.91886713947852,3455.8003620856257,107129.81122465439,2703.25029166289,83800.7590415496,2758.7947222222265,12325807.807314025,3769309.13682457,379247.43422807654
SLB,4,69.40305001546129,1432.0054412345542,44392.168678271184,2792.039022567274,86553.2096995855,2662.7847222222244,7565285.672283562,17033537.157239877,0
POL,30,27.676311228652423,598.9810746690855,23360.261912094335,675.7719969361331,26355.10788050919,2614.1136111110663,13494119.463475302,12886027.29163697,865454.5633254228
AUS,11,27.304330962340856,237.20105021517418,5692.82520516418,366.7915152439174,8802.996365854018,2523.827222222223,788926.7655664533,127667.53947502161,48002.30285671837
NGA,2,44.40174635463889,465.3333333333333,1396,1102.7899042418167,3308.36971272545,2340.626666666633,2965777.350617749,991809.8414545923,560917.1405769783
STP,1,25.29323135044,81.54110013946,163.08220027892,331.65344464214,663.30688928428,2146.1519444444443,711778.6851004267,284477.17790000007,0.004739999997904448
HUN,1,28.47297390045,171.28026103265,1027.6815661959,433.92531436355,2603.5518861813,2101.7483333333357,912001.8062547351,0,0
SLV,5,77.97596951798667,2037.4714112089,61124.142336267,3328.4377968474982,99853.13390542495,2018.6308333333338,6595850.0149887055,803181.7053378997,81185.6255991356
ARG,21,43.05676848690378,727.422310748533,27642.04780844426,1085.5871044638152,41252.30996962498,1912.6566666666681,857673.4793685611,395967.61529127334,39895.91824105481
CIV,2,50.55652906639126,673.8461538461538,8760,1112.91342167746,14467.87448180698,1836.970833333324,1681270.3134984109,3165918.1238671476,945.7482319886805
MAR,12,46.89784330577094,726.712099786406,13807.529895941714,706.7563247643523,13428.370170522694,1815.5319444444344,1294602.6981345608,2988021.1603195416,0
GNQ,14,17.63508179604839,70.62057925473226,2189.2379568967,189.88107107489193,5886.31320332165,1701.5705555555553,302099.195254814,22501.134624264632,9435.262554883519
KIR,10,70.72286132424584,1705.3917260858098,81858.80285211887,2802.259822221875,134508.47146665,1697.0619444444496,5097614.171646739,3894198.992109099,0
