fao_region,n_vessels,mean_length,mean_tonnage,tot_tonnage,mean_engine_power,tot_engine_power,fishing_hours,fishing_KWh,bad_subs,ugly_subs
77,783,43.89192589594232,540.7290560364012,423390.8508765021,1042.0884039638015,815955.2203036565,1371973.5847222328,1126939631.9655654,919449730.9987171,83099918.95899257
71,978,37.42893422484988,340.50065963754753,352418.18272486166,830.1729823718582,859229.0367548732,1041779.5325000025,648168986.1053596,427959978.9508979,30064022.24307499
51,596,40.47258009650109,463.96733891344354,276524.5339924123,874.7336708171126,521341.26780699915,1010383.4408333368,716459151.7928884,501375671.30024385,34073784.400633834
61,776,42.07857488765833,470.94901919051523,376759.2153524122,932.4862155187551,745988.972415004,680324.1255555548,499189194.1732902,490787059.9350414,47832772.85507882
87,570,52.67060647666188,787.5628415959209,448910.81970967486,1138.1887594094055,648767.5928633611,662909.3158333322,626838785.853553,630548106.5245275,80940800.67727931
41,577,58.144500857503246,967.5786259631615,558292.8671807442,1337.4014537155188,771680.6387938544,465263.15861111414,543277820.8597271,515778970.82704675,50889586.81389588
34,306,46.4149575349969,654.4897556128483,200273.8652175316,1079.3543108879685,330282.4191317184,328518.06472222204,292132946.8990754,219424380.102792,15014332.603410576
47,248,50.70312064004133,703.4560062841527,174457.0895584699,1095.1678043505963,271601.6154789479,229025.40555555682,171548705.94528028,152717860.99328807,10533394.538809191
27,373,52.23293397226331,1514.963589191685,565081.4187684986,2161.187631147991,806122.9864182005,208978.2852777777,435242542.878174,179397132.4585939,11063320.958878603
81,174,39.46672588799345,350.32990086378885,62709.0522546182,744.5925113592101,133282.0595332986,197514.65833333216,147695068.26566416,81495256.86168882,7692775.399538338
21,125,38.4229965832458,585.7937524399085,73224.21905498856,801.2460843179895,100155.76053974869,117678.27833333347,120509645.55493915,87298339.26147917,11811184.170437729
57,212,39.95205996421789,436.8245061434362,92606.79530240849,769.0611489319776,163040.96357357927,108770.7775000001,85638718.34191416,140118596.54330462,5811740.241174956
31,81,36.044827985086094,341.80353017867105,27686.085944472357,582.5016414619545,47182.63295841831,62744.21083333343,45297416.255843915,33383950.174812857,3504997.2865871745
67,113,38.677186807761466,431.32590687799325,48739.827477213235,805.5651330966422,91028.86003992056,7273.351666666662,4869307.535825545,5198358.685619514,777764.843420977
48,6,85.76227272727273,3694.479295439711,40639.272249836824,3421.0854545454545,37631.94,3921.5997222221295,15038962.746027261,17159172.878251456,1719401.9182992599
88,10,51.477116230053205,846.00936365123,10152.11236381476,1075.677607067212,12908.131284806543,3073.956666666729,3182992.9381397557,2375357.354503018,81130.14539756678
58,4,67.94984813888036,2748.5,10994,2239.7669256077124,8959.06770243085,220.59305555555508,934942.540786344,938900.5376710324,137516.42342427562
18,1,62.2,2062,2062,960.6055835489915,960.6055835489915,9.807500000000008,9421.139260656742,3573.088132317965,169.54159489606164
37,1,23.3919937855,67.6291973019,67.6291973019,211.6358230021,211.6358230021,1.716388888888889,363.24937509166,137.76699349219152,6.536988435700572
