eez_ter_iso3,eez_is_EU,flag_iso3,flag_is_EU,n_vessels,mean_length,mean_tonnage,tot_tonnage,mean_engine_power,tot_engine_power,fishing_hours,fishing_KWh,bad_subs,ugly_subs,eez_id_all
AGO,FALSE,BLZ,FALSE,2,84,2474,4948,3581.6094557450097,7163.218911490019,297.8516666666666,1097565.4989939013,1681186.282596815,5505.411569809066,8478
AGO,FALSE,CHN,FALSE,12,40.44361815858406,406.85249318794126,8543.902356946766,657.958989521351,13817.138779948371,10595.81861111111,5714156.412075411,6203979.539329437,910734.6071894823,8478
AGO,FALSE,CUW,FALSE,8,81.78426179074896,2400.75,19206,3866.8419352578667,30934.735482062933,1561.5258333333354,5579982.9881747905,1706393.7057474074,171688.0763016501,8478
AGO,FALSE,DJI,FALSE,1,18.5634094186,68.9014991793,137.8029983586,317.630745425,635.26149085,796.2758333333331,252921.68650557965,2691755.33666,0,8478
AGO,FALSE,ESP,TRUE,26,41.64375209864889,638.4138888888889,28728.625,1003.8209908188237,45171.944586847065,53538.966666667155,29711462.181168836,27965964.452994652,253110.4888667268,8478
AGO,FALSE,FRA,TRUE,9,62.2948,1483.3261921010692,14833.261921010693,2634.4,26344,1583.3380555555568,5102152.189166671,923669.2746291697,118448.00108980657,8478
AGO,FALSE,GEO,FALSE,2,71.41308461874999,4407,17628,2442.012897894125,9768.0515915765,320.8191666666667,695424.7583703056,1077504.4057276077,446573.3297492087,8478
AGO,FALSE,GTM,FALSE,2,79.8,2109,4218,3428.9868549808416,6857.973709961683,162.72722222222208,560430.3222869607,511526.712561909,0,8478
AGO,FALSE,IRL,TRUE,1,50.66974890866667,1180.0943647152333,2360.1887294304665,2318.5417615437,4637.0835230874,10.2875,23851.99837188081,10928.532930738076,76.62053209635653,8478
AGO,FALSE,JPN,FALSE,3,43.5225,450.54332772745056,1802.1733109098022,641.1104452577999,2564.4417810311998,3215.1366666666613,1821823.9823373547,2525459.1651971866,217420.1099816209,8478
AGO,FALSE,NAM,FALSE,9,50.61200741286087,901.9064594488757,12626.69043228426,1829.7377010035266,25616.32781404937,10533.050833333458,5729269.325194834,1525914.320025806,0,8478
AGO,FALSE,PRT,TRUE,1,61.42,1084,2168,1471,2942,1326.2880555555348,1950969.7297221916,767788.1325171966,7925.770927483666,8478
AGO,FALSE,RUS,FALSE,5,86.955,3041.95833333325,24335.666666666,3648.125,29185,1080.0597222222239,1611030.8272222236,611004.1440088901,28991.900906784504,8478
AGO,FALSE,SEN,FALSE,2,60.05,1309.5,2619,1648.265156580473,3296.530313160946,142.7194444444444,385760.68186697806,909450.1546361552,30641.585971548215,8478
AGO,FALSE,SLV,FALSE,2,78.103125,2044,4088,3246.97550197375,6493.9510039475,440.0547222222224,1438592.5017831288,175178.51016059943,17707.047912563685,8478
AGO,FALSE,STP,FALSE,1,25.29323135044,81.54110013946,163.08220027892,331.65344464214,663.30688928428,2146.1519444444443,711778.6851004267,284477.17790000007,0.004739999997904448,8478
AGO,FALSE,ZAF,FALSE,2,33.746255472365,395.083839347035,790.16767869407,650.9725645374104,1301.945129074821,45.006388888888885,26267.275899267115,6538.399369987665,0,8478
AGO,FALSE,NA,FALSE,6,29.405023276860607,166.87338516989092,1835.6072368688,423.6197367002356,4659.817103702591,8464.267222222223,3272713.0374484183,0,0,8478
ALB,FALSE,GRC,TRUE,8,23.71625,76.69070202953542,613.5256162362833,249.04874999999998,1992.3899999999999,502.7094444444444,115113.04991111108,158072.4696910118,11391.079781862469,5670
ALB,FALSE,ITA,TRUE,20,19.460626339895,52.3348644367811,1151.3670176091844,236.8259638672994,5210.171205080587,1048.0630555555556,239132.9942070322,55445.86801547652,23085.63697356913,5670
ALB,FALSE,MNE,FALSE,1,21.888384174575,159.802779128325,159.802779128325,310.342712668075,310.342712668075,9.9525,3088.685847829017,0,0,5670
ALB,FALSE,TUR,FALSE,1,26.516642250700002,371,742,359.66293526425,719.3258705285,617.214722222222,221989.25868275308,270484.58608349244,43157.146197055,5670
ARE,FALSE,CHN,FALSE,2,40.211898881975,563.0223331697666,1689.0669995092999,644.90004547825,1934.70013643475,31.311388888888892,20369.68382892666,22115.793230688152,3246.5642629781487,8360
ARE,FALSE,GHA,FALSE,1,61.98,994.5,1989,2059,4118,160.13861111111103,329725.40027777763,195918.9030416719,0,8360
ARE,FALSE,IRN,FALSE,5,57.148624247524,752.305849562455,3761.5292478122747,1302.857404002236,6514.28702001118,3.6016666666666666,4018.132991501809,6419.524617700373,0,8360
ARE,FALSE,KNA,FALSE,1,29.763550544125,231.02289192287498,231.02289192287498,527.327226230875,527.327226230875,1235.2858333333334,651399.8520939617,0,0,8360
ARE,FALSE,MNG,FALSE,1,27.52614787585,219.0722896465,219.0722896465,425.47748701265,425.47748701265,3015.8522222222223,1283177.2247126272,0,0,8360
ARE,FALSE,QAT,FALSE,8,19.07305949787262,71.0782554934658,781.8608104281238,226.31718077841452,2489.48898856256,142.9563888888889,28683.48695781142,2216.1166051514656,886.54664458163,8360
ARE,FALSE,SYC,FALSE,1,85.5,2446,2446,4586.242924376516,4586.242924376516,3.736111111111111,17134.713148017818,3450.4156452694356,0,8360
ARE,FALSE,NA,FALSE,4,23.48574864493611,155.43562279157777,932.6137367494667,316.489057086675,1898.9343425200502,1025.8883333333335,561359.9197158345,0,0,"8360,48947"
ARG,FALSE,AFG,FALSE,3,27.9807287171875,67.16368004815,268.6547201926,674.0708978128375,2696.28359125135,665.9208333333349,329629.335684119,0,0,8466
ARG,FALSE,BLZ,FALSE,1,59.68717426575,2251,2251,1782.6726311679,1782.6726311679,22.168888888888905,39519.871485624404,60534.21494436929,198.2325044963289,8466
ARG,FALSE,CHL,FALSE,4,66,1540.6783333333333,13866.105,1601.2177777777779,14410.960000000001,134.69250000000008,236906.24846666682,339834.246593215,9251.707439536282,"8466,8383,8389"
ARG,FALSE,CHN,FALSE,60,62.607725498402324,1376.466848874514,85340.94463021986,1369.1124551064104,84884.97221659745,331.2658333333333,447884.75649438147,486277.87986284104,71384.84114821676,"8466,8389,8383,48961"
ARG,FALSE,ESP,TRUE,28,57.595151235908624,1094.0848205321672,89714.95528363771,1235.9250888582221,101345.85728637422,31286.573611110885,42811126.92904738,40296046.239326544,364705.8902679826,"8389,48961,8466"
ARG,FALSE,FLK,FALSE,2,69.2457291758,1638.5,3277,2125.8170409807462,4251.6340819614925,0.19055555555555553,449.0273370617289,50.83126225455544,12.896027127689253,48961
ARG,FALSE,GBR,TRUE,1,60.82,1871,1871,2461.8,2461.8,0.585,1440.153,163.02970618383785,41.36107230698492,8466
ARG,FALSE,KOR,FALSE,32,57.13402581863116,711.243837278961,41252.14256217974,1333.0457990560565,77316.65634525126,16814.991944444315,21506674.681559198,29656147.766978066,917042.1723020701,"8466,48961,8389"
ARG,FALSE,NGA,FALSE,1,51.33422977563333,633,1266,1267.6950736095,2535.390147219,2337.749166666633,2963553.101918004,991066.0122693738,560496.4686676952,8466
ARG,FALSE,NOR,FALSE,2,64.22,2431.3333333333335,7294,2751.1833333333334,8253.55,199.96027777777863,1100616.1233055606,452298.5948998859,45039.384694860666,"48961,8389"
ARG,FALSE,PRT,TRUE,3,54.98,992.3333333333334,2977,1345.9488888886667,4037.846666666,16.640555555555554,44393.3134481481,17470.624330730985,180.34684379859843,"8466,48961"
ARG,FALSE,RUS,FALSE,1,68.64927249368183,987,987,2004.252668530982,2004.252668530982,726.256388888883,1455601.3054682182,552055.5005141139,26194.81148022727,8389
ARG,FALSE,TWN,FALSE,60,71.26314256665702,1007.0132170593025,64448.84589179536,1981.8986862956608,126841.51592292229,35756.81249999988,73576932.5276246,21842045.617991753,305976.7524810508,"8389,8466,48961"
ARG,FALSE,URY,FALSE,43,29.83641433931149,262.7007851307399,18651.755744282535,526.124296590899,37354.825057953836,34699.00055555549,20826722.13306459,56680.677591012965,0,"8466,8389"
ARG,FALSE,VUT,FALSE,3,76.07,998,2994,2248.6922432467636,6746.076729740291,2123.301388888863,4776153.581523865,273787.8963702517,0,8389
ARG,FALSE,NA,FALSE,3,61.91414984174444,927.5580436739001,2782.6741310217003,1281.2967883461222,3843.8903650383663,1.78,2735.44312079441,0,0,8466
ASM,FALSE,CHN,FALSE,2,35.445,246,492,562.97820345788125,1125.9564069157625,9.351388888888886,5512.832781122988,5985.398248034559,878.6472114776767,8444
ASM,FALSE,COK,FALSE,9,27.25114062905065,121.65704323381667,1338.2274755719834,481.57385385860107,5297.312392444612,97.34444444444445,44144.87853272704,0,0,8444
ASM,FALSE,TWN,FALSE,12,29.221788850186112,120.665634668925,2171.98142404065,643.4716870989333,11582.4903677808,159.53388888888887,104185.55035514211,30928.51883622904,433.26563445885137,8444
ASM,FALSE,VUT,FALSE,3,23.852280701733335,92.33333333333333,277,332.1001,996.3002999999999,66.1575,21972.63961575,1259.558068100995,0,8444
ATA,FALSE,CHL,FALSE,2,68.255,1789.0175,3578.035,1701.46,3402.92,10.312222222222227,15479.21144444445,22204.421340199457,604.4970810420464,8489
ATA,FALSE,KOR,FALSE,1,93.5,3123.08333333,3123.08333333,3602.5,3602.5,2.5711111111111085,9262.427777777768,12772.217505771347,394.9488712640237,8489
ATF,FALSE,AUS,FALSE,1,49.9,1362,1362,1200,1200,0.24,288,46.60540492932374,17.523379641973122,8387
ATF,FALSE,ESP,TRUE,3,57.68851917316111,716.25,2865,1850.9152019746307,7403.660807898523,14.894722222222226,49118.72435289071,46233.08307256609,418.44000331124334,"8340,8385,8339"
ATF,FALSE,FRA,TRUE,7,54.301727916770986,1144.8393708412561,18317.4299334601,1319.2152439381027,21107.443903009644,4987.475555555458,6036682.115756295,1092852.1110888703,140143.39504496494,"8386,8385,8387,8339,48944,8340,8341"
ATF,FALSE,JPN,FALSE,2,50.10666666666667,445.81570309884546,1337.4471092965364,740.5,2221.5,13.085277777777778,9689.648194444444,13432.039032003879,1156.3819537694583,"48944,8339"
ATF,FALSE,KOR,FALSE,1,50.1955,432.9839695487857,432.9839695487857,891.9,891.9,6.009722222222222,5360.07125,7391.150300321861,228.55283095013152,48944
ATF,FALSE,MOZ,FALSE,1,26.952386503742858,221.3584603191,221.3584603191,576.4482864248572,576.4482864248572,1.5919444444444446,917.6736470835714,336.3365939628786,0.054640111081721274,8340
ATF,FALSE,MUS,FALSE,1,24.068953749400002,136.98600694288334,273.97201388576667,470.1781744043167,940.3563488086334,4.17611111111111,1963.516298331804,280.8398545852481,20.163743753381453,"8340,8339"
ATF,FALSE,SYC,FALSE,3,54.599999999999994,939.75,3759,2383.651916649799,9534.607666599197,4.264166666666665,7840.619411046941,1578.8648255024445,0,"8340,8339,48944"
ATF,FALSE,TWN,FALSE,2,42.45,335,670,833.5461600290027,1667.0923200580055,2.611388888888889,2299.515274810627,682.6340240920624,9.562755498171377,"8386,48944"
ATG,FALSE,CAN,FALSE,1,33.98175721546,31,31,73.05722103834,73.05722103834,1.5566666666666666,113.7257407496826,51.01906392011634,82.59435041729027,8414
ATG,FALSE,KNA,FALSE,1,13.633708162657141,20.546714604357145,20.546714604357145,211.45770138712857,211.45770138712857,24.804444444444442,5245.090806406953,0,0,8414
AUS,FALSE,CHN,FALSE,1,40.17,316,316,749.865,749.865,3.1119444444444446,2333.5382208333335,2533.5714202186173,371.9243684721597,8323
AUS,FALSE,GBR,TRUE,1,17.9404552994,16,16,29.909350143500003,29.909350143500003,6.713888888888889,200.80805360233197,22.732083312076245,5.767190308856737,8323
AUS,FALSE,JPN,FALSE,2,49.025,402.7210266699178,1610.8841066796713,887.56350000025,3550.254000001,25.81638888888891,29121.953281299222,40369.59911370984,3475.4720251164395,8323
AUS,FALSE,NZL,FALSE,1,29.5564711457,111.3217609225,333.9652827675,458.2223844726,1374.6671534178001,99.51611111111106,45600.50972677352,5611.628268625193,0,8323
AUS,FALSE,PNG,FALSE,1,56.81292412552,952.52707839514,952.52707839514,1117.97385348558,1117.97385348558,0.6052777777777778,676.6847296514109,216.61187487657418,0,8323
AUS,FALSE,TWN,FALSE,2,56.075,603.5,1207,969.8000000000001,1939.6000000000001,5.394722222222221,5410.28211111111,1606.096158367649,22.499178662314716,8323
