year,eez_code,eez_territory_iso3,flag,lat_cen,lon_cen,fishing_hours,fishing_days,fishing_KWh,subs
2018,8445,WSM,CHN,-13.75,-171.65,13.88819444444444,5,7533.432802604166,5563.666127707254
2018,8445,WSM,CHN,-13.55,-171.75,5.454861111111111,3,3096.2173279694443,2286.649383225274
2018,8445,WSM,CHN,-13.65,-171.75,12.163194444444443,3,6897.312474230555,5093.872181593492
2018,8445,WSM,CHN,-13.65,-171.05,1.5043055555555556,1,876.5584109736111,647.364683256341
2018,8445,WSM,CHN,-13.75,-171.55,1.9001388888888888,1,1020.5420425736111,753.700914701889
2018,8445,WSM,CHN,-13.75,-171.75,31.718888888888895,9,19585.286710436114,14464.321794258383
2018,8445,WSM,CHN,-13.65,-171.25,10.062361111111112,2,5975.910585412501,4413.389244644694
2018,8445,WSM,CHN,-13.35,-171.15,2.030277777777778,1,1117.999379816667,825.676081976003
2018,8445,WSM,CHN,-13.85,-171.75,2.6302777777777777,2,1567.6455555555556,1157.7532721444445
2018,8445,WSM,CHN,-13.75,-171.45,4.613333333333332,3,2569.2681622624996,1897.481615875724
2018,8445,WSM,CHN,-13.65,-171.65,19.258055555555554,6,11031.891201420834,8147.382608985329
2018,8445,WSM,CHN,-13.65,-171.35,2.8256944444444443,1,1663.2207889375,1228.338449254012
2018,8445,WSM,CHN,-13.65,-171.55,4.123611111111111,1,2427.182365375,1792.5469923003986
2018,8445,WSM,CHN,-13.55,-171.55,4.689583333333333,1,3392.6540670208333,2505.5768081168962
2018,8445,WSM,CHN,-13.55,-171.35,2.2934722222222224,1,1349.9515796375001,996.979740109683
2018,8445,WSM,CHN,-13.85,-171.25,4.85125,1,2605.5487906625,1924.275948367976
2018,8445,WSM,CHN,-13.75,-171.35,5.41625,2,3002.444355695833,2217.3952300120436
2018,8445,WSM,COK,-12.65,-173.95,13.299305555555554,7,6743.110895020833,586.6506478668124
2018,8445,WSM,COK,-14.55,-172.85,45.40652777777776,19,23480.25977871388,2042.7826007481074
2018,8445,WSM,COK,-11.75,-173.55,39.35236111111111,16,21002.817066768053,1827.2450848088206
2018,8445,WSM,COK,-15.15,-172.05,23.69,15,12573.849392745833,1093.9248971688874
2018,8445,WSM,COK,-14.55,-171.95,13.702499999999997,8,7045.846206016666,612.9886199234498
2018,8445,WSM,COK,-13.45,-173.65,29.874444444444443,13,16876.761651816665,1468.2782637080497
2018,8445,WSM,COK,-11.95,-172.65,10.248888888888889,6,6143.270099756945,534.4644986788542
2018,8445,WSM,COK,-14.85,-172.65,46.015277777777776,21,24925.364335666665,2168.5066972029995
2018,8445,WSM,COK,-14.85,-171.65,14.28,9,7431.5620487,646.5458982368999
2018,8445,WSM,COK,-12.95,-172.85,22.61680555555556,6,11135.820493456946,968.8163829307542
2018,8445,WSM,COK,-11.45,-174.25,12.086250000000005,5,7371.207956887502,641.2950922492126
2018,8445,WSM,COK,-14.95,-171.85,41.5075,20,22710.181515694447,1975.7857918654167
2018,8445,WSM,COK,-11.95,-172.95,9.786249999999999,5,6332.775800926389,550.9514946805958
2018,8445,WSM,COK,-12.15,-173.45,6.230416666666667,4,3501.7350149458334,304.6509463002875
2018,8445,WSM,COK,-15.35,-172.05,20.170555555555556,14,10963.34324107361,953.810861973404
2018,8445,WSM,COK,-14.05,-173.55,34.56069444444444,14,18487.961635576383,1608.4526622951453
2018,8445,WSM,COK,-11.85,-173.05,16.282500000000002,7,9007.846056925002,783.682606952475
2018,8445,WSM,COK,-14.95,-172.75,4.215138888888889,3,2075.404941973611,180.56022995170414
2018,8445,WSM,COK,-12.95,-171.05,23.095416666666665,12,14027.508452791668,1220.3932353928749
2018,8445,WSM,COK,-15.05,-171.75,31.466250000000002,18,17042.084781879166,1482.6613760234873
2018,8445,WSM,COK,-12.75,-172.95,4.258611111111111,3,2096.8093291638884,182.42241163725828
2018,8445,WSM,COK,-11.65,-173.95,49.57444444444444,25,27764.835308015274,2415.5406717973287
2018,8445,WSM,COK,-12.45,-172.75,13.803333333333331,6,8507.748295470832,740.1741017059624
2018,8445,WSM,COK,-14.65,-171.55,5.2169444444444455,4,2788.562240205556,242.60491489788333
2018,8445,WSM,COK,-14.35,-173.05,17.413194444444443,9,9947.64762384861,865.445343274829
2018,8445,WSM,COK,-12.35,-172.85,11.606388888888889,4,7759.731775679167,675.0966644840876
2018,8445,WSM,COK,-14.85,-172.75,39.655416666666675,20,20456.44818960695,1779.7109924958042
2018,8445,WSM,COK,-12.35,-173.85,1.3783333333333334,1,678.6490047166667,59.042463410349995
2018,8445,WSM,COK,-14.65,-172.05,12.15722222222222,8,6501.584043043054,565.6378117447456
2018,8445,WSM,COK,-12.95,-173.45,31.916527777777773,14,18235.006866808333,1586.4455974123248
2018,8445,WSM,COK,-12.45,-173.75,19.54958333333333,7,10820.952295701387,941.4228497260207
2018,8445,WSM,COK,-12.35,-173.65,15.60902777777778,7,8018.4277320902775,697.6032126918542
2018,8445,WSM,COK,-14.45,-172.95,25.07597222222223,10,13163.735057333337,1145.2449499880004
2018,8445,WSM,COK,-12.45,-173.85,5.706944444444444,4,2809.924184180555,244.46340402370828
2018,8445,WSM,COK,-11.85,-174.05,12.870833333333334,7,7155.605471295833,622.5376760027375
2018,8445,WSM,COK,-11.45,-173.45,23.96597222222222,14,13409.322911590274,1166.6110933083537
2018,8445,WSM,COK,-12.05,-173.45,6.4975000000000005,3,3551.8761763583334,309.013227343175
2018,8445,WSM,COK,-11.55,-174.25,25.86347222222224,13,15325.215107906954,1333.2937143879049
