year,eez_code,eez_territory_iso3,flag,lat_cen,lon_cen,fishing_hours,fishing_days,fishing_KWh,subs
2018,8477,COD,AGO,-6.15,11.55,30.062499999999996,17,15857.444496291664,11456.527925235836
2018,8477,COD,AGO,-6.15,11.450000000000001,46.37444444444445,12,22550.737193994442,16292.231100545168
2018,8477,COD,AGO,-6.050000000000001,11.350000000000001,87.44805555555551,32,44029.59465644164,31810.061251439387
2018,8477,COD,AGO,-6.15,11.350000000000001,307.2887499999998,66,151424.4887119971,109399.65035975656
2018,8477,COD,AGO,-6.250000000000001,11.350000000000001,404.7977777777777,82,198107.28377529024,143126.56930913392
2018,8477,COD,AGO,-6.15,11.750000000000002,65.45152777777774,26,33931.10069706526,24514.202320608736
2018,8477,COD,AGO,-6.3500000000000005,11.55,7.185277777777777,10,3512.213343458333,2537.4687742483416
2018,8477,COD,AGO,-6.250000000000001,11.450000000000001,40.62194444444444,13,19774.259299359717,14286.309116008415
2018,8477,COD,AGO,-6.250000000000001,11.750000000000002,50.468055555555594,22,25966.668142580573,18760.138732970187
2018,8477,COD,AGO,-6.3500000000000005,11.350000000000001,250.12222222222232,81,121549.21375744032,87815.6604633379
2018,8477,COD,AGO,-6.250000000000001,11.650000000000002,56.9226388888889,21,30275.685141359725,21873.27424407816
2018,8477,COD,AGO,-6.250000000000001,11.55,38.469722222222224,19,21593.266842647223,15600.487495807338
2018,8477,COD,AGO,-6.15,11.650000000000002,31.954861111111118,22,18065.397001598612,13051.70737174495
2018,8477,COD,AGO,-6.050000000000001,11.750000000000002,4.152222222222221,9,2407.9155569388886,1739.6467524216387
2018,8477,COD,AGO,-6.050000000000001,11.450000000000001,2.3561111111111113,1,1539.115470227778,1111.9647537754627
2018,8477,COD,AGO,-6.050000000000001,11.650000000000002,1.8758333333333337,1,1225.3768887583335,885.2980408212331
2018,8477,COD,AGO,-6.050000000000001,11.55,13.196944444444446,7,8105.292311969445,5855.830536628565
2018,8477,COD,ESP,-6.3500000000000005,11.55,1.0218055555555554,1,586.445250786111,473.3903353395646
2018,8477,COD,ESP,-6.3500000000000005,11.350000000000001,186.36847222222227,54,86287.18288500281,69652.73976843196
2018,8477,COD,ESP,-6.250000000000001,11.350000000000001,34.10458333333335,10,15802.034753491676,12755.718493713553
2018,8477,COD,ESP,-6.45,10.150000000000002,6.530555555555558,1,2064.8310555555563,1666.7729246655563
2018,8477,COD,ESP,-6.45,10.05,5.365416666666669,2,1696.4374416666674,1369.3982316621673
2018,8477,COD,ESP,-6.15,11.350000000000001,11.417500000000002,5,5151.961400000001,4158.7662813080005
2018,8477,COD,ESP,-6.45,10.250000000000002,1.8930555555555557,1,858.8414444444445,693.2739907844445
2018,8477,COD,ESP,-6.050000000000001,11.350000000000001,4.243194444444446,4,1925.0524555555562,1553.9408431735562
2018,8477,COD,NAM,-6.15,11.450000000000001,3.2729166666666667,1,2107.346109479167,899.9210825919833
2018,8477,COD,NAM,-6.3500000000000005,11.55,1.574583333333333,2,776.8584145166665,331.74961733519723
2018,8477,COD,NAM,-6.3500000000000005,11.350000000000001,2.751111111111111,2,1357.3265832888887,579.632744127687
2018,8477,COD,NAM,-6.15,11.350000000000001,2.2288888888888883,1,1435.1237158888885,612.8552316331909
2018,8477,COD,NAM,-6.250000000000001,11.450000000000001,1.9313888888888888,1,1243.5711860138888,531.0546392753711
2018,8477,COD,NAM,-6.050000000000001,11.350000000000001,1.6347222222222222,1,1052.5552178472221,449.48318022947774
2018,8477,COD,NAM,-6.050000000000001,11.450000000000001,4.160555555555556,1,2678.873755805556,1143.9862486792044
2018,8477,COD,UNK,-6.250000000000001,11.650000000000002,676.5316666666666,127,259188.46031314996,NA
2018,8477,COD,UNK,-6.050000000000001,11.750000000000002,154.9713888888889,71,55036.05716424166,NA
2018,8477,COD,UNK,-6.050000000000001,11.55,600.446111111111,102,231112.8322221583,NA
2018,8477,COD,UNK,-6.15,11.650000000000002,1403.3691666666666,184,551099.8306457,NA
2018,8477,COD,UNK,-6.15,11.750000000000002,591.6888888888891,134,219449.36406976674,NA
2018,8477,COD,UNK,-5.95,11.850000000000001,39.372083333333336,11,14772.942345025,NA
2018,8477,COD,UNK,-6.050000000000001,11.950000000000001,135.37013888888887,42,54618.85672846666,NA
2018,8477,COD,UNK,-6.250000000000001,11.450000000000001,12.764444444444443,4,3344.512162133333,NA
2018,8477,COD,UNK,-6.15,11.450000000000001,97.49375,21,32686.446664049996,NA
2018,8477,COD,UNK,-5.95,11.650000000000002,2.843055555555555,5,1220.9217209166663,NA
2018,8477,COD,UNK,-6.250000000000001,11.55,709.9747222222222,114,276500.96762726665,NA
2018,8477,COD,UNK,-5.95,11.750000000000002,132.86069444444445,24,45483.24311745833,NA
2018,8477,COD,UNK,-6.3500000000000005,11.55,44.53375,25,14446.309803149998,NA
2018,8477,COD,UNK,-6.15,12.150000000000002,3.433472222222222,3,899.6309753666666,NA
2018,8477,COD,UNK,-6.050000000000001,11.650000000000002,489.5568055555556,138,193140.7434473167,NA
2018,8477,COD,UNK,-6.050000000000001,12.05,19.884722222222223,9,5433.986065616667,NA
2018,8477,COD,UNK,-6.250000000000001,11.750000000000002,102.03472222222221,38,31430.48071564166,NA
2018,8477,COD,UNK,-6.050000000000001,12.250000000000002,3.0988888888888892,3,1330.7867824666669,NA
2018,8477,COD,UNK,-6.15,12.05,46.49638888888889,13,12634.365088666666,NA
2018,8477,COD,UNK,-6.050000000000001,11.450000000000001,79.90430555555557,18,33836.36895381667,NA
