year,eez_code,flag,lat_cen,lon_cen,fishing_hours,fishing_KWh,subs
2018,8473,NA,2.25,-6.8500000000000005,2.1590277777777773,NA,NA
2018,8473,BLZ,2.25,-4.550000000000001,2.0893055555555553,3401.9472940472297,6659.9922175562615
2018,8473,BLZ,2.25,-7.250000000000001,5.68263888888889,21864.76712308149,42804.65459685663
2018,8473,BLZ,2.25,-7.050000000000001,2.662777777777778,4335.71319028608,8488.025712623059
2018,8473,BLZ,2.25,-7.3500000000000005,2.1462499999999998,8258.004310227987,16166.69503813333
2018,8473,CIV,2.25,-5.15,1.7881944444444446,1521.9382544380276,37758.359710272256
2018,8473,CIV,2.25,-6.550000000000001,1.9558333333333333,1664.6162717667032,41298.11428660613
2018,8473,CIV,2.25,-6.15,1.5956944444444443,1358.1008625427958,33693.65395816061
2018,8473,CIV,2.25,-6.45,1.6393055555555553,1395.2184246316144,34614.51803187133
2018,8473,CIV,2.25,-6.8500000000000005,1.3469444444444445,1146.388908080776,28441.209512250123
2018,8473,CUW,2.25,-5.3500000000000005,6.3758333333333335,19094.580915050337,0
2018,8473,CUW,2.25,-4.3500000000000005,1.1305555555555555,4528.8972076371765,0
2018,8473,CUW,2.25,-5.750000000000001,1.0920833333333335,5582.6046118282175,0
2018,8473,CUW,2.25,-4.550000000000001,2.840833333333333,11380.106079239657,0
2018,8473,CUW,2.25,-4.45,12.45361111111111,49887.972606879004,0
2018,8473,CUW,2.25,-4.8500000000000005,1.639027777777778,6565.78819991724,0
2018,8473,CUW,2.25,-6.750000000000001,1.8174999999999994,7280.730818076177,0
2018,8473,ESP,2.25,-5.95,1.4902777777777778,4353.268300000001,21639.922588568003
2018,8473,FRA,2.25,-7.050000000000001,5.528194444444445,20325.968055555557,70900.63525202777
2018,8473,FRA,2.25,-5.3500000000000005,7.690277777777776,27992.611111111106,97643.26622555553
2018,8473,FRA,2.25,-5.8500000000000005,4.993055555555556,16092.512083333333,56133.57879884166
2018,8473,FRA,2.25,-5.15,4.213888888888889,13025.130555555555,45433.99990127778
2018,8473,FRA,2.25,-5.95,2.7045833333333333,7379.947916666666,25742.58672395833
2018,8473,FRA,2.25,-7.250000000000001,11.625416666666666,37678.85916666667,131430.64296798332
2018,8473,FRA,2.25,-6.050000000000001,1.5731944444444443,5785.177777777778,20179.741420888888
2018,8473,FRA,2.25,-5.050000000000001,1.954444444444444,6098.526944444443,21272.759717072215
2018,8473,FRA,2.25,-5.250000000000001,2.47875,9022.65,31472.627276999996
2018,8473,FRA,2.25,-6.15,1.080138888888889,3962.2530555555554,13821.051863327777
2018,8473,FRA,2.25,-6.750000000000001,4.468750000000001,13812.906250000004,48181.90332312501
2018,8473,FRA,2.25,-5.65,7.580833333333333,28690.779166666667,100078.60207358333
2018,8473,FRA,2.25,-5.750000000000001,11.219027777777779,35348.26472222222,123301.11003876111
2018,8473,FRA,2.25,-5.550000000000001,6.0525,23725.8,82759.86104399999
2018,8473,FRA,2.25,-6.550000000000001,5.371944444444445,16372.186944444446,57109.13505587222
2018,8473,FRA,2.25,-4.3500000000000005,4.7018055555555565,14533.280972222225,50694.70002168612
2018,8473,FRA,2.25,-4.15,2.3899999999999997,7050.499999999999,24593.413089999995
2018,8473,FRA,2.25,-7.3500000000000005,5.820555555555556,17969.05638888889,62679.30311459444
2018,8473,FRA,2.25,-3.95,1.7047222222222222,6682.511111111111,23309.801607555553
2018,8473,FRA,2.25,-6.65,6.854166666666665,21186.22916666666,73901.3808545833
2018,8473,FRA,2.25,-4.45,1.4372222222222222,4442.453888888889,15496.078806144445
2018,8473,GCA,2.25,-3.95,4.460277777777777,15576.439747830304,0
2018,8473,GCA,2.25,-3.8500000000000005,5.43125,18967.325040135274,0
2018,8473,GHA,2.25,-6.65,1.1504166666666666,2363.336818291037,39534.15826342248
2018,8473,GHA,2.25,-5.15,2.1391666666666667,4394.556763892135,73512.62894763166
2018,8473,GHA,2.25,-6.050000000000001,2.2690277777777776,5081.395370136924,85002.14070514118
2018,8473,GHA,2.25,-4.25,2.093472222222222,5660.796040869501,94694.41885922951
2018,8473,GHA,2.25,-5.050000000000001,1.2993055555555557,2909.7419163635263,48674.48284853987
2018,8473,GHA,2.25,-5.3500000000000005,10.884444444444442,23348.657752394487,390578.91523440776
2018,8473,GHA,2.25,-5.45,4.576250000000001,9401.133022560834,157263.18732603014
2018,8473,GHA,2.25,-5.750000000000001,3.038194444444444,6241.457551625792,104407.78848392692
2018,8473,GHA,2.25,-6.750000000000001,4.743333333333333,9744.377522428527,163005.01907671188
2018,8473,GTM,2.25,-5.8500000000000005,2.374722222222222,7992.640424586762,13132.707481638508
2018,8473,GTM,2.25,-6.65,1.3124999999999998,4417.502164717796,7258.397806847811
2018,8473,GTM,2.25,-6.550000000000001,5.211666666666665,17540.989548028632,28821.599926365845
2018,8473,NA,2.75,-4.750000000000001,2.1581944444444443,NA,NA
2018,8473,NA,2.75,-5.250000000000001,1.00625,NA,NA
2018,8473,NA,2.75,-5.15,1.5143055555555558,NA,NA
2018,8473,NA,2.75,-6.250000000000001,1.5329166666666665,NA,NA
2018,8473,NA,2.75,-6.3500000000000005,5.861944444444444,NA,NA
2018,8473,BLZ,2.75,-5.3500000000000005,4.917916666666665,18922.388831997847,37044.360616402184
2018,8473,BLZ,2.75,-4.65,9.18666666666667,14958.346195403845,29283.954346742106
2018,8473,CIV,2.75,-5.250000000000001,1.99,1693.6956356961598,42019.55556728395
2018,8473,CIV,2.75,-5.3500000000000005,1.3422222222222224,1142.369809001095,28341.498115733677
2018,8473,CIV,2.75,-5.15,2.739305555555556,2331.432092604367,57841.40804393786
2018,8473,CIV,2.75,-4.95,2.573055555555555,2189.9361632403024,54330.98034893233
2018,8473,CIV,2.75,-4.8500000000000005,2.7738888888888895,2360.866082923207,58571.647389014186
2018,8473,CUW,2.75,-6.250000000000001,10.223194444444443,54623.61095442193,0
2018,8473,CUW,2.75,-5.3500000000000005,1.1420833333333333,4575.076380638883,0
2018,8473,CUW,2.75,-5.45,1.7422222222222223,9308.877903083521,0
2018,8473,CUW,2.75,-5.050000000000001,2.4699999999999998,13197.471669996597,0
2018,8473,CUW,2.75,-6.3500000000000005,1.7211111111111108,9196.078999921156,0
2018,8473,CUW,2.75,-5.550000000000001,4.9054166666666665,26210.160926260112,0
2018,8473,CUW,2.75,-7.15,3.541527777777777,18922.758103533695,0
2018,8473,FRA,2.75,-7.050000000000001,3.7537499999999997,13813.441666666666,48183.77095283332
2018,8473,FRA,2.75,-7.15,4.487499999999999,15419.754027777777,53786.87760461388
2018,8473,FRA,2.75,-7.45,3.5697222222222225,12987.2275,45301.78722095
2018,8473,FRA,2.75,-6.250000000000001,5.272222222222221,15553.055555555553,54251.85732777777
2018,8473,FRA,2.75,-5.250000000000001,8.855416666666667,27372.09291666667,95478.78707005833
2018,8473,FRA,2.75,-6.3500000000000005,2.8805555555555555,8735.595972222223,30471.331158386114
2018,8473,FRA,2.75,-5.15,4.1466666666666665,14594.515416666669,50908.29678610834
2018,8473,FRA,2.75,-5.3500000000000005,2.5429166666666667,7768.370416666667,27097.474320008332
2018,8473,FRA,2.75,-3.95,2.1425,6320.375,22046.6056675
2018,8473,FRA,2.75,-7.250000000000001,3.2434722222222216,10307.011388888888,35952.710986494436
