year,eez_code,eez_territory_iso3,flag,lat_cen,lon_cen,fishing_hours,fishing_days,fishing_KWh,subs
2018,8409,DOM,USA,18.450000000000003,-68.25,4.037777777777778,2,3657.489005044445,3828.9886644909793
2018,8409,DOM,USA,18.85,-68.35000000000001,18.06583333333333,11,16362.819287579163,17130.071883973753
2018,8409,DOM,USA,18.05,-69.05000000000001,5.320555555555556,2,4894.182396102778,5123.670608656037
2018,8409,DOM,USA,18.85,-68.25,20.945416666666663,8,22512.512182616665,23568.123878859562
2018,8409,DOM,USA,18.35,-68.95,3.7336111111111108,2,3866.2632523277775,4047.5523362294275
2018,8409,DOM,USA,17.950000000000003,-69.05000000000001,1.873888888888889,1,1940.4666245222222,2031.4551045460694
2018,8409,DOM,USA,18.25,-68.85000000000001,3.2511111111111113,2,8661.302407022224,9067.430876887496
2018,8409,DOM,USA,18.950000000000003,-68.55000000000001,1.2831944444444445,1,1077.9525103458334,1128.4977035559496
2018,8409,DOM,USA,18.950000000000003,-68.35000000000001,3.891666666666666,3,3525.1390314166665,3690.4328005997945
2018,8409,DOM,USA,18.25,-68.95,1.3669444444444445,1,3065.7226630722225,3209.4743987436796
