year,eez_code,eez_territory_iso3,flag,lat_cen,lon_cen,fishing_hours,fishing_days,fishing_KWh,subs
2018,8337,SYC,CHN,-7.250000000000001,49.95,7.619583333333334,2,6896.133459816668,5093.001444078403
2018,8337,SYC,CHN,-10.85,52.45,5.213333333333333,3,5388.314310666667,3979.4317678566536
2018,8337,SYC,CHN,-2.2500000000000004,53.65,6.242222222222223,3,4558.944488811111,3366.91727332167
2018,8337,SYC,CHN,-2.7500000000000004,52.15,2.2041666666666666,1,1415.8575893749999,1045.6533054811187
2018,8337,SYC,CHN,-2.45,54.05,14.324027777777777,7,10130.601633695833,7481.753224533383
2018,8337,SYC,CHN,-11.35,50.65,17.537361111111117,11,15483.804126911116,11435.253861847668
2018,8337,SYC,CHN,-6.750000000000001,48.05,7.000555555555556,4,6322.152414197223,4669.099222457075
2018,8337,SYC,CHN,-7.050000000000001,47.85,7.09,5,5135.480999179166,3792.70678232379
2018,8337,SYC,CHN,-8.15,56.75,2.805416666666667,1,1610.587828704167,1189.4674291328884
2018,8337,SYC,CHN,-3.6500000000000004,57.25,4.385555555555555,2,4549.331937836111,3359.8181160501035
2018,8337,SYC,CHN,-3.95,58.15,4.529027777777778,4,5148.957684759724,3802.6597189255986
2018,8337,SYC,CHN,-2.0500000000000003,58.25,2.8561111111111113,1,2031.3606738166668,1500.220798433823
2018,8337,SYC,CHN,-2.6500000000000004,55.75,10.265416666666667,5,7777.2941647541675,5743.765059495895
2018,8337,SYC,CHN,-6.750000000000001,58.85,9.332916666666666,6,8944.615690565277,6605.867025953174
2018,8337,SYC,CHN,-2.7500000000000004,55.65,3.453888888888889,2,2436.6437693041667,1799.5345229442062
2018,8337,SYC,CHN,-10.75,53.45,6.058750000000001,3,4739.195870933334,3500.038326560395
2018,8337,SYC,CHN,-10.85,52.35,13.91652777777778,7,14157.587526000001,10455.80311557678
2018,8337,SYC,CHN,-2.3500000000000005,55.25,4.767916666666667,2,3283.6290652875,2425.058573586777
2018,8337,SYC,CHN,-10.05,49.55,7.681666666666667,7,7502.551456359721,5540.8593270653455
2018,8337,SYC,CHN,-8.15,55.85,11.008750000000001,6,9239.363469711112,6823.547103285748
2018,8337,SYC,CHN,-8.65,45.25,5.94888888888889,4,5559.251503011112,4105.674012518797
2018,8337,SYC,CHN,-6.550000000000001,48.25,4.09875,2,3328.838721309722,2458.447260848869
2018,8337,SYC,CHN,-9.15,44.35,1.524166666666667,2,1316.8742191305557,972.5511170544894
2018,8337,SYC,CHN,-9.25,49.15,6.0495833333333335,3,4665.413375908333,3445.5477405095817
2018,8337,SYC,CHN,-11.25,51.35,5.711805555555555,9,4687.594271547222,3461.92899736577
2018,8337,SYC,CHN,-8.549999999999999,54.25,6.463194444444444,3,5255.749770181944,3881.528877772471
2018,8337,SYC,CHN,-9.45,45.45,4.631805555555556,2,4083.433152794445,3015.7378863332815
2018,8337,SYC,CHN,-9.65,52.75,1.9309722222222225,3,1511.9033076861112,1116.5859498254238
2018,8337,SYC,CHN,-1.95,56.65,2.1266666666666665,2,2270.8753492652777,1677.1095716928855
2018,8337,SYC,CHN,-8.15,47.05,1.8612499999999998,2,1764.8004135555552,1303.3580494231842
2018,8337,SYC,CHN,-9.45,48.95,5.574027777777778,4,4321.615323452777,3191.64256482958
2018,8337,SYC,CHN,-6.3500000000000005,45.35,3.5341666666666667,3,2833.2552035625004,2092.4439654870134
2018,8337,SYC,CHN,-11.15,52.45,11.893611111111111,7,11783.174692358334,8702.2280055474
2018,8337,SYC,CHN,-11.15,50.65,6.140416666666666,7,6018.825506399999,4445.083201241591
2018,8337,SYC,CHN,-5.250000000000001,57.95,4.674027777777778,2,5225.522387983334,3859.2050491973314
2018,8337,SYC,CHN,-9.35,45.65,3.9615277777777775,2,3638.0596123513888,2686.816165509871
2018,8337,SYC,CHN,-5.050000000000001,50.65,2.062638888888889,1,2009.0840377444445,1483.7688343954046
2018,8337,SYC,CHN,-6.65,59.25,10.620972222222221,5,9732.19629146389,7187.518927134826
2018,8337,SYC,CHN,-6.8500000000000005,58.45,12.869027777777777,6,10675.748513538889,7884.360549703875
2018,8337,SYC,CHN,-9.25,52.15,2.4055555555555554,1,1940.8907466666667,1433.4060431357334
2018,8337,SYC,CHN,-8.75,55.25,1.0159722222222223,1,819.7237766666667,605.3906007816333
2018,8337,SYC,CHN,-7.15,58.75,8.593055555555555,5,6350.3001120222225,4689.887141731772
2018,8337,SYC,CHN,-3.3500000000000005,51.65,2.7470833333333333,1,1903.84313855,1406.0452731133316
2018,8337,SYC,CHN,-9.45,48.35,2.8372222222222216,1,2519.664365922222,1860.8477241645385
2018,8337,SYC,CHN,-1.45,53.05,1.0279166666666666,1,1001.2275916333332,739.4366132489656
2018,8337,SYC,CHN,-5.95,57.95,1.8116666666666668,1,2130.52,1573.4529356
2018,8337,SYC,CHN,-10.45,48.95,12.29375,6,11783.809973147221,8702.697179468418
2018,8337,SYC,CHN,-9.35,48.45,4.581388888888889,3,4265.320964976389,3150.067492264013
2018,8337,SYC,CHN,-11.75,52.25,2.0065277777777775,1,1954.4298089888885,1443.4050468325638
2018,8337,SYC,CHN,-11.85,51.85,11.639444444444445,10,10894.635855229164,8046.015418162397
2018,8337,SYC,CHN,-7.95,44.05,6.755138888888888,4,5248.7291870875,3876.3439665397314
2018,8337,SYC,CHN,-9.65,49.15,4.872777777777778,3,4348.7367178,3211.6725281968343
2018,8337,SYC,CHN,-6.750000000000001,46.65,9.812083333333332,5,7933.87805176111,5859.406957567133
