year,eez_code,eez_territory_iso3,flag,lat_cen,lon_cen,fishing_hours,fishing_days,fishing_KWh,subs
2018,8314,SLB,CHN,-5.8500000000000005,162.95000000000002,6.8313888888888945,1,16076.91956466668,11873.287406093283
2018,8314,SLB,CHN,-5.250000000000001,163.25000000000003,4.92625,1,11593.385516999999,8562.06300587001
2018,8314,SLB,CHN,-5.750000000000001,163.35000000000002,1.7523611111111113,1,4123.988414333334,3045.689163637597
2018,8314,SLB,CHN,-5.750000000000001,163.25000000000003,6.720416666666665,1,15815.758690999995,11680.412266064226
2018,8314,SLB,CHN,-5.250000000000001,163.35000000000002,4.430833333333333,1,10427.477085999999,7701.00465232358
2018,8314,SLB,CHN,-5.8500000000000005,163.35000000000002,1.8720833333333329,1,4405.7414469999985,3253.772230852909
2018,8314,SLB,CHN,-5.8500000000000005,163.05,1.2999999999999998,1,3059.4064799999996,2259.4634676744
2018,8314,SLB,CHN,-6.050000000000001,162.45000000000002,4.598749999999999,3,6318.65,4666.512584499999
2018,8314,SLB,CHN,-5.250000000000001,162.55,1.0381944444444446,2,873.46,645.0764138000001
2018,8314,SLB,CHN,-6.15,162.35000000000002,3.0280555555555555,2,2746.975,2028.7234467499998
2018,8314,SLB,CHN,-7.15,168.05,2.2388888888888894,1,6448.000000000002,4762.041440000002
2018,8314,SLB,CHN,-7.050000000000001,168.05,2.31263888888889,1,6660.400000000002,4918.9052120000015
2018,8314,SLB,CHN,-6.15,162.15000000000003,4.491111111111111,1,12934.399999999998,9552.442431999998
2018,8314,SLB,CHN,-6.050000000000001,162.35000000000002,7.01652777777778,1,20207.600000000006,14923.918828000005
2018,8314,SLB,CHN,-6.050000000000001,162.25000000000003,1.1755555555555557,1,3385.6000000000004,2500.367168
2018,8314,SLB,CHN,-6.15,162.45000000000002,5.477916666666666,4,3228.7999999999997,2384.5656639999997
2018,8314,SLB,CHN,-6.95,167.35000000000002,9.575694444444446,4,16395.223793666668,12108.364628336645
2018,8314,SLB,CHN,-10.05,170.15000000000003,22.49527777777778,16,11329.37886455139,8367.086172837138
2018,8314,SLB,CHN,-7.8500000000000005,168.25000000000003,5.957222222222222,1,14019.664822666666,10353.943061484013
2018,8314,SLB,CHN,-9.55,169.85000000000002,3.8224999999999993,1,8995.831745999998,6643.691619373379
2018,8314,SLB,CHN,-6.750000000000001,167.45000000000002,1.3212499999999998,1,3109.4160089999996,2296.3970051267697
2018,8314,SLB,CHN,-7.95,167.65000000000003,4.518472222222222,3,6275.326614,4634.51696423742
2018,8314,SLB,CHN,-9.95,170.05,26.892500000000002,19,18306.598877999997,13519.97246936934
2018,8314,SLB,CHN,-8.549999999999999,166.95000000000002,11.494583333333335,8,13838.413196444448,10220.083297970117
2018,8314,SLB,CHN,-6.8500000000000005,167.25000000000003,3.079444444444444,2,7247.132529333332,5352.224786888546
2018,8314,SLB,CHN,-9.55,168.55,21.162638888888893,9,29715.735229444454,21945.961939001612
2018,8314,SLB,CHN,-7.3500000000000005,166.85000000000002,15.535972222222222,9,17335.332765444444,12802.663307263685
2018,8314,SLB,CHN,-7.050000000000001,167.05,0.28791666666666665,1,677.5800889999999,500.41322312917
2018,8314,SLB,CHN,-7.8500000000000005,167.95000000000002,4.489583333333335,3,8255.42123866667,6096.876247392495
2018,8314,SLB,CHN,-7.250000000000001,167.15000000000003,2.5829166666666667,3,3377.5651903333337,2494.433220016877
2018,8314,SLB,CHN,-7.65,167.15000000000003,4.702083333333332,6,2910.097509666666,2149.1943138141232
2018,8314,SLB,CHN,-7.250000000000001,167.25000000000003,10.597222222222225,2,21840.825116777785,16130.104573493898
2018,8314,SLB,CHN,-7.750000000000001,168.15000000000003,1.35,2,1596.4088072222225,1178.995796397828
2018,8314,SLB,CHN,-7.550000000000001,166.35000000000002,11.246805555555557,7,10240.946426000002,7563.24616399378
2018,8314,SLB,CHN,-7.750000000000001,167.05,10.063472222222222,4,17668.190437555553,13048.488683847903
2018,8314,SLB,CHN,-7.8500000000000005,168.35000000000002,4.7219444444444445,1,11112.574947333333,8206.969975854086
2018,8314,SLB,CHN,-7.45,166.25000000000003,4.721388888888889,5,5160.9525838888885,3811.518311779461
2018,8314,SLB,CHN,-7.95,167.45000000000002,11.728055555555557,7,9047.241970666666,6681.659612596454
2018,8314,SLB,CHN,-6.8500000000000005,167.35000000000002,4.564305555555555,2,10440.538534666666,7710.650924007373
2018,8314,SLB,CHN,-7.15,167.05,4.4743055555555555,1,10529.784161666666,7776.561496915683
2018,8314,SLB,CHN,-7.95,167.55,6.892222222222222,5,8378.956972999998,6188.111093269691
2018,8314,SLB,CHN,-7.15,167.15000000000003,3.2936111111111095,1,7751.15013533333,5724.456909447724
2018,8314,SLB,CHN,-6.8500000000000005,168.05,2.4375,2,2633.2085233333332,1944.7034907373666
2018,8314,SLB,CHN,-7.8500000000000005,168.15000000000003,2.3251388888888886,2,4329.7388556666665,3197.642037075503
2018,8314,SLB,CHN,-7.550000000000001,166.25000000000003,15.269861111111114,7,14696.600541333333,10853.880397790906
2018,8314,SLB,CHN,-7.8500000000000005,167.85000000000002,10.688472222222224,3,15560.920357000003,11492.206511255212
2018,8314,SLB,CHN,-6.95,168.05,3.9606944444444436,1,9321.05711433333,6883.880310648595
2018,8314,SLB,CHN,-9.55,169.75000000000003,5.199999999999999,3,9775.835239999999,7219.7475997972
2018,8314,SLB,CHN,-7.750000000000001,167.75000000000003,10.75972222222222,7,9639.379870444443,7118.971215719335
