year,eez_code,eez_territory_iso3,flag,lat_cen,lon_cen,fishing_hours,fishing_KWh,subs
2018,8348,MDG,CHN,-22.45,42.25,29.351666666666677,21673.798996666672,1422.5236741478893
2018,8348,MDG,CHN,-22.35,42.25,24.564999999999998,18139.23817,1190.5386652243333
2018,8348,MDG,CHN,-22.25,42.25,23.71333333333334,17510.35217333333,1149.2627809764444
2018,8348,MDG,CHN,-22.650000000000002,42.25,5.176666666666666,3822.543846666666,250.8862944695555
2018,8348,MDG,CHN,-22.75,42.25,3.4150000000000005,2521.69747,165.50741061433334
2018,8348,MDG,CHN,-15.45,44.25,10.801666666666662,7976.145096666666,523.5009898445554
2018,8348,MDG,CHN,-15.35,44.25,31.911666666666665,23564.14907666668,1546.5936510652223
2018,8348,MDG,CHN,-14.45,46.25,59.501666666666644,41475.90807759998,2722.202100159813
2018,8348,MDG,CHN,-14.75,46.25,32.83333333333333,23395.946544533337,1535.553958206205
2018,8348,MDG,CHN,-14.65,46.25,5.4316666666666675,4010.840436666667,263.2448273265556
2018,8348,MDG,CHN,-14.85,46.25,49.16999999999999,36308.01306,2383.015923838
2018,8348,MDG,CHN,-14.95,46.25,36.698333333333345,27098.70990333334,1778.5786599887776
2018,8348,MDG,CHN,-14.55,46.25,58.06833333333335,40476.796541600015,2656.627079680347
2018,8348,MDG,CHN,-14.35,46.25,14.461666666666666,10080.570695199996,661.6214566282932
2018,8348,MDG,CHN,-24.85,48.25,81.00333333333332,50955.68222345001,3344.3912765991017
2018,8348,MDG,CHN,-27.150000000000002,48.25,23.71333333333334,19128.071504933334,1255.4390931071246
2018,8348,MDG,CHN,-25.05,48.25,28.838333333333352,19022.716975166655,1248.5243241367718
2018,8348,MDG,CHN,-25.75,48.25,21.135,17247.96133605,1132.041195689415
2018,8348,MDG,CHN,-27.95,48.25,77.33166666666669,46697.47471388334,3064.9109237212097
2018,8348,MDG,CHN,-27.45,48.25,273.04833333333323,220251.1123546333,14455.814674209101
2018,8348,MDG,CHN,-24.95,48.25,8.443333333333333,5041.922990666666,330.9182122874222
2018,8348,MDG,CHN,-21.95,48.25,22.118333333333325,19894.801613500003,1305.762145899383
2018,8348,MDG,CHN,-27.25,48.25,76.68166666666666,57826.988940966665,3795.3780408254456
2018,8348,MDG,CHN,-27.35,48.25,268.23166666666674,194038.99474436656,12735.426021721933
2018,8348,MDG,CHN,-24.75,48.25,6.991666666666663,4449.99990405,292.06832703581506
2018,8348,MDG,CHN,-27.55,48.25,107.54333333333331,86748.51995553332,5693.594526414837
2018,8348,MDG,CHN,-27.75,48.25,190.46833333333328,125106.0476925333,8211.12693021994
2018,8348,MDG,CHN,-25.35,48.25,11.170000000000002,6670.147628,437.7840226510667
2018,8348,MDG,CHN,-25.150000000000002,48.25,11.601666666666667,7936.146767166668,520.8757661517054
2018,8348,MDG,CHN,-21.85,48.25,422.1716666666666,338362.97238320013,22207.889754084023
2018,8348,MDG,CHN,-27.650000000000002,48.25,88.705,64467.06333493334,4231.188256882791
2018,8348,MDG,CHN,-25.25,48.25,22.789999999999996,15589.551917000003,1023.1942574857666
2018,8348,MDG,CHN,-27.05,48.25,13.10333333333333,10569.644234733336,693.7209832729977
2018,8348,MDG,CHN,-21.75,48.25,2.0933333333333333,1415.8458448,92.92668228037334
2018,8348,MDG,CHN,-27.85,48.25,256.7366666666666,159470.04269581664,10466.550468935435
2018,8348,MDG,CHN,-21.35,50.25,27.41333333333334,19108.589004800004,1254.1603916817069
2018,8348,MDG,CHN,-11.95,50.25,7.794999999999999,5732.188571200001,376.22264322309337
2018,8348,MDG,CHN,-20.150000000000002,50.25,67.91166666666666,52896.84328279999,3471.796147461105
2018,8348,MDG,CHN,-21.25,50.25,104.28666666666666,70589.08450693336,4632.996913138391
2018,8348,MDG,CHN,-22.650000000000002,50.25,44.139999999999986,31466.226697533348,2065.2333455814382
2018,8348,MDG,CHN,-20.05,50.25,138.77666666666676,103590.31250343334,6798.9775106420075
2018,8348,MDG,CHN,-18.45,50.25,137.845,95183.42129708326,6247.20521779857
2018,8348,MDG,CHN,-17.65,50.25,140.86999999999998,109065.08275680008,7158.304931604641
2018,8348,MDG,CHN,-20.45,50.25,66.98499999999999,52559.6744137,3449.6666306858433
2018,8348,MDG,CHN,-22.95,50.25,12.388333333333335,7397.673428666669,485.5339660348224
2018,8348,MDG,CHN,-19.35,50.25,5.571666666666668,4371.799446766668,286.9357703561189
2018,8348,MDG,CHN,-11.65,50.25,27.338333333333342,19018.468809200007,1248.2455028438267
2018,8348,MDG,CHN,-21.55,50.25,13.881666666666666,10670.390038183332,700.333266172766
2018,8348,MDG,CHN,-23.150000000000002,50.25,23.945000000000004,14298.718438000005,938.4725534807334
2018,8348,MDG,CHN,-18.55,50.25,91.6716666666667,63619.150753416645,4175.536927782579
2018,8348,MDG,CHN,-22.75,50.25,44.87666666666665,30957.116095566667,2031.818719739026
2018,8348,MDG,CHN,-17.45,50.25,63.16000000000002,41109.643306000005,2698.1629223171335
2018,8348,MDG,CHN,-21.05,50.25,75.64166666666675,55542.54011340005,3645.442049442821
2018,8348,MDG,CHN,-20.55,50.25,31.471666666666668,20554.23196313332,1349.0427578469844
2018,8348,MDG,CHN,-19.85,50.25,36.418333333333344,28575.58770903334,1875.5110733028878
2018,8348,MDG,CHN,-18.05,50.25,52.55333333333332,41519.125589316645,2725.0386095121507
2018,8348,MDG,CHN,-21.45,50.25,30.714999999999993,18341.413105999996,1203.8080801904666
