year,eez_code,eez_territory_iso3,flag,lat_cen,lon_cen,fishing_hours,fishing_KWh,subs
2018,8475,CMR,CHN,3.25,9.750000000000002,87.59166666666664,76623.93305958335,5029.084139810653
2018,8475,CMR,CHN,3.25,9.55,38.028333333333336,33266.64029341666,2183.400491257915
2018,8475,CMR,CHN,3.25,9.450000000000001,304.30333333333346,371598.5703985834,24389.25283716035
2018,8475,CMR,CHN,3.25,9.650000000000002,163.61500000000004,155396.16966215012,10199.168602159114
2018,8475,CMR,CHN,3.75,9.15,1155.541666666667,1313606.0516700842,86216.34385794644
2018,8475,CMR,CHN,3.75,9.450000000000001,4662.431666666672,4466480.193432083,293149.983362259
2018,8475,CMR,CHN,3.75,9.350000000000001,9249.685000000012,9083153.586841824,596157.6470830508
2018,8475,CMR,CHN,3.75,9.250000000000002,8654.820000000002,9100798.035510343,597315.7110639957
2018,8475,CMR,CHN,3.75,9.55,798.6066666666666,537153.6393640334,35255.18386359273
2018,8475,CMR,CHN,3.65,9.350000000000001,10529.79833333334,10268358.000008497,673946.5634005577
2018,8475,CMR,CHN,3.65,9.55,1754.7549999999999,1512279.313797616,99255.93229558358
2018,8475,CMR,CHN,3.65,9.450000000000001,6036.780495649997,6198089.322794508,406801.2625527462
2018,8475,CMR,CHN,3.65,9.250000000000002,1440.6266666666652,1504938.4698113333,98774.1282352838
2018,8475,CMR,CHN,4.05,9.650000000000002,5.0183333333333335,4389.965986916667,288.1281009412972
2018,8475,CMR,CHN,3.55,9.350000000000001,2331.1883333333312,2295960.657906782,150691.55118061518
2018,8475,CMR,CHN,3.55,9.55,3267.8816666666653,3334673.32189178,218865.7256934974
2018,8475,CMR,CHN,3.55,9.450000000000001,3799.875000000002,3757435.0751272673,246612.98876418624
2018,8475,CMR,CHN,3.55,9.650000000000002,31.345000000000013,41434.78692425003,2719.503181794941
2018,8475,CMR,CHN,2.45,9.750000000000002,1995.0083333333332,787800.5215652497,51705.9742320659
2018,8475,CMR,CHN,2.45,9.650000000000002,373.07166666666654,147320.71474114995,9669.149577510809
2018,8475,CMR,CHN,3.45,9.55,1941.381666666665,1985915.1768352678,130342.23277295468
2018,8475,CMR,CHN,3.45,9.650000000000002,945.4450000000004,1048857.2602731513,68839.99818259444
2018,8475,CMR,CHN,3.45,9.350000000000001,95.9316666666667,105190.90592298341,6904.029792078473
2018,8475,CMR,CHN,3.45,9.450000000000001,1321.13,1284695.1652450832,84318.8260122523
2018,8475,CMR,CHN,3.95,9.05,54.923333333333325,48488.82425996666,3182.4831655958114
2018,8475,CMR,CHN,3.95,9.55,138.97666666666672,121574.79368483339,7979.358958847898
2018,8475,CMR,CHN,3.95,9.250000000000002,787.4549999999994,754913.1241210505,49547.464713144924
2018,8475,CMR,CHN,3.95,9.15,2350.638333333335,2357531.039280617,154732.62054478447
2018,8475,CMR,CHN,3.35,9.450000000000001,316.25833333333344,375779.73473401665,24663.676589709296
2018,8475,CMR,CHN,3.35,9.650000000000002,1203.4216666666664,1341471.9629851007,88045.27650392207
2018,8475,CMR,CHN,3.35,9.55,1000.1149999999996,920751.8049800666,60432.01013352505
2018,8475,CMR,CHN,3.35,9.350000000000001,27.225000000000012,25283.501989649998,1659.4405139206951
2018,8475,CMR,CHN,3.85,9.450000000000001,410.2166666666666,470141.01603763306,30856.922019270016
2018,8475,CMR,CHN,3.85,9.55,583.7116666666664,718006.3444851825,47125.14974304416
2018,8475,CMR,CHN,3.85,9.250000000000002,8920.789999999999,9002403.011884943,590857.7176800482
2018,8475,CMR,CHN,3.85,9.350000000000001,237.89000000000019,163884.75024324996,10756.30244096531
2018,8475,CMR,CHN,3.85,9.15,3092.0466666666644,3122165.396455533,204918.12218736485
2018,8475,CMR,NLD,4.15,8.350000000000001,14.758333333333333,26082.001958833338,898.335280194835
2018,8475,CMR,UNK,3.75,9.55,19.682500000000008,4798.48094367778,NA
2018,8475,CMR,UNK,3.75,9.450000000000001,39.35124999999999,9896.220916454165,NA
2018,8475,CMR,UNK,3.75,9.250000000000002,24.788333333333334,6523.863147930555,NA
2018,8475,CMR,UNK,3.75,9.350000000000001,32.746944444444445,8333.840001405555,NA
2018,8475,CMR,UNK,3.75,9.15,22.418888888888887,5465.715470988888,NA
2018,8475,CMR,UNK,4.25,8.350000000000001,2.077777777777778,1004.9085786666668,NA
2018,8475,CMR,UNK,4.25,8.65,4.940833333333334,1688.0462323083334,NA
2018,8475,CMR,UNK,4.25,8.750000000000002,56.12152777777778,17791.962621595834,NA
2018,8475,CMR,UNK,4.25,8.950000000000001,5.058333333333334,1233.165896861111,NA
2018,8475,CMR,UNK,4.25,8.850000000000001,30.751666666666665,8357.061638780557,NA
2018,8475,CMR,UNK,3.65,9.15,4.587638888888889,1118.4643884263887,NA
2018,8475,CMR,UNK,3.65,9.55,11.693333333333333,2850.8296385333333,NA
2018,8475,CMR,UNK,3.65,9.450000000000001,31.44763888888889,8213.019542870834,NA
2018,8475,CMR,UNK,3.65,9.250000000000002,21.4875,5306.283842475,NA
2018,8475,CMR,UNK,3.65,9.350000000000001,15.203750000000001,3817.9113341958337,NA
2018,8475,CMR,UNK,4.05,8.950000000000001,3.0988888888888892,755.507778588889,NA
2018,8475,CMR,UNK,4.05,9.05,3.2968055555555553,803.6888954986111,NA
2018,8475,CMR,UNK,4.55,8.450000000000001,16.42222222222222,7942.539461333333,NA
2018,8475,CMR,UNK,3.55,9.450000000000001,51.72430555555555,14341.163480706942,NA
2018,8475,CMR,UNK,3.55,9.55,21.10888888888889,5376.291550288889,NA
