year,eez_code,eez_territory_iso3,flag,lat_cen,lon_cen,fishing_hours,fishing_KWh,subs
2018,8391,LBR,AGO,4.25,-13.35,4.6627777777777775,2027.3045771611112,178.82853675138165
2018,8391,LBR,AGO,4.25,-13.25,8.515833333333335,3702.5542965583345,326.6023144994107
2018,8391,LBR,BLZ,2.25,-9.45,11.446666666666669,44042.689620533325,8531.068979497306
2018,8391,LBR,BLZ,2.75,-11.05,7.657777777777779,25389.941686266662,4918.031704629853
2018,8391,LBR,BLZ,2.75,-9.15,45.17777777777778,173827.97126488888,33670.47803400898
2018,8391,LBR,BLZ,2.75,-10.95,9.095555555555556,30157.00270513334,5841.4114239843275
2018,8391,LBR,BLZ,2.75,-10.75,30.778888888888893,102049.73514963336,19767.033698483978
2018,8391,LBR,BLZ,2.75,-10.85,32.032222222222224,106205.25665603335,20571.95821427366
2018,8391,LBR,BLZ,3.25,-10.75,11.236666666666666,43234.68454013334,8374.558395423828
2018,8391,LBR,BLZ,3.25,-11.45,14.006666666666662,53892.65631493332,10439.007528202585
2018,8391,LBR,BLZ,3.25,-10.85,20.830000000000002,80146.4086892,15524.359363098043
2018,8391,LBR,BLZ,3.75,-12.05,8.001111111111113,26528.289332966673,5138.529643795645
2018,8391,LBR,BLZ,3.75,-9.25,27.817777777777785,107032.88461848887,20732.2697506013
2018,8391,LBR,BLZ,4.25,-12.45,16.302222222222216,54051.251366933335,10469.727389774986
2018,8391,LBR,BLZ,4.25,-12.35,6.003333333333334,19904.505938899998,3855.5028003649304
2018,8391,LBR,BLZ,4.75,-10.95,2.813333333333333,10824.702981866665,2096.7449675875737
2018,8391,LBR,BLZ,1.7500000000000002,-9.25,15.871111111111107,61066.37337795553,11828.556523309991
2018,8391,LBR,BLZ,1.7500000000000002,-9.35,32.175555555555555,123800.05882657776,23980.071394708113
2018,8391,LBR,BLZ,1.7500000000000002,-9.45,29.618888888888883,113962.91760964446,22074.617140988128
2018,8391,LBR,BLZ,1.7500000000000002,-9.65,1.8822222222222218,7242.119609511109,1402.7985683623021
2018,8391,LBR,BLZ,2.15,-7.550000000000001,4.036666666666666,13383.873787899998,2592.45635271623
2018,8391,LBR,BLZ,2.65,-10.75,10.031111111111109,33258.90794306667,6442.250468572012
2018,8391,LBR,BLZ,2.65,-8.549999999999999,10.512222222222222,40447.28077071111,7834.638285286743
2018,8391,LBR,BLZ,2.65,-8.45,42.423333333333325,163229.85171826664,31617.622277828243
2018,8391,LBR,BLZ,2.65,-10.85,23.714444444444442,78627.03502756667,15230.056684839665
2018,8391,LBR,BLZ,3.15,-10.75,8.25,31743.056730000004,6148.630088600999
2018,8391,LBR,BLZ,3.65,-9.25,59.345555555555556,228340.52565737773,44229.55981983408
2018,8391,LBR,BLZ,3.65,-12.15,4.59,15218.4923253,2947.8219634106104
2018,8391,LBR,BLZ,4.55,-13.05,2.4344444444444444,8071.584769966668,1563.4659699425436
2018,8391,LBR,BLZ,1.4500000000000002,-8.85,34.03333333333333,112840.09196899997,21857.1258143953
