year,eez_code,eez_territory_iso3,flag,lat_cen,lon_cen,fishing_hours,fishing_days,fishing_KWh,subs
2018,8448,TON,AUS,-21.55,-174.65,4.001805555555556,3,1185.7898108472223,207.3116326304199
2018,8448,TON,AUS,-20.25,-175.65,2.7362499999999996,4,810.7883616249999,141.75012926289875
2018,8448,TON,AUS,-20.85,-174.65,0.7743055555555555,1,229.4373440972222,40.11253086851736
2018,8448,TON,AUS,-19.75,-175.45,0.9005555555555556,1,266.8469487222222,46.65285204510611
2018,8448,TON,AUS,-22.150000000000002,-173.55,1.1194444444444442,1,331.7067252777777,57.99228678031388
2018,8448,TON,AUS,-19.650000000000002,-176.15,6.995694444444446,4,2072.920104902778,362.40862194015267
2018,8448,TON,AUS,-21.55,-176.75,7.142222222222223,2,2116.338292888889,369.9994237457645
2018,8448,TON,AUS,-20.85,-173.75,1.5695833333333333,1,465.0890449583333,81.31151773006542
2018,8448,TON,AUS,-21.150000000000002,-176.55,1.6433333333333333,1,486.9421803333333,85.13210138767667
2018,8448,TON,AUS,-19.150000000000002,-175.15,0.5804166666666666,1,171.98541004166663,30.06820923758458
2018,8448,TON,AUS,-19.650000000000002,-175.85,4.03,2,1194.144211,208.77223240913003
2018,8448,TON,AUS,-21.150000000000002,-174.05,2.4722222222222223,2,732.5533138888889,128.07229586719444
2018,8448,TON,AUS,-22.150000000000002,-173.65,0.6622222222222223,1,196.2255168888889,34.30610711768445
2018,8448,TON,AUS,-19.95,-175.35,0.8922222222222222,1,264.3776678888889,46.22114767701444
2018,8448,TON,AUS,-19.35,-175.25,2.2276388888888885,2,660.0799214305554,115.40177266370401
2018,8448,TON,AUS,-20.650000000000002,-174.05,12.903749999999999,3,3823.557906374999,668.4726287715412
2018,8448,TON,AUS,-20.85,-172.75,0.36944444444444446,1,109.47145027777778,19.13889365206389
2018,8448,TON,AUS,-20.85,-173.45,3.5591666666666666,2,1054.6298439166667,184.38093561195086
2018,8448,TON,AUS,-20.650000000000002,-176.55,2.147916666666667,2,636.4571347916668,111.27180087562712
2018,8448,TON,AUS,-20.650000000000002,-174.45,1.4819444444444443,2,439.1204415277777,76.77142679230138
2018,8448,TON,AUS,-21.05,-175.85,2.794861111111111,2,828.1556368194443,144.78644998514346
2018,8448,TON,AUS,-19.85,-175.35,2.343611111111111,3,694.4440796944444,121.40965845297973
2018,8448,TON,AUS,-20.35,-172.65,2.5018055555555554,1,741.3192608472222,129.60484637391986
2018,8448,TON,AUS,-21.75,-174.85,2.5386111111111114,2,752.2252511944445,131.51154066632475
2018,8448,TON,AUS,-22.95,-176.65,0.9897222222222222,2,293.26825363888884,51.27208878368694
2018,8448,TON,AUS,-21.650000000000002,-174.65,0.15402777777777776,1,45.640540736111106,7.979335736894305
2018,8448,TON,AUS,-20.650000000000002,-176.45,2.2223611111111112,2,658.5160435694445,115.12835989724599
2018,8448,TON,AUS,-22.95,-176.75,1.676388888888889,2,496.7369943055555,86.84452871444027
2018,8448,TON,AUS,-21.05,-174.15,3.599027777777777,4,1066.4412372361107,186.44592150598925
2018,8448,TON,AUS,-21.75,-176.25,0.9256944444444445,1,274.29594590277776,47.95516022218264
2018,8448,TON,AUS,-20.55,-176.05,5.911666666666667,2,1751.7078231666667,306.25107872422836
2018,8448,TON,AUS,-20.95,-174.45,3.684861111111111,3,1091.8748298194444,190.89247649733346
2018,8448,TON,AUS,-20.35,-175.55,0.5823611111111111,2,172.56157556944444,30.168940256805975
2018,8448,TON,AUS,-20.75,-174.05,5.280138888888889,2,1564.5774906805555,273.5350826956815
2018,8448,TON,AUS,-21.85,-174.25,5.831388888888888,2,1727.9204178055552,302.0923266449452
2018,8448,TON,AUS,-21.95,-174.65,0.3044444444444444,1,90.21105977777776,15.771599580948887
2018,8448,TON,AUS,-21.85,-176.85,1.141388888888889,1,338.2091648055556,59.129108282955286
2018,8448,TON,AUS,-21.650000000000002,-174.85,0.5188888888888888,1,153.75388655555554,26.880791986507777
2018,8448,TON,AUS,-22.650000000000002,-176.65,0.5231944444444445,1,155.02968165277778,27.103839243355143
2018,8448,TON,AUS,-21.150000000000002,-176.25,0.7869444444444444,1,233.18242002777777,40.76728249345639
2018,8448,TON,AUS,-19.95,-175.75,0.6033333333333333,1,178.77593233333332,31.255396249836664
2018,8448,TON,AUS,-20.25,-174.25,6.3405555555555555,1,1878.793476722222,328.4694635353461
2018,8448,TON,AUS,-19.45,-175.05,2.280138888888889,1,675.6363906805556,118.12151018268153
2018,8448,TON,AUS,-22.35,-176.35,0.12291666666666667,1,36.421892291666666,6.367639429352083
2018,8448,TON,AUS,-20.35,-172.35,1.3227777777777776,1,391.95717761111104,68.52587336175054
2018,8448,TON,AUS,-20.95,-176.25,1.5109722222222222,1,447.72176976388886,78.2751970078207
2018,8448,TON,AUS,-20.55,-176.15,0.4329166666666666,1,128.27913929166664,22.42704192236208
2018,8448,TON,AUS,-22.05,-175.85,0.7695833333333333,1,228.03808495833331,39.86789839326541
2018,8448,TON,AUS,-22.25,-176.35,0.7568055555555557,1,224.25185434722226,39.205951695524874
2018,8448,TON,AUS,-21.35,-176.05,5.5038888888888895,3,1630.8776810555557,285.1263449789428
2018,8448,TON,AUS,-21.25,-176.15,2.243888888888889,1,664.8950190555555,116.24359618148277
2018,8448,TON,AUS,-20.85,-176.05,0.9323611111111111,2,276.2713705694444,48.30052371665597
2018,8448,TON,AUS,-21.45,-173.95,0.4659722222222223,1,138.0739532638889,24.1394692491257
