eez_code,eez_territory_iso3,flag,eez_name,eez_lon,eez_lat,eez,eez_lon_edit,eez_lat_edit,flag_lon,flag_lat,flag_lon_edit,flag_lat_edit,geometry
8370,GMB,ESP,Gambian Exclusive Economic Zone,-18.390765610529808,13.32860698632763,NA,NA,NA,-3.647550473229147,40.24448698114845,NA,NA,"c(-3.64755047322916, -4.21347924034103, -4.76709796516079, -5.30895578184658, -5.83957633609643, -6.35945914595237, -6.86908090006375, -7.36889669427032, -7.85934120782997, -8.34082982096584, -8.81375967566495, -9.2785106818431, -9.73544647111112, -10.1849153004494, -10.6272509081297, -11.0627733242229, -11.49178963801, -11.9145947245687, -12.3314719327527, -12.7426937367134, -13.1485223530382, -13.549210325502, -13.9450010793441, -14.3361294468993, -14.72282216633, -15.1052983551212, -15.4837699599189, 
-15.8584421842174, -16.2295138953188, -16.5971780119214, -16.9616218736192, -17.3230275935315, -17.6815723952168, -18.0374289349684, -18.3907656105298, 40.2444869811484, 39.4810986006792, 38.7150266335805, 37.9463995448674, 37.1753390112301, 36.4019603594769, 35.6263729749313, 34.8486806819154, 34.0689820983194, 33.2873709661224, 32.5039364596059, 31.7187634728818, 30.9319328882418, 30.1435218267302, 29.3536038822392, 28.5622493403352, 27.7695253829322, 26.9754962798523, 26.1802235682308, 25.3837662206593, 
24.5861808028898, 23.7875216218646, 22.9878408647811, 22.1871887298465, 21.3856135493332, 20.5831619054992, 19.7798787398961, 18.975807456555, 18.1709900194999, 17.3654670450104, 16.5592778890268, 15.7524607300608, 14.9450526479535, 14.1370896987985, 13.3286069863276)"
8370,GMB,CHN,Gambian Exclusive Economic Zone,-18.390765610529808,13.32860698632763,NA,NA,NA,103.81907314582409,36.56176537925268,NA,NA,"c(103.819073145824, 102.860566113191, 101.890598147787, 100.909049202724, 99.9158121629466, 98.910793966297, 97.8939167570617, 96.8651190666922, 95.8243570154498, 94.7716055277286, 93.706859552794, 92.6301352816247, 91.5414713495101, 90.4409300130268, 89.3285982890411, 88.2045890424711, 87.0690420087319, 85.9221247360996, 84.7640334327118, 83.5949937025856, 82.4152611549387, 81.2251218712427, 80.0248927148814, 78.8149214690279, 77.5955867894228, 76.3672979601459, 75.1304944422138, 73.885645206914, 
72.633247848177, 71.3738274709587, 70.1079353555288, 68.8361474006725, 67.5590623520625, 66.2772998253674, 64.9914981369647, 63.7023119583328, 62.410409813227, 61.1164714395199, 59.821185040028, 58.5252444486833, 57.2293462399842, 55.9341868107231, 54.6404594635149, 53.3488515216132, 52.060041503912, 50.7746963879028, 49.4934689867201, 48.216995464322, 46.9458930103634, 45.6807576935126, 44.4221625089016, 43.1706556321803, 41.9267588893385, 40.6909664481508, 39.463743733867, 38.2455265686739, 37.0367205315652, 
35.8377005326117, 34.6488105932733, 33.4703638223565, 32.302642575519, 31.1458987848559, 30.000354444076, 28.8662022340676, 27.7436062732548, 26.6327029770247, 25.5336020106391, 24.4463873203991, 23.3711182283762, 22.3078305767239, 21.2565379084117, 20.2172326721414, 19.1898874401962, 18.1744561289956, 17.1708752131773, 16.1790649250626, 15.1989304323876, 14.2303629881639, 13.2732410474762, 12.3274313469079, 11.3927899431133, 10.4691632078155, 9.55638877720236, 8.65429645432204, 7.76270906363806, 
6.88144325739927, 6.01031027391437, 5.14911664819243, 4.29766487573198, 3.45575403050657, 2.62318033841623, 1.79973770765196, 0.985218217558867, 0.179412567689212, -0.617889511189617, -1.40689888231958, -2.18782666257107, -2.96088391461493, -3.72628136981817, -4.48422918005974, -5.23493669670236, -5.97861227500348, -6.71546310230406, -7.44569504839552, -8.16951253653087, -8.88711843361423, -9.59871395817464, -10.3044986048008, -11.0046700837856, -11.6994242748002, -12.3889551934878, -13.0734549699347, 
-13.7531138380455, -14.4281201349079, -15.0986603093025, -15.7649189385636, -16.4270787530592, -17.0853206676104, -17.7398238192201, -18.3907656105298, 36.5617653792527, 37.0172651547751, 37.4649643176585, 37.9046405941305, 38.3360685229275, 38.7590196642158, 39.1732628371121, 39.5785643871257, 39.9746884847382, 40.3613974561918, 40.7384521473868, 41.1056123215837, 41.4626370913593, 41.8092853849951, 42.1453164471557, 42.4704903733697, 42.7845686774396, 43.0873148904894, 43.3784951899176, 43.6578790560509, 
43.9252399538104, 44.1803560362041, 44.4230108659619, 44.6529941511361, 44.8701024900175, 45.074140120274, 45.2649196668112, 45.442262882507, 45.606001375685, 45.7559773179773, 45.8920441261097, 46.0140671111042, 46.1219240884751, 46.2155059431653, 46.2947171432655, 46.3594761969512, 46.4097160475742, 46.4453844024501, 46.466443991567, 46.472872753212, 46.4646639443378, 46.4418261743681, 46.4043833620413, 46.3523746158038, 46.2858540391619, 46.2048904632735, 46.1095671098812, 45.9999811884477, 45.8762434320321, 
45.7384775770351, 45.5868197924335, 45.4214180645018, 45.2424315433008, 45.0500298573741, 44.8443924031554, 44.6257076155473, 44.3941722259976, 44.1499905141762, 43.8933735590652, 43.6245384949115, 43.3437077770856, 43.0511084624401, 42.7469715082845, 42.431531093601, 42.1050239656253, 41.7676888144238, 41.4197656776088, 41.0614953768739, 40.6931189875856, 40.3148773422556, 39.9270105683401, 39.5297576604637, 39.1233560868591, 38.7080414295374, 38.2840470574681, 37.8516038318479, 37.4109398423638, 
36.962280173224, 36.5058466976203, 36.0418578992061, 35.5705287191174, 35.0920704270326, 34.6066905147498, 34.1145926107653, 33.6159764143529, 33.1110376476733, 32.5999680244839, 32.0829552340643, 31.5601829390315, 31.0318307857752, 30.4980744263084, 29.959085550393, 29.4150319268682, 28.8660774531768, 28.3123822121484, 27.7541025351698, 27.1913910709317, 26.6243968590074, 26.0532654075759, 25.4781387746625, 24.899155652322, 24.3164514532435, 23.7301583993039, 23.1404056116437, 22.5473192018817, 
21.9510223641257, 21.3516354674745, 20.7492761487399, 20.144059405151, 19.5360976868333, 18.92550098888, 18.312376942862, 17.6968309076424, 17.0789660593853, 16.4588834806659, 15.8366822486086, 15.2124595219935, 14.5863106272872, 13.9583291435685, 13.3286069863276)"
8370,GMB,SEN,Gambian Exclusive Economic Zone,-18.390765610529808,13.32860698632763,NA,NA,NA,-14.473492397282298,14.366241731282715,NA,NA,"c(-14.4734923972823, -15.2597533236091, -16.0446041010522, -16.8280512308599, -17.6101022291797, -18.3907656105298, 14.3662417312827, 14.1637391146722, 13.9586811941969, 13.7511109885764, 13.5410717571577, 13.3286069863276)"
