eez_code,flag,eez_territory_iso3,eez_name,eez_lon,eez_lat,eez,eez_lon_edit,eez_lat_edit,flag_lon,flag_lat,flag_lon_edit,flag_lat_edit,geometry
8391,ESP,LBR,Liberian Exclusive Economic Zone,-10.177601511042637,3.802469072863936,NA,NA,NA,-3.647550473229147,40.24448698114845,NA,NA,"c(-3.64755047322916, -3.86237392391956, -4.07194664401487, -4.27654853698169, -4.47644231789124, -4.67187487259093, -4.86307849377687, -5.05027200679606, -5.23366179652172, -5.41344274535086, -5.58979909123983, -5.76290521370208, -5.93292635482354, -6.10001928158457, -6.26433289510751, -6.4260087918536, -6.58518178127147, -6.74198036393568, -6.8965271738052, -7.04893938786745, -7.19932910611274, -7.34780370449619, -7.49446616329016, -7.63941537300283, -7.78274641983634, -7.92455085247676, -8.06491693184708, 
-8.20392986531004, -8.34167202667783, -8.47822316327085, -8.61366059116386, -8.7480593796646, -8.88149252598743, -9.0140311210105, -9.14574450693706, -9.27670042762344, -9.40696517228207, -9.53660371322147, -9.66567983824189, -9.79425627826933, -9.92239483077708, -10.0501564795151, -10.1776015110426, 40.2444869811484, 39.3811633414666, 38.5174543503081, 37.6533807082128, 36.7889618293732, 35.9242159446655, 35.0591601951974, 34.1938107173814, 33.3281827204187, 32.4622905569789, 31.5961477877679, 30.7297672406017, 
29.863161064529, 28.9963407794917, 28.1293173219546, 27.262101086892, 26.3947019664765, 25.52712938578, 24.6593923357639, 23.7914994038096, 22.9234588020124, 22.055278393442, 21.1869657165518, 20.3185280079037, 19.4499722233552, 18.5813050578486, 17.7125329639211, 16.8436621690523, 15.9746986919488, 15.1056483578604, 14.2365168130139, 13.3673095382428, 12.4980318618847, 11.6286889720146, 10.7592859280732, 9.88982767195012, 9.02031903857301, 8.15076476605246, 7.2811695054297, 6.41153783006968, 5.54187424474092, 
4.67218319442094, 3.80246907286394)"
8391,FRA,LBR,Liberian Exclusive Economic Zone,-10.177601511042637,3.802469072863936,NA,NA,NA,-2.7617294451886103,42.17344011072409,NA,NA,"c(-2.76172944518862, -3.00312985046187, -3.23819648576318, -3.46727565996648, -3.69069145344793, -3.90874753066205, -4.12172878292517, -4.3299028196067, -4.53352132376662, -4.73282128639477, -4.9280261317692, -5.11934674502004, -5.30698241173405, -5.49112167833994, -5.67194314105396, -5.84961617031999, -6.02430157693667, -6.19615222540835, -6.36531359947935, -6.53192432429955, -6.69611664921825, -6.8580168948007, -7.01774586730821, -7.17541924356445, -7.33114792885135, -7.48503839022581, -7.6371929674265, 
-7.78771016334011, -7.93668491581812, -8.08420885247696, -8.2303705299712, -8.37525565910221, -8.51894731701125, -8.66152614760307, -8.80307055125493, -8.94365686478432, -9.08335953257495, -9.22225126969556, -9.36040321778725, -9.49788509444338, -9.63476533675964, -9.77111123969092, -9.90698908981571, -10.0424642950772, -10.1776015110426, 42.1734401107241, 41.3070016724738, 40.4400721467858, 39.5726786403728, 38.7048464952514, 37.8365994349211, 36.9679596965801, 36.0989481509084, 35.2295844107633, 
34.3598869299682, 33.4898730932374, 32.6195592981572, 31.7489610300362, 30.8780929303467, 30.006968859397, 29.1356019538042, 28.2640046792745, 27.3921888791429, 26.5201658190774, 25.6479462283094, 24.775540337714, 23.9029579150333, 23.0302082975022, 22.157300422116, 21.28424285375, 20.4110438113248, 19.5377111921922, 18.6642525948985, 17.7906753404694, 16.916986492347, 16.0431928750984, 15.1693010920032, 14.2953175416212, 13.4212484334305, 12.5470998026201, 11.6728775241139, 10.7985873258984, 9.92423480171912, 
9.04982542320806, 8.17536455149873, 7.30085744838271, 6.42630928705788, 5.55172516251557, 4.6771101016116, 3.80246907286394)"
8391,NOR,LBR,Liberian Exclusive Economic Zone,-10.177601511042637,3.802469072863936,NA,NA,NA,15.348346562226249,68.75015572054916,NA,NA,"c(15.3483465622263, 14.2352546937294, 13.1963029184344, 12.2244830070492, 11.3135697335973, 10.458026233841, 9.65292032904586, 8.89385098285047, 8.17688391853534, 7.49849539568814, 6.85552318123041, 6.24512381968714, 5.66473539270456, 5.11204504688968, 4.58496065558262, 4.08158606072752, 3.60019941397999, 3.13923420111155, 2.69726259081224, 2.27298079867589, 1.86519620015994, 1.47281596338536, 1.09483700450238, 0.730337095682955, 0.378466979221201, 0.0384433612847488, -0.290457323959231, -0.608904474400134, 
-0.917518286158383, -1.21687419698839, -1.50750686871854, -1.78991376254029, -2.06455835407155, -2.3318730291829, -2.59226169644748, -2.84610214764271, -3.093748193892, -3.33553160170385, -3.5717638502723, -3.80273772888523, -4.02872879109174, -4.24999668036585, -4.46678634032799, -4.67932912112053, -4.88784379224739, -5.09253747105944, -5.29360647507283, -5.49123710543472, -5.68560636807723, -5.87688263842074, -6.06522627488323, -6.25079018592027, -6.43372035484481, -6.61415632625764, -6.79223165754405, 
-6.96807433856071, -7.14180718234022, -7.31354818937626, -7.4834108878174, -7.65150465168557, -7.8179349990483, -7.98280387190414, -8.14620989939087, -8.30824864579012, -8.46901284468223, -8.62859262049582, -8.78707569860023, -8.94454760500267, -9.10109185663325, -9.25679014313334, -9.41172250100018, -9.56596748088631, -9.71960230880404, -9.8727030419424, -10.0253447197672, -10.1776015110426, 68.7501557205492, 67.954334955399, 67.1514913336343, 66.3423413522002, 65.5275120867723, 64.7075539996903, 
63.882951745356, 63.0541332991855, 62.2214776844122, 61.3853215261227, 60.5459646236471, 59.7036747002285, 58.8586914620052, 58.0112300760089, 57.161484158384, 56.309628348752, 55.4558205340135, 54.6002037744601, 53.7429079764397, 52.8840513486936, 52.0237416735674, 51.1620774193942, 50.2991487162657, 49.4350382140043, 48.5698218383102, 47.7035694586757, 46.8363454796644, 45.9682093654737, 45.0992161062827, 44.2294166336916, 43.3588581915453, 42.4875846675741, 41.6156368905499, 40.7430528970353, 
39.8698681712652, 38.9961158612457, 38.121826973761, 37.2470305506411, 36.371753828353, 35.496022382722, 34.6198602603784, 33.7432900983286, 32.8663332328903, 31.9890097990857, 31.1113388214622, 30.2333382972014, 29.3550252722809, 28.4764159113698, 27.5975255620658, 26.7183688140152, 25.838959553402, 24.9593110132412, 24.079435819865, 23.1993460359555, 22.319053200437, 21.4385683655148, 20.557902131117, 19.6770646769723, 18.7960657925346, 17.9149149049461, 17.0336211052133, 16.1521931727543, 15.2706395984617, 
14.3889686064151, 13.5071881743627, 12.6253060530849, 11.7433297847424, 10.8612667203023, 9.97912403613255, 9.09690874984291, 8.21462773545143, 7.33228773794531, 6.44989538730361, 5.5674572120443, 4.684979652355, 3.80246907286394)"
8391,PRT,LBR,Liberian Exclusive Economic Zone,-10.177601511042637,3.802469072863936,NA,NA,NA,-8.501043612683077,39.59550671449789,NA,NA,"c(-8.50104361268308, -8.55827978025314, -8.6141016344782, -8.6685871552468, -8.72180936610815, -8.77383674414301, -8.8247335907628, -8.87456036775731, -8.92337400237727, -8.97122816477551, -9.01817352073337, -9.06425796225153, -9.10952681828562, -9.1540230476449, -9.19778741584466, -9.24085865750399, -9.28327362570576, -9.32506742958316, -9.36627356126252, -9.40692401317412, -9.44704938663799, -9.48667899254002, -9.52584094483245, -9.56456224752046, -9.60286887573236, -9.64078585141567, -9.67833731414916, 
-9.71554658751762, -9.75243624145574, -9.78902815093207, -9.8253435513127, -9.8614030907161, -9.89722687964567, -9.93283453816414, -9.9682452408548, -10.0034777597961, -10.0385505057617, -10.073481567844, -10.1082887516866, -10.1429896165022, -10.1776015110426, 39.5955067144979, 38.7009755114663, 37.8064170978229, 36.9118329746186, 36.0172245474245, 35.1225931342337, 34.2279399726103, 33.3332662261661, 32.4385729904415, 31.5438612982522, 30.6491321245593, 29.7543863909129, 28.859624969512, 27.9648486869214, 
27.0700583274784, 26.1752546364215, 25.2804383227669, 24.3856100619587, 23.4907704983142, 22.5959202472826, 21.7010598975361, 20.8061900129092, 19.9113111341982, 19.0164237808368, 18.1215284524564, 17.2266256303439, 16.3317157788047, 15.4367993464405, 14.5418767673493, 13.6469484622553, 12.7520148395743, 11.8570762964213, 10.9621332195663, 10.0671859863414, 9.17223496550703, 8.27728051807813, 7.38232299811757, 6.48736275349846, 5.59240012663983, 4.69743545521906, 3.80246907286394)"
8391,CUW,LBR,Liberian Exclusive Economic Zone,-10.177601511042637,3.802469072863936,NA,NA,NA,-68.9711936879736,12.195516754557731,NA,NA,"c(-68.9711936879736, -68.0624528006141, -67.1540476330942, -66.2459967078143, -65.338318162418, -64.4310297310069, -63.5241487259288, -62.6176920201584, -61.7116760302929, -60.80611670018, -59.9010294851951, -58.9964293371857, -58.0923306900952, -57.1887474462805, -56.2856929635336, -55.3831800428191, -54.4812209167332, -53.5798272386945, -52.6790100728696, -51.7787798848389, -50.8791465330056, -49.9801192607484, -49.0817066893187, -48.1839168114811, -47.2867569858947, -46.3902339322313, -45.494353727026, 
-44.5991218002546, -43.7045429326302, -42.8106212536116, -41.9173602401144, -41.0247627159156, -40.1328308517396, -39.2415661660165, -38.3509695262982, -37.4610411513217, -36.5717806137046, -35.6831868432599, -34.7952581309157, -33.9079921332239, -33.0213858774444, -32.1354357671882, -31.2501375886032, -30.3654865170884, -29.4814771245188, -28.5981033869652, -27.7153586928925, -26.8332358518206, -25.9517271034312, -25.0708241271032, -24.1905180518627, -23.310799466729, -22.431658431443, -21.5530844875597, 
-20.6750666698922, -19.7975935182887, -18.9206530897306, -18.0442329707341, -17.1683202900428, -16.2929017315969, -15.4179635477638, -14.5434915728183, -13.6694712366586, -12.795887578745, -11.9227252622502, -11.0499685884066, -10.1776015110426, 12.1955167545577, 12.1478202043155, 12.0971596953383, 12.0435490847397, 11.9870030150998, 11.9275369069627, 11.8651669509921, 11.7999100997964, 11.7317840594371, 11.6608072806322, 11.5869989496697, 11.5103789790435, 11.4309679978272, 11.3487873417978, 11.2638590433266, 
11.1762058210485, 11.0858510693273, 10.9928188475295, 10.8971338691225, 10.7988214906107, 10.6979077003259, 10.5944191070843, 10.488382928726, 10.3798269805511, 10.2687796636657, 10.1552699532522, 10.0393273867775, 9.9209820521525, 9.80026457585555, 9.6772061110328, 9.55183832558804, 9.4241933902738, 9.29430396679538, 9.16220319593928, 9.02792468573649, 8.8915024996715, 8.75297114494659, 8.61236556081118, 8.46972110696517, 8.32507355204487, 8.17845906219962, 8.02991418976661, 7.87947586205128, 7.7271813702195, 
7.57306835830809, 7.41717481235895, 7.25953904968219, 7.1001997082526, 6.93919573624402, 6.77656638170468, 6.61235118237732, 6.4465899556662, 6.27932278875348, 6.11059002886688, 5.94043227369944, 5.76889036198266, 5.59600536421317, 5.421818573533, 5.24637149676289, 5.06970584558796, 4.89186352789422, 4.71288663925456, 4.53281745456204, 4.35169841980797, 4.16957214400243, 3.98648139123378, 3.80246907286394)"
8391,BES,LBR,Liberian Exclusive Economic Zone,-10.177601511042637,3.802469072863936,NA,NA,NA,NA,NA,NA,NA,"c(NA, -10.1776015110426, NA, 3.80246907286394)"
8391,BLZ,LBR,Liberian Exclusive Economic Zone,-10.177601511042637,3.802469072863936,NA,NA,NA,-88.71010485642817,17.200275090154324,NA,NA,"c(-88.7101048564282, -87.7724226697663, -86.8347408885909, -85.8971034333113, -84.9595541685609, -84.0221368480428, -83.0848950595983, -82.1478721706074, -81.2111112738292, -80.2746551337898, -79.3385461338214, -78.4028262238561, -77.4675368690723, -76.5327189994914, -75.5984129606169, -74.6646584652057, -73.7314945462551, -72.7989595112884, -71.8670908980138, -70.9359254314277, -70.0054989824301, -69.0758465280129, -68.147002113076, -67.2189988139243, -66.2918687034881, -65.3656428183094, -64.4403511273264, 
-63.5160225024859, -62.5926846912076, -61.6703642907166, -60.7490867242591, -59.8288762192069, -58.9097557870538, -57.991747205302, -57.0748710012305, -56.1591464375338, -55.2445914998148, -54.3312228859119, -53.4190559970352, -52.508104930684, -51.5983824753143, -50.6899001067217, -49.7826679861006, -48.8766949597412, -47.9719885603191, -47.0685550097347, -46.1663992234528, -45.2655248162951, -44.3659341096351, -43.4676281399426, -42.5706066686276, -41.6748681931272, -40.7804099591848, -39.8872279742653, 
-38.995317022053, -38.104670677978, -37.2152813257175, -36.3271401746176, -35.4402372779843, -34.554561552191, -33.6701007965515, -32.7868417139084, -31.9047699318888, -31.0238700247791, -30.1441255359735, -29.2655190009503, -28.3880319707353, -27.5116450358084, -26.6363378504147, -25.762089157243, -24.8888768124339, -24.0166778108839, -23.1454683118127, -22.2752236645632, -21.4059184346044, -20.5375264297118, -19.6700207262971, -18.8033736958672, -17.9375570315875, -17.0725417749323, -16.2082983424016, 
-15.3447965522896, -14.4820056514891, -13.6198943423181, -12.758430809358, -11.8975827462916, -11.0373173827332, -10.1776015110426, 17.2002750901543, 17.2024027790777, 17.2001950578898, 17.1936526212668, 17.1827775274904, 17.1675731967737, 17.1480444084826, 17.1241972972593, 17.0960393480571, 17.0635793900997, 17.0268275897781, 16.9857954425033, 16.9404957635343, 16.890942677803, 16.8371516087606, 16.7791392662718, 16.7169236335847, 16.6505239534082, 16.5799607131272, 16.5052556291913, 16.4264316307107, 
16.3435128422983, 16.2565245661934, 16.165493263709, 16.070446536041, 15.971413104481, 15.868422790075, 15.7615064927689, 15.6506961700852, 15.5360248153726, 15.4175264356713, 15.2952360292389, 15.169189562777, 15.0394239484032, 14.90597702041, 14.7688875118513, 14.6281950309988, 14.4839400377074, 14.3361638197294, 14.1849084690158, 14.0302168580414, 13.8721326161909, 13.7107001062402, 13.5459644009664, 13.3779712599196, 13.206767106387, 13.032399004579, 12.854914637065, 12.6743622824863, 12.4907907935704, 
12.3042495754706, 12.114788564453, 11.922458206951, 11.7273094390064, 11.5293936661145, 11.3287627434885, 11.1254689567583, 10.9195650031154, 10.711103972916, 10.5001393317517, 10.286724902996, 10.0709148508337, 9.85276366377896, 9.63232613868554, 9.40965736525327, 9.1848127110311, 8.95784780691818, 8.72881853316177, 8.49778100585021, 8.26479156389804, 8.02990675651931, 7.79318333118393, 7.55467822205134, 7.3144485388746, 7.07255155636697, 6.82904470402289, 6.58398555638364, 6.33743182373786, 6.08944134324622, 
5.84007207047877, 5.58938207135294, 5.33742951445981, 5.08427266376528, 4.82996987167279, 4.57457957243331, 4.3181602758881, 4.06077056152945, 3.80246907286394)"
8391,GCA,LBR,Liberian Exclusive Economic Zone,-10.177601511042637,3.802469072863936,NA,NA,NA,NA,NA,NA,NA,"c(NA, -10.1776015110426, NA, 3.80246907286394)"
8391,GTM,LBR,Liberian Exclusive Economic Zone,-10.177601511042637,3.802469072863936,NA,NA,NA,-90.36482008577333,15.69403663496355,NA,NA,"c(-90.3648200857733, -89.4366603458452, -88.5083885366656, -87.5800403235777, -86.6516514638948, -85.7232577638747, -84.7948950356045, -83.8665990538746, -82.9384055131211, -82.010349984515, -81.0824678732769, -80.1547943762942, -79.227364440118, -78.3002127194134, -77.3733735359388, -76.4468808381247, -75.520768161322, -74.5950685887884, -73.6698147134772, -72.7450386006917, -71.8207717516652, -70.8970450681228, -69.9738888178801, -69.0513326015281, -68.1294053202529, -67.2081351448325, -66.2875494858527, 
-65.3676749651773, -64.4485373887071, -63.5301617204555, -62.6125720579678, -61.6957916091058, -60.7798426702156, -59.8647466056939, -58.9505238289634, -58.0371937848657, -57.1247749334748, -56.2132847353329, -55.3027396381054, -54.3931550646498, -53.4845454024899, -52.5769239946825, -51.6703031320652, -50.7646940468642, -49.860106907646, -48.95655081559, -48.0540338020575, -47.1525628274321, -46.2521437812027, -45.352781483261, -44.4544796863806, -43.5572410798471, -42.6610672942049, -41.7659589070859, 
-40.8719154500845, -39.9789354166446, -39.0870162709186, -38.1961544575643, -37.3063454124411, -36.4175835741666, -35.5298623964991, -34.6431743615053, -33.7575109934781, -32.8728628735669, -31.9892196550833, -31.1065700794474, -30.2249019927391, -29.3442023628187, -28.4644572969846, -27.5856520601344, -26.7077710933965, -25.8307980332031, -24.954715730773, -24.079506271975, -23.2051509975461, -22.3316305236348, -21.4589247626463, -20.5870129443642, -19.7158736373248, -18.8454847704235, -17.9758236547309, 
-17.1068670054996, -16.2385909643433, -15.3709711215704, -14.5039825386562, -13.6375997708382, -12.7717968898211, -11.9065475065783, -11.041824794238, -10.1776015110426, 15.6940366349636, 15.7082951178793, 15.71863445303, 15.7250515285812, 15.7275444126079, 15.7261123544836, 15.7207557854201, 15.7114763181573, 15.6982767458039, 15.6811610398304, 15.6601343472205, 15.6352029867859, 15.606374444653, 15.5736573689321, 15.537061563579, 15.4965979814648, 15.4522787166665, 15.404116995997, 15.3521271697912, 
15.2963247019689, 15.2367261593954, 15.1733492005606, 15.1062125636035, 15.0353360537028, 14.9607405298628, 14.8824478911193, 14.8004810621944, 14.7148639786274, 14.6256215714121, 14.5327797511696, 14.4363653918868, 14.3364063142508, 14.2329312686116, 14.1259699176019, 14.0155528184466, 13.9017114049936, 13.7844779694952, 13.6638856441727, 13.5399683825942, 13.4127609408957, 13.2822988588757, 13.1486184409933, 13.011756737297, 12.8717515243143, 12.7286412859286, 12.5824651942707, 12.4332630906497, 
12.281075466551, 12.1259434447226, 11.9679087603754, 11.8070137425185, 11.6433012954521, 11.4768148804362, 11.3075984975574, 11.1356966678093, 10.9611544154051, 10.784017250338, 10.6043311512049, 10.4221425483059, 10.2374983070344, 10.050445711567, 9.86103244886637, 9.66930659300426, 9.47531658981448, 9.27911124188275, 9.08073969387961, 8.880251418242, 8.67769620120743, 8.47312412920431, 8.26658557560084, 8.05813118781352, 7.84781187477626, 7.63567879476946, 7.42178334360797, 7.20617714318585, 6.98891203037515, 
6.77004004627514, 6.54961342580778, 6.32768458765428, 6.1043061245271, 5.87953079377127, 5.65341150828785, 5.42600132777214, 5.19735345025866, 4.96752120396417, 4.73655803941961, 4.50451752188172, 4.27145332401393, 4.03741921882633, 3.80246907286394)"
8391,PAN,LBR,Liberian Exclusive Economic Zone,-10.177601511042637,3.802469072863936,NA,NA,NA,-80.1191515612474,8.51750797491118,NA,NA,"c(-80.1191515612474, -79.2167364212675, -78.3142641034139, -77.4117444015098, -76.509187158462, -75.606602256075, -74.7039996048186, -73.8013891335593, -72.8987807792698, -71.9961844767285, -71.0936101482212, -70.1910676932585, -69.2885669783214, -68.386117826647, -67.4837300080671, -66.5814132289129, -65.6791771219967, -64.7770312366839, -63.874985029066, -62.9730478522484, -62.0712289467622, -61.1695374311128, -60.2679822924763, -59.3665723775541, -58.4653163835961, -57.5642228496039, -56.6633001477222, 
-55.7625564748294, -54.861999844336, -53.9616380781999, -53.0614787991671, -52.1615294232456, -51.261797152421, -50.3622889676205, -49.4630116219321, -48.5639716340867, -47.6651752822073, -46.7666285978329, -45.8683373602212, -44.9703070909351, -44.0725430487178, -43.1750502246598, -42.2778333376623, -41.3808968301988, -40.4842448643789, -39.5878813183156, -38.6918097827986, -37.7960335582743, -36.9005556521345, -36.0053787763133, -35.1105053451938, -34.2159374738228, -33.3216769764348, -32.4277253652824, 
-31.5340838497746, -30.6407533359181, -29.7477344260627, -28.8550274189467, -27.9626323100408, -27.0705487921872, -26.1787762565305, -25.2873137937385, -24.3961601955072, -23.5053139563482, -22.6147732756522, -21.7245360600271, -20.8345999259032, -19.9449622024032, -19.0556199344709, -18.1665698862535, -17.2778085447327, -16.3893321236003, -15.5011365673695, -14.6132175557207, -13.7255705080727, -12.8381905883747, -11.9510727101141, -11.0642115415321, -10.1776015110426, 8.51750797491118, 8.53065186677244, 
8.54171063331981, 8.55068141009765, 8.55756187301161, 8.56235023922599, 8.56504526785292, 8.56564626043225, 8.56415306120182, 8.56056605715779, 8.55488617790481, 8.54711489529639, 8.53725422286578, 8.52530671504802, 8.51127546619401, 8.49516410937782, 8.47697681499855, 8.45671828917817, 8.43439377195746, 8.41000903529181, 8.38357038084915, 8.35508463761269, 8.32455915929077, 8.29200182153703, 8.25742101898362, 8.22082566209103, 8.1822251738176, 8.14162948611254, 8.09904903623602, 8.05449476291044, 
8.00797810230658, 7.95951098386915, 7.90910582598579, 7.85677553150401, 7.80253348310059, 7.74639353850793, 7.68837002560227, 7.62847773735828, 7.56673192667513, 7.50314830107848, 7.437743017304, 7.37053267576658, 7.30153431492101, 7.23076540551844, 7.1582438447641, 7.08398795038111, 7.00801645458534, 6.93034849797633, 6.85100362334917, 6.77000176943237, 6.68736326455627, 6.60310882025711, 6.51725952482116, 6.42983683677383, 6.34086257831814, 6.25035892872697, 6.1583484176937, 6.06485391864534, 5.96989864202219, 
5.87350612852842, 5.77570024235717, 5.67650516439419, 5.57594538540349, 5.47404569919874, 5.37083119580373, 5.26632725460516, 5.16055953750073, 5.05355398204591, 4.94533679460172, 4.83593444348644, 4.72537365213384, 4.61368139226013, 4.50088487704191, 4.38701155430711, 4.27208909974097, 4.15614541010869, 4.03920859649628, 3.92130697757119, 3.80246907286394)"
