year,eez_id,fao_region,lat_cen,lon_cen,flag_iso3,fishing_hours,fishing_KWh,bad_subs_per_fishing_KWh,ugly_subs_per_fishing_KWh,bad_subs,ugly_subs
2018,0000,31,15.850000000000001,-52.650000000000006,NA,0.8297222222222222,748.2661156648073,NA,NA,NA,NA
2018,0000,31,16.55,-52.45,NA,2.1086111111111108,1901.6029742254943,NA,NA,NA,NA
2018,0000,31,23.650000000000002,-47.75000000000001,NA,0.7161111111111111,645.8085189768575,NA,NA,NA,NA
2018,0000,31,23.650000000000002,-47.85000000000001,NA,0.11166666666666666,100.70404368840057,NA,NA,NA,NA
2018,0000,31,18.05,-46.050000000000004,NA,2.1950000000000003,1979.5108289197549,NA,NA,NA,NA
2018,0000,31,24.150000000000002,-48.650000000000006,NA,0.18333333333333332,165.33499710035915,NA,NA,NA,NA
2018,0000,31,23.85,-47.95,NA,10.686388888888889,9637.276777951389,NA,NA,NA,NA
2018,0000,31,13.250000000000002,-44.95,NA,0.5458333333333333,492.24737773061474,NA,NA,NA,NA
2018,0000,31,14.450000000000001,-45.75000000000001,NA,6.429722222222222,5798.498754366687,NA,NA,NA,NA
2018,0000,31,14.450000000000001,-45.45,NA,14.740555555555552,13293.434782011602,NA,NA,NA,NA
2018,0000,31,21.55,-45.85000000000001,NA,7.357777777777779,6635.444550294415,NA,NA,NA,NA
2018,0000,31,14.250000000000002,-43.75000000000001,NA,6.926666666666667,6246.656799537206,NA,NA,NA,NA
2018,0000,31,22.150000000000002,-46.150000000000006,NA,0.8669444444444445,781.8341302276076,NA,NA,NA,NA
2018,0000,31,21.650000000000002,-46.550000000000004,NA,1.7830555555555556,1608.008100586675,NA,NA,NA,NA
2018,0000,31,14.350000000000001,-44.85000000000001,NA,5.435555555555555,4901.932156454284,NA,NA,NA,NA
2018,0000,31,18.55,-48.75000000000001,NA,1.7916666666666667,1615.7738352989645,NA,NA,NA,NA
2018,0000,31,18.25,-46.45,NA,3.7111111111111112,3346.7811534254524,NA,NA,NA,NA
2018,0000,31,7.65,-40.75000000000001,NA,1.8255555555555556,1646.3357590053945,NA,NA,NA,NA
2018,0000,31,14.450000000000001,-45.050000000000004,NA,0.44055555555555553,397.3050081835903,NA,NA,NA,NA
2018,0000,31,23.750000000000004,-48.650000000000006,NA,7.135555555555555,6435.03849320307,NA,NA,NA,NA
2018,0000,31,18.950000000000003,-46.45,NA,22.538333333333334,20325.683325346883,NA,NA,NA,NA
2018,0000,31,21.450000000000003,-45.85000000000001,NA,7.601944444444444,6855.640705523529,NA,NA,NA,NA
2018,0000,31,13.250000000000002,-43.95,NA,2.401111111111111,2165.387446871977,NA,NA,NA,NA
2018,0000,31,23.950000000000003,-48.150000000000006,NA,9.294444444444444,8381.98333784548,NA,NA,NA,NA
2018,0000,31,14.850000000000001,-44.150000000000006,NA,1.2872222222222223,1160.8520857016126,NA,NA,NA,NA
2018,0000,31,24.05,-48.35000000000001,NA,19.863611111111116,17913.54592068119,NA,NA,NA,NA
2018,0000,31,18.25,-46.650000000000006,NA,0.8686111111111111,783.3371756557925,NA,NA,NA,NA
2018,0000,31,23.55,-47.75000000000001,NA,0.6672222222222223,601.7191864167618,NA,NA,NA,NA
2018,0000,31,13.55,-43.35000000000001,NA,6.766944444444444,6102.614946002803,NA,NA,NA,NA
2018,0000,31,14.450000000000001,-45.85000000000001,NA,10.839166666666666,9775.055942201689,NA,NA,NA,NA
2018,0000,31,22.650000000000002,-49.95,NA,5.102777777777778,4601.824085959996,NA,NA,NA,NA
2018,0000,31,21.450000000000003,-46.45,NA,7.218888888888889,6510.1907646123245,NA,NA,NA,NA
2018,0000,31,24.250000000000004,-47.25000000000001,NA,0.6722222222222223,606.228322701317,NA,NA,NA,NA
2018,0000,31,21.650000000000002,-46.75000000000001,NA,7.675000000000001,6921.524196792309,NA,NA,NA,NA
2018,0000,31,18.25,-49.45,NA,0.07527777777777778,67.88755183969293,NA,NA,NA,NA
2018,0000,31,13.950000000000001,-43.050000000000004,NA,0.7580555555555556,683.6351622528488,NA,NA,NA,NA
2018,0000,31,21.650000000000002,-45.85000000000001,NA,1.6225,1463.2147243381787,NA,NA,NA,NA
2018,0000,31,15.950000000000001,-44.75000000000001,NA,1.267777777777778,1143.3165557061202,NA,NA,NA,NA
2018,0000,31,21.35,-45.550000000000004,NA,1.2380555555555555,1116.5122455701526,NA,NA,NA,NA
2018,0000,31,13.450000000000001,-45.45,NA,0.8733333333333334,787.5958043689837,NA,NA,NA,NA
2018,0000,31,13.650000000000002,-46.050000000000004,NA,3.585555555555555,3233.5517311688423,NA,NA,NA,NA
2018,0000,31,14.150000000000002,-43.25000000000001,NA,2.084722222222222,1880.059323088175,NA,NA,NA,NA
2018,0000,31,18.25,-46.35000000000001,NA,0.8825,795.8625542240015,NA,NA,NA,NA
2018,0000,31,13.850000000000001,-43.75000000000001,NA,0.12583333333333332,113.47992982797378,NA,NA,NA,NA
2018,0000,31,13.250000000000002,-44.45,NA,3.3649999999999998,3034.648719505683,NA,NA,NA,NA
2018,0000,31,22.750000000000004,-46.85000000000001,NA,1.4180555555555556,1278.8411518141418,NA,NA,NA,NA
2018,0000,31,21.950000000000003,-45.75000000000001,NA,1.024722222222222,924.1224307624619,NA,NA,NA,NA
2018,0000,31,15.750000000000002,-52.550000000000004,NA,0.6905555555555556,622.7618224113529,NA,NA,NA,NA
2018,0000,31,13.450000000000001,-42.75000000000001,NA,3.3575,3027.8850150788503,NA,NA,NA,NA
