eez_iso3,flag,vessels_per_eez,effort_per_eez,kwhr
CHN,PER,1,295.4122222,24564.90321297653
CHN,PHL,1,23.34013889,4519.746052766983
CHN,PNG,1,23.78513889,6701.446560895193
CHN,POL,2,237.45652773999998,65812.67280548521
CHN,PRK,3,333.94194446,161750.22653424006
CHN,PSE,1,396.2404167,102506.68502423054
CHN,PYF,3,1083.32625,286416.6523111692
CHN,QAT,1,380.1529167,76443.9181701412
CHN,REU,3,21.66,10604.996129775136
CHN,RUS,14,90.742361112,194371.13186696082
CHN,RWA,1,0.176805556,57.01388645138794
CHN,SAU,1,87.52819444,21855.04279217977
CHN,SDN,1,0.238194444,58.935622052602106
CHN,SEN,1,39.44319444,10955.190031192642
CHN,SGP,10,1080.11180559,562505.1485139503
CHN,SHN,4,147.367361117,45063.38426714805
CHN,SLB,3,145.21263889999997,19275.911820027864
CHN,SLE,1,57.51013889,27536.075207192018
CHN,SLV,1,206.1736111,67116.53621181281
CHN,SMR,1,55.46513889,6577.753737988477
CHN,SOM,20,1640.779444452,556499.2399855003
CHN,SSD,2,16.73763889,8029.617484741945
CHN,STP,3,56.860555557,12619.99446952243
CHN,SVK,1,133.6290278,16162.778534962918
CHN,SWE,2,377.26319442,279200.67304447107
CHN,SWZ,1,5.776388889,1841.3803558308362
CHN,SYC,1,10.68736111,2361.8792746677805
CHN,SYR,1,2.676666667,863.8211277679076
CHN,TCA,1,142.1881944,48703.89724728049
CHN,TGO,2,107.02958333699999,21436.059670233073
CHN,THA,4,695.357916644,127735.68019222163
CHN,TTO,1,158.2923611,32394.795065945396
CHN,TUN,1,65.80930556,42937.97068612657
CHN,TWN,81,3095.720278274,1307149.9106811741
CHN,TZA,1,916.6875,215864.45410715626
CHN,URY,2,677.3955556,311986.84073504957
CHN,USA,3,309.06583334,92261.13200624166
CHN,VAT,1,422.0290278,48976.93687519344
CHN,VEN,1,480.8730556,113792.35884489828
CHN,VGB,1,10.57583333,5398.150375805423
CHN,VUT,4,84.41458332900001,19496.222631069555
CHN,WLF,1,669.88875,309349.153634601
CHN,WSM,2,478.656527789,102386.85207310552
CHN,YEM,4,1251.935,273116.52174600825
CHN,ZAF,2,961.2595834,114266.22226021363
CHN,ZMB,1,132.9943056,19714.502377398818
CIV,BES,1,51.05930556,48424.72924269559
CIV,BLZ,4,405.39249995100005,919997.6840863116
CIV,CHN,1,17.56069444,9622.211687962488
CIV,CPV,1,54.01027778,288582.63597335777
CIV,CUW,6,544.27888894,2156259.715210831
CIV,ESP,13,420.91124999699997,975582.6557362028
CIV,FRA,11,1305.65458328,4127425.30655042
CIV,GBR,1,29.56541667,7313.5971216579
CIV,GCA,1,55.42833333,193570.02802698416
CIV,GHA,22,6409.901806196,5701579.475029367
CIV,GTM,1,102.9004167,346333.5722053301
CIV,PAN,3,109.326527778,183073.2655813797
CIV,PRT,1,2689.791667,1309552.1019884741
CIV,SEN,1,55.75097222,150879.49519238056
CIV,SLV,3,255.98805552,834655.9782514044
CIV,SYC,1,1.187916667,600.7544950335737
CMR,CHN,8,1373.3155968800002,1197894.9304248416
COD,AGO,10,1445.040416707,723379.8954318779
COD,ESP,7,253.68083334500002,115501.13216291515
COD,FRA,1,0.071388889,279.84444487999997
COD,NAM,2,19.400694444,11840.586317395304
COG,CHN,2,3475.293333,2094540.7606924442
COG,ESP,4,20777.376805,8133964.68955098
COG,FRA,2,753.244999967,295286.730821386
COK,CHN,25,27586.479584599,17412136.050544158
COK,DNK,1,7.62125,2252.5087531765
COK,ESP,3,299.500555567,1006189.9200505685
COK,FSM,1,3405.108889,1513457.851545385
COK,JPN,1,11.76791667,9252.701687783883
COK,KIR,4,240.724305526,750948.2834320538
COK,KOR,3,212.975277826,706429.72486337
COK,NRU,1,112.8011111,371620.864397748
COK,NZL,1,55.52305556,145379.23587712465
COK,TWN,13,36.138472224000004,20412.5677363926
COK,USA,15,1336.700694449,4149381.3083665823
COK,VUT,1,4.427083333,4252.247187179831
COL,JPN,1,713.9681944,528427.1378166887
COL,PAN,3,405.899027792,943342.8246801358
COL,PRT,1,1.747777778,2057.134444706
COL,VEN,1,13.847777778,39299.993333964
COM,ESP,1,1.375555556,1237.331798565784
COM,JPN,1,2.654305556,1953.5688892160001
COM,KOR,1,10.53208333,7898.73153626023
COM,TWN,2,14.491527778,12231.198045576362
CPT,CHN,3,181.78875003299999,104896.87843214434
CPT,MEX,19,585.523888853,1940606.9393962205
CPT,VEN,1,5.010833333,6963.229308551789
CPV,BLZ,1,3.776527778,2066.137916819633
CPV,CHN,3,73.114305557,63301.98218944288
CPV,CIV,1,162.3229167,207212.46322232235
CPV,ESP,24,5782.751111033,2656459.867761343
CPV,FRA,1,15.75305556,9688.1291694
CPV,ITA,1,4.448194444,8180.229582516001
CPV,JPN,32,15432.666805072,13872868.155210337
CPV,KOR,1,52.13819444,153400.29134649932
CPV,PAN,2,599.4372222,340838.9499141942
CPV,PRT,6,67.381666669,30825.543609791657
CPV,RUS,1,14.08902778,83407.0444576
CPV,SEN,3,260.24680556,257547.25456723364
CPV,SLV,3,118.53652777799999,388060.6363602784
CRI,ESP,1,1.213055556,3847.932922659822
CRI,NIC,1,1253.298472,3249594.781312681
CRI,PAN,3,4.075833333,13407.6818600004
CRI,TWN,3,23.560138889999998,15566.255100379822
CRI,USA,2,203.19027773,99025.48455394497
CRI,VEN,5,1442.1556944889999,3650135.4365171185
CUW,VEN,3,1.360277777,497.1885006649157
CXR,JPN,1,1.617916667,627.3698384625881
CYP,GRC,6,297.469722245,52959.39227028881
CYP,ISR,1,0.210833333,43.762016835644374
CYP,ITA,10,1760.931805502,1013843.6253764743
CYP,MAR,1,11.68180556,7937.626491502384
CYP,TUR,20,500.039444406,199402.04767942175
DEU,ARG,1,93.79,179597.46697805
DEU,BEL,20,5445.586944489,3044990.193609223
DEU,DNK,91,10544.562083394,12121435.935257612
DEU,FRA,1,11.37569444,4186.25555392
DEU,FRO,2,125.073194444,482605.96380330634
DEU,GBR,19,14564.12500106,9352346.692645771
DEU,IRL,2,3487.396805,1666975.6727899997
DEU,ISL,1,5.239027778,5194.18170022032
DEU,NLD,161,96755.443335369,40040327.74335813
DEU,NOR,6,111.90986111000001,369508.5270525317
DEU,POL,43,4486.95611117,1444674.8749348733
DEU,PRT,1,0.960694444,2329.6840267000002
DEU,SWE,5,192.50902780299998,687489.0338958212
DJI,FRA,1,1.378333333,1102.6666664
DNK,ARG,1,14.21680556,27223.608775940476
DNK,BEL,28,10514.46513926,8410664.16259077
DNK,CAN,1,1.177916667,5888.405418333001
DNK,CHN,1,158.0840278,33358.73624460709
DNK,DEU,70,14058.056111933,5993417.467917437
DNK,EST,1,0.195694444,1080.23333088
DNK,FIN,2,22.236527773,16322.937496490002
DNK,FRA,3,12.433333337,5800.8294448100005
DNK,FRO,1,8.088333333,31228.67229922135
DNK,GBR,24,5961.17624999,8070729.603927478
DNK,GRL,1,0.465555556,810.0619634666622
DNK,IRL,5,1428.467222201,694884.1790631821
DNK,ISL,1,6.133611111,4362.71491103208
DNK,LTU,12,1562.120277642,530840.169854868
DNK,LVA,6,371.87749994800004,82179.54734962001
DNK,NLD,130,34172.850554718,29817647.925069477
DNK,NOR,69,3081.499027761,2295712.2929750998
DNK,POL,78,14709.836944313,5882747.897689922
DNK,PRT,1,7.071666667,17148.791667474998
DNK,RUS,13,45.388888888000004,178766.97462618383
DNK,SWE,110,14387.983471889,8819174.20159539
DOM,USA,4,24.289999998000003,34660.705066728806
DZA,ESP,13,252.97111114,36395.200965090466
DZA,ITA,3,98.37819443999999,54921.65119586235
DZA,MLT,2,125.31847222,73738.32358408805
ECU,CHN,9,29.821805557,26004.756594797043
ECU,COL,7,40.152083337,85395.18881642226
ECU,CRI,1,11.82833333,23819.517733887442
ECU,EGY,1,1.983194444,317.15849292332587
ECU,ESP,1,0.713472222,187.286458275
ECU,GTM,2,13.549027778,48064.9751811741
ECU,NIC,2,152.450694444,428624.9609746892
ECU,PAN,8,261.910555569,657220.3223769328
ECU,PER,1,176.6488889,255366.31126104906
ECU,SLV,1,0.91,4449.31596564
ECU,TWN,1,396.9452778,313201.6758190538
ECU,USA,3,27.899722225999998,80609.22288096143
ECU,VEN,7,314.85013889299995,662891.6173778533
EGY,CHN,1,0.414861111,632.4070557061797
EGY,FRA,1,2.285416667,1828.3333335999998
EGY,GRC,2,394.1522222,61604.07889858548
EGY,LVA,2,4.401527777,3684.925832696
EGY,RUS,1,1.33625,1178.5725
ERI,LVA,1,0.50125,442.10249999999996
ERI,RUS,1,6.037361111,6399.60277766
ESH,AGO,1,6.681944444,11375.699972771132
ESH,ARG,1,2.032916667,4823.448487430891
ESH,BES,1,84.15166667,136413.3055089251
ESH,BLZ,3,199.7201389,262714.27130357816
ESH,CHN,27,7599.371944861,5823558.81730047
ESH,CIV,2,8.636527778,10845.105908920226
ESH,CMR,1,35.95277778,24829.621463284704
ESH,CUW,1,112.2,203622.9109266
ESH,DEU,2,686.9526389,4385618.0833969815
ESH,DNK,1,278.6988889,242113.97460898012
ESH,ESP,22,3739.432916709,2209581.211304056
ESH,FLK,1,0.200972222,352.15839410755024
ESH,FRA,1,259.1290278,114275.90125980001
ESH,GIN,1,5.838611111,12246.287200724446
ESH,GRC,1,224.2365278,173079.62726209435
ESH,HUN,1,309.8941667,134470.9237160235
ESH,IDN,2,190.889166689,43138.86795499133
ESH,JPN,16,2904.354027952,2553992.667856706
ESH,KNA,1,27.89722222,147862.7149701633
ESH,KOR,1,4.616944444,27693.971755054346
ESH,LTU,1,15.46361111,81895.28443856
ESH,LVA,1,2.445,2156.49
ESH,MAR,28,46341.07361362,34157836.59540595
ESH,MRT,6,252.558333301,235701.7156377262
ESH,NAM,1,24.78569444,30588.34554129061
ESH,NLD,2,591.3031943999999,2682177.9630973865
ESH,NOR,1,0.1725,418.68337499999996
ESH,PAN,2,202.301666711,112033.22265514014
ESH,PRT,1,2440.652083,789843.82710046
ESH,RUS,11,3036.673333248,13950049.471708497
ESH,SEN,1,0.197083333,98.68621147633885
ESH,TUR,4,225.961388888,103549.17392020219
ESH,UNK,1,13.28194444,126074.49805079453
ESP,ARG,1,0.5475,1299.03900624
ESP,BES,1,1.532638889,2484.4705431669213
ESP,BLZ,2,1.2220833340000001,2583.650095753796
ESP,CHN,5,18.651527777,17319.505566097276
ESP,CMR,1,1.52,1049.7387672
ESP,DEU,4,75.839444449,40113.099307028
ESP,DNK,2,38.032916668999995,12249.820155488547
ESP,EST,2,2.615555556,2650.1977784319997
ESP,FLK,6,17.047916667,32346.136564757286
ESP,FRA,102,5032.318472218,2589125.8018710045
ESP,GBR,10,260.71222221,76633.24797023898
ESP,GCA,1,1.257222222,4390.544079682277
ESP,GEO,1,1.842777778,16799.403345064744
ESP,GIB,1,0.657638889,236.30623505075837
ESP,GIN,1,11.28791667,23676.0193153178
ESP,GNB,1,8.472777778,34467.00166590954
ESP,HUN,1,22.60944444,9810.810287036333
ESP,IRL,13,492.134305572,540002.9826635086
ESP,ITA,17,3889.0101388900002,1097820.0640328967
ESP,JPN,24,123.051250012,119879.16868310625
ESP,LTU,1,0.139722222,739.9688877120001
ESP,LVA,2,18.236111116,15340.116393136
ESP,MAR,8,31.098611116,22349.884261178122
ESP,MLT,8,3078.1880554440004,1256222.1586053793
ESP,MRT,3,8.03875,6884.537818722387
ESP,NLD,2,5.791666667,17188.745291940264
ESP,NOR,3,24.805972223999998,59782.18423092454
ESP,NZL,1,6.078055556,338.668401795856
ESP,PAN,1,0.537916667,1205.2716858152096
ESP,PRT,66,14829.609305622,7661264.000051026
ESP,RUS,4,33.932083333,63036.3117957796
ESP,SEN,1,37.23305556,18643.835269948646
ESP,SLV,1,5.380416667,17342.94456342945
ESP,SYC,1,18.28277778,9245.98605117049
ESP,UKR,1,18.700555559,7191.866125402388
EST,DEU,1,54.11194444,37878.361108000005
EST,DNK,3,162.1619444,228839.57058400105
EST,FIN,20,4895.692916351,4305602.331730772
EST,LTU,6,755.87208333,540903.45113801
EST,LVA,30,1709.0238888000001,601659.507206066
EST,POL,3,168.3675,86406.92053197965
EST,RUS,5,12.370833333,4325.3041926789865
EST,SWE,8,899.54249996,2564731.5438244008
FIN,DEU,2,20.35208333,12570.748330999999
FIN,DNK,1,9.938472222,32760.82022886039
FIN,EST,10,84.940416664,43368.5734229358
FIN,LTU,3,61.27291667,55754.11389356
FIN,POL,1,5.538333333,4098.36666642
FIN,RUS,5,46.891666664,16987.353947087602
FIN,SWE,12,313.724027773,650079.5239783258
FJI,AUS,1,1422.381806,451507.1913519009
FJI,CHN,134,22382.659861079,8652656.99416211
FJI,COK,1,12.52777778,5489.007536890326
FJI,JPN,2,2.7095833330000003,2117.060166639006
FJI,KIR,3,4.6447222230000005,12208.364105164575
FJI,KOR,4,23.600416666,21049.211624405398
FJI,TUV,1,2.874027778,7645.490226892406
FJI,TWN,27,139.695000003,91406.6963459964
FJI,USA,2,12.479583333,4128.189532322625
FJI,VUT,14,171.440694438,98309.41964751089
FLK,ARG,76,7859.544721845,12651975.635767667
FLK,BLZ,1,9.262083333,16511.262463780356
FLK,CHL,5,38.45111111,52131.47177714816
FLK,CHN,4,814.07513891,1179396.214525935
FLK,ESP,19,26138.17458143,36978139.54158593
FLK,GBR,1,2263.221944,5571599.7817392005
FLK,KOR,36,23711.92888903,30388543.222404312
FLK,NOR,1,19.89194444,22259.08582836
FLK,RUS,1,802.7316667,1608877.0854742934
FLK,TWN,72,51607.14666638,110020602.56299715
FLK,UKR,3,87.50916667,97713.14777251171
FLK,URY,2,12.600833329,9918.141167124752
FLK,VUT,4,3091.9761111,7109722.095152656
FRA,BEL,56,14118.543194022,12408554.052934846
FRA,DEU,6,828.993055588,4390785.747668844
FRA,DNK,3,7.6850000000000005,20813.78420752377
FRA,ESP,321,103938.485830456,32660571.933037397
FRA,GBR,137,48514.461387871,24953196.07033445
FRA,IRL,27,2182.865416688,944656.8953410791
FRA,ITA,29,1476.828333424,459103.0759053669
FRA,LTU,1,1.310833333,12960.092935711862
FRA,NLD,50,17488.7290275,17497436.472623546
FRA,PRT,15,182.57166666,82256.35493442453
FRA,SPM,1,1.719583333,1407.0406058322935
FRO,DEU,3,294.864166622,2007271.7920271296
FRO,DNK,6,2180.718472778,9887999.59631468
FRO,ESP,1,18.56263889,27229.7206141299
FRO,FRA,4,811.57916669,2347809.072546891
FRO,GBR,7,502.45333332900003,492221.2595596709
FRO,GRL,2,27.849722217999997,79260.51966001964
FRO,ISL,27,13864.545277564,78951067.0127839
FRO,LTU,1,1.219583333,2151.344999412
FRO,NLD,3,688.835555522,4910459.118695035
FRO,NOR,24,4025.821944581,5561101.306745393
FRO,POL,1,49.82694444,196227.8282315625
FRO,RUS,26,12056.259306405,67897887.20528984
FSM,CHN,76,110671.968750076,80359860.71017708
FSM,FJI,1,1.27875,959.658232924875
FSM,JPN,66,59586.406806172,59759588.71249493
FSM,KIR,4,152.674027752,497266.863232273
FSM,KOR,22,1345.864444221,4480299.003545912
FSM,MHL,6,299.140277766,630958.1977682861
FSM,PHL,9,1137.724861277,2781150.990186015
FSM,PNG,16,6290.01305561,17378744.50809273
