eez_iso3,flag,vessels_per_eez,effort_per_eez,kwhr
AGO,BLZ,2,295.790416642,1086263.4528443317
AGO,CHN,13,9452.276804932,5300439.165799994
AGO,CPV,1,32.9475,176041.9829252025
AGO,CUW,6,1028.81819448,3833880.5557148284
AGO,DJI,1,683.5944444,217130.6129260709
AGO,ESP,27,51309.43083265,28416658.16313569
AGO,FRA,10,1819.42361117,5826215.17175806
AGO,GCA,1,106.2548611,371069.36480802007
AGO,GEO,2,349.63277777,758225.9326738251
AGO,GTM,1,50.5675,170195.8405431125
AGO,IRL,1,6.179722222,14327.944049266433
AGO,JPN,3,3167.511944108,1795347.8894554116
AGO,KOR,1,8.133333333,7245.1733330363995
AGO,LTU,1,0.22625,291.20320727374997
AGO,NAM,11,14108.861250263,8057786.277628846
AGO,NOR,1,25.99888889,99913.40501815888
AGO,PAN,1,453.4173611,1452530.224832406
AGO,PRT,1,1316.273611,1936238.481781
AGO,RUS,3,122.19180555,539799.52885324
AGO,SEN,2,123.55555558900001,333271.218999694
AGO,SLV,2,372.60458337,1217995.358972448
AGO,STP,1,2032.734861,674163.5186091522
AGO,ZAF,1,20.07013889,14808.836186261227
ALB,GRC,8,520.053750003,119714.29176236992
ALB,ITA,20,1049.537499971,229305.80459559927
ALB,MLT,1,19.76791667,7294.361251230001
ALB,MNE,1,35.08305556,10887.770632295216
ALB,TUR,1,612.2819444,220215.12135409543
ARE,CHN,2,15.475833334,7747.886194012529
ARE,GHA,1,109.6405556,225749.9039804
ARE,IND,1,3.520277778,5085.547522589921
ARE,IRN,4,2.843333333,2068.4073823214435
ARE,KNA,1,1219.667917,643164.0995567419
ARE,KOR,1,100.4605556,118141.61338560001
ARE,MNG,1,3094.765833,1316753.1894783017
ARE,QAT,7,133.759861108,26583.42312931706
ARE,SYC,1,6.209444444,28478.020643266114
ARG,AFG,3,666.8941666329999,329443.93504799425
ARG,BLZ,1,28.40555556,50637.80646516188
ARG,CHL,8,167.471944448,335134.1788704568
ARG,CHN,77,406.995138878,513400.9152709601
ARG,ESP,20,2624.567777535,2277505.878185312
ARG,FLK,2,23.229305557,29647.913595633254
ARG,GBR,1,0.706527778,1739.3300838804
ARG,KOR,36,456.886944441,680999.288219081
ARG,NGA,1,2169.96375,2750852.3566335673
ARG,PRT,1,16.76680556,45010.489525820005
ARG,RUS,1,0.049861111,295.17777712
ARG,TWN,13,82.642777779,112605.83285156386
ARG,UKR,2,42.837638893,35619.675003396
ARG,URY,47,36588.233888733,22082277.101680018
ARG,VUT,1,0.77375,1904.1781171825
ASC,SHN,1,47.31833333,40609.307034999285
ASC,TWN,2,1.923611111,1609.1192539382066
ASM,CHN,5,25.207222221,14761.303669385234
ASM,COK,10,122.531944446,109118.27969268811
ASM,ESP,1,4.101944444,13011.775919840176
ASM,TWN,11,121.541527774,80357.9591408962
ASM,USA,32,36382.609445203,11743996.799900733
ASM,VUT,6,123.75805557000001,47974.9601199561
ATF,ALB,1,310.32499998000003,265335.278561587
ATF,ARG,1,14.48972222,27746.213966601637
ATF,AUS,2,28.95902778,97965.44389646
ATF,CHN,5,1097.49888881,1239159.3936007624
ATF,ESP,3,25.989305555,11596.038681593478
ATF,FRA,9,15058.978054349,23892237.101536147
ATF,JPN,6,53.134999999,38701.89848018763
ATF,KOR,1,5.505555556,6612.172222756
ATF,MOZ,1,8.293333333,6503.927045023921
ATF,MUS,2,5.742083333,2769.9841181879256
ATF,NZL,2,14.785138888999999,30385.997987907198
ATF,REU,1,376.67625,217471.63128739764
ATF,SYC,1,3.582361111,5903.263738185654
ATF,TWN,2,12.101944441999999,8275.517467923219
ATF,ZAF,3,54.47083332,24777.20214727203
ATG,KNA,1,21.91180556,4633.42003724134
AUS,BLZ,1,2.06375,8104.1227850862515
AUS,CHN,2,8.144027778,4619.29057724997
AUS,JPN,6,77.02555556,68441.45201987839
AUS,NCL,1,10.84722222,3677.2083325800004
AUS,NZL,1,2.710416667,1414.837500174
AUS,RUS,2,10.07625,5478.79875
AUS,TWN,2,3.142638889,3117.3060556716
AUS,VUT,1,2.191944444,2272.3888050948003
BEL,DEU,2,130.762916667,40053.089286278184
BEL,FRA,26,447.803611137,204312.62252552464
BEL,GBR,8,12011.273749756,3813138.0301201725
BEL,NLD,66,38427.881249,17251327.524049714
BEN,BLZ,1,28.065,45697.31341113
BEN,CHN,1,2.227777778,1748.229963894387
BEN,GHA,16,2008.6141665,2459084.5267980145
BES,KNA,1,80.38791667,16998.64407937294
BES,VEN,4,16.071111111,23897.047087932922
BHR,QAT,2,9.222777778000001,1737.2775647388398
BHS,ESP,1,9.674861111,2276.39807080719
BHS,USA,21,116.569861109,134026.93663680681
BMU,USA,2,30.10791667,52025.19461387748
BRA,ARG,1,2.9775,2958.352908747
BRA,BLZ,1,0.763888889,1361.763815545297
BRA,BOL,1,48.62388889,13035.561728562932
BRA,CHN,5,63.5,156251.2721226323
BRA,DNK,1,1526.972778,501537.2477626255
BRA,ESP,8,113.803888892,55075.51547601284
BRA,FLK,6,8.164444444,20950.362403791136
BRA,GRL,1,1238.088056,349137.3471931664
BRA,GUF,1,0.192222222,87.15341755457794
BRA,KNA,1,631.0698611,232842.01656086603
BRA,KOR,1,11.865,71170.224996045
BRA,NOR,1,5.504166667,7235.462684121514
BRA,PRK,2,213.58194448,56869.89399692457
BRA,PRT,2,46.15083333,27423.03110916
BRA,PSE,3,3623.7666670999997,1007700.9777882703
BRA,RUS,1,0.612361111,3625.17777712
BRA,TWN,1,6.94875,4309.7550730575
BRA,URY,4,434.399444458,125335.08207021697
BRA,USA,1,57.90777778,32403.160328577815
BRA,VCT,1,2.118888889,1458.0669916553475
BRA,VEN,1,7.265972222,2397.354967519666
BRB,FRA,1,0.923472222,339.837777696
BRB,TWN,3,4.426944444,3554.994686302573
BRB,VEN,4,47.785416669,16342.9074165021
BRN,MYS,2,236.05444448999998,69497.96476925095
BVT,ARG,1,2759.765,5284644.455215675
BVT,ZAF,1,217.9343056,217498.43698879998
CAN,CHL,2,16.13,19701.23733353216
CAN,CHN,3,205.372916662,139724.93376687975
CAN,DEU,1,11.8875,58493.900931637494
CAN,DNK,5,64.655833331,148066.67660553305
CAN,ESP,7,89.29638888299999,87390.84256524601
CAN,GRL,2,22.46666666,16403.097292065384
CAN,ISL,10,118.548333343,101422.66390651997
CAN,JPN,4,66.465555558,72247.53461029993
CAN,KOR,2,14.290972222,59635.24548237839
CAN,LTU,1,573.5601389,5670738.237447464
CAN,NOR,7,58.976527785,148448.44415952428
CAN,POL,1,25.4975,86054.0625
CAN,PRT,7,45.214861115,86845.363896303
CAN,RUS,4,42.618194451,84449.49000756
CAN,SPM,4,883.15583338,582650.9516101049
CAN,TCA,1,21.25652778,10362.824984706944
CAN,UKR,1,2.827777778,14851.488890056002
CAN,USA,119,2187.2331944029997,1769081.9713155355
CCK,CHN,1,5.196527778,7638.89583366
CCK,JPN,5,17.045138889,11572.644943116591
CHL,ARG,6,73.535833338,146475.12866397697
CHL,CHN,14,137.412083324,553771.562674301
CHL,ECU,1,5.907361111,4227.492865285305
CHL,ESP,3,25.722083338,11193.624989480259
CHL,FRA,1,15.89361111,56771.56685894558
CHL,JPN,4,36.823055553,27225.2460528311
CHL,KOR,3,124.3648611,436252.6585482225
CHL,LTU,1,12.38388889,122438.4114131538
CHL,RUS,1,110.08208334400001,651685.93339648
CHL,TWN,1,3.811666667,4265.255000373
CHL,UKR,4,52.778888889,45510.94751432583
CHL,USA,1,6.822638889,18261.4752502974
CHN,AFG,2,21.785555551999998,8509.548779068307
CHN,AGO,3,753.4852778,256678.3843765912
CHN,AIA,1,202.0519444,74176.55799284289
CHN,ALB,52,9446.555832942,2786919.569210798
CHN,AND,1,220.51986110000001,28990.322153865938
CHN,ARE,1,28.40347222,8578.288566022951
CHN,ARG,4,706.9759722389999,180484.63168212803
CHN,ARM,2,186.25847218,64250.25446198094
CHN,ATF,6,181.67625000200002,71949.64013808526
CHN,AUT,2,1005.5506945,203587.69906328846
CHN,AZE,11,3073.578749888,823307.3801044092
CHN,BDI,1,0.675416667,268.8501361224336
CHN,BEL,2,657.39,76643.38277170889
CHN,BEN,3,1856.37055557,353853.1874367753
CHN,BFA,1,41.31305556,17939.788835582705
CHN,BGD,1,0.166666667,98.91957273117248
CHN,BGR,1,20.17208333,4862.60378885223
CHN,BHR,1,44.805,8694.685182441
CHN,BHS,2,136.307500022,51469.73191186587
CHN,BIH,1,76.18569444,11392.734427412675
CHN,BLZ,8,2780.80597214,824134.0438090427
CHN,BMU,2,0.5405555559999999,175.17004083627495
CHN,BRA,2,1366.4640276999999,395775.10727707704
CHN,BRB,4,9.385138889,3638.0995674358383
CHN,BRN,2,15.27861111,3808.1607910218845
CHN,BTN,39,7890.502082893,1981414.3455216056
CHN,BWA,2,79.74708333,20209.80026653043
CHN,CAF,12,3151.69958325,566458.3587394768
CHN,CMR,1,5.440555556,2079.1617945473486
CHN,COG,4,552.90444444,152868.4475247742
CHN,COK,5,187.497500038,43567.799945885155
CHN,COL,1,54.605,12919.2794926515
CHN,COM,1,172.5466667,57561.32396111462
CHN,CPV,1,7.373055556,1469.9777171948595
CHN,CRI,1,6.254861111,1714.0100522096218
CHN,CUB,1,205.8381944,54583.611214322606
CHN,CXR,4,719.2722221700001,118112.38300012755
CHN,CYP,15,3333.735972211,859202.1861061367
CHN,CZE,1,37.25458333,16751.722818119066
CHN,DEU,11,2234.344861231,716887.5292888258
CHN,DNK,1,647.1379167,280753.38254966587
CHN,DOM,1,4.084444444,2271.868631478122
CHN,DZA,3,609.1922223,124581.00670198565
CHN,ECU,1,15.63708333,11062.734288244648
CHN,EGY,1,663.4381944,159670.86343984064
CHN,FIN,3,314.009027756,76221.91819565058
CHN,FJI,2,764.0623611,213676.42634836794
CHN,FRA,2,88.45666667,32114.300541764434
CHN,FRO,1,0.258611111,480.7274166562354
CHN,FSM,5,555.397361119,139122.4625837086
CHN,GBR,12,1540.894444381,452136.385663096
CHN,GEO,2,55.316111109999994,17616.61324880826
CHN,GIB,3,986.3909721599999,174585.25223415077
CHN,GIN,2,51.143888892,9546.572541868205
CHN,GRC,2,102.127499997,13596.429505548773
CHN,GRD,1,2.139861111,800.3264138104435
CHN,GTM,1,186.8845833,67903.48478537389
CHN,GUF,2,425.9006945,126448.83215301267
CHN,HTI,2,425.4620834,84886.14188798674
CHN,IDN,1,50.21597222,4661.274115727064
CHN,IND,3,385.64472224,144261.61064863103
CHN,IRN,6,999.3805554840001,350572.14924362506
CHN,IRQ,9,2961.77597272,1510633.2646561537
CHN,ISL,1,102.5801389,22210.34989411737
CHN,ISR,2,170.61986111,37761.84046736644
CHN,JOR,3,392.15958338900003,108773.68499102921
CHN,JPN,6,22.39888889,21054.502147611824
CHN,KGZ,4,1204.17041669,365610.6599746405
CHN,KHM,2,104.96222222,30759.728503326554
CHN,KOR,21,504.653194414,172198.3609141137
CHN,KWT,1,301.7356944,44099.0061502301
CHN,LBN,9,4456.795555411,1032645.8449337165
CHN,LIE,2,241.42777777999999,51783.396430583234
CHN,LKA,2,160.93194441,45771.4144574686
CHN,LSO,1,15.9575,2362.83223512375
CHN,LTU,1,1683.195,406484.889344232
CHN,LUX,3,453.78555557000004,150877.19401675434
CHN,MAC,2,578.283333289,133921.55644406078
CHN,MAR,1,31.08694444,8750.045717721105
CHN,MDA,7,1172.942083329,356154.7688845445
CHN,MDG,1,72.36361111,20171.80707486438
CHN,MDV,3,916.18458333,639619.0292149256
CHN,MEX,2,849.1113889200001,200785.32811339042
CHN,MHL,2,512.34125001,244480.0819745867
CHN,MLT,6,1963.839444257,407204.400243266
CHN,MMR,1,211.0268056,33181.3107377204
CHN,MNE,1,135.6730556,33575.97927295868
CHN,MNG,2,410.553333333,146770.17474658883
CHN,MRT,3,432.76361109,54871.383730036985
CHN,MSR,1,85.05888889,26790.40450562707
CHN,MTQ,1,784.6272222,143679.83829422746
CHN,MWI,8,633.733055594,185187.0642837207
CHN,NAM,1,423.0111111,101518.41252585789
CHN,NCL,1,27.42277778,12479.875064960537
CHN,NER,1,36.42541667,20280.5774035149
CHN,NIC,2,83.09597222,37941.59208999475
CHN,NIU,2,270.75791668,212134.8784475513
CHN,NLD,2,79.49361111,85908.03611461433
CHN,NOR,4,1009.0198611000001,315601.8939794655
CHN,NPL,1,870.7223611,154908.92755200117
CHN,NRU,1,45.6175,9002.729456956
CHN,NZL,8,2101.233888843,603743.8615033587
CHN,OMN,2,571.7880555,143472.12330033793
CHN,PAN,20,2241.2006944,815274.5046209692
CHN,PCN,5,422.93527779,131832.23928943643
