flag,total_vessels,total_kwhr,pct_effort,average_length,average_tonnage
RUS,436,11255228628.042107,0.1694,65.81933348594215,2157.177021434005
CHN,6255,8145229902.33082,0.1226,33.372213716139164,367.82588380278617
TWN,810,6545346733.729182,0.0985,39.32461569298298,365.8047745836454
NOR,367,6487145702.173351,0.0977,48.893482064440036,1328.1705854006318
KOR,363,3165479605.1567707,0.0477,49.800598992341904,708.3308541135842
JPN,286,2906603958.0497956,0.0438,48.220129581680766,467.1162757194867
FRA,494,2278264646.402426,0.0343,28.481813479475978,372.68293790375174
ISL,89,2113510050.0182867,0.0318,52.15576079818518,1374.7486752966581
ESP,688,1875586587.3924274,0.0282,32.17768758587345,366.7050535491036
DNK,295,1692346603.271073,0.0255,30.328771511860413,537.9335232010822
NLD,249,1655153951.1623363,0.0249,34.40802795048403,646.5124313640516
FRO,50,1498723812.0069933,0.0226,53.01380487044184,1664.7028407748573
ARG,110,1486982634.954381,0.0224,51.6806882405034,995.4391289362036
DEU,132,1300096044.0990732,0.0196,37.53555080272885,974.1092550978702
GBR,393,1159891780.1552851,0.0175,28.281078452573134,403.2821041537095
USA,270,1020537206.8925799,0.0154,38.481812089515,704.7773341101754
ITA,667,872077051.7959765,0.0131,23.028463154211966,98.661211095693
CAN,117,790424273.2700262,0.0119,30.20814975346715,644.5607785979294
VUT,48,629924695.5537007,0.0095,49.278077397507936,575.0486526105973
PRT,92,507133497.38345116,0.0076,33.159657547194776,427.56856638530274
PNG,18,492803372.4093179,0.0074,73.93453684616189,1567.5593482707677
FSM,29,487145686.8746941,0.0073,62.22943242275871,1265.4860873061907
EST,26,472849642.33011633,0.0071,36.96157581232952,733.3002606668964
LTU,28,387579556.6368826,0.0058,41.578459474422814,1091.649149071864
SWE,147,378601544.878553,0.0057,24.79569548566042,258.1729919884852
BEL,75,376311146.6247942,0.0057,29.557707469251245,213.60025595772584
SYC,36,363020066.2226908,0.0055,47.44534227536629,516.6651487267641
FLK,15,356857723.56718534,0.0054,65.3138297860194,1735.3833333333334
GRL,13,349343259.090165,0.0053,53.50014183579199,1652.2062670350658
CHL,13,321376632.6970683,0.0048,61.889830508474574,1610.3172033898304
MEX,24,288681529.4085342,0.0043,70.32856684115637,1541.4012663961012
IRL,176,276901947.5026619,0.0042,29.1203062456088,338.3202126250108
KIR,12,248451069.53339228,0.0037,68.41644212928352,1609.9376058175721
POL,126,229348130.3601544,0.0035,24.38298985577159,214.23688336901122
GHA,31,209928626.35594726,0.0032,54.18769546120486,711.318527309094
FJI,31,203335995.20077744,0.0031,35.61897964716501,210.49731326272146
SEN,40,189473569.16858613,0.0029,38.39874050117227,591.7075241642432
MHL,10,187094946.8948782,0.0028,67.11745460796077,1280.4065440735942
GNB,9,173633721.77648827,0.0026,68.33516997538148,2612.901645338224
URY,51,163434149.98873553,0.0025,31.789017716259828,308.9219617471478
NZL,16,151282777.86863416,0.0023,48.98470164262717,1027.8649412990492
UKR,9,144543319.3448165,0.0022,56.85933042326116,1735.0161081471883
BLZ,23,144357470.4773374,0.0022,66.54425730677627,2077.02728216431
LKA,79,143792312.1493916,0.0022,22.29190547549206,67.05477416342607
LVA,57,119584499.34777586,0.0018,31.35920716501092,311.8612846952138
NAM,21,119287620.13935226,0.0018,43.4257843629475,705.5185986573683
CUW,7,116159230.64802396,0.0017,81.57462952678883,2350.6382978723404
PHL,20,111433011.22889015,0.0017,66.19713750281167,1088.2716206358255
FIN,29,109917809.43084039,0.0017,32.79470752738527,306.8505052823026
SLV,7,105276928.33032614,0.0016,78.43498047193171,2157.1457680276685
COL,11,100274854.75582609,0.0015,59.31182803202781,1124.5643369043414
VCT,7,91380563.49004434,0.0014,44.63164966877014,640.3305296609091
CYP,26,90143863.93843463,0.0014,34.24263519135711,463.68341097528497
MYS,12,86673819.40269251,0.0013,27.86895764541174,122.91725313231802
COK,18,84526387.93608955,0.0013,30.315020092249245,212.23504788734635
TUR,316,78000735.45658073,0.0012,28.881122177995735,145.77002994362243
AGO,18,73438158.82157984,0.0011,34.42896761827851,335.75595661348746
SLB,7,73051778.90910687,0.0011,65.85584244037626,1326.1395566357733
PAN,40,69819064.6102992,0.0011,49.372322371232194,940.5512299307451
ZAF,22,67569597.19390386,0.001,32.19555742288954,279.3071277511409
VEN,25,62591089.19001846,9e-4,48.25227513678473,659.0001933235383
MAR,31,62251860.263106234,9e-4,45.02429022260062,833.3084628512896
GRC,68,53161807.736499235,8e-4,23.604224753535235,94.79914106142068
GIN,4,37560041.69474307,6e-4,57.23545671009402,1360.4031939951333
CIV,2,37457145.395538315,6e-4,50.9881585623991,655.4666666666667
REU,21,36253493.203442775,5e-4,43.50370475191522,886.3871577570039
CPV,2,34561079.925859995,5e-4,85.05557143311817,2615.0658640646816
HRV,30,33270621.06228608,5e-4,26.885365217704297,150.41087852730624
ECU,9,31779967.164845306,5e-4,70.86390849849417,1725.0575814422048
GTM,4,28061519.705519225,4e-4,74.48158116822614,2018.9610988746
MOZ,5,25313737.48814743,4e-4,36.30954637214513,303.8451091515386
ALB,82,23844347.90346644,4e-4,24.798489902248626,146.79407873634216
NIC,5,23808621.708780847,4e-4,62.80091398449091,1381.5505807783923
MRT,11,23728756.073390856,4e-4,37.10458422472901,307.7253112831036
MLT,47,21475155.954815634,3e-4,23.756753643179486,118.78280375081367
AUS,10,21368960.147463277,3e-4,38.897642506956714,769.0713850430844
MUS,9,19599682.094403543,3e-4,44.997007212906,989.8649254044193
