Country,EEZs
ARG,AFG
ARG,BLZ
ARG,CHL
ARG,CHN
ARG,ESP
ARG,FLK
ARG,GBR
ARG,KOR
ARG,NGA
ARG,PRT
ARG,RUS
ARG,TWN
ARG,UKR
ARG,URY
ARG,VUT
