flag,eez_iso3,effort_per_eez
CHN,TAA,22.893055552
CHN,TGO,20.43805556
CHN,THA,134.5945833
CHN,TKL,4.484999999
CHN,TON,3.584444444
CHN,TTO,4.976388889
CHN,TUV,6648.218888372
CHN,TWN,209687.88333076698
CHN,TZA,7980.1819445
CHN,UMI,3.321249999
CHN,URY,420.702500009
CHN,USA,49.375277782000005
CHN,VNM,10146.019583476
CHN,VUT,116410.546243894
CHN,WLF,7.518472222
CHN,WSM,135.89777777700002
CHN,ZAF,207.714583336
CIV,CPV,162.3229167
CIV,ESH,8.636527778
CIV,GHA,8.07
CIV,GIN,184.6426389
CIV,GNB,8.649166667
CIV,LBR,0.961944444
CIV,MRT,1510.4930557
CIV,SEN,46.94222222
CIV,SLE,127.6781944
CMR,CHN,5.440555556
CMR,ESH,35.95277778
CMR,ESP,1.52
CMR,MRT,252.6375
COG,CHN,552.90444444
COG,THA,12.17013889
COG,TWN,18.34569444
COK,ASM,122.531944446
COK,CHN,187.497500038
COK,FJI,12.52777778
COK,MUS,0.538194444
COK,NIU,3462.7104167780003
COK,PLW,167.8459722
COK,TKL,5159.49472236
COK,TON,0.234444444
COK,WLF,0.801805556
COK,WSM,10695.351250558
COL,CHN,54.605
COL,ECU,40.152083337
COL,NIC,6.281805556
COL,PAN,9.658333333
COL,PER,1.670277778
COM,CHN,172.5466667
COM,GMB,1170.441806
COM,MRT,8.392916667
COM,MUS,1946.7872223
COM,SEN,20.1925
CPV,AGO,32.9475
CPV,CHN,7.373055556
CPV,CIV,54.01027778
CPV,GAB,401.4258333
CPV,GHA,8.537638889
CPV,GIN,0.230555556
CPV,LBR,16.43277778
CPV,SLE,0.525694444
CPV,STP,15.89430556
CRI,CHN,6.254861111
CRI,ECU,11.82833333
CUB,CHN,205.8381944
CUW,AGO,1028.81819448
CUW,CIV,544.27888894
CUW,ESH,112.2
CUW,GAB,1070.0361111
CUW,GHA,130.998888897
CUW,GNQ,0.093055556
CUW,LBR,298.5006944
CUW,MRT,747.900138871
CUW,SEN,0.566805556
CUW,SLE,108.56986107799999
CUW,STP,105.16888888999999
CXR,CHN,719.2722221700001
CYP,CHN,3333.735972211
CYP,GBR,0.232361111
CYP,GGY,3.817777778
CYP,GRC,808.2502778
CYP,HRV,340.0220833
CYP,ITA,1142.995833
CYP,JPN,57.08208333
CYP,KOR,11.864305556
CYP,LBY,733.9848611
CYP,MLT,871.315833367
CYP,NOR,2076.865417
CYP,RUS,10599.517501
CYP,SJM,1543.136944
CYP,SYR,22.55791667
CYP,TUN,431.2773611
CYP,TUR,95.94694444
CZE,CHN,37.25458333
DEU,BEL,130.762916667
DEU,CAN,11.8875
