year,ssvid,flag,eez_iso3,vessel_class,length_m,length_class,tonnage_gt,engine_power_kw,fishing_hours_year_tot,fishing_hours_year_eez_fao,kwhr,kwhr_in_eez
2018,416000144,TWN,MNP,drifting_longlines,23.8,"[20,25)",72,447.6,3253.29625,42.20277778,1456175.4015,18889.963334328
2018,416000146,TWN,MHL,drifting_longlines,29.6,"[25,30)",97.2775,559.5,4315.472361,7.639166667,2414506.7859795,4274.1137501865
2018,416000146,TWN,UMI,drifting_longlines,29.6,"[25,30)",97.2775,559.5,4315.472361,1.864861111,2414506.7859795,1043.3897916045
2018,416000154,TWN,MUS,drifting_longlines,27.13,"[25,30)",96.09,447.6,4131.755139,2209.71125,1849373.6002164,989066.7555
2018,416000154,TWN,REU,drifting_longlines,27.13,"[25,30)",96.09,447.6,4131.755139,0.130972222,1849373.6002164,58.6231665672
2018,416000195,TWN,CHN,drifting_longlines,19.5,"[15,20)",36.32,427.458,23.01666667,23.01666667,9838.65830142486,9838.65830142486
2018,416000196,TWN,FSM,drifting_longlines,22.96723266,"[20,25)",80.27636903,529.6894199,3471.878889,7.532777778,1839017.5146774664,3990.0326914644306
2018,416000196,TWN,JPN,drifting_longlines,22.96723266,"[20,25)",80.27636903,529.6894199,3471.878889,2.502916667,1839017.5146774664,1325.7684774012714
2018,416000196,TWN,MHL,drifting_longlines,22.96723266,"[20,25)",80.27636903,529.6894199,3471.878889,1.365833333,1839017.5146774664,723.4674658368535
2018,416000199,TWN,JPN,drifting_longlines,22.85,"[20,25)",67.19,335.7,3013.97375,6.0275,1011790.987875,2023.43175
2018,416000211,TWN,PLW,drifting_longlines,21.6,"[20,25)",48.61,447.42,4339.887361,22.81069444,1941752.4030586202,10205.9609063448
2018,416000211,TWN,PHL,drifting_longlines,21.6,"[20,25)",48.61,447.42,4339.887361,18.04208333,1941752.4030586202,8072.388923508601
2018,416000211,TWN,FSM,drifting_longlines,21.6,"[20,25)",48.61,447.42,4339.887361,4.674583333,1941752.4030586202,2091.50207485086
2018,416000212,TWN,JPN,drifting_longlines,24.5,"[20,25)",61.53,447.6,3314.916389,3.158611111,1483756.5757164,1413.7943332836
2018,416000221,TWN,FSM,drifting_longlines,22.05,"[20,25)",71.45,462.52,5755.455139,4.684305556,2662013.1108902795,2166.58500576112
2018,416000223,TWN,MUS,drifting_longlines,23.6,"[20,25)",76.66,618.434,3463.457083,2244.0925,2141919.617668022,1387823.101145
2018,416000223,TWN,REU,drifting_longlines,23.6,"[20,25)",76.66,618.434,3463.457083,4.046944444,2141919.617668022,2502.768040280696
2018,416000228,TWN,PLW,drifting_longlines,21.97935477,"[20,25)",45.04234995,443.4841889,4066.289861,27.62111111,1803335.2608378788,12249.526057135128
2018,416000228,TWN,JPN,drifting_longlines,21.97935477,"[20,25)",45.04234995,443.4841889,4066.289861,19.96847222,1803335.2608378788,8855.701706058882
2018,416000228,TWN,FSM,drifting_longlines,21.97935477,"[20,25)",45.04234995,443.4841889,4066.289861,2.050833333,1803335.2608378788,909.5121572545886
2018,416000229,TWN,LKA,drifting_longlines,23.2,"[20,25)",55.93,447.6,3276.493889,148.6652778,1466558.6647164,66542.57834328001
2018,416000229,TWN,MDV,drifting_longlines,23.2,"[20,25)",55.93,447.6,3276.493889,3.120972222,1466558.6647164,1396.9471665672
2018,416000234,TWN,FSM,drifting_longlines,22.59129835,"[20,25)",62.05097132,499.4787186,3547.930417,0.390972222,1772115.7383651235,195.28230445275472
2018,416000235,TWN,SLB,drifting_longlines,27.66666667,"[25,30)",97,550.3584877,4964.329028,4964.329028,2732160.6162952906,2732160.6162952906
2018,416000236,TWN,MNP,drifting_longlines,24.5,"[20,25)",61.6825,451.33,2971.635139,3.07875,1341188.08728487,1389.5322374999998
2018,416000236,TWN,JPN,drifting_longlines,24.5,"[20,25)",61.6825,451.33,2971.635139,1.743472222,1341188.08728487,786.88131795526
2018,416000238,TWN,MNP,drifting_longlines,24.57,"[20,25)",64.98,451.33,3503.764583,2.053333333,1581354.06924539,926.7309331828899
2018,416000246,TWN,MNP,drifting_longlines,22.65,"[20,25)",57.21,447.6,3545.955972,22.28527778,1587169.8930672002,9974.890334328002
2018,416000247,TWN,MHL,drifting_longlines,25.74690455,"[25,30)",83.13592872,543.0682651,4756.74125,0.706111111,2583235.218167105,383.4665360186035
2018,416000251,TWN,THA,drifting_longlines,24.54,"[20,25)",64.93,335.7,1858.213194,6.741805556,623802.1692258,2263.2241251492
2018,416000251,TWN,MYS,drifting_longlines,24.54,"[20,25)",64.93,335.7,1858.213194,4.554305556,623802.1692258,1528.8803751492
2018,416000257,TWN,JPN,drifting_longlines,22.87,"[20,25)",62.47,559.5,3772.029444,25.07638889,2110450.473918,14030.239583955
2018,416000257,TWN,JPN,drifting_longlines,22.87,"[20,25)",62.47,559.5,3772.029444,9.661666667,2110450.473918,5405.7025001865
2018,416000265,TWN,JPN,drifting_longlines,22.06,"[20,25)",52.06,559.5,2166.579861,9.654305556,1212201.4322295,5401.583958582
2018,416000275,TWN,JPN,drifting_longlines,22.1,"[20,25)",49.82,447.6,2481.925694,18.63805556,1110909.9406344001,8342.393668656001
2018,416000277,TWN,FSM,trawlers,27.64530169,"[25,30)",192.9639802,827.9544318,830.3066667,0.621666667,687456.0844473505,514.7116720449848
2018,416000284,TWN,MDV,drifting_longlines,27,"[25,30)",78.75,447.6,4348.342361,5.629166667,1946318.0407836002,2519.6150001492
2018,416000285,TWN,FSM,drifting_longlines,23.38,"[20,25)",63.19,447.6,4165.733472,1.582361111,1864582.3020672,708.2648332836001
2018,416000299,TWN,PLW,drifting_longlines,22.5,"[20,25)",53.51,527.422,1730.4375,19.40083333,912670.807125,10232.426316575262
2018,416000299,TWN,FSM,drifting_longlines,22.5,"[20,25)",53.51,527.422,1730.4375,12.03694444,912670.807125,6348.54931043368
2018,416000301,TWN,JPN,drifting_longlines,23.6,"[20,25)",62.1125,700.494,2680.46,75.20236111,1877646.14724,52678.80274338834
2018,416000301,TWN,PYF,drifting_longlines,23.6,"[20,25)",62.1125,700.494,2680.46,0.481388889,1877646.14724,337.210028411166
2018,416000303,TWN,LKA,drifting_longlines,27,"[25,30)",79.46,447.6,5658.457361,11.30555556,2532725.5147836,5060.366668656
2018,416000303,TWN,MDV,drifting_longlines,27,"[25,30)",79.46,447.6,5658.457361,7.262777778,2532725.5147836,3250.8193334328002
2018,416000303,TWN,IOT,drifting_longlines,27,"[25,30)",79.46,447.6,5658.457361,5.586666667,2532725.5147836,2500.5920001492004
2018,416000307,TWN,JPN,fishing,21.1,"[20,25)",33.85,406.57,26.49263889,26.49263889,10771.112193507299,10771.112193507299
2018,416000344,TWN,MNP,drifting_longlines,22.2,"[20,25)",56.89,451.33,1180.35,2.178055556,532727.3655,983.0218140894799
2018,416000358,TWN,PLW,drifting_longlines,26.15,"[25,30)",76.36,447.6,4750.489028,1457.763472,2126318.8889328,652494.9300672001
2018,416000358,TWN,MHL,drifting_longlines,26.15,"[25,30)",76.36,447.6,4750.489028,10.94458333,2126318.8889328,4898.7954985080005
2018,416000358,TWN,JPN,drifting_longlines,26.15,"[25,30)",76.36,447.6,4750.489028,7.2668055560000004,2126318.8889328,3252.6221668656003
2018,416000358,TWN,FSM,drifting_longlines,26.15,"[25,30)",76.36,447.6,4750.489028,5.501805556,2126318.8889328,2462.6081668656
2018,416000358,TWN,PHL,drifting_longlines,26.15,"[25,30)",76.36,447.6,4750.489028,5.307361111,2126318.8889328,2375.5748332836
2018,416000358,TWN,UMI,drifting_longlines,26.15,"[25,30)",76.36,447.6,4750.489028,0.320138889,2126318.8889328,143.29416671639999
2018,416000361,TWN,JPN,drifting_longlines,22.85,"[20,25)",58.53,447.6,2602.708611,12.15194444,1164972.3742836001,5439.210331344
2018,416000369,TWN,CHN,drifting_longlines,22,"[20,25)",48.85,447.6,2370.177361,1477.671806,1060891.3867836,661405.9003656
2018,416000369,TWN,JPN,drifting_longlines,22,"[20,25)",48.85,447.6,2370.177361,16.87666667,1060891.3867836,7553.996001492
2018,416000392,TWN,PLW,drifting_longlines,22.59,"[20,25)",62.58,451.148,3287.31375,1881.754028,1483065.023685,848949.5662241441
2018,416000392,TWN,JPN,drifting_longlines,22.59,"[20,25)",62.58,451.148,3287.31375,22.34319444,1483065.023685,10080.087485217122
2018,416000392,TWN,FSM,drifting_longlines,22.59,"[20,25)",62.58,451.148,3287.31375,5.720416667,1483065.023685,2580.7545384837163
2018,416000405,TWN,MHL,drifting_longlines,28.58851109,"[25,30)",100.1133939,628.3601267,3583.718056,30.91,2251865.531725238,19422.611516297
2018,416000405,TWN,JPN,drifting_longlines,28.58851109,"[25,30)",100.1133939,628.3601267,3583.718056,26.09194444,2251865.531725238,16395.13751416776
2018,416000405,TWN,MNP,drifting_longlines,28.58851109,"[25,30)",100.1133939,628.3601267,3583.718056,9.396388889,2251865.531725238,5904.316112814513
2018,416000411,TWN,MHL,drifting_longlines,29.6,"[25,30)",97.185,618.434,5518.908056,643.1972222,3413080.384704304,397775.0309140348
2018,416000411,TWN,JPN,drifting_longlines,29.6,"[25,30)",97.185,618.434,5518.908056,0.873888889,3413080.384704304,540.4426011798259
2018,416000412,TWN,MHL,drifting_longlines,27.05,"[25,30)",99.86,559.5,3059.195278,22.46430556,1711619.758041,12568.77896082
2018,416000415,TWN,PLW,drifting_longlines,21.95,"[20,25)",55.71,559.5,2868.162778,2.768055556,1604737.074291,1548.7270835820002
2018,416000415,TWN,FSM,drifting_longlines,21.95,"[20,25)",55.71,559.5,2868.162778,1.678611111,1604737.074291,939.1829166045
2018,416000425,TWN,JPN,drifting_longlines,23.7,"[20,25)",75.52,527.422,1573.222222,32.13930556,829752.0107716841,16950.97681706632
2018,416000445,TWN,PLW,drifting_longlines,20.36,"[20,25)",36.92753695,335.7,1527.728194,1527.728194,512858.3547258,512858.3547258
2018,416000447,TWN,PLW,drifting_longlines,20.28,"[20,25)",41.46846171,298.4,2416.666389,1576.299444,721133.2504775999,470367.75408959994
2018,416000447,TWN,JPN,drifting_longlines,20.28,"[20,25)",41.46846171,298.4,2416.666389,5.62,721133.2504775999,1677.0079999999998
2018,416000447,TWN,FSM,drifting_longlines,20.28,"[20,25)",41.46846171,298.4,2416.666389,0.998194444,721133.2504775999,297.8612220896
2018,416000461,TWN,MNP,drifting_longlines,29.1625,"[25,30)",98.97,484.9,4020.612222,2.487777778,1949594.8664478,1206.3234445521998
2018,416000461,TWN,JPN,drifting_longlines,29.1625,"[25,30)",98.97,484.9,4020.612222,0.02125,1949594.8664478,10.304125
2018,416000462,TWN,JPN,drifting_longlines,27,"[25,30)",75.91,447.6,1987.690694,4.539166667,889690.3546344,2031.7310001492
2018,416000466,TWN,THA,drifting_longlines,22.5,"[20,25)",53.3,527.422,1290.635417,1.041805556,680709.512904974,549.471169956632
