flag,vessel_class,number_vesselclass
GBR,dredge_fishing,51
GBR,drifting_longlines,2
GBR,fishing,21
GBR,fixed_gear,4
GBR,other_purse_seines,2
GBR,other_seines,3
GBR,pots_and_traps,36
GBR,set_gillnets,28
GBR,set_longlines,9
GBR,trawlers,235
GBR,tuna_purse_seines,2
GCA,tuna_purse_seines,1
GEO,drifting_longlines,1
GEO,fishing,1
GEO,squid_jigger,1
GEO,trawlers,2
GEO,tuna_purse_seines,1
GHA,fishing,7
GHA,pole_and_line,10
GHA,trawlers,5
GHA,tuna_purse_seines,9
GIB,drifting_longlines,1
GIB,set_gillnets,2
GIB,trawlers,1
GIN,fishing,1
GIN,set_gillnets,1
GIN,trawlers,1
GIN,tuna_purse_seines,1
GMB,trawlers,2
GNB,trawlers,9
GNQ,fishing,2
GNQ,other_purse_seines,2
GNQ,purse_seines,2
GNQ,set_gillnets,2
GNQ,trawlers,4
GRC,drifting_longlines,9
GRC,fishing,2
GRC,fixed_gear,1
GRC,other_purse_seines,3
GRC,set_gillnets,3
GRC,set_longlines,2
GRC,trawlers,48
GRD,trawlers,1
GRL,drifting_longlines,1
GRL,trawlers,12
GTM,drifting_longlines,1
GTM,tuna_purse_seines,3
GUF,drifting_longlines,1
GUF,fishing,1
GUF,trawlers,1
GUY,other_purse_seines,1
HND,set_gillnets,1
HRV,other_purse_seines,20
HRV,set_gillnets,1
HRV,trawlers,9
HTI,fishing,1
HTI,trawlers,1
HUN,trawlers,1
IDN,drifting_longlines,2
IDN,fishing,2
IDN,other_purse_seines,3
IDN,pots_and_traps,1
IDN,set_gillnets,4
IDN,set_longlines,1
IDN,trawlers,3
IND,drifting_longlines,3
IND,trawlers,1
IND,tuna_purse_seines,1
IRL,dredge_fishing,9
IRL,fishing,4
IRL,other_seines,1
IRL,pots_and_traps,2
IRL,set_gillnets,4
IRL,set_longlines,1
IRL,trawlers,155
IRN,drifting_longlines,2
IRN,fishing,1
IRN,set_gillnets,1
IRN,set_longlines,1
IRN,trawlers,10
IRN,tuna_purse_seines,1
IRQ,dredge_fishing,5
IRQ,drifting_longlines,1
IRQ,fishing,1
IRQ,set_longlines,1
IRQ,trawlers,1
ISL,fishing,4
ISL,fixed_gear,1
ISL,other_purse_seines,7
ISL,other_seines,4
ISL,pole_and_line,10
ISL,set_gillnets,1
ISL,set_longlines,7
ISL,trawlers,55
ISR,set_gillnets,2
ISR,trawlers,1
ITA,drifting_longlines,1
ITA,fishing,20
ITA,fixed_gear,2
ITA,other_purse_seines,16
ITA,purse_seines,2
ITA,set_gillnets,1
ITA,set_longlines,59
ITA,trawlers,565
ITA,tuna_purse_seines,1
JOR,set_gillnets,1
JOR,trawlers,2
JPN,drifting_longlines,207
JPN,fishing,4
JPN,other_fishing,4
JPN,other_purse_seines,10
JPN,pole_and_line,22
JPN,set_longlines,4
JPN,trawlers,6
JPN,tuna_purse_seines,29
KEN,drifting_longlines,1
KGZ,fishing,2
KGZ,other_purse_seines,1
KGZ,trawlers,1
KHM,fishing,2
KHM,trawlers,1
KIR,drifting_longlines,1
KIR,tuna_purse_seines,11
KNA,drifting_longlines,1
KNA,fishing,2
KNA,other_fishing,1
KNA,set_gillnets,1
KNA,trawlers,3
KOR,drifting_longlines,96
KOR,driftnets,1
KOR,fishing,34
KOR,fixed_gear,25
KOR,purse_seines,1
KOR,set_gillnets,15
KOR,set_longlines,70
KOR,squid_jigger,41
KOR,trawlers,51
KOR,tuna_purse_seines,29
KWT,set_gillnets,1
LBN,drifting_longlines,1
LBN,fishing,2
LBN,trawlers,6
LBR,trawlers,1
LBY,fishing,5
LBY,other_purse_seines,4
LBY,purse_seines,1
LBY,set_longlines,1
LBY,trawlers,2
LIE,set_gillnets,1
LIE,trawlers,1
LIE,trollers,1
LKA,drifting_longlines,73
LKA,set_gillnets,2
LKA,squid_jigger,3
LKA,trawlers,1
LSO,set_gillnets,1
LTU,fishing,1
LTU,set_gillnets,2
LTU,trawlers,25
LUX,trawlers,3
LVA,drifting_longlines,1
LVA,fixed_gear,1
LVA,pots_and_traps,4
LVA,set_longlines,1
LVA,trawlers,50
MAC,dredge_fishing,1
MAC,pots_and_traps,1
MAR,fishing,1
MAR,other_purse_seines,3
MAR,trawlers,27
MDA,drifting_longlines,3
MDA,set_gillnets,1
MDA,trawlers,3
MDG,fishing,1
MDV,trawlers,3
MEX,set_longlines,1
MEX,tuna_purse_seines,23
MHL,drifting_longlines,1
MHL,trawlers,1
MHL,tuna_purse_seines,8
MLT,drifting_longlines,13
MLT,fishing,10
MLT,fixed_gear,2
MLT,other_purse_seines,1
MLT,set_gillnets,2
MLT,set_longlines,4
MLT,trawlers,15
MMR,set_gillnets,1
MNE,drifting_longlines,1
MNE,fishing,1
MNE,fixed_gear,1
MNE,pots_and_traps,1
MNE,trawlers,1
MNG,drifting_longlines,2
MNG,trawlers,1
MNG,trollers,1
MNG,tuna_purse_seines,2
MOZ,drifting_longlines,1
MOZ,fishing,1
MOZ,trawlers,3
MRT,fishing,1
MRT,set_gillnets,1
MRT,set_longlines,2
MRT,trawlers,7
MSR,trawlers,1
MTQ,trawlers,1
MUS,drifting_longlines,7
MUS,tuna_purse_seines,2
MWI,fixed_gear,1
MWI,other_purse_seines,1
MWI,set_gillnets,2
MWI,set_longlines,1
MWI,trawlers,2
MWI,tuna_purse_seines,1
MYS,dredge_fishing,1
MYS,drifting_longlines,8
MYS,fishing,2
MYS,set_gillnets,1
NAM,drifting_longlines,1
NAM,fishing,2
NAM,fixed_gear,1
NAM,other_purse_seines,1
NAM,pole_and_line,1
NAM,purse_seines,1
NAM,set_gillnets,1
NAM,set_longlines,2
NAM,trawlers,11
NCL,drifting_longlines,5
NER,driftnets,1
NGA,drifting_longlines,1
NIC,fishing,2
NIC,tuna_purse_seines,3
NIU,drifting_longlines,1
NIU,tuna_purse_seines,1
NLD,dredge_fishing,4
NLD,drifting_longlines,2
NLD,fishing,4
NLD,other_fishing,1
NLD,other_purse_seines,1
NLD,other_seines,9
NLD,set_gillnets,3
NLD,trawlers,225
NOR,drifting_longlines,1
NOR,fishing,45
NOR,fixed_gear,13
NOR,other_purse_seines,41
NOR,other_seines,1
NOR,purse_seines,1
NOR,set_gillnets,7
NOR,set_longlines,35
NOR,trawlers,222
NOR,trollers,1
NPL,dredge_fishing,1
NRU,fishing,1
NRU,pole_and_line,1
NRU,tuna_purse_seines,1
NZL,drifting_longlines,1
NZL,fishing,1
NZL,set_gillnets,3
NZL,set_longlines,1
NZL,trawlers,8
NZL,tuna_purse_seines,2
OMN,set_gillnets,1
OMN,trawlers,1
PAN,dredge_fishing,1
PAN,drifting_longlines,5
PAN,fishing,5
PAN,other_purse_seines,1
PAN,pole_and_line,2
PAN,purse_seines,1
PAN,set_longlines,1
PAN,squid_jigger,1
PAN,trawlers,5
PAN,tuna_purse_seines,18
PCN,drifting_longlines,3
PCN,trawlers,2
PER,fishing,1
PER,set_gillnets,1
PER,tuna_purse_seines,1
PHL,set_gillnets,1
PHL,tuna_purse_seines,19
PNG,tuna_purse_seines,18
POL,fishing,4
POL,set_gillnets,4
POL,trawlers,117
POL,trollers,1
PRK,drifting_longlines,2
PRK,set_longlines,1
PRK,trawlers,2
PRT,drifting_longlines,29
PRT,fishing,2
PRT,other_purse_seines,3
PRT,pole_and_line,1
PRT,set_gillnets,9
PRT,set_longlines,2
PRT,trawlers,46
PSE,drifting_longlines,2
PSE,trawlers,2
PYF,fishing,1
PYF,set_gillnets,1
PYF,trawlers,1
QAT,drifting_longlines,1
QAT,fishing,1
QAT,pots_and_traps,2
QAT,set_longlines,6
QAT,trawlers,1
REU,drifting_longlines,11
REU,fishing,2
REU,set_gillnets,1
