eez_iso3,number_countries_in_EEZ,eez_fished
AGO,23,BLZ
AGO,23,CHN
AGO,23,CPV
AGO,23,CUW
AGO,23,DJI
AGO,23,ESP
AGO,23,FRA
AGO,23,GCA
AGO,23,GEO
AGO,23,GTM
AGO,23,IRL
AGO,23,JPN
AGO,23,KOR
AGO,23,LTU
AGO,23,NAM
AGO,23,NOR
AGO,23,PAN
AGO,23,PRT
AGO,23,RUS
AGO,23,SEN
AGO,23,SLV
AGO,23,STP
AGO,23,ZAF
ALB,5,GRC
ALB,5,ITA
ALB,5,MLT
ALB,5,MNE
ALB,5,TUR
ARE,9,CHN
ARE,9,GHA
ARE,9,IND
ARE,9,IRN
ARE,9,KNA
ARE,9,KOR
ARE,9,MNG
ARE,9,QAT
ARE,9,SYC
ARG,15,AFG
ARG,15,BLZ
ARG,15,CHL
ARG,15,CHN
ARG,15,ESP
ARG,15,FLK
ARG,15,GBR
ARG,15,KOR
ARG,15,NGA
ARG,15,PRT
ARG,15,RUS
ARG,15,TWN
ARG,15,UKR
ARG,15,URY
ARG,15,VUT
ASC,2,SHN
ASC,2,TWN
ASM,6,CHN
ASM,6,COK
ASM,6,ESP
ASM,6,TWN
ASM,6,USA
ASM,6,VUT
ATF,15,ALB
ATF,15,ARG
ATF,15,AUS
ATF,15,CHN
ATF,15,ESP
ATF,15,FRA
ATF,15,JPN
ATF,15,KOR
ATF,15,MOZ
ATF,15,MUS
ATF,15,NZL
ATF,15,REU
ATF,15,SYC
ATF,15,TWN
ATF,15,ZAF
ATG,1,KNA
AUS,8,BLZ
AUS,8,CHN
AUS,8,JPN
AUS,8,NCL
AUS,8,NZL
AUS,8,RUS
AUS,8,TWN
AUS,8,VUT
BEL,4,DEU
BEL,4,FRA
BEL,4,GBR
BEL,4,NLD
BEN,3,BLZ
BEN,3,CHN
BEN,3,GHA
BES,2,KNA
BES,2,VEN
BHR,1,QAT
BHS,2,ESP
BHS,2,USA
BMU,1,USA
BRA,21,ARG
BRA,21,BLZ
BRA,21,BOL
BRA,21,CHN
BRA,21,DNK
BRA,21,ESP
BRA,21,FLK
BRA,21,GRL
BRA,21,GUF
BRA,21,KNA
BRA,21,KOR
BRA,21,NOR
BRA,21,PRK
BRA,21,PRT
BRA,21,PSE
BRA,21,RUS
BRA,21,TWN
BRA,21,URY
BRA,21,USA
BRA,21,VCT
BRA,21,VEN
BRB,3,FRA
BRB,3,TWN
BRB,3,VEN
BRN,1,MYS
BVT,2,ARG
BVT,2,ZAF
CAN,18,CHL
CAN,18,CHN
CAN,18,DEU
CAN,18,DNK
CAN,18,ESP
CAN,18,GRL
CAN,18,ISL
CAN,18,JPN
CAN,18,KOR
CAN,18,LTU
CAN,18,NOR
CAN,18,POL
CAN,18,PRT
CAN,18,RUS
CAN,18,SPM
CAN,18,TCA
CAN,18,UKR
CAN,18,USA
CCK,2,CHN
CCK,2,JPN
CHL,12,ARG
CHL,12,CHN
CHL,12,ECU
CHL,12,ESP
CHL,12,FRA
CHL,12,JPN
CHL,12,KOR
CHL,12,LTU
CHL,12,RUS
CHL,12,TWN
CHL,12,UKR
CHL,12,USA
CHN,151,AFG
CHN,151,AGO
CHN,151,AIA
CHN,151,ALB
CHN,151,AND
CHN,151,ARE
CHN,151,ARG
CHN,151,ARM
CHN,151,ATF
CHN,151,AUT
CHN,151,AZE
CHN,151,BDI
CHN,151,BEL
CHN,151,BEN
CHN,151,BFA
CHN,151,BGD
CHN,151,BGR
CHN,151,BHR
CHN,151,BHS
CHN,151,BIH
CHN,151,BLZ
CHN,151,BMU
CHN,151,BRA
CHN,151,BRB
CHN,151,BRN
CHN,151,BTN
CHN,151,BWA
CHN,151,CAF
CHN,151,CMR
CHN,151,COG
CHN,151,COK
CHN,151,COL
CHN,151,COM
CHN,151,CPV
CHN,151,CRI
CHN,151,CUB
CHN,151,CXR
CHN,151,CYP
CHN,151,CZE
CHN,151,DEU
CHN,151,DNK
CHN,151,DOM
CHN,151,DZA
CHN,151,ECU
CHN,151,EGY
CHN,151,FIN
CHN,151,FJI
CHN,151,FRA
CHN,151,FRO
CHN,151,FSM
CHN,151,GBR
CHN,151,GEO
CHN,151,GIB
CHN,151,GIN
CHN,151,GRC
CHN,151,GRD
CHN,151,GTM
CHN,151,GUF
CHN,151,HTI
CHN,151,IDN
CHN,151,IND
CHN,151,IRN
CHN,151,IRQ
CHN,151,ISL
CHN,151,ISR
CHN,151,JOR
CHN,151,JPN
CHN,151,KGZ
CHN,151,KHM
CHN,151,KOR
CHN,151,KWT
CHN,151,LBN
CHN,151,LIE
CHN,151,LKA
CHN,151,LSO
CHN,151,LTU
CHN,151,LUX
CHN,151,MAC
CHN,151,MAR
CHN,151,MDA
CHN,151,MDG
CHN,151,MDV
CHN,151,MEX
CHN,151,MHL
CHN,151,MLT
CHN,151,MMR
CHN,151,MNE
CHN,151,MNG
CHN,151,MRT
CHN,151,MSR
CHN,151,MTQ
CHN,151,MWI
CHN,151,NAM
CHN,151,NCL
CHN,151,NER
CHN,151,NIC
CHN,151,NIU
CHN,151,NLD
CHN,151,NOR
CHN,151,NPL
CHN,151,NRU
CHN,151,NZL
CHN,151,OMN
CHN,151,PAN
CHN,151,PCN
CHN,151,PER
CHN,151,PHL
CHN,151,PNG
CHN,151,POL
CHN,151,PRK
CHN,151,PSE
CHN,151,PYF
CHN,151,QAT
CHN,151,REU
CHN,151,RUS
CHN,151,RWA
CHN,151,SAU
CHN,151,SDN
CHN,151,SEN
CHN,151,SGP
CHN,151,SHN
CHN,151,SLB
CHN,151,SLE
CHN,151,SLV
CHN,151,SMR
CHN,151,SOM
CHN,151,SSD
CHN,151,STP
CHN,151,SVK
CHN,151,SWE
CHN,151,SWZ
CHN,151,SYC
CHN,151,SYR
CHN,151,TCA
CHN,151,TGO
CHN,151,THA
CHN,151,TTO
CHN,151,TUN
CHN,151,TWN
CHN,151,TZA
CHN,151,URY
CHN,151,USA
CHN,151,VAT
CHN,151,VEN
CHN,151,VGB
CHN,151,VUT
CHN,151,WLF
CHN,151,WSM
CHN,151,YEM
CHN,151,ZAF
CHN,151,ZMB
CIV,16,BES
CIV,16,BLZ
CIV,16,CHN
CIV,16,CPV
CIV,16,CUW
CIV,16,ESP
CIV,16,FRA
CIV,16,GBR
CIV,16,GCA
CIV,16,GHA
CIV,16,GTM
CIV,16,PAN
CIV,16,PRT
CIV,16,SEN
CIV,16,SLV
CIV,16,SYC
CMR,1,CHN
COD,4,AGO
COD,4,ESP
COD,4,FRA
COD,4,NAM
COG,3,CHN
COG,3,ESP
COG,3,FRA
COK,12,CHN
COK,12,DNK
COK,12,ESP
COK,12,FSM
COK,12,JPN
COK,12,KIR
COK,12,KOR
COK,12,NRU
COK,12,NZL
COK,12,TWN
COK,12,USA
COK,12,VUT
COL,4,JPN
COL,4,PAN
COL,4,PRT
COL,4,VEN
COM,4,ESP
COM,4,JPN
COM,4,KOR
COM,4,TWN
CPT,3,CHN
CPT,3,MEX
CPT,3,VEN
CPV,13,BLZ
CPV,13,CHN
CPV,13,CIV
CPV,13,ESP
CPV,13,FRA
CPV,13,ITA
CPV,13,JPN
CPV,13,KOR
CPV,13,PAN
CPV,13,PRT
CPV,13,RUS
CPV,13,SEN
CPV,13,SLV
CRI,6,ESP
CRI,6,NIC
CRI,6,PAN
CRI,6,TWN
CRI,6,USA
CRI,6,VEN
CUW,1,VEN
CXR,1,JPN
CYP,5,GRC
CYP,5,ISR
CYP,5,ITA
CYP,5,MAR
CYP,5,TUR
DEU,13,ARG
DEU,13,BEL
DEU,13,DNK
DEU,13,FRA
DEU,13,FRO
DEU,13,GBR
DEU,13,IRL
DEU,13,ISL
DEU,13,NLD
DEU,13,NOR
DEU,13,POL
DEU,13,PRT
DEU,13,SWE
DJI,1,FRA
DNK,21,ARG
DNK,21,BEL
DNK,21,CAN
DNK,21,CHN
DNK,21,DEU
DNK,21,EST
DNK,21,FIN
DNK,21,FRA
DNK,21,FRO
DNK,21,GBR
DNK,21,GRL
DNK,21,IRL
DNK,21,ISL
DNK,21,LTU
DNK,21,LVA
DNK,21,NLD
DNK,21,NOR
DNK,21,POL
DNK,21,PRT
DNK,21,RUS
DNK,21,SWE
DOM,1,USA
DZA,3,ESP
DZA,3,ITA
DZA,3,MLT
ECU,13,CHN
ECU,13,COL
ECU,13,CRI
ECU,13,EGY
ECU,13,ESP
ECU,13,GTM
ECU,13,NIC
ECU,13,PAN
ECU,13,PER
ECU,13,SLV
ECU,13,TWN
ECU,13,USA
ECU,13,VEN
EGY,5,CHN
EGY,5,FRA
EGY,5,GRC
EGY,5,LVA
EGY,5,RUS
ERI,2,LVA
ERI,2,RUS
ESH,33,AGO
ESH,33,ARG
ESH,33,BES
ESH,33,BLZ
ESH,33,CHN
ESH,33,CIV
ESH,33,CMR
ESH,33,CUW
ESH,33,DEU
ESH,33,DNK
ESH,33,ESP
ESH,33,FLK
ESH,33,FRA
ESH,33,GIN
ESH,33,GRC
ESH,33,HUN
ESH,33,IDN
ESH,33,JPN
ESH,33,KNA
ESH,33,KOR
ESH,33,LTU
ESH,33,LVA
ESH,33,MAR
ESH,33,MRT
ESH,33,NAM
ESH,33,NLD
ESH,33,NOR
ESH,33,PAN
ESH,33,PRT
ESH,33,RUS
ESH,33,SEN
ESH,33,TUR
ESH,33,UNK
ESP,35,ARG
ESP,35,BES
ESP,35,BLZ
ESP,35,CHN
ESP,35,CMR
ESP,35,DEU
ESP,35,DNK
ESP,35,EST
ESP,35,FLK
ESP,35,FRA
ESP,35,GBR
ESP,35,GCA
ESP,35,GEO
ESP,35,GIB
ESP,35,GIN
ESP,35,GNB
ESP,35,HUN
ESP,35,IRL
ESP,35,ITA
ESP,35,JPN
ESP,35,LTU
ESP,35,LVA
ESP,35,MAR
ESP,35,MLT
ESP,35,MRT
ESP,35,NLD
ESP,35,NOR
ESP,35,NZL
ESP,35,PAN
ESP,35,PRT
ESP,35,RUS
ESP,35,SEN
ESP,35,SLV
ESP,35,SYC
ESP,35,UKR
EST,8,DEU
EST,8,DNK
EST,8,FIN
EST,8,LTU
EST,8,LVA
EST,8,POL
EST,8,RUS
EST,8,SWE
FIN,7,DEU
FIN,7,DNK
FIN,7,EST
FIN,7,LTU
FIN,7,POL
FIN,7,RUS
FIN,7,SWE
FJI,10,AUS
FJI,10,CHN
FJI,10,COK
FJI,10,JPN
FJI,10,KIR
FJI,10,KOR
FJI,10,TUV
FJI,10,TWN
FJI,10,USA
FJI,10,VUT
FLK,13,ARG
FLK,13,BLZ
FLK,13,CHL
FLK,13,CHN
FLK,13,ESP
FLK,13,GBR
FLK,13,KOR
FLK,13,NOR
FLK,13,RUS
FLK,13,TWN
FLK,13,UKR
FLK,13,URY
FLK,13,VUT
FRA,11,BEL
FRA,11,DEU
FRA,11,DNK
FRA,11,ESP
FRA,11,GBR
FRA,11,IRL
FRA,11,ITA
FRA,11,LTU
FRA,11,NLD
FRA,11,PRT
FRA,11,SPM
FRO,12,DEU
FRO,12,DNK
FRO,12,ESP
FRO,12,FRA
FRO,12,GBR
FRO,12,GRL
FRO,12,ISL
FRO,12,LTU
FRO,12,NLD
FRO,12,NOR
FRO,12,POL
FRO,12,RUS
FSM,13,CHN
FSM,13,FJI
FSM,13,JPN
FSM,13,KIR
FSM,13,KOR
FSM,13,MHL
FSM,13,PHL
FSM,13,PNG
FSM,13,RUS
FSM,13,SLB
FSM,13,TWN
FSM,13,USA
FSM,13,VCT
GAB,12,BES
GAB,12,BLZ
GAB,12,CHN
GAB,12,CPV
GAB,12,CUW
GAB,12,ESP
GAB,12,FRA
GAB,12,GCA
GAB,12,GTM
GAB,12,PAN
GAB,12,SEN
GAB,12,SLV
GBR,19,ARG
GBR,19,BEL
GBR,19,CYP
GBR,19,DEU
GBR,19,DNK
GBR,19,ESP
GBR,19,FRA
GBR,19,FRO
GBR,19,GRL
GBR,19,IRL
GBR,19,ISL
GBR,19,LIE
GBR,19,NLD
GBR,19,NOR
GBR,19,POL
GBR,19,PRT
GBR,19,RUS
GBR,19,SPM
GBR,19,SWE
GEO,1,TUR
GGY,8,BEL
GGY,8,CYP
GGY,8,DEU
GGY,8,DNK
GGY,8,FRA
GGY,8,GBR
GGY,8,IRL
GGY,8,NLD
GHA,13,ARG
GHA,13,BLZ
GHA,13,CHN
GHA,13,CIV
GHA,13,CPV
GHA,13,CUW
GHA,13,ESP
GHA,13,FRA
GHA,13,GBR
GHA,13,JPN
GHA,13,SEN
GHA,13,SLV
GHA,13,TWN
GIB,2,ESP
GIB,2,GBR
GIN,15,CHN
GIN,15,CIV
GIN,15,CPV
GIN,15,ESP
GIN,15,FRA
GIN,15,GBR
GIN,15,GNB
GIN,15,ISL
GIN,15,ITA
GIN,15,JPN
GIN,15,KOR
GIN,15,PAN
GIN,15,SEN
GIN,15,SLV
GIN,15,TWN
GMB,8,CHN
GMB,8,COM
GMB,8,ESP
GMB,8,FRA
GMB,8,ITA
GMB,8,SEN
GMB,8,UKR
GMB,8,VCT
GNB,11,BLZ
GNB,11,CHN
GNB,11,CIV
GNB,11,ESP
GNB,11,GIN
GNB,11,ITA
GNB,11,KNA
GNB,11,KOR
GNB,11,PAN
GNB,11,SEN
GNB,11,TWN
GNQ,11,ARG
GNQ,11,BLZ
GNQ,11,CHN
GNQ,11,CUW
GNQ,11,ESP
GNQ,11,JPN
GNQ,11,NLD
GNQ,11,PAN
GNQ,11,SLV
GNQ,11,TWN
GNQ,11,ZAF
GRC,7,CYP
GRC,7,ITA
GRC,7,MLT
GRC,7,NOR
GRC,7,PRT
GRC,7,RUS
GRC,7,TUR
GRD,4,CAN
GRD,4,PRT
GRD,4,USA
GRD,4,YEM
GRL,9,CAN
GRL,9,DEU
GRL,9,DNK
GRL,9,EST
GRL,9,FRO
GRL,9,ISL
GRL,9,LVA
GRL,9,NOR
GRL,9,RUS
GTM,3,MEX
GTM,3,PAN
GTM,3,USA
GUF,2,FRA
GUF,2,VEN
GUM,4,FSM
GUM,4,JPN
GUM,4,RUS
GUM,4,TWN
GUY,3,FRA
GUY,3,TWN
GUY,3,VEN
HMD,3,ARG
HMD,3,AUS
HMD,3,FRA
HND,2,CHN
HND,2,USA
HRV,8,ALB
HRV,8,CYP
HRV,8,ITA
HRV,8,MNE
HRV,8,NOR
HRV,8,POL
HRV,8,SVN
HRV,8,USA
IDN,8,CHN
IDN,8,ESP
IDN,8,GNQ
IDN,8,JPN
IDN,8,KOR
IDN,8,PHL
IDN,8,RUS
IDN,8,TWN
IND,8,CHN
IND,8,ESP
IND,8,LKA
IND,8,LVA
IND,8,REU
IND,8,SYC
IND,8,TWN
IND,8,USA
IOT,6,CHN
IOT,6,JPN
IOT,6,LKA
IOT,6,MOZ
IOT,6,SYC
IOT,6,TWN
IRL,14,BEL
IRL,14,DEU
IRL,14,DNK
IRL,14,ESP
IRL,14,FRA
IRL,14,FRO
IRL,14,GBR
IRL,14,ISL
IRL,14,JPN
IRL,14,MRT
IRL,14,NLD
IRL,14,NOR
IRL,14,PRT
IRL,14,RUS
IRN,5,CHN
IRN,5,KNA
IRN,5,MNG
IRN,5,QAT
IRN,5,VCT
ISL,13,CAN
ISL,13,DEU
ISL,13,DNK
ISL,13,ESP
ISL,13,EST
ISL,13,FRO
ISL,13,GBR
ISL,13,GRL
ISL,13,LTU
ISL,13,LVA
ISL,13,NLD
ISL,13,NOR
ISL,13,RUS
ISR,2,GRC
ISR,2,USA
ITA,15,CHN
ITA,15,CYP
ITA,15,DZA
ITA,15,EGY
ITA,15,ESP
ITA,15,FRA
ITA,15,HRV
ITA,15,LBY
ITA,15,MLT
ITA,15,NLD
ITA,15,POL
ITA,15,PRT
ITA,15,SVN
ITA,15,TUN
ITA,15,TUR
JAM,1,ESP
JEY,2,FRA
JEY,2,GBR
JPN,13,ALB
JPN,13,CHN
JPN,13,CYP
