year,ssvid,flag,eez_iso3,vessel_class,length_m,length_class,tonnage_gt,engine_power_kw,fishing_hours_year_tot,fishing_hours_year_eez_fao,kwhr
2018,120111111,CHN,KOR,trawlers,38.97345914,"[35,40)",911.9555868,350.999859,59.33138889,40.21402778,20825.309134664167
2018,120788999,CHN,KOR,set_gillnets,22.50647479,"[20,25)",109.7624061,275.9272432,273.4422222,30.55152778,75450.15854612784
2018,140000007,CHN,KOR,trawlers,37.66796507,"[35,40)",344.4472722,552.1101737,12.7575,6.008888889,7043.5455409777505
2018,140000229,CHN,KOR,trawlers,32.01907945,"[30,35)",392.0196423,317.7536141,39.31736111,29.53736111,12493.233589577287
2018,140700139,CHN,KOR,set_gillnets,22.69201645,"[20,25)",203.5473859,221.0081816,873.7347222,29.39416667,193102.52215420315
2018,150000040,CHN,KOR,trawlers,42.3413339,"[40,45)",792.9900287,736.2854208,8.518194444,0.64125,6271.822380656762
2018,150200729,CHN,KOR,drifting_longlines,36.92705263,"[35,40)",513.7456537,685.6905977,283.4888889,79.28833333,194385.6656711499
2018,150201698,CHN,KOR,fishing,34.18831254,"[30,35)",675.8686089,529.4129624,79.69305556,5.944166667,42190.53662672739
2018,150202669,CHN,KOR,trawlers,27.80003469,"[25,30)",174.4928258,379.4619381,602.0316667,15.66402778,228448.10304355522
2018,150202689,CHN,KOR,tuna_purse_seines,51.69689895,"[50,55)",642.2163206,560.4286048,11.44875,0.279583333,6416.206989204001
2018,150202935,CHN,KOR,fixed_gear,49.55020787,"[45,50)",375.1937546,826.4625718,0.780694444,0.780694444,645.214737978211
2018,150203068,CHN,KOR,fishing,36.53206763,"[35,40)",870.771705,440.3179527,836.43875,1.589305556,368298.99795894715
2018,150203755,CHN,KOR,fishing,54.34059446,"[50,55)",786.5463634,966.566481,101.7163889,94.81569444,98315.65207910046
2018,150204243,CHN,KOR,trawlers,34.41948836,"[30,35)",597.5672722,367.4689645,153.41875,5.723472222,56376.629197384376
2018,150204295,CHN,KOR,trawlers,33.30492438,"[30,35)",317.5548754,502.885636,165.7194444,27.80791667,83337.92819466062
2018,150204332,CHN,KOR,trawlers,25.81326088,"[25,30)",584.3254623,280.1528775,38.83805556,14.75958333,10880.593021638873
2018,151002647,CHN,KOR,trawlers,32.70714812,"[30,35)",345.0699462,224.1970106,49.92180556,9.188888889,11192.31957030646
2018,153311000,CHN,KOR,set_gillnets,20.12315894,"[20,25)",105.0461367,177.7212897,848.3883333,4.574444444,150776.66876050946
2018,180305006,CHN,KOR,tuna_purse_seines,29.27058537,"[25,30)",135.8863645,248.7184812,7.392361111,6.82875,1838.6168280098645
2018,200000174,CHN,KOR,fishing,40.78678609,"[40,45)",527.2432767,572.04409,75.47555556,22.27694444,43175.34549756464
2018,200000651,CHN,KOR,fishing,35.67563719,"[35,40)",290.4087021,635.8663962,390.7238889,3.378888889,248448.1911440922
2018,200003694,CHN,KOR,trawlers,32.93576656,"[30,35)",86.60492259,440.4341451,35.675,35.675,15712.4881264425
2018,200003911,CHN,KOR,trawlers,42.52504283,"[40,45)",830.9035544,1028.633728,13.86777778,11.04986111,14264.863956916965
2018,200004013,CHN,KOR,drifting_longlines,26.03610599,"[25,30)",155.0374125,438.4968061,78.87,68.90305556,34584.243097107006
2018,200004438,CHN,KOR,drifting_longlines,24.97172052,"[20,25)",111.3638306,419.8509136,20.87152778,20.87152778,8762.930006660781
2018,200004440,CHN,KOR,drifting_longlines,30.15882609,"[30,35)",242.8385355,495.4099712,24.03888889,23.57722222,11909.105252674899
2018,200005348,CHN,KOR,squid_jigger,36.31944538,"[35,40)",452.4705654,481.3743805,619.7643056,21.45777778,298338.6586642126
2018,200006400,CHN,KOR,trawlers,32.17406876,"[30,35)",401.1405503,426.3848932,17.77680556,17.22666667,7579.761340137767
2018,200007447,CHN,KOR,trawlers,34.27441302,"[30,35)",261.4441258,357.0106739,107.6047222,5.463888889,38416.034387444284
2018,200007633,CHN,KOR,set_gillnets,31.95245109,"[30,35)",466.1454254,295.0262893,96.99819444,12.46958333,28617.01737443309
2018,200007704,CHN,KOR,trawlers,30.04100604,"[30,35)",225.9078482,393.6266413,57.42652778,57.42652778,22604.611251562546
2018,200007815,CHN,KOR,trawlers,32.82926593,"[30,35)",324.8785945,913.5586036,5.218194444,1.967222222,4767.126429573918
2018,200007913,CHN,KOR,fishing,25.26001914,"[25,30)",814.0702915,324.8102292,13.70027778,5.348472222,4449.990365825467
2018,200008179,CHN,KOR,tuna_purse_seines,46.8148401,"[45,50)",570.376854,711.645567,0.750138889,0.750138889,533.8330149911551
2018,200008869,CHN,KOR,trawlers,25.5880878,"[25,30)",114.3148745,393.5439938,864.3895833,4.103333333,340175.3288109998
2018,200008902,CHN,KOR,fishing,56.2094953,"[55,60)",1186.483363,743.5594615,51.18166667,14.41513889,38056.6125078177
2018,200009088,CHN,KOR,drifting_longlines,31.96627236,"[30,35)",234.957307,505.7717457,252.3444444,2.099166667,127628.69016188459
2018,200010974,CHN,KOR,tuna_purse_seines,32.54721992,"[30,35)",283.9889575,267.197805,173.4040278,7.874027778,46333.17560631898
2018,200012217,CHN,KOR,trawlers,51.76087376,"[50,55)",857.0515576,413.3370583,105.2208333,15.13625,43491.669708096684
2018,200013008,CHN,KOR,tuna_purse_seines,42.12468882,"[40,45)",579.9934963,630.0066985,49.54986111,24.80930556,31216.744409044644
2018,200013417,CHN,KOR,trawlers,31.22053891,"[30,35)",227.5244276,304.1196822,50.26555556,25.54208333,15286.744782513644
2018,200013683,CHN,KOR,fishing,48.81155525,"[45,50)",1040.937445,680.6220306,220.3726389,14.50416667,149990.47297679854
2018,200013905,CHN,KOR,fishing,35.54822439,"[35,40)",227.8707617,383.4416834,29.68347222,7.009722222,11381.880557193934
2018,200014143,CHN,KOR,set_longlines,33.94388595,"[30,35)",57.21886107,258.6533081,103.8944444,103.8944444,26872.64173727152
2018,200016821,CHN,KOR,tuna_purse_seines,54.54781822,"[50,55)",1069.913646,752.9223408,1063.373889,1.969444444,800637.9576514794
2018,200016826,CHN,KOR,fishing,51.23901487,"[50,55)",1056.853,703.7810989,1334.322778,0.501111111,939071.1509881407
2018,200016969,CHN,KOR,tuna_purse_seines,53.39622348,"[50,55)",1050.857733,786.3520071,1005.742778,0.986527778,790867.8521066298
2018,200019247,CHN,KOR,trawlers,37.43482148,"[35,40)",694.2528399,609.1829308,133.6954167,80.5525,81444.96577983328
2018,200019299,CHN,KOR,trawlers,33.67023649,"[30,35)",809.5422564,558.1635676,78.77444444,66.70388889,43969.02494433838
2018,200019667,CHN,KOR,trawlers,36.68842625,"[35,40)",406.7022672,519.5969288,220.2809722,88.02013889,114457.31662819818
2018,200019964,CHN,KOR,trawlers,28.97293474,"[25,30)",344.6892092,259.6640756,2.304305556,1.368333333,598.345372098684
2018,200019985,CHN,KOR,trawlers,40.9915321,"[40,45)",371.5411428,467.9232886,390.2429167,13.61,182603.74893511986
2018,200022201,CHN,KOR,set_gillnets,23.19771531,"[20,25)",78.60787611,211.5522743,181.66125,21.90972222,38430.85058968087
2018,200022634,CHN,KOR,fishing,45.17180749,"[45,50)",280.7818622,872.2954813,618.9841667,25.25027778,539937.0916086559
2018,200027496,CHN,KOR,drifting_longlines,38.68991841,"[35,40)",419.9320956,466.3656102,80.77208333,12.71472222,37669.3219293207
2018,200027661,CHN,KOR,fishing,37.32792006,"[35,40)",648.9453524,623.4298264,89.68125,11.83375,55909.96611883501
2018,200027704,CHN,KOR,set_gillnets,24.56004884,"[20,25)",47.63559267,134.5486765,124.4229167,1.325972222,16740.93876825475
2018,200028106,CHN,KOR,tuna_purse_seines,28.11871357,"[25,30)",202.6665589,177.4727848,101.5963889,12.99694444,18030.59406370681
2018,200033129,CHN,KOR,set_gillnets,31.94903081,"[30,35)",260.8122531,259.5437163,82.02888889,1.833194444,21290.082666470385
2018,200034921,CHN,KOR,set_longlines,26.97789854,"[25,30)",104.108513,216.0017777,211.5444444,5.39625,45693.97605295881
2018,200042335,CHN,KOR,drifting_longlines,21.34753873,"[20,25)",114.2805649,253.0369386,1.7575,0.549722222,444.71241958950003
2018,200050718,CHN,KOR,drifting_longlines,57.2277018,"[55,60)",702.6408012,656.6039697,158.7059722,2.149861111,104206.97136161783
2018,200074387,CHN,KOR,fixed_gear,30.784881939999998,"[30,35)",245.3444602,300.0717035,196.61361110000001,7.966388889,58998.181214063516
2018,200088777,CHN,KOR,tuna_purse_seines,38.92339445,"[35,40)",1125.983225,282.6681199,59.54652778,53.15138889,16831.90505414572
2018,215555566,CHN,KOR,fishing,30.7082299,"[30,35)",209.3415674,301.6023232,55.78208333,2.242916667,16824.00592526399
2018,235458738,CHN,KOR,purse_seines,33.62676277,"[30,35)",388.2374921,292.2995317,70.49430556,28.65069444,20605.452502704706
2018,245357869,CHN,KOR,fishing,28.10728308,"[25,30)",176.009249,319.5283802,27.23666667,27.23666667,8702.887983112429
2018,247637568,CHN,KOR,tuna_purse_seines,42.69859553,"[40,45)",409.9616266,516.0219975,125.0086111,16.90375,64507.19320452267
2018,273368012,CHN,KOR,set_gillnets,34.98392266,"[30,35)",237.23952,305.5908748,187.1805556,15.88666667,57200.669731354035
2018,320601317,CHN,KOR,set_gillnets,18.91290267,"[15,20)",126.6018708,136.243858,65.93513889,6.703333333,8983.257700139438
2018,320602266,CHN,KOR,set_gillnets,29.94058971,"[25,30)",234.6128846,268.6116434,100.8418056,57.50777778,27087.283125639322
2018,320603666,CHN,KOR,tuna_purse_seines,30.49481785,"[30,35)",229.1085698,446.613741,22.80611111,14.70638889,10185.522600498762
2018,325686538,CHN,KOR,fishing,26.53879487,"[25,30)",188.9586774,327.8643359,267.6829167,39.30430556,87763.68171562054
2018,333333666,CHN,KOR,set_gillnets,28.07850479,"[25,30)",146.5138776,185.9467848,336.0533333,10.12027778,62488.03684845777
2018,351404723,CHN,KOR,set_gillnets,21.21282294,"[20,25)",90.20826193,158.1341717,701.4643056,11.44125,110925.47694317167
2018,353000001,CHN,KOR,fishing,40.10086239,"[40,45)",486.2404279,442.8927841,26.00083333,25.38180556,11515.581462443773
2018,370345686,CHN,KOR,trawlers,39.46948227,"[35,40)",372.1712378,571.6233331,155.4731944,0.709444444,88872.10559063226
2018,400004526,CHN,KOR,trawlers,38.16545742,"[35,40)",354.2519664,604.4629953,526.6438889,48.77944444,318336.7425409344
2018,400214674,CHN,KOR,trawlers,27.26093793,"[25,30)",404.9721117,374.6764087,468.8554167,30.19666667,175669.063728698
2018,410632542,CHN,KOR,purse_seines,35.9442751,"[35,40)",314.9784777,446.0874707,18.62027778,9.4225,8306.27261861161
2018,411062535,CHN,KOR,set_gillnets,28.72171296,"[25,30)",222.2035047,303.3814274,146.7179167,4.910972222,44511.490993600295
2018,412000102,CHN,KOR,fixed_gear,34.11010963,"[30,35)",571.7897911,476.2623877,387.9873611,11.86569444,184783.7869949081
2018,412000106,CHN,KOR,fishing,27.19404677,"[25,30)",246.5241793,371.1311901,1256.041667,51.03625,466156.2386888979
2018,412000139,CHN,KOR,fixed_gear,23.99641525,"[20,25)",256.1724428,242.8080371,270.7843056,8.592916667,65748.60572022253
2018,412000218,CHN,KOR,set_gillnets,20.90450833,"[20,25)",103.1041446,154.4292636,542.5484722,19.88986111,83785.36102915108
2018,412000669,CHN,KOR,fishing,35.68428337,"[35,40)",425.932068,942.8053589,126.9481944,6.162361111,119687.43798299898
2018,412000699,CHN,KOR,fixed_gear,33.34387129,"[30,35)",211.3902621,287.2153746,15.27430556,6.080555556,4387.015393170263
2018,412000705,CHN,KOR,set_gillnets,22.86138282,"[20,25)",90.27064547,216.5881461,955.7091667,4.98,206995.27662632885
2018,412001071,CHN,KOR,set_longlines,26.96772867,"[25,30)",228.5592396,271.9145316,341.6658333,37.59208333,92903.90502549316
2018,412001203,CHN,KOR,set_gillnets,30.65333831,"[30,35)",136.7324705,232.0976878,29.29875,25.62138889,6800.172130430249
