eez_iso3,number_countries_in_EEZ,d
AGO,24,"AGO, BLZ, CHN, CPV, CUW, DJI, ESP, FRA, GCA, GEO, GTM, IRL, JPN, KOR, LTU, NAM, NOR, PAN, PRT, RUS, SEN, SLV, STP, ZAF"
ALB,6,"ALB, GRC, ITA, MLT, MNE, TUR"
ARE,9,"CHN, GHA, IND, IRN, KNA, KOR, MNG, QAT, SYC"
ARG,16,"AFG, ARG, BLZ, CHL, CHN, ESP, FLK, GBR, KOR, NGA, PRT, RUS, TWN, UKR, URY, VUT"
ASC,2,"SHN, TWN"
ASM,6,"CHN, COK, ESP, TWN, USA, VUT"
ATF,16,"ALB, ARG, ATF, AUS, CHN, ESP, FRA, JPN, KOR, MOZ, MUS, NZL, REU, SYC, TWN, ZAF"
ATG,1,KNA
AUS,9,"AUS, BLZ, CHN, JPN, NCL, NZL, RUS, TWN, VUT"
BEL,5,"BEL, DEU, FRA, GBR, NLD"
BEN,3,"BLZ, CHN, GHA"
BES,2,"KNA, VEN"
BGR,1,BGR
BHR,2,"BHR, QAT"
BHS,2,"ESP, USA"
BMU,1,USA
BRA,22,"ARG, BLZ, BOL, BRA, CHN, DNK, ESP, FLK, GRL, GUF, KNA, KOR, NOR, PRK, PRT, PSE, RUS, TWN, URY, USA, VCT, VEN"
BRB,3,"FRA, TWN, VEN"
BRN,1,MYS
BVT,2,"ARG, ZAF"
CAN,19,"CAN, CHL, CHN, DEU, DNK, ESP, GRL, ISL, JPN, KOR, LTU, NOR, POL, PRT, RUS, SPM, TCA, UKR, USA"
CCK,2,"CHN, JPN"
CHL,13,"ARG, CHL, CHN, ECU, ESP, FRA, JPN, KOR, LTU, RUS, TWN, UKR, USA"
CHN,152,"AFG, AGO, AIA, ALB, AND, ARE, ARG, ARM, ATF, AUT, AZE, BDI, BEL, BEN, BFA, BGD, BGR, BHR, BHS, BIH, BLZ, BMU, BRA, BRB, BRN, BTN, BWA, CAF, CHN, CMR, COG, COK, COL, COM, CPV, CRI, CUB, CXR, CYP, CZE, DEU, DNK, DOM, DZA, ECU, EGY, FIN, FJI, FRA, FRO, FSM, GBR, GEO, GIB, GIN, GRC, GRD, GTM, GUF, HTI, IDN, IND, IRN, IRQ, ISL, ISR, JOR, JPN, KGZ, KHM, KOR, KWT, LBN, LIE, LKA, LSO, LTU, LUX, MAC, MAR, MDA, MDG, MDV, MEX, MHL, MLT, MMR, MNE, MNG, MRT, MSR, MTQ, MWI, NAM, NCL, NER, NIC, NIU, NLD, NOR, NPL, NRU, NZL, OMN, PAN, PCN, PER, PHL, PNG, POL, PRK, PSE, PYF, QAT, REU, RUS, RWA, SAU, SDN, SEN, SGP, SHN, SLB, SLE, SLV, SMR, SOM, SSD, STP, SVK, SWE, SWZ, SYC, SYR, TCA, TGO, THA, TTO, TUN, TWN, TZA, URY, USA, VAT, VEN, VGB, VUT, WLF, WSM, YEM, ZAF, ZMB"
CIV,17,"BES, BLZ, CHN, CIV, CPV, CUW, ESP, FRA, GBR, GCA, GHA, GTM, PAN, PRT, SEN, SLV, SYC"
CMR,1,CHN
COD,4,"AGO, ESP, FRA, NAM"
COG,3,"CHN, ESP, FRA"
COK,13,"CHN, COK, DNK, ESP, FSM, JPN, KIR, KOR, NRU, NZL, TWN, USA, VUT"
COL,5,"COL, JPN, PAN, PRT, VEN"
COM,4,"ESP, JPN, KOR, TWN"
CPT,3,"CHN, MEX, VEN"
CPV,13,"BLZ, CHN, CIV, ESP, FRA, ITA, JPN, KOR, PAN, PRT, RUS, SEN, SLV"
CRI,6,"ESP, NIC, PAN, TWN, USA, VEN"
CUW,1,VEN
CXR,1,JPN
CYP,6,"CYP, GRC, ISR, ITA, MAR, TUR"
DEU,14,"ARG, BEL, DEU, DNK, FRA, FRO, GBR, IRL, ISL, NLD, NOR, POL, PRT, SWE"
DJI,1,FRA
DNK,22,"ARG, BEL, CAN, CHN, DEU, DNK, EST, FIN, FRA, FRO, GBR, GRL, IRL, ISL, LTU, LVA, NLD, NOR, POL, PRT, RUS, SWE"
DOM,1,USA
DZA,3,"ESP, ITA, MLT"
ECU,14,"CHN, COL, CRI, ECU, EGY, ESP, GTM, NIC, PAN, PER, SLV, TWN, USA, VEN"
EGY,6,"CHN, EGY, FRA, GRC, LVA, RUS"
ERI,2,"LVA, RUS"
ESH,33,"AGO, ARG, BES, BLZ, CHN, CIV, CMR, CUW, DEU, DNK, ESP, FLK, FRA, GIN, GRC, HUN, IDN, JPN, KNA, KOR, LTU, LVA, MAR, MRT, NAM, NLD, NOR, PAN, PRT, RUS, SEN, TUR, UNK"
ESP,36,"ARG, BES, BLZ, CHN, CMR, DEU, DNK, ESP, EST, FLK, FRA, GBR, GCA, GEO, GIB, GIN, GNB, HUN, IRL, ITA, JPN, LTU, LVA, MAR, MLT, MRT, NLD, NOR, NZL, PAN, PRT, RUS, SEN, SLV, SYC, UKR"
EST,9,"DEU, DNK, EST, FIN, LTU, LVA, POL, RUS, SWE"
FIN,8,"DEU, DNK, EST, FIN, LTU, POL, RUS, SWE"
FJI,11,"AUS, CHN, COK, FJI, JPN, KIR, KOR, TUV, TWN, USA, VUT"
FLK,14,"ARG, BLZ, CHL, CHN, ESP, FLK, GBR, KOR, NOR, RUS, TWN, UKR, URY, VUT"
FRA,12,"BEL, DEU, DNK, ESP, FRA, GBR, IRL, ITA, LTU, NLD, PRT, SPM"
FRO,13,"DEU, DNK, ESP, FRA, FRO, GBR, GRL, ISL, LTU, NLD, NOR, POL, RUS"
FSM,14,"CHN, FJI, FSM, JPN, KIR, KOR, MHL, PHL, PNG, RUS, SLB, TWN, USA, VCT"
GAB,12,"BES, BLZ, CHN, CPV, CUW, ESP, FRA, GCA, GTM, PAN, SEN, SLV"
GBR,20,"ARG, BEL, CYP, DEU, DNK, ESP, FRA, FRO, GBR, GRL, IRL, ISL, LIE, NLD, NOR, POL, PRT, RUS, SPM, SWE"
GEO,1,TUR
GGY,8,"BEL, CYP, DEU, DNK, FRA, GBR, IRL, NLD"
GHA,14,"ARG, BLZ, CHN, CIV, CPV, CUW, ESP, FRA, GBR, GHA, JPN, SEN, SLV, TWN"
GIB,3,"ESP, GBR, GIB"
GIN,16,"CHN, CIV, CPV, ESP, FRA, GBR, GIN, GNB, ISL, ITA, JPN, KOR, PAN, SEN, SLV, TWN"
GMB,9,"CHN, COM, ESP, FRA, GMB, ITA, SEN, UKR, VCT"
GNB,12,"BLZ, CHN, CIV, ESP, GIN, GNB, ITA, KNA, KOR, PAN, SEN, TWN"
GNQ,11,"ARG, BLZ, CHN, CUW, ESP, JPN, NLD, PAN, SLV, TWN, ZAF"
GRC,8,"CYP, GRC, ITA, MLT, NOR, PRT, RUS, TUR"
GRD,4,"CAN, PRT, USA, YEM"
GRL,10,"CAN, DEU, DNK, EST, FRO, GRL, ISL, LVA, NOR, RUS"
GTM,3,"MEX, PAN, USA"
GUF,3,"FRA, GUF, VEN"
GUM,4,"FSM, JPN, RUS, TWN"
GUY,3,"FRA, TWN, VEN"
High Seas,89,"AGO, ALB, ARG, ATF, AUS, BES, BLZ, BRA, CAN, CHL, CHN, CIV, COK, COL, COM, CPV, CRI, CUW, CYP, DEU, DNK, ECU, ESP, EST, FJI, FLK, FRA, FRO, FSM, GBR, GCA, GHA, GNB, GRL, GTM, IDN, IRL, IRN, ISL, JPN, KEN, KIR, KNA, KOR, LKA, LTU, LVA, MAR, MEX, MHL, MNE, MOZ, MRT, MUS, MYS, NAM, NGA, NIC, NLD, NOR, NRU, NZL, PAN, PER, PHL, PNG, POL, PRT, REU, RUS, SEN, SHN, SLB, SLV, SPM, SVK, SYC, TCA, TUV, TWN, TZA, UKR, URY, USA, VCT, VEN, VUT, WSM, ZAF"
HMD,3,"ARG, AUS, FRA"
HND,2,"CHN, USA"
HRV,9,"ALB, CYP, HRV, ITA, MNE, NOR, POL, SVN, USA"
IDN,9,"CHN, ESP, GNQ, IDN, JPN, KOR, PHL, RUS, TWN"
IND,9,"CHN, ESP, IND, LKA, LVA, REU, SYC, TWN, USA"
IOT,6,"CHN, JPN, LKA, MOZ, SYC, TWN"
IRL,15,"BEL, DEU, DNK, ESP, FRA, FRO, GBR, IRL, ISL, JPN, MRT, NLD, NOR, PRT, RUS"
IRN,6,"CHN, IRN, KNA, MNG, QAT, VCT"
ISL,14,"CAN, DEU, DNK, ESP, EST, FRO, GBR, GRL, ISL, LTU, LVA, NLD, NOR, RUS"
ISR,3,"GRC, ISR, USA"
ITA,16,"CHN, CYP, DZA, EGY, ESP, FRA, HRV, ITA, LBY, MLT, NLD, POL, PRT, SVN, TUN, TUR"
JAM,1,ESP
JEY,2,"FRA, GBR"
JPN,14,"ALB, CHN, CYP, ESP, FSM, JPN, KIR, KOR, MHL, MNE, RUS, TWN, VUT, WSM"
KEN,4,"KEN, NAM, SYC, TWN"
KIR,19,"CHN, ECU, FSM, GTM, JPN, KIR, KOR, MEX, MHL, NRU, NZL, PHL, PNG, RUS, SLB, SLV, TWN, USA, VUT"
KNA,1,KNA
KOR,20,"ATG, BTN, CHN, CYP, DEU, IRQ, JOR, JPN, KIR, KOR, LVA, MDV, PNG, PRK, RUS, THA, TWN, URY, VUT, WSM"
KWT,1,IND
LBN,2,"GBR, GRC"
LBR,15,"AGO, BLZ, CHN, CIV, CPV, CUW, ESP, FRA, GHA, GNB, GTM, PAN, SEN, SLV, TWN"
LBY,12,"CYP, DZA, EGY, ESP, FRA, ITA, LBY, MLT, PRT, TUN, TUR, ZAF"
LKA,7,"CHN, LKA, PER, RUS, SYC, TWN, WSM"
LTU,6,"ESP, FIN, LTU, LVA, POL, RUS"
LVA,10,"DEU, DNK, EST, FIN, LTU, LVA, NOR, POL, RUS, SWE"
MAF,1,USA
MAR,10,"CHN, DEU, ESP, HUN, JPN, MAR, NLD, PRT, RUS, TUR"
MDG,14,"CHN, ESP, FRA, GRC, JPN, KOR, MUS, MYS, NAM, NCL, REU, SYC, TWN, TZA"
MDV,5,"CHN, IDN, KOR, LKA, TWN"
MEX,8,"CAN, CHN, GBR, ISL, LTU, MEX, USA, VEN"
MHL,15,"CHN, FSM, JPN, KIR, KOR, MHL, PHL, PNG, RUS, SLB, SVK, TUV, TWN, USA, VUT"
MLT,13,"CYP, DZA, EGY, ESP, FRA, ITA, LBY, MLT, PRT, RUS, TUN, TUR, UKR"
MMR,1,LKA
MNE,7,"ALB, HRV, ITA, MLT, MNE, POL, TUR"
MNP,5,"CHN, JPN, KOR, TWN, VUT"
MOZ,14,"AGO, CHL, CHN, ESP, JPN, KOR, LVA, MOZ, MUS, NAM, RUS, SYC, TWN, ZAF"
MRT,32,"BES, BLZ, CHN, CIV, CMR, COM, CUW, DEU, DNK, ESP, FRA, GCA, GEO, GIN, GNB, GRC, IDN, JPN, KNA, KOR, LTU, LVA, MAR, MRT, NAM, NLD, NOR, PAN, RUS, SEN, TUR, UNK"
MTQ,1,FRA
MUS,17,"ATF, AUS, CHN, COK, COM, ESP, FRA, GBR, JPN, KOR, MOZ, MUS, MYS, REU, SYC, TWN, TZA"
MYS,10,"CHN, GNQ, IDN, KOR, MYS, NRU, SGP, SLE, SYC, TWN"
MYT,4,"FRA, JPN, KOR, TWN"
NAM,19,"AGO, BLZ, ESP, FLK, GEO, JPN, KEN, KNA, NAM, NOR, PAN, POL, PRT, RUS, SEN, TWN, UKR, VCT, ZAF"
NCL,8,"AUS, CHN, FJI, FRA, JPN, NCL, NZL, TWN"
NFK,6,"CHN, FJI, JPN, NCL, TWN, VUT"
NGA,3,"CHN, GHA, NLD"
NIC,2,"COL, NIC"
NIU,3,"CHN, COK, VUT"
NLD,14,"ARG, BEL, DEU, DNK, FRA, FRO, GBR, IRL, ISL, LTU, NLD, NOR, POL, SWE"
NOR,25,"BEL, CAN, CHN, CYP, DEU, DNK, ESP, EST, FRA, FRO, GBR, GRL, IRL, ISL, JPN, KHM, LTU, LVA, NLD, NOR, POL, PRT, RUS, SWE, VCT"
NRU,14,"CHN, FSM, JPN, KIR, KOR, MHL, NZL, PHL, PNG, SLB, TUV, TWN, USA, VUT"
NZL,14,"ARG, AUS, CHN, ESP, FRA, GBR, JPN, KIR, NCL, NZL, RUS, TWN, USA, VUT"
OMN,5,"GHA, IRN, KNA, MNG, TWN"
PAK,1,IND
