flag,eez_code,flag_lon,flag_lat,eez_name,eez_lon,eez_lat,geometry
FRO,5690,-6.880954234256304,62.053854032146006,Russian Exclusive economic Zone,93.61507074751181,71.34167471024053,"c(-6.88095423425631, -5.8534828932637, -4.77362296638898, -3.63754639108123, -2.44113809603127, -1.17998593703504, 0.150624828513315, 1.55571049122707, 3.0405786481619, 4.61080547374789, 6.27219643479242, 8.03072555366185, 9.89244751366414, 11.8633762349903, 13.9493232291512, 16.1556893568193, 18.4872049589281, 20.9476161748154, 23.5393200918188, 26.2629585594298, 29.1169900854828, 32.0972706264606, 35.1966857880535, 38.4048863989089, 41.7081831767198, 45.0896507097907, 48.529473830033, 52.005540933224, 
55.4942529022229, 58.9714804678107, 62.41357610124, 65.7983363195138, 69.1058195798171, 72.3189510273898, 75.4238809512682, 78.4100998925085, 81.2703423489341, 84.0003287501352, 86.5984013953544, 89.065106658938, 91.4027665121378, 93.6150707475118, 62.053854032146, 62.7901361449059, 63.5185426922195, 64.2384023010897, 64.9489748865843, 65.6494442136355, 66.3389098179828, 67.0163783199153, 67.6807542100477, 68.3308302502065, 68.9652777194343, 69.5826368502375, 70.1813079482121, 70.7595438721357, 71.3154447709237, 
71.8469562212733, 72.3518721675583, 72.8278443005113, 73.2723996707585, 73.6829683430738, 74.0569226648579, 74.3916291504164, 74.6845129948629, 74.9331338121676, 75.1352694308957, 75.2890027078743, 75.3928047005558, 75.445606614556, 75.4468531069963, 75.3965309711455, 75.2951698268496, 75.143814734152, 74.9439739577529, 74.69754775541, 74.4067455696913, 74.0739992262463, 73.701878861991, 73.2930167103586, 72.8500420003538, 72.3755284532952, 71.8719544222452, 71.3416747102405)"
FRO,8368,-6.880954234256304,62.053854032146006,Overlapping claim Western Saharan Exclusive Economic Zone,-17.69532112174315,23.34235813483117,"c(-6.88095423425631, -7.38528498587141, -7.86270063136408, -8.3154539357987, -8.74556023491058, -9.15482733871428, -9.54488112972518, -9.91718754419853, -10.2730715053991, -10.6137332805204, -10.9402626532625, -11.2536512388525, -11.554803214722, -11.8445446959373, -12.1236319480493, -12.3927585998641, -12.6525619935821, -12.9036287888979, -13.1464999202262, -13.3816749916369, -13.6096161818286, -13.8307517211535, -14.0454789940017, -14.2541673124756, -14.4571604010323, -14.6547786264455, -14.8473210028989, 
-15.0350669981395, -15.2182781632935, -15.3971996060868, -15.5720613247534, -15.7430794177891, -15.9104571828753, -16.074386116703, -16.2350468260479, -16.3926098592456, -16.5472364661682, -16.6990792938876, -16.8482830244124, -16.994984960183, -17.1393155623939, -17.2813989466687, -17.4213533401412, -17.5592915035696, -17.6953211217431, 62.053854032146, 61.1909203092776, 60.3262121210461, 59.4598811820401, 58.5920627736163, 57.7228778845077, 56.8524350301887, 55.9808318050555, 55.1081562114898, 
54.2344878018737, 53.3598986632027, 52.4844542687558, 51.6082142170873, 50.7312328751853, 49.853559939858, 48.9752409291194, 48.0963176134701, 47.2168283954135, 46.3368086442636, 45.4562909922311, 44.5753055968838, 43.6938803743286, 42.8120412068392, 41.9298121281237, 41.0472154889837, 40.1642721057356, 39.2810013934484, 38.3974214857778, 37.5135493429425, 36.6294008491921, 35.7449909009421, 34.860333486607, 33.9754417590333, 33.090328101327, 32.2050041867737, 31.3194810334672, 30.4337690541925, 
29.5478781020447, 28.6618175122115, 27.7755961403011, 26.8892223975523, 26.0027042832305, 25.1160494144781, 24.2292650538614, 23.3423581348312)"
FRO,8369,-6.880954234256304,62.053854032146006,Mauritanian Exclusive Economic Zone,-17.91517727926911,18.250641967789708,"c(-6.88095423425631, -7.35989427014798, -7.81335834364506, -8.24347591461938, -8.65215183693596, -9.0410947321981, -9.41184125526189, -9.76577691425126, -10.1041539913487, -10.4281070160512, -10.7386661655563, -11.0367689040428, -11.3232701210902, -11.5989509871624, -11.8645267092055, -12.1206533405877, -12.3679337757148, -12.6069230397836, -12.838132967568, -13.0620363512652, -13.2790706258064, -13.4896411502509, -13.6941241356292, -13.8928692626216, -14.0862020265339, -14.2744258420005, -14.4578239355487, 
-14.6366610504908, -14.8111849854673, -14.9816279852642, -15.1482080002056, -15.3111298284178, -15.4705861535282, -15.6267584888629, -15.7798180379013, -15.9299264796159, -16.0772366863344, -16.2218933809007, -16.3640337391554, -16.5037879430969, -16.641279689501, -16.7766266582689, -16.9099409443221, -17.0413294564669, -17.1708942863006, -17.29873304992, -17.4249392049221, -17.5496023449367, -17.6728084737217, -17.7946402606524, -17.9151772792691, 62.053854032146, 61.1938580599122, 60.3322616076039, 
59.4692010630683, 58.604798068773, 57.7391614416737, 56.872388804669, 56.0045679783033, 55.1357781723469, 54.266091009659, 53.3955714089548, 52.5242783484231, 51.652265528371, 50.7795819479988, 49.9062724089057, 49.0323779558774, 48.1579362638166, 47.2829819782917, 46.4075470160199, 45.5316608306485, 44.6553506483967, 43.7786416774526, 42.9015572944589, 42.0241192109499, 41.1463476222022, 40.2682613406247, 39.389877915527, 38.5112137408602, 37.6322841523171, 36.753103514999, 35.8736853027043, 34.9940421697612, 
34.1141860162155, 33.2341280470833, 32.3538788262959, 31.4734483258906, 30.5928459709336, 29.7120806806107, 28.8311609058675, 27.950094663942, 27.0688895700926, 26.1875528667928, 25.3060914506358, 24.4245118971642, 23.5428204838206, 22.661023211193, 21.7791258227124, 20.8971338229436, 20.015052494598, 19.1328869143824, 18.2506419677897)"
FRO,8438,-6.880954234256304,62.053854032146006,Greenlandic Exclusive Economic Zone,-32.02545459669918,75.44778242833256,"c(-6.88095423425631, -7.6357675395798, -8.43344239950167, -9.27781307170548, -10.1731418426818, -11.124172876007, -12.1361924785211, -13.2150960668829, -14.3674618269266, -15.600630569724, -16.9227905048632, -18.34306443763, -19.8715950666217, -21.51962136531, -23.2995351645066, -25.2249016522959, -27.3104202188674, -29.5717926791122, -32.0254545966992, 62.053854032146, 62.8665895758096, 63.6750597405015, 64.4788571735011, 65.2775241333138, 66.070544967761, 66.8573373269089, 67.6372418903869, 68.4095103557865, 
69.1732914017757, 69.927614309938, 70.671369909506, 71.4032885096177, 72.1219145213166, 72.8255775722352, 73.5123601195981, 74.1800619275108, 74.8261623681432, 75.4477824283326)"
FRO,8493,-6.880954234256304,62.053854032146006,Canadian Exclusive Economic Zone,-90.06835754889188,68.52432184822945,"c(-6.88095423425631, -8.17712800596502, -9.53047975626515, -10.9439477819332, -12.4205033192933, -13.9631152463037, -15.5747055228995, -17.2580941083475, -19.0159322092483, -20.8506229698741, -22.7642291639753, -24.7583681306665, -26.8340951555645, -28.9917777513056, -31.2309648224269, -33.5502564374423, -35.9471817330664, -38.4180941172257, -40.9580941173024, -43.5609905888554, -46.2193102189895, -48.9243630829719, -51.6663683874522, -54.4346396722883, -57.2178231574503, -60.0041773741444, -62.7818775906722, 
-65.5393256401074, -68.265445112567, -70.9499436108489, -73.5835275602142, -76.1580602281289, -78.6666592811917, -81.1037355373699, -83.464978904516, -85.7473004568026, -87.9487411079717, -90.0683575488919, 62.053854032146, 62.6983590151485, 63.3303833542007, 63.9490140597537, 64.5532698089782, 65.1420979343234, 65.7143720192429, 66.2688903534655, 66.8043755491261, 67.3194756680433, 67.8127672549216, 68.2827607048121, 68.7279084072524, 69.1466160936452, 69.5372577568947, 69.8981944014096, 70.2277967079347, 
70.5244714571873, 70.7866912536698, 71.0130267430901, 71.2021801543892, 71.3530186645951, 71.4646058346657, 71.5362292506177, 71.5674225689573, 71.5579804281809, 71.5079651366662, 71.4177046356456, 71.2877818907689, 71.1190165000922, 70.9124398374689, 70.6692654162742, 70.3908563286267, 70.0786915929564, 69.7343330594102, 69.3593942272368, 68.9555119755247, 68.5243218482294)"
