,RegionName,Country,Category,Type,Constant 2018 USD,SSF_USD,Reported vs modeled estimates
0,Africa,Algeria,Beneficial,Fisheries mangt.,1629280.79,1311597.3,Modeled
1,Africa,Algeria,Beneficial,Fishery R&D,4529977.646,396534.5876,Modeled
2,Africa,Algeria,Beneficial,MPAs,508033.9447,195083.2897,Modeled
3,Africa,Algeria,Capacity-enhancing,Boat constsruct. & renov.,43901678.58,7024268.573,Reported
4,Africa,Algeria,Capacity-enhancing,Fisheries dev. projects,25878295.63,25878295.63,Reported
5,Africa,Algeria,Capacity-enhancing,Fishing port develop.,31776201.77,0,Reported
6,Africa,Algeria,Capacity-enhancing,Markt. & storage infrast.,55303477.09,0,Modeled
7,Africa,Algeria,Capacity-enhancing,Tax exemption,0,0,NA
8,Africa,Algeria,Capacity-enhancing,Fishing access,0,0,NA
9,Africa,Algeria,Capacity-enhancing,Fuel subsidies,51563511.22,3300064.718,Reported
10,Africa,Algeria,Ambiguous,Fisher assistance,3822168.638,1911084.319,Reported
11,Africa,Algeria,Ambiguous,Vessel buyback,0,0,NA
12,Africa,Algeria,Ambiguous,Rural fisher communities,9191270.444,9191270.444,Reported
13,Africa,Angola,Beneficial,Fisheries mangt.,7402331.289,0,Reported
14,Africa,Angola,Beneficial,Fishery R&D,216102.8855,99517.02159,Modeled
15,Africa,Angola,Beneficial,MPAs,0,0,NA
16,Africa,Angola,Capacity-enhancing,Boat constsruct. & renov.,12842685.77,5914146.889,Modeled
17,Africa,Angola,Capacity-enhancing,Fisheries dev. projects,6528959.537,6528959.537,Reported
18,Africa,Angola,Capacity-enhancing,Fishing port develop.,3484958.702,1148805.594,Reported
19,Africa,Angola,Capacity-enhancing,Markt. & storage infrast.,5855177.318,1932208.515,Reported
20,Africa,Angola,Capacity-enhancing,Tax exemption,12077126.52,3623137.956,Reported
21,Africa,Angola,Capacity-enhancing,Fishing access,377318.47,0,Reported
22,Africa,Angola,Capacity-enhancing,Fuel subsidies,1883821.395,369228.9934,Reported
23,Africa,Angola,Ambiguous,Fisher assistance,653698.2873,301033.0307,Modeled
24,Africa,Angola,Ambiguous,Vessel buyback,0,0,NA
25,Africa,Angola,Ambiguous,Rural fisher communities,3679027.916,3679027.916,Reported
26,Africa,Benin,Beneficial,Fisheries mangt.,9232292.617,8713729.498,Modeled
27,Africa,Benin,Beneficial,Fishery R&D,451720.0195,451720.0195,Modeled
28,Africa,Benin,Beneficial,MPAs,0,0,NA
29,Africa,Benin,Capacity-enhancing,Boat constsruct. & renov.,0,0,NA
30,Africa,Benin,Capacity-enhancing,Fisheries dev. projects,1121835.021,1121835.021,Modeled
31,Africa,Benin,Capacity-enhancing,Fishing port develop.,0,0,NA
32,Africa,Benin,Capacity-enhancing,Markt. & storage infrast.,0,0,NA
33,Africa,Benin,Capacity-enhancing,Tax exemption,0,0,NA
34,Africa,Benin,Capacity-enhancing,Fishing access,0,0,NA
35,Africa,Benin,Capacity-enhancing,Fuel subsidies,0,0,NA
36,Africa,Benin,Ambiguous,Fisher assistance,0,0,NA
37,Africa,Benin,Ambiguous,Vessel buyback,0,0,NA
38,Africa,Benin,Ambiguous,Rural fisher communities,232400.3112,232400.3112,Modeled
39,Africa,Cameroon,Beneficial,Fisheries mangt.,5131498.144,0,Modeled
40,Africa,Cameroon,Beneficial,Fishery R&D,609560.6984,455951.5213,Modeled
41,Africa,Cameroon,Beneficial,MPAs,1475377.546,1103580.519,Modeled
42,Africa,Cameroon,Capacity-enhancing,Boat constsruct. & renov.,655684.3985,0,Modeled
43,Africa,Cameroon,Capacity-enhancing,Fisheries dev. projects,17023910.09,17023910.09,Modeled
44,Africa,Cameroon,Capacity-enhancing,Fishing port develop.,0,0,NA
45,Africa,Cameroon,Capacity-enhancing,Markt. & storage infrast.,0,0,NA
46,Africa,Cameroon,Capacity-enhancing,Tax exemption,1288360.776,0,Reported
47,Africa,Cameroon,Capacity-enhancing,Fishing access,538959.66,0,Reported
48,Africa,Cameroon,Capacity-enhancing,Fuel subsidies,0,0,NA
49,Africa,Cameroon,Ambiguous,Fisher assistance,0,0,NA
50,Africa,Cameroon,Ambiguous,Vessel buyback,0,0,NA
51,Africa,Cameroon,Ambiguous,Rural fisher communities,0,0,NA
52,Africa,Cape Verde,Beneficial,Fisheries mangt.,2405245.315,834235.5275,Modeled
53,Africa,Cape Verde,Beneficial,Fishery R&D,322245.4956,139489.2547,Modeled
54,Africa,Cape Verde,Beneficial,MPAs,0,0,NA
55,Africa,Cape Verde,Capacity-enhancing,Boat constsruct. & renov.,797687.9776,736063.9719,Modeled
