eez_code,eez_name,eez_territory_iso3,eez_sovereign_iso3,total_vessels,total_capacity,total_fishing_hours,total_fishing_KWh,vessel_rank,capacity_rank,fishing_hours_rank,fishing_KWh_rank,avg_rank
8327,South Korean Exclusive Economic Zone,KOR,KOR,1988,968010.5085937592,59463.50736111111,27890342.8336807,1,1,22,33,14.25
21796,Joint regime area Japan / Korea,KOR,KOR,595,231801.59618317618,14662.143333333333,5727274.424957747,2,19,45,66,33
8486,Chinese Exclusive Economic Zone,CHN,CHN,587,231845.09776896596,79945.5488888889,60258356.18883476,3,18,16,23,15
8487,Japanese Exclusive Economic Zone,JPN,JPN,582,532114.0139118354,35856.22819444445,53129440.70044563,4,2,29,24,14.75
8328,North Korean Exclusive Economic Zone,PRK,PRK,388,180086.26886925142,13160.94,6060767.814979282,5,26,46,64,35.25
8316,Micronesian Exclusive Economic Zone,FSM,FSM,319,465259.0795521587,212823.96055555547,205775906.9508399,6,3,2,3,3.5
5679,Greek Exclusive Economic Zone,GRC,GRC,237,66924.64230960088,20339.15763888889,5469871.389156188,7,51,39,70,41.75
8343,Mauritian Exclusive Economic Zone,MUS,MUS,235,204080.15886609367,152347.32027777776,102732350.78218827,8,21,5,10,11
8389,Disputed area Falkland Islands Exclusive Economic Zone: UK / Argentina,FLK,GBR,227,381848.50776702043,114968.6887499995,201287880.04420802,9,6,8,5,7
8484,Vietnamese Exclusive Economic Zone,VNM,VNM,226,93689.92295644028,7839.978611111112,3305828.0145949572,10,40,59,79,47
