flag,eez_code,flag_lon,flag_lat,flag_lon_edit,flag_lat_edit,eez_name,eez_lon,eez_lat,eez,eez_lon_edit,eez_lat_edit,geometry
ITA,5670,12.070012547689789,42.79662848728713,NA,NA,Albanian Exclusive Economic Zone,19.113269791987893,40.92702814166233,NA,NA,NA,"c(12.0700125476898, 13.1010979506183, 14.1241217127274, 15.138922931492, 16.1453576247323, 17.1432984271572, 18.1326342332069, 19.1132697919879, 42.7966284872871, 42.5562888997473, 42.3067772697789, 42.0482455318309, 41.7808478782385, 41.5047404187045, 41.2200808506795, 40.9270281416623)"
ITA,5691,12.070012547689789,42.79662848728713,NA,NA,Montenegrin Exclusive economic Zone,18.68024346689645,41.870201908280634,NA,NA,NA,"c(12.0700125476898, 13.1847208027523, 14.2946611374799, 15.399497882997, 16.4989093728376, 17.5925885466027, 18.6802434668965, 42.7966284872871, 42.668781199105, 42.5301719189102, 42.3809002954081, 42.2210723810457, 42.0508003005029, 41.8702019082806)"
ITA,5697,12.070012547689789,42.79662848728713,NA,NA,Turkish Exclusive Economic Zone,33.204622655384675,40.52057276964018,NA,NA,NA,"c(12.0700125476898, 13.2740341766532, 14.4769423776122, 15.6782517508236, 16.8774822848903, 18.0741609333343, 19.2678231360524, 20.4580142743735, 21.6442910493947, 22.8262227743706, 24.0033925731215, 25.1753984777052, 26.3418544199229, 27.5023911125816, 28.6566568177881, 29.8043180008716, 30.945059869814, 32.0785868012698, 33.2046226553847, 42.7966284872871, 42.774279093522, 42.7393279654409, 42.6918046975796, 42.6317493930483, 42.5592125059727, 42.4742546448131, 42.3769463383718, 42.267367766612, 
42.1456084586944, 42.0117669608768, 41.8659504771279, 41.7082744854623, 41.5388623331223, 41.3578448138046, 41.1653597301603, 40.9615514447861, 40.7465704228789, 40.5205727696402)"
ITA,8337,12.070012547689789,42.79662848728713,NA,NA,Seychellois Exclusive Economic Zone,52.4686584239278,-6.548001097247967,NA,NA,NA,"c(12.0700125476898, 12.9511332973487, 13.8153367941292, 14.6631294283395, 15.4950117338583, 16.3114773846341, 17.1130123535015, 17.9000942171247, 18.6731915919342, 19.4327636869951, 20.179259960826, 20.9131198702356, 21.6347727002678, 22.3446374653218, 23.0431228724359, 23.7306273385965, 24.4075390547431, 25.0742360898939, 25.7310865295129, 26.3784486428753, 27.0166710747761, 27.6460930574552, 28.2670446390985, 28.8798469257112, 29.4848123335548, 30.0822448496939, 30.6724402985203, 31.2556866124056, 
31.8322641048907, 32.402445745048, 32.9664974318545, 33.5246782675951, 34.077240829474, 34.6244314387547, 35.1664904268717, 35.7036523980697, 36.2361464882194, 36.7641966195469, 37.2880217510862, 37.8078361247294, 38.3238495068056, 38.8362674251701, 39.345291401827, 39.8511191811441, 40.3539449537552, 40.8539595762666, 41.3513507869141, 41.8463034173316, 42.3389996006147, 42.8296189758726, 43.3183388894789, 43.8053345932371, 44.2907794396913, 44.7748450748134, 45.2577016283109, 45.7395179017989, 
46.2204615550881, 46.7006992908404, 47.1803970378503, 47.6597201332085, 48.138833503609, 48.61790184606, 49.0970898082609, 49.5765621689069, 50.0564840181853, 50.5370209387235, 51.0183391872522, 51.5006058772433, 51.9839891627813, 52.4686584239278, 42.7966284872871, 42.1871801089756, 41.5711184589294, 40.948708646545, 40.3202055146858, 39.6858539708615, 39.0458893245752, 38.4005376278836, 37.7500160166432, 37.0945330502954, 36.4342890483874, 35.769476422326, 35.1002800011341, 34.426877350213, 33.7494390823235, 
33.0681291601746, 32.3831051901712, 31.694518707, 31.0025154488541, 30.3072356231899, 29.6088141629979, 28.9073809736346, 28.2030611703231, 27.4959753064774, 26.786239593044, 26.0739661090869, 25.359263003864, 24.6422346906653, 23.9229820326952, 23.2016025212909, 22.4781904467772, 21.7528370622588, 21.0256307406553, 20.2966571252793, 19.5659992742599, 18.8337377991046, 18.099950997693, 17.3647149819846, 16.6281038007207, 15.8901895573904, 15.1510425237262, 14.4107312489833, 13.669322665254, 12.9268821890577, 
12.1834738194398, 11.4391602328083, 10.6940028747266, 9.94806204887561, 9.20139700339345, 8.45406601479129, 7.70612646964192, 6.95763494422941, 6.20864728234488, 5.45921867140785, 4.70940371708868, 3.95925651660409, 3.20883073085363, 2.45817965556257, 1.70735629159367, 0.956413414588454, 0.205403644096364, -0.545620487650666, -1.29660646716209, -2.04750173115522, -2.79825359790847, -3.54880919834562, -4.29911540669424, -5.04911877056038, -5.79876544026035, -6.54800109724796)"
ITA,8343,12.070012547689789,42.79662848728713,NA,NA,Mauritian Exclusive Economic Zone,60.11317733795447,-16.816366060217728,NA,NA,NA,"c(12.0700125476898, 12.9623176961813, 13.8376241754271, 14.6964296838005, 15.5392272588064, 16.3665041735132, 17.1787410006103, 17.9764108280919, 18.7599786115047, 19.5299006486833, 20.2866241638981, 21.0305869893363, 21.7622173328164, 22.4819336215785, 23.1901444128979, 23.8872483631272, 24.5736342475733, 25.2496810243712, 25.9157579362123, 26.5722246444301, 27.2194313905395, 27.8577191808659, 28.4874199903989, 29.1088569824508, 29.7223447411114, 30.3281895138568, 30.926689462001, 31.5181349169799, 
32.1028086407235, 32.6809860886088, 33.2529356737059, 33.8189190312127, 34.3791912821498, 34.9340012955321, 35.4835919483705, 36.0282003829734, 36.56805826112, 37.1033920147736, 37.6344230930778, 38.161368205453, 38.6844395606727, 39.2038451018491, 39.7197887373098, 40.232470567385, 40.7420871071613, 41.248831505289, 41.7528937589559, 42.2544609251657, 42.7537173284744, 43.2508447653609, 43.7460227054169, 44.2394284895566, 44.7312375254569, 45.2216234804465, 45.7107584720698, 46.198813256559, 46.6859574154518, 
47.1723595405951, 47.658187417782, 48.1436082092681, 48.6287886354183, 49.1138951557352, 49.5990941495208, 50.0845520964272, 50.5704357571468, 51.056912354497, 51.5441497551515, 52.0323166522696, 52.5215827492733, 53.012118945019, 53.5040975206105, 53.9976923280919, 54.4930789812608, 54.9904350488304, 55.4899402501675, 55.9917766538256, 56.4961288790794, 57.0031843006616, 57.5131332568874, 58.0261692613363, 58.5424892182488, 59.0622936417678, 59.5857868791396, 60.1131773379545, 42.7966284872871, 
42.1921852084842, 41.5809585472541, 40.9632183683149, 40.3392242723506, 39.7092259083147, 39.0734632944426, 38.4321671447903, 37.7855591985536, 37.1338525498136, 36.4772519757106, 35.8159542613664, 35.1501485201557, 34.4800165081776, 33.8057329319996, 33.1274657489362, 32.4453764592961, 31.7596203901744, 31.0703469704947, 30.3776999971107, 29.6818178918735, 28.9828339496439, 28.2808765772981, 27.576069523828, 26.868532101684, 26.1583793995428, 25.4457224867161, 24.7306686094342, 24.0133213792626, 
23.2937809539186, 22.5721442107674, 21.848504913281, 21.1229538707495, 20.3955790915348, 19.6664659301526, 18.9356972284736, 18.2033534513232, 17.4695128167602, 16.7342514213074, 15.9976433604008, 15.2597608443186, 14.5206743098449, 13.7804525279141, 13.0391627074775, 12.2968705958263, 11.5536405755959, 10.8095357586741, 10.0646180772256, 9.31894837204058, 8.57258647840997, 7.82559130972241, 7.07802093897472, 6.32993267838157, 5.58138315726563, 4.83242839840584, 4.0831238930168, 3.33352467452991, 
2.58368539134271, 1.83366037870151, 1.0835037298789, 0.333269366807087, -0.416988889674144, -1.16721724979688, -1.9173618849142, -2.66736885746209, -3.41718405067631, -4.16675309790625, -4.91602131136668, -5.66493361016656, -6.41343444745264, -7.16146773650314, -7.90897677560386, -8.65590417153669, -9.40219176150633, -10.1477805333277, -10.8926105436919, -11.6366208343245, -12.3797493458443, -13.1219328291259, -13.8631067539642, -14.6032052148313, -15.3421608335128, -16.0799046584009, -16.8163660602177
)"
ITA,8362,12.070012547689789,42.79662848728713,NA,NA,Cape Verdean Exclusive Economic Zone,-24.170552232398478,16.09115077036928,NA,NA,NA,"c(12.0700125476898, 11.0266418702606, 9.99804099205286, 8.98406486425003, 7.98454971032433, 6.99931484906531, 6.02816443683849, 5.07088912422375, 4.12726762371864, 3.19706818655013, 2.28004998782706, 1.37596442028737, 0.484556297763135, -0.394435029789634, -1.26127464725582, -2.11623112840763, -2.95957566975164, -3.79158130062382, -4.61252216579024, -5.42267287669318, -6.22230792742599, -7.0117011715148, -7.79112535562408, -8.56085170637644, -9.32114956657927, -10.0722860772752, -10.8145259021753, 
-11.5481309911875, -12.2733603799138, -12.9904700221614, -13.6997126526759, -14.4013376774814, -15.0955910893744, -15.7827154062865, -16.4629496303873, -17.1365292259559, -17.8036861141938, -18.4646486832956, -19.1196418122254, -19.7688869067754, -20.4126019465999, -21.0510015420329, -21.6842969995989, -22.3126963952271, -22.9364046542691, -23.5556236375045, -24.1705522323985, 42.7966284872871, 42.3532591853723, 41.9005638463208, 41.438819633433, 40.9682989782522, 40.4892693208987, 40.0019928930568, 
39.5067265406835, 39.0037215835003, 38.4932237083611, 37.9754728936504, 37.4507033619493, 36.919143558314, 36.381016151632, 35.8365380566485, 35.2859204743986, 34.7293689489201, 34.1670834382669, 33.599258397987, 33.0260828753709, 32.4477406129126, 31.8644101595597, 31.2762649884566, 30.6834736200044, 30.0861997491771, 29.4846023761405, 28.8788359393198, 28.2690504501585, 27.6553916288925, 27.03800104075, 26.4170162320542, 25.7925708657793, 25.1647948561677, 24.5338145020734, 23.8997526187479, 23.2627286678301, 
22.6228588853433, 21.9802564075389, 21.3350313944611, 20.687291151135, 20.0371402463091, 19.384680628703, 18.7300117407382, 18.073230629741, 17.4144320566284, 16.7537086020998, 16.0911507703693)"
ITA,8366,12.070012547689789,42.79662848728713,NA,NA,Tunisian Exclusive Economic Zone,11.052626528244271,35.98826665761801,NA,NA,NA,"c(12.0700125476898, 11.931345087596, 11.796329416986, 11.6647665436002, 11.5364703914092, 11.4112667329127, 11.2889922238118, 11.1694935287544, 11.0526265282443, 42.7966284872871, 41.946094431865, 41.0953979210479, 40.2445478358462, 39.3935524781188, 38.5424196186931, 37.6911565408419, 36.8397700796355, 35.988266657618)"
ITA,8370,12.070012547689789,42.79662848728713,NA,NA,Gambian Exclusive Economic Zone,-18.390765610529808,13.32860698632763,NA,NA,NA,"c(12.0700125476898, 11.1299620547056, 10.206824727785, 9.30017451117737, 8.40958325844824, 7.53462226052702, 6.67486359928739, 5.82988133909961, 4.99925256864489, 4.18255830498302, 3.37938427144644, 2.58932156043295, 1.81196719160511, 1.04692457540125, 0.293803891139078, -0.447777611640788, -1.17819538057196, -1.89781738919743, -2.60700402023696, -3.30610799715311, -3.99547435832719, -4.67544046867016, -5.34633606397708, -6.00848332378325, -6.66219696890033, -7.30778438019667, -7.9455457355445, -8.57577416218339, 
-9.19875590205041, -9.81477048790154, -10.4240909282975, -11.0269838997554, -11.6237099445712, -12.214523673005, -12.7996739686894, -13.3794041962686, -13.9539524104168, -14.5235515655023, -15.088429725274, -15.6488102720446, -16.2049121149336, -16.7569498968068, -17.3051341996235, -17.8496717479592, -18.3907656105298, 42.7966284872871, 42.2273453556672, 41.6505244346384, 41.0664492473521, 40.4753937795484, 39.8776226578877, 39.2733913499998, 38.6629463822873, 38.0465255719318, 37.4243582699426, 
36.7966656124496, 36.1636607777797, 35.5255492471658, 34.8825290672194, 34.2347911125555, 33.5825193471918, 32.9258910835529, 32.2650772380964, 31.6002425827469, 30.9315459914704, 30.2591406814524, 29.5831744484596, 28.9037898960642, 28.2211246584977, 27.5353116169787, 26.8464791094235, 26.1547511335049, 25.4602475430735, 24.7630842379951, 24.0633733474948, 23.3612234071223, 22.6567395294825, 21.9500235688894, 21.2411742801198, 20.5302874714548, 19.8174561522048, 19.1027706749242, 18.3863188725224, 
17.6681861904842, 16.9484558144123, 16.2272087931062, 15.5045241573898, 14.7804790348993, 14.0551487610416, 13.3286069863276)"
ITA,8371,12.070012547689789,42.79662848728713,NA,NA,Senegalese Exclusive Economic Zone,-18.491628019390536,13.693455400462938,NA,NA,NA,"c(12.0700125476898, 11.1293787653371, 10.2054101681626, 9.29770024685794, 8.40583947786277, 7.52941685608255, 6.66802126016208, 5.82124266154582, 4.98867318853553, 4.16990805637616, 3.36454637410171, 2.57219183847644, 1.79245332490387, 1.02494538466328, 0.269288657290502, -0.474889793637942, -1.20795621362339, -1.9302699521287, -2.64218331263697, -3.34404145182219, -4.03618232227524, -4.71893665371036, -5.39262796803041, -6.05757262405757, -6.71407988813323, -7.36245202716253, -8.00298442102167, 
-8.6359656915624, -9.26167784574048, -9.88039643065937, -10.4923906985674, -11.097923780066, -11.6972528639912, -12.2906293826129, -12.8782992009629, -13.4605028092533, -14.0374755174821, -14.6094476514455, -15.1766447494849, -15.7392877593971, -16.2975932350222, -16.8517735321058, -17.4020370030983, -17.9485881906222, -18.4916280193905, 42.7966284872871, 42.2363593720364, 41.6685407675738, 41.093452341657, 40.5113646053512, 39.922539064735, 39.3272283953128, 38.7256766352614, 38.1181193940256, 37.5047840731414, 
36.8858900965079, 36.2616491476487, 35.6322654117991, 34.9979358209266, 34.3588503000405, 33.7151920133729, 33.0671376092166, 32.4148574623892, 31.7585159134586, 31.0982715040104, 30.4342772073678, 29.7666806542931, 29.0956243532976, 28.4212459052776, 27.7436782122726, 27.0630496802082, 26.3794844155446, 25.6931024158031, 25.0040197539844, 24.3123487569293, 23.6181981777052, 22.9216733621233, 22.2228764095179, 21.5219063279316, 20.8188591838686, 20.1138282467857, 19.4069041285027, 18.6981749177169, 
17.987726309814, 17.2756417321689, 16.5620024651312, 15.8468877588928, 15.130374946433, 14.412539552734, 13.6934554004629)"
ITA,8372,12.070012547689789,42.79662848728713,NA,NA,Libyan Exclusive Economic Zone,18.499058917218125,33.14305932761633,NA,NA,NA,"c(12.0700125476898, 12.629997978042, 13.177243876531, 13.7123099009171, 14.235729381045, 14.7480107079208, 15.249638660053, 15.7410756675843, 16.2227630152837, 16.6951219858721, 17.1585549454629, 17.6134463731227, 18.0601638367059, 18.4990589172181, 42.7966284872871, 42.0675705893649, 41.3358523760368, 40.6015997320523, 39.8649317914967, 39.1259613726504, 38.3847953829467, 37.6415351961334, 36.8962770036146, 36.1491121418229, 35.4001273973446, 34.6494052914082, 33.8970243452312, 33.1430593276163)"
