year,flag,vessels_total,fishing_hours_total,fishing_KWh_total,fishing_days_total,regionname,country,category,type,value,estimate_type,type_code,lsf_prop,new_value,subs_per_fishing_hour,subs_per_fishing_KWh,subs_per_fishing_day
2018,BLZ,25,18496.429027778002,33559805.83914082,1852,"South, Central America and Carribbean",Belize,Capacity-enhancing,Fishing access,15723894.71,Modeled,B6,1,15723894.71,850.1043464328061,0.4685335423383533,8490.223925485961
2018,BLZ,25,18496.429027778002,33559805.83914082,1852,"South, Central America and Carribbean",Belize,Capacity-enhancing,Fuel subsidies,NA,Modeled,B7,0.939,NA,NA,NA,NA
2018,BLZ,25,18496.429027778002,33559805.83914082,1852,"South, Central America and Carribbean",Belize,Ambiguous,Fisher assistance,NA,Modeled,C1,0.753,NA,NA,NA,NA
2018,BLZ,25,18496.429027778002,33559805.83914082,1852,"South, Central America and Carribbean",Belize,Ambiguous,Vessel buyback,NA,Modeled,C2,0.998,NA,NA,NA,NA
2018,BLZ,25,18496.429027778002,33559805.83914082,1852,"South, Central America and Carribbean",Belize,Ambiguous,Rural fisher communities,180513,Modeled,C3,0.159,28701.567,1.5517355786295768,8.552363841904398e-4,15.49760637149028
2018,BRA,163,218954.1306944446,81503423.98968661,13655,"South, Central America and Carribbean",Brazil,Beneficial,Fisheries mangt.,42571102.79,Reported,A1,0.743,31630329.37297,144.4609849225034,0.3880858965750013,2316.391751956792
2018,BRA,163,218954.1306944446,81503423.98968661,13655,"South, Central America and Carribbean",Brazil,Beneficial,Fishery R&D,54947616.56,Modeled,A2,0.783,43023983.766480006,196.4977031034913,0.5278794639587686,3150.7860685814726
2018,BRA,163,218954.1306944446,81503423.98968661,13655,"South, Central America and Carribbean",Brazil,Beneficial,MPAs,149979343.51,Modeled,A3,0.779,116833908.59429,533.5999290067487,1.4334846669641033,8556.12659057415
2018,BRA,163,218954.1306944446,81503423.98968661,13655,"South, Central America and Carribbean",Brazil,Capacity-enhancing,Boat constsruct. & renov.,31646115.21,Modeled,B1,0.848,26835905.69808,122.56405308712858,0.3292610835770016,1965.2805344621017
2018,BRA,163,218954.1306944446,81503423.98968661,13655,"South, Central America and Carribbean",Brazil,Capacity-enhancing,Fisheries dev. projects,8257499.85,Reported,B2,0.742,6127064.8887,27.983326321668972,0.075175552004727,448.7048618601245
2018,BRA,163,218954.1306944446,81503423.98968661,13655,"South, Central America and Carribbean",Brazil,Capacity-enhancing,Fishing port develop.,332049.03,Reported,B3,0.791,262650.78273000004,1.1995698911775046,0.003222573603327827,19.23476988136214
2018,BRA,163,218954.1306944446,81503423.98968661,13655,"South, Central America and Carribbean",Brazil,Capacity-enhancing,Markt. & storage infrast.,121220212.86,Reported,B4,0.931,112856018.17266001,515.4322406009006,1.3846782459954166,8264.812755229586
2018,BRA,163,218954.1306944446,81503423.98968661,13655,"South, Central America and Carribbean",Brazil,Capacity-enhancing,Tax exemption,92115717.9,Reported,B5,0.866,79772211.70140001,364.33298357236254,0.9787590238110038,5841.97815462468
2018,BRA,163,218954.1306944446,81503423.98968661,13655,"South, Central America and Carribbean",Brazil,Capacity-enhancing,Fishing access,54151.86,Modeled,B6,1,54151.86,0.24732056814022904,6.64412086624144e-4,3.965716587330648
2018,BRA,163,218954.1306944446,81503423.98968661,13655,"South, Central America and Carribbean",Brazil,Capacity-enhancing,Fuel subsidies,6181967.38,Reported,B7,0.939,5804867.36982,26.511796564006467,0.0712223742962571,425.10929108897835
2018,BRA,163,218954.1306944446,81503423.98968661,13655,"South, Central America and Carribbean",Brazil,Ambiguous,Fisher assistance,30063729.48,Reported,C1,0.753,22637988.298440002,103.39146480881797,0.2777550585028747,1657.8534088934457
2018,BRA,163,218954.1306944446,81503423.98968661,13655,"South, Central America and Carribbean",Brazil,Ambiguous,Vessel buyback,NA,Modeled,C2,0.998,NA,NA,NA,NA
2018,BRA,163,218954.1306944446,81503423.98968661,13655,"South, Central America and Carribbean",Brazil,Ambiguous,Rural fisher communities,31454602.11,Modeled,C3,0.159,5001281.73549,22.84168706764158,0.06136284208284132,366.26010512559503
2018,CAN,885,381739.315555556,366596808.7325649,29054,North America,Canada,Beneficial,Fisheries mangt.,268315497.61,Reported,A1,0.743,199358414.72423002,522.237051832343,0.5438083746922725,6861.651226138571
2018,CAN,885,381739.315555556,366596808.7325649,29054,North America,Canada,Beneficial,Fishery R&D,2459332.46,Reported,A2,0.783,1925657.31618,5.044430158778738,0.005252793451305741,66.27856116816962
2018,CAN,885,381739.315555556,366596808.7325649,29054,North America,Canada,Beneficial,MPAs,105237495.02,Modeled,A3,0.779,81980008.62058,214.75390477208822,0.22362444698853073,2821.642755578578
2018,CAN,885,381739.315555556,366596808.7325649,29054,North America,Canada,Capacity-enhancing,Boat constsruct. & renov.,3549806.3,Reported,B1,0.848,3010235.7424,7.885579555826255,0.008211298272909923,103.60830668410546
2018,CAN,885,381739.315555556,366596808.7325649,29054,North America,Canada,Capacity-enhancing,Fisheries dev. projects,9683507.59,Reported,B2,0.742,7185162.6317799995,18.822170887280052,0.01959963224072043,247.30373207751083
2018,CAN,885,381739.315555556,366596808.7325649,29054,North America,Canada,Capacity-enhancing,Fishing port develop.,70927867.73,Reported,B3,0.791,56103943.37443001,146.96925647488092,0.15303991207233408,1931.0230389767332
2018,CAN,885,381739.315555556,366596808.7325649,29054,North America,Canada,Capacity-enhancing,Markt. & storage infrast.,1848857.45,Reported,B4,0.931,1721286.28595,4.509062115975567,0.0046953117019785376,59.24438238968816
2018,CAN,885,381739.315555556,366596808.7325649,29054,North America,Canada,Capacity-enhancing,Tax exemption,39069952.88,Reported,B5,0.866,33834579.19408,88.63268155872179,0.09229370902342628,1164.5411714077236
2018,CAN,885,381739.315555556,366596808.7325649,29054,North America,Canada,Capacity-enhancing,Fishing access,16727.93,Modeled,B6,1,16727.93,0.04382029651741627,4.5630320836216415e-5,0.5757530804708474
2018,CAN,885,381739.315555556,366596808.7325649,29054,North America,Canada,Capacity-enhancing,Fuel subsidies,69123620.06,Modeled,B7,0.939,64907079.23634,170.02985176383757,0.17705303944336895,2234.015255604736
2018,CAN,885,381739.315555556,366596808.7325649,29054,North America,Canada,Ambiguous,Fisher assistance,240697699.07,Reported,C1,0.753,181245367.39971,474.7883176139154,0.49439974130252134,6238.224251383975
2018,CAN,885,381739.315555556,366596808.7325649,29054,North America,Canada,Ambiguous,Vessel buyback,NA,Modeled,C2,0.998,NA,NA,NA,NA
2018,CAN,885,381739.315555556,366596808.7325649,29054,North America,Canada,Ambiguous,Rural fisher communities,42213042.38,Reported,C3,0.159,6711873.73842,17.582348647144247,0.01830859837985213,231.013758464239
2018,CHL,93,83660.88402777912,152836535.96209404,8001,"South, Central America and Carribbean",Chile,Beneficial,Fisheries mangt.,9716384.64,Reported,A1,0.743,7219273.787520001,86.29210498329043,0.04723526179179106,902.2964363854519
2018,CHL,93,83660.88402777912,152836535.96209404,8001,"South, Central America and Carribbean",Chile,Beneficial,Fishery R&D,3718790.78,Reported,A2,0.783,2911813.1807399997,34.80495352849904,0.019051813510495796,363.9311561979752
2018,CHL,93,83660.88402777912,152836535.96209404,8001,"South, Central America and Carribbean",Chile,Beneficial,MPAs,105515451.2,Modeled,A3,0.779,82196536.48480001,982.4966283825918,0.5378068533638194,10273.282900237471
2018,CHL,93,83660.88402777912,152836535.96209404,8001,"South, Central America and Carribbean",Chile,Capacity-enhancing,Boat constsruct. & renov.,NA,Modeled,B1,0.848,NA,NA,NA,NA
2018,CHL,93,83660.88402777912,152836535.96209404,8001,"South, Central America and Carribbean",Chile,Capacity-enhancing,Fisheries dev. projects,27012637.31,Reported,B2,0.742,20043376.884019997,239.57883205447254,0.13114257502532695,2505.1089718810144
2018,CHL,93,83660.88402777912,152836535.96209404,8001,"South, Central America and Carribbean",Chile,Capacity-enhancing,Fishing port develop.,NA,Modeled,B3,0.791,NA,NA,NA,NA
2018,CHL,93,83660.88402777912,152836535.96209404,8001,"South, Central America and Carribbean",Chile,Capacity-enhancing,Markt. & storage infrast.,87727770.94,Modeled,B4,0.931,81674554.74514,976.2573715814482,0.5343915591321478,10208.043337725285
2018,CHL,93,83660.88402777912,152836535.96209404,8001,"South, Central America and Carribbean",Chile,Capacity-enhancing,Tax exemption,NA,Modeled,B5,0.866,NA,NA,NA,NA
2018,CHL,93,83660.88402777912,152836535.96209404,8001,"South, Central America and Carribbean",Chile,Capacity-enhancing,Fishing access,21449833.87,Modeled,B6,1,21449833.87,256.3902368384932,0.140344936078111,2680.894121984752
2018,CHL,93,83660.88402777912,152836535.96209404,8001,"South, Central America and Carribbean",Chile,Capacity-enhancing,Fuel subsidies,NA,Modeled,B7,0.939,NA,NA,NA,NA
2018,CHL,93,83660.88402777912,152836535.96209404,8001,"South, Central America and Carribbean",Chile,Ambiguous,Fisher assistance,2887593.75,Reported,C1,0.753,2174358.09375,25.990140063879995,0.014226690496893206,271.76079161979754
2018,CHL,93,83660.88402777912,152836535.96209404,8001,"South, Central America and Carribbean",Chile,Ambiguous,Vessel buyback,NA,Modeled,C2,0.998,NA,NA,NA,NA
2018,CHL,93,83660.88402777912,152836535.96209404,8001,"South, Central America and Carribbean",Chile,Ambiguous,Rural fisher communities,44923.26,Reported,C3,0.159,7142.79834,0.0853779926306812,4.673488766960494e-5,0.892738200224972
2018,CHN,63618,18838842.565710034,6786685069.593521,1964212,Asia,China,Beneficial,Fisheries mangt.,75546273.06,Reported,A1,0.743,56130880.88358,2.979529166284767,0.008270736052725353,28.576793586221854
2018,CHN,63618,18838842.565710034,6786685069.593521,1964212,Asia,China,Beneficial,Fishery R&D,6315839.96,Reported,A2,0.783,4945302.688680001,0.26250565401938813,7.286772021935287e-4,2.5177031240416006
2018,CHN,63618,18838842.565710034,6786685069.593521,1964212,Asia,China,Beneficial,MPAs,5454908.03,Modeled,A3,0.779,4249373.35537,0.22556446026597185,6.261338653252861e-4,2.1633985309986907
2018,CHN,63618,18838842.565710034,6786685069.593521,1964212,Asia,China,Capacity-enhancing,Boat constsruct. & renov.,193951209.81,Reported,B1,0.848,164470625.91888,8.730399723083046,0.02423430942092186,83.73364276304186
2018,CHN,63618,18838842.565710034,6786685069.593521,1964212,Asia,China,Capacity-enhancing,Fisheries dev. projects,169877487.96,Reported,B2,0.742,126049096.06632,6.690915093464991,0.018572999155516957,64.17285713880172
