flag,region,flag_lon_edit,flag_lat_edit
PRT,Africa,-8,39.5
ESP,Africa,-4,40
MYS,Africa,102,4
ATF,Africa,69.5,-49.5
CHL,Africa,-72,-38
USA,Africa,-102,40
CHN,Africa,105.0057948,35.927919
PRT,Caribbean,-8,39.5
ESP,Caribbean,-4,40
MYS,Caribbean,102,4
ATF,Caribbean,69.5,-49.5
CHL,Caribbean,-72,-38
USA,Caribbean,-102,40
CHN,Caribbean,105.0057948,35.927919
ESP,Pacific,356,40
USA,Pacific,258,40
KIR,Pacific,205,-4
BES,Africa,-69.18,12.3
BES,Caribbean,-69.18,12.3
BES,Pacific,290.82,12.3
CUW,Africa,-69.18,12.3
CUW,Caribbean,-69.18,12.3
CUW,Pacific,290.82,12.3
GIN,Africa,-11.02,10.91
GIN,Caribbean,-11.02,10.91
