year,ssvid,flag,vessel_class,length_m,tonnage_gt,engine_power_kw,broadcast_shipname,broadcast_callsign,eez_code,eez_type,eez_name,eez_territory_iso3,eez_sovereign_iso3,eez_sovereign2_iso3,eez_sovereign3_iso3,fishing_hours_year_eez,fishing_KWh_year_eez,fishing_days_year_eez,sovereign_iso3,flag_name,sovereign_name,eez_territory_name,eez_sovereign_name,eez_sovereign2_name,eez_sovereign3_name,is_EU,is_foreign,subs_per_fishing_KWh
2018,315078064,CHN,trawlers,38.0491347978,704.2337340160002,937.6270960819999,30100128 SM0TS7,F0P,8328,200NM,North Korean Exclusive Economic Zone,PRK,PRK,NA,NA,22.772777777777772,21352.373497498476,1,CHN,China,China,North Korea,North Korea,NA,NA,FALSE,TRUE,0.7384670645121026
2018,370345686,CHN,trawlers,39.46948226538571,372.17123780252854,571.6233330682002,NA,NA,8328,200NM,North Korean Exclusive Economic Zone,PRK,PRK,NA,NA,5.785694444444445,3307.237942447501,1,CHN,China,China,North Korea,North Korea,NA,NA,FALSE,TRUE,0.7384670645121026
2018,400004526,CHN,trawlers,38.1654574223875,354.2519664014374,604.462995337625,AAA9,6666666,8328,200NM,North Korean Exclusive Economic Zone,PRK,PRK,NA,NA,8.828472222222222,5336.484763699463,3,CHN,China,China,North Korea,North Korea,NA,NA,FALSE,TRUE,0.7384670645121026
2018,410875245,CHN,trawlers,33.58062137539999,358.3942934014,456.2111721338,GF085,NA,8328,200NM,North Korean Exclusive Economic Zone,PRK,PRK,NA,NA,12.809722222222222,5843.938389708383,3,CHN,China,China,North Korea,North Korea,NA,NA,FALSE,TRUE,0.7384670645121026
2018,412000102,CHN,fixed_gear,34.110109630142865,571.7897910706574,476.26238766295717,B2,NA,8328,200NM,North Korean Exclusive Economic Zone,PRK,PRK,NA,NA,177.7047222222222,84634.07530453816,14,CHN,China,China,North Korea,North Korea,NA,NA,FALSE,TRUE,0.7384670645121026
2018,412000669,CHN,fishing,35.6842833693,425.9320679549999,942.8053589410999,06969,NA,8328,200NM,North Korean Exclusive Economic Zone,PRK,PRK,NA,NA,16.451666666666668,15510.719496845999,2,CHN,China,China,North Korea,North Korea,NA,NA,FALSE,TRUE,0.7384670645121026
2018,412003568,CHN,drifting_longlines,35.332681907099996,148.0364397443,310.49632150259987,JIQINGYU01568,1568,8328,200NM,North Korean Exclusive Economic Zone,PRK,PRK,NA,NA,2.058472222222222,639.1480529152825,1,CHN,China,China,North Korea,North Korea,NA,NA,FALSE,TRUE,0.7384670645121026
2018,412011216,CHN,fishing,57.81780702333331,1352.9429529418667,1760.69100178,QIONGFANGYU11216,11216,8328,200NM,North Korean Exclusive Economic Zone,PRK,PRK,NA,NA,20.510833333333323,36113.23968900927,2,CHN,China,China,North Korea,North Korea,NA,NA,FALSE,TRUE,0.7384670645121026
2018,412015092,CHN,fishing,23.828415154933328,132.39463278146664,505.61933051180006,LIAODAZHONGYU15092,15092,8328,200NM,North Korean Exclusive Economic Zone,PRK,PRK,NA,NA,6.481111111111112,3276.9750609725893,1,CHN,China,China,North Korea,North Korea,NA,NA,FALSE,TRUE,0.7384670645121026
2018,412021352,CHN,fishing,23.91288679755,219.11025134775,230.18907099049997,LIAOPANYU25045,NA,8328,200NM,North Korean Exclusive Economic Zone,PRK,PRK,NA,NA,61.70750000000001,14204.392098146283,5,CHN,China,China,North Korea,North Korea,NA,NA,FALSE,TRUE,0.7384670645121026
