flag,eez_iso3,vessels_per_eez,effort_per_eez,kwhr,startlon,startlat,endlon,endlat
AFG,CHN,2,21.78555555,8509.548779,66.00473366,33.83523073,118.1312597,27.71823527
AFG,ARG,3,666.8941666,329443.935,66.00473366,33.83523073,-62.15334483,-47.06078535
AGO,NAM,3,98.9875,147884.7681,17.53736768,-12.29336054,12.28566461,-23.64974544
AGO,MOZ,1,7.589166667,3693.557208,17.53736768,-12.29336054,37.95590228,-20.36772056
AGO,LBR,1,1.198055556,520.896262,17.53736768,-12.29336054,-10.17760151,3.802469073
AGO,TWN,1,12.65888889,4653.347983,17.53736768,-12.29336054,118.7154204,21.4216289
AGO,CHN,3,753.4852778,256678.3844,17.53736768,-12.29336054,118.1312597,27.71823527
AGO,COD,10,1445.040417,723379.8954,17.53736768,-12.29336054,10.75519638,-6.3965012
AIA,TWN,1,11.52888889,3078.23139,-63.06498927,18.2239595,118.7154204,21.4216289
AIA,CHN,1,202.0519444,74176.55799,-63.06498927,18.2239595,118.1312597,27.71823527
AIA,PER,1,417.7179167,692531.0604,-63.06498927,18.2239595,-78.8845358,-11.89935887
ALB,ATF,1,310.325,265335.2786,20.04983396,41.14244989,77.54180123,-38.29423414
ALB,ATF,1,310.325,265335.2786,20.04983396,41.14244989,51.21244542,-46.30698599
ALB,ATF,1,310.325,265335.2786,20.04983396,41.14244989,68.98151058,-48.88361515
ALB,MNE,7,1801.578333,544009.2239,20.04983396,41.14244989,18.68024347,41.87020191
ALB,PLW,2,2075.32625,831544.7867,20.04983396,41.14244989,133.0681311,6.441005028
ALB,PHL,3,45.34458333,18357.95488,20.04983396,41.14244989,122.1499359,12.20159115
ALB,THA,1,506.1279167,61051.00447,20.04983396,41.14244989,99.62797407,9.162898846
ALB,TWN,22,8109.132639,2412247.197,20.04983396,41.14244989,118.7154204,21.4216289
ALB,CHN,52,9446.555833,2786919.569,20.04983396,41.14244989,118.1312597,27.71823527
ALB,RUS,1,16.72069444,11387.45149,20.04983396,41.14244989,93.61507075,71.34167471
ALB,HRV,1,44.03263889,14067.28047,20.04983396,41.14244989,15.64901828,43.46060195
ALB,JPN,1,24.55763889,16724.71933,20.04983396,41.14244989,138.4279114,29.56442563
ALB,ATF,1,310.325,265335.2786,20.04983396,41.14244989,40.10937874,-23.53627749
ALB,ATF,1,310.325,265335.2786,20.04983396,41.14244989,42.09483971,-17.30642072
ALB,ATF,1,310.325,265335.2786,20.04983396,41.14244989,39.42538449,-20.86105223
AND,CHN,1,220.5198611,28990.32215,1.560543779,42.54229102,118.1312597,27.71823527
ARE,CHN,1,28.40347222,8578.288566,54.3001671,23.90528188,118.1312597,27.71823527
ARG,CHL,6,73.53583334,146475.1287,-65.17980693,-35.3813488,-75.5383845,-41.30623929
ARG,URY,27,6529.923334,3591532.813,-65.17980693,-35.3813488,-53.3246508,-35.78737874
ARG,ATF,1,14.48972222,27746.21397,-65.17980693,-35.3813488,77.54180123,-38.29423414
ARG,ATF,1,14.48972222,27746.21397,-65.17980693,-35.3813488,51.21244542,-46.30698599
ARG,HMD,1,10.35236111,19823.62547,-65.17980693,-35.3813488,73.7302111,-53.49813954
ARG,ATF,1,14.48972222,27746.21397,-65.17980693,-35.3813488,68.98151058,-48.88361515
ARG,ESP,1,0.5475,1299.039006,-65.17980693,-35.3813488,-17.58144343,28.36677705
ARG,STP,1,41.98944444,80405.13766,-65.17980693,-35.3813488,6.356204151,0.776474622
ARG,TWN,4,1198.67125,352723.8138,-65.17980693,-35.3813488,118.7154204,21.4216289
ARG,CHN,4,706.9759722,180484.6317,-65.17980693,-35.3813488,118.1312597,27.71823527
ARG,SWE,1,5.467638889,10469.92318,-65.17980693,-35.3813488,18.09824009,59.44317476
ARG,NLD,1,80.36291667,153886.0888,-65.17980693,-35.3813488,4.202049988,53.52568537
ARG,DEU,1,93.79,179597.467,-65.17980693,-35.3813488,8.485773917,54.55077419
ARG,DNK,1,14.21680556,27223.60878,-65.17980693,-35.3813488,9.375045228,56.1311518
ARG,NZL,1,11.59666667,8674.65541,-65.17980693,-35.3813488,71.80654847,-42.76958604
ARG,BVT,1,2759.765,5284644.455,-65.17980693,-35.3813488,3.355536108,-54.45557402
ARG,GNQ,1,11.76305556,22524.94917,-65.17980693,-35.3813488,5.458130334,-1.340787119
ARG,GHA,1,843.8645833,1615907.257,-65.17980693,-35.3813488,-0.85031311,3.50195597
ARG,GBR,1,2222.477083,4255797.575,-65.17980693,-35.3813488,-4.31011336,56.79328666
ARG,USA,1,22.80708333,43673.03972,-65.17980693,-35.3813488,-151.0947989,24.01624323
ARG,RUS,1,127.4388889,244031.3641,-65.17980693,-35.3813488,93.61507075,71.34167471
ARG,ATF,1,14.48972222,27746.21397,-65.17980693,-35.3813488,40.10937874,-23.53627749
ARG,POL,1,11.79125,22578.9384,-65.17980693,-35.3813488,17.25908563,54.90291121
ARG,CHL,6,73.53583334,146475.1287,-65.17980693,-35.3813488,-79.99080193,-26.33087514
ARG,CHL,6,73.53583334,146475.1287,-65.17980693,-35.3813488,-107.4391295,-26.82404194
ARG,ATF,1,14.48972222,27746.21397,-65.17980693,-35.3813488,42.09483971,-17.30642072
ARG,ATF,1,14.48972222,27746.21397,-65.17980693,-35.3813488,39.42538449,-20.86105223
ARG,BRA,1,2.9775,2958.352909,-65.17980693,-35.3813488,-39.53290778,-11.02777999
ARG,BRA,1,2.9775,2958.352909,-65.17980693,-35.3813488,-29.0964454,-20.50278449
ARG,USA,1,22.80708333,43673.03972,-65.17980693,-35.3813488,-95.73402289,34.758139
ARG,USA,1,22.80708333,43673.03972,-65.17980693,-35.3813488,-120.4047207,58.99093171
ARG,ESP,1,0.5475,1299.039006,-65.17980693,-35.3813488,-4.096851856,41.70329079
ARM,CHN,2,186.2584722,64250.25446,44.92993276,40.28952569,118.1312597,27.71823527
ATF,MUS,1,2.095555556,5566.33063,69.22666758,-49.24895485,60.11317734,-16.81636606
ATF,REU,1,6.742638889,17910.17053,69.22666758,-49.24895485,54.71971778,-21.77666043
ATF,TWN,1,34.745,10883.85108,69.22666758,-49.24895485,118.7154204,21.4216289
ATF,CHN,6,181.67625,71949.64014,69.22666758,-49.24895485,118.1312597,27.71823527
ATG,KOR,1,14.35583333,6003.359609,-61.79469343,17.2774996,127.5853442,35.7313375
AUS,TON,1,973.7109722,288523.9002,134.4910001,-25.73288704,-174.7659061,-20.22111658
AUS,ATF,2,28.95902778,97965.4439,134.4910001,-25.73288704,77.54180123,-38.29423414
AUS,ATF,2,28.95902778,97965.4439,134.4910001,-25.73288704,51.21244542,-46.30698599
AUS,HMD,2,542.8509722,1838640.953,134.4910001,-25.73288704,73.7302111,-53.49813954
AUS,ATF,2,28.95902778,97965.4439,134.4910001,-25.73288704,68.98151058,-48.88361515
AUS,NCL,1,6.497361111,2576.702769,134.4910001,-25.73288704,163.2138247,-21.01742435
AUS,MUS,2,22.85541667,29038.22306,134.4910001,-25.73288704,60.11317734,-16.81636606
