eez_iso3,total_kwhr,pct_effort
GBR,3053047331.238286,0.0768
NOR,2348080624.50028,0.0591
SJM,2244658309.072015,0.0565
JPN,1623610118.2155375,0.0408
RUS,1515296278.2223444,0.0381
GRL,1332528650.3045807,0.0335
KOR,1263266347.2551293,0.0318
IRL,1221563325.9104905,0.0307
FRO,1052516489.5487888,0.0265
USA,1003237514.6421053,0.0252
KIR,989026569.2240543,0.0249
ISL,987378111.980711,0.0248
FSM,801426554.3214985,0.0202
DNK,790225653.1552445,0.0199
FRA,684349551.2434161,0.0172
MUS,680825595.6726942,0.0171
FLK,661188386.5472041,0.0166
TUV,645865244.368285,0.0162
MHL,632471996.3446394,0.0159
SLB,621663883.4015033,0.0156
SYC,586975598.8706049,0.0148
CAN,564875535.9633704,0.0142
ARG,556719980.366482,0.014
PNG,544506812.8181471,0.0137
FJI,456842209.6130183,0.0115
NRU,446940037.1377927,0.0112
ESP,445747091.63689226,0.0112
URY,439204612.8310546,0.011
DEU,422151830.6062037,0.0106
ZAF,408314400.3447556,0.0103
NLD,385338407.1360339,0.0097
TWN,375554536.3597464,0.0094
ESH,346076360.1624004,0.0087
CHL,330932710.8234978,0.0083
MDG,328056667.6495584,0.0083
GGY,326822863.6346951,0.0082
SWE,320552360.3844912,0.0081
SEN,309728040.17670554,0.0078
MRT,303274365.3465406,0.0076
GIN,228811066.8515624,0.0058
POL,215746325.52522856,0.0054
CHN,214467615.87967575,0.0054
PYF,204770514.20926714,0.0052
HRV,203980390.2910876,0.0051
AGO,202468310.81065798,0.0051
TKL,193534866.07998618,0.0049
REU,178503026.16075614,0.0045
PRT,175289359.94350058,0.0044
COK,167485210.84399405,0.0042
CPV,163322327.53332672,0.0041
SGS,162668241.29868382,0.0041
PLW,162192938.0938451,0.0041
BRA,158381667.47994643,0.004
SLE,156928560.2561028,0.0039
VUT,155616870.07971066,0.0039
UMI,153526350.40636584,0.0039
BEL,149401221.52444625,0.0038
CIV,147061085.23180053,0.0037
ATF,143929188.77570042,0.0036
GHA,137411281.53818193,0.0035
PRK,132689612.82734947,0.0033
NZL,129534692.46963932,0.0033
MNP,125306285.05694741,0.0032
PER,116685149.89781399,0.0029
LBR,116091922.01232637,0.0029
NAM,113055246.43560387,0.0028
ASM,111959888.27063979,0.0028
GNB,109910263.92338826,0.0028
SGP,107573629.75983985,0.0027
NCL,105166516.60264377,0.0026
IDN,98410974.05161607,0.0025
LKA,98299224.96494365,0.0025
MOZ,95656943.41353221,0.0024
TZA,88744744.32850048,0.0022
TUN,88551022.32832251,0.0022
MEX,88373227.39950079,0.0022
GMB,87545069.7097881,0.0022
CPT,82950457.9527778,0.0021
EST,80491456.99534602,0.002
LVA,79465378.84496886,0.002
STP,78245470.69782229,0.002
WSM,77844821.68907477,0.002
PHL,72310154.32553488,0.0018
PAN,68398102.33756085,0.0017
ECU,67364774.08040677,0.0017
GRC,63665065.50471946,0.0016
TON,62882636.23981254,0.0016
MLT,61678749.10313531,0.0016
GNQ,55931959.169492275,0.0014
COD,55506962.95796625,0.0014
GAB,54418600.11640279,0.0014
MDV,52244663.44928658,0.0013
VNM,49505714.10937257,0.0012
TUR,48919662.722194634,0.0012
GUM,48616989.26971228,0.0012
AUS,45115333.531910546,0.0011
IND,44484561.01015921,0.0011
FIN,44074559.03866151,0.0011
IOT,43647892.17216736,0.0011
HMD,42129519.316592395,0.0011
TAA,40976518.54043271,0.001
MAR,40018414.737369664,0.001
KEN,38334219.789170824,0.001
BVT,36534640.08343797,9e-4
CRI,36412272.58612936,9e-4
SPM,33882003.57638743,9e-4
SAU,33592553.484886095,8e-4
JEY,31884672.497490447,8e-4
MYS,29689881.196170755,7e-4
ITA,25392432.358604316,6e-4
WLF,24633679.10548714,6e-4
LBY,24235341.95680295,6e-4
NIU,22365927.56243482,6e-4
TTO,22306609.329423737,6e-4
MYT,22305938.420838263,6e-4
BEN,21032563.313939992,5e-4
TGO,20077318.881446443,5e-4
COG,17580035.13148606,4e-4
CYP,17469607.539574422,4e-4
LTU,17383605.23166798,4e-4
VEN,15342950.257957736,4e-4
NFK,14872330.345628422,4e-4
BRB,14100174.723479109,4e-4
GUY,14100174.723479109,4e-4
COM,13983254.539750746,4e-4
ALB,12644408.952247903,3e-4
ARE,12492340.906867875,3e-4
PCN,11439409.129575,3e-4
MNE,11002496.685141126,3e-4
CMR,10767864.284444725,3e-4
CCK,9608439.698928513,2e-4
ASC,9530009.21820531,2e-4
UKR,9496504.578625847,2e-4
THA,9403930.82209453,2e-4
SOM,8611036.775761062,2e-4
SUR,8572953.55231467,2e-4
COL,8064131.227139849,2e-4
ERI,7879988.816726,2e-4
IRN,7635974.879423867,2e-4
OMN,6717044.643487737,2e-4
QAT,6436637.19457521,2e-4
GUF,5671376.762716831,1e-4
SDN,5173806.48567075,1e-4
DZA,4752255.877381779,1e-4
SLV,4231008.34572231,1e-4
EGY,3930174.348773737,1e-4
GEO,3862406.2305366425,1e-4
SHN,3135414.7382404953,1e-4
SYR,2873944.2497429005,1e-4
BES,2734375.3535163915,1e-4
NGA,2733962.985397311,1e-4
BHS,2527430.171358272,1e-4
ROU,2357724.480565779,1e-4
HND,2084475.5905724962,1e-4
CXR,1750393.246976608,0
GIB,1701463.878666368,0
PRI,1691279.6441959853,0
GTM,1537206.6307726246,0
GRD,922696.5592010978,0
VCT,922696.5592010978,0
JAM,794091.8180249999,0
MTQ,558047.211152,0
BRN,447915.93375407805,0
MMR,332454.2887544178,0
LBN,191980.51042938358,0
ISR,190365.39080528234,0
ATG,131763.90470439364,0
DOM,100753.485120601,0
SVN,91798.291655,0
BHR,86032.9325707015,0
DJI,86003.33336,0
VGB,74803.7162390025,0
BMU,61625.71877195261,0
VIR,39961.94881642905,0
NIC,38140.162869857864,0
KWT,20963.531722515265,0
PAK,20963.531722515265,0
MAF,632.0709554523427,0
CUW,497.1885006649157,0
