eez_ter_iso3,eez_ter_name,region,fao_country_profile,fisheries_subsidies,fisheries_subsidies_names,fishing_access_agreements,fishing_access_agreement_names
BES,Caribbean Netherlands,Latin America & Caribbean,http://www.fao.org/countryprofiles/index.asp?lang=en&iso3=NLD&subj=6,http://www.seaaroundus.org/data/#/subsidy/10; http://www.seaaroundus.org/data/#/subsidy/148; ,Aruba; Netherlands,http://www.seaaroundus.org/data/#/eez/967/internal-fishing-access; http://www.seaaroundus.org/data/#/eez/907/internal-fishing-access,Aruba; Bonaire
CHL,Chile,Latin America & Caribbean,http://www.fao.org/countryprofiles/index.asp?lang=en&iso3=CHL&subj=6,http://www.seaaroundus.org/data/#/subsidy/36,,http://www.seaaroundus.org/data/#/eez/152/internal-fishing-access,Mainland
CHN,China,East Asia & Pacific,http://www.fao.org/countryprofiles/index.asp?lang=en&iso3=CHN&subj=6,http://www.seaaroundus.org/data/#/subsidy/37,,http://www.seaaroundus.org/data/#/eez/156/internal-fishing-access,
CXR,Christmas Island,East Asia & Pacific,http://www.fao.org/countryprofiles/index.asp?lang=en&iso3=AUS&subj=6,http://www.seaaroundus.org/data/#/subsidy/38,,http://www.seaaroundus.org/data/#/eez/162/internal-fishing-access,
CCK,Cocos (Keeling) Islands,East Asia & Pacific,http://www.fao.org/countryprofiles/index.asp?lang=en&iso3=AUS&subj=6,http://www.seaaroundus.org/data/#/subsidy/40,,http://www.seaaroundus.org/data/#/eez/166/internal-fishing-access/,
COL,Colombia,Latin America & Caribbean,http://www.fao.org/countryprofiles/index.asp?lang=en&iso3=COL&subj=6,http://www.seaaroundus.org/data/#/subsidy/41,,http://www.seaaroundus.org/data/#/eez/927/internal-fishing-access; http://www.seaaroundus.org/data/#/eez/928/internal-fishing-access/,Caribbean; Pacific 
COM,Comoros,Sub-Saharan Africa,http://www.fao.org/countryprofiles/index.asp?lang=en&iso3=COM&subj=6,http://www.seaaroundus.org/data/#/subsidy/42,,http://www.seaaroundus.org/data/#/eez/174/internal-fishing-access/,
COG,Congo - Brazzaville,Sub-Saharan Africa,http://www.fao.org/countryprofiles/index.asp?lang=en&iso3=COG&subj=6,http://www.seaaroundus.org/data/#/subsidy/44,,http://www.seaaroundus.org/data/#/eez/178/internal-fishing-access/,
COD,Congo - Kinshasa,Sub-Saharan Africa,http://www.fao.org/countryprofiles/index.asp?lang=en&iso3=COD&subj=6,http://www.seaaroundus.org/data/#/subsidy/43,,http://www.seaaroundus.org/data/#/eez/180/internal-fishing-access/,
COK,Cook Islands,East Asia & Pacific,http://www.fao.org/countryprofiles/index.asp?lang=en&iso3=NZL&subj=6,http://www.seaaroundus.org/data/#/subsidy/45,,http://www.seaaroundus.org/data/#/eez/184/internal-fishing-access/,
