mrgid,pol_type,geoname,iso_sov,iso_ter,name_ter,name_sov,region
8444,200NM,American Samoa Exclusive Economic Zone,USA,ASM,American Samoa,United States,East Asia & Pacific
21798,Joint regime,Protected Zone established under the Torres Strait Treaty,AUS,AUS,Australia,Australia,East Asia & Pacific
8323,200NM,Australian Exclusive Economic Zone,AUS,AUS,Australia,Australia,East Asia & Pacific
8311,200NM,Australian Exclusive Economic Zone (Macquarie Island),AUS,AUS,Australia,Australia,East Asia & Pacific
26521,200NM,Bruneian Exclusive Economic Zone,BRN,BRN,Brunei,Brunei,East Asia & Pacific
8331,200NM,Cambodian Exclusive Economic Zone,KHM,KHM,Cambodia,Cambodia,East Asia & Pacific
48954,Overlapping claim,Overlapping claim Senkaku Islands: Japan / China / Taiwan,CHN,CHN,China,China,East Asia & Pacific
8486,200NM,Chinese Exclusive Economic Zone,CHN,CHN,China,China,East Asia & Pacific
49003,Overlapping claim,Overlapping claim South China Sea,CHN,CHN,China,China,East Asia & Pacific
8309,200NM,Christmas Island Exclusive Economic Zone,AUS,CXR,Christmas Island,Australia,East Asia & Pacific
8308,200NM,Cocos Islands Exclusive Economic Zone,AUS,CCK,Cocos (Keeling) Islands,Australia,East Asia & Pacific
8446,200NM,Cook Islands Exclusive Economic Zone,NZL,COK,Cook Islands,New Zealand,East Asia & Pacific
8325,200NM,Fijian Exclusive Economic Zone,FJI,FJI,Fiji,Fiji,East Asia & Pacific
8440,200NM,French Polynesian Exclusive Economic Zone,FRA,PYF,French Polynesia,France,East Asia & Pacific
48957,200NM,Guam Exclusive Economic Zone,USA,GUM,Guam,United States,East Asia & Pacific
8388,200NM,Heard and McDonald Islands Exclusive Economic Zone,AUS,HMD,Heard & McDonald Islands,Australia,East Asia & Pacific
8492,200NM,Indonesian Exclusive Economic Zone,IDN,IDN,Indonesia,Indonesia,East Asia & Pacific
48954,Overlapping claim,Overlapping claim Senkaku Islands: Japan / China / Taiwan,JPN,JPN,Japan,Japan,East Asia & Pacific
21796,Joint regime,Joint regime area Japan / Korea,JPN,JPN,Japan,Japan,East Asia & Pacific
8487,200NM,Japanese Exclusive Economic Zone,JPN,JPN,Japan,Japan,East Asia & Pacific
