mrgid,geoname,mrgid_ter1,pol_type,mrgid_sov1,territory1,iso_ter1,sovereign1,mrgid_ter2,mrgid_sov2,territory2,iso_ter2,sovereign2,mrgid_ter3,mrgid_sov3,territory3,iso_ter3,sovereign3,x_1,y_1,mrgid_eez,area_km2,iso_sov1,iso_sov2,iso_sov3,un_sov1,un_sov2,un_sov3,un_ter1,un_ter2,un_ter3
8432,Peruvian Exclusive Economic Zone,2257,200NM,2257,Peru,PER,Peru,0,0,NA,NA,NA,0,0,NA,NA,NA,-78.88478,-11.8994,8432,854698,PER,NA,NA,604,NA,NA,604,NA,NA
22756,Chilean Exclusive Economic Zone (San Felix and San Ambrosio islands),25135,200NM,2165,Islas San Félix and San Ambrosio,CHL,Chile,0,0,NA,NA,NA,0,0,NA,NA,NA,-79.99086,-26.33091,22756,450960,CHL,NA,NA,152,NA,NA,152,NA,NA
21787,Chilean Exclusive Economic Zone (Easter Island),15120,200NM,2165,Easter Island,NA,Chile,0,0,NA,NA,NA,0,0,NA,NA,NA,-107.43869,-26.824,21787,729763,CHL,NA,NA,152,NA,NA,NA,NA,NA
8381,Brazilian Exclusive Economic Zone (Trindade),8622,200NM,2143,Trindade,NA,Brazil,0,0,NA,NA,NA,0,0,NA,NA,NA,-29.09644,-20.50277,8381,472481,BRA,NA,NA,76,NA,NA,NA,NA,NA
8450,Kiribati Exclusive Economic Zone (Phoenix Islands),8658,200NM,2116,Phoenix Group,KIR,Kiribati,0,0,NA,NA,NA,0,0,NA,NA,NA,-172.45397,-3.73181,8450,745782,KIR,NA,NA,296,NA,NA,296,NA,NA
8466,Argentinean Exclusive Economic Zone,2149,200NM,2149,Argentina,ARG,Argentina,0,0,NA,NA,NA,0,0,NA,NA,NA,-62.1595,-47.08999,8466,1072053,ARG,NA,NA,32,NA,NA,32,NA,NA
8386,Amsterdam Island & St. Paul Island Exclusive Economic Zone,48979,200NM,17,Amsterdam and Saint Paul Islands,ATF,France,0,0,NA,NA,NA,0,0,NA,NA,NA,77.54181,-38.29431,8386,512188,FRA,NA,NA,250,NA,NA,260,NA,NA
8309,Christmas Island Exclusive Economic Zone,8590,200NM,2147,Christmas Island,CXR,Australia,0,0,NA,NA,NA,0,0,NA,NA,NA,105.36523,-11.24358,8309,327994,AUS,NA,NA,36,NA,NA,162,NA,NA
8308,Cocos Islands Exclusive Economic Zone,8589,200NM,2147,Cocos Islands,CCK,Australia,0,0,NA,NA,NA,0,0,NA,NA,NA,96.85434,-12.03146,8308,467440,AUS,NA,NA,36,NA,NA,166,NA,NA
8334,Comoran Exclusive Economic Zone,2163,200NM,2163,Comores,COM,Comores,0,0,NA,NA,NA,0,0,NA,NA,NA,43.45423,-11.42314,8334,164476,COM,NA,NA,174,0,0,174,0,0
8385,Crozet Islands Exclusive Economic Zone,8627,200NM,17,Crozet Islands,ATF,France,0,0,NA,NA,NA,0,0,NA,NA,NA,51.21218,-46.30696,8385,575375,FRA,NA,NA,250,NA,NA,260,NA,NA
48944,Overlapping claim Mayotte: France / Comoros,8606,Overlapping claim,17,Mayotte,MYT,France,8606,2163,Mayotte,MYT,Comores,0,0,NA,NA,NA,45.30656,-13.21698,48944,66738,FRA,COM,NA,250,174,0,175,175,0
48946,Overlapping claim Ile Tromelin: Reunion / Madagascar / Mauritus,8613,Overlapping claim,17,Ile Tromelin,NA,France,8613,7963,Ile Tromelin,NA,Madagascar,8613,8614,Ile Tromelin,NA,Republic of Mauritius,54.67305,-15.71127,48946,274555,FRA,MDG,MUS,250,450,480,NA,NA,NA
8388,Heard and McDonald Islands Exclusive Economic Zone,8631,200NM,2147,Heard and McDonald Islands,HMD,Australia,0,0,NA,NA,NA,0,0,NA,NA,NA,73.73051,-53.49863,8388,417321,AUS,NA,NA,36,NA,NA,334,NA,NA
8387,Kerguelen Exclusive Economic Zone,8630,200NM,17,Kerguélen,ATF,France,0,0,NA,NA,NA,0,0,NA,NA,NA,68.9746,-48.87795,8387,550817,FRA,NA,NA,250,NA,NA,260,NA,NA
8348,Madagascan Exclusive Economic Zone,7963,200NM,7963,Madagascar,MDG,Madagascar,0,0,NA,NA,NA,0,0,NA,NA,NA,47.25395,-20.91335,8348,1196285,MDG,NA,NA,450,NA,NA,450,NA,NA
8396,South African Exclusive Economic Zone,2176,200NM,2176,South Africa,ZAF,South Africa,0,0,NA,NA,NA,0,0,NA,NA,NA,24.44331,-33.50802,8396,1072679,ZAF,NA,NA,710,NA,NA,710,NA,NA
8312,New Caledonian Exclusive Economic Zone,2261,200NM,17,New Caledonia,NCL,France,0,0,NA,NA,NA,0,0,NA,NA,NA,163.20377,-21.01871,8312,1175971,FRA,NA,NA,250,NA,NA,540,NA,NA
8310,Norfolk Island Exclusive Economic Zone,8591,200NM,2147,Norfolk Island,NFK,Australia,0,0,NA,NA,NA,0,0,NA,NA,NA,167.92898,-29.093139999999998,8310,430600,AUS,NA,NA,36,NA,NA,574,NA,NA
8343,Mauritian Exclusive Economic Zone,8614,200NM,8614,Republic of Mauritius,MUS,Republic of Mauritius,0,0,NA,NA,NA,0,0,NA,NA,NA,60.1172,-16.81021,8343,1278182,MUS,NA,NA,480,NA,NA,480,NA,NA
8338,Réunion Exclusive Economic Zone,8609,200NM,17,Réunion,REU,France,0,0,NA,NA,NA,0,0,NA,NA,NA,54.71328,-21.78197,8338,315151,FRA,NA,NA,250,NA,NA,638,NA,NA
8313,Vanuatu Exclusive Economic Zone,2202,200NM,2202,Vanuatu,VUT,Vanuatu,0,0,NA,NA,NA,0,0,NA,NA,NA,168.56883,-16.59488,8313,623424,VUT,NA,NA,548,NA,NA,548,NA,NA
8395,Namibian Exclusive Economic Zone,2218,200NM,2218,Namibia,NAM,Namibia,0,0,NA,NA,NA,0,0,NA,NA,NA,12.28547,-23.64969,8395,562212,NAM,NA,NA,516,NA,NA,516,NA,NA
21791,Oecussi Ambeno Exclusive Economic Zone,26234,200NM,8757,Oecusse,NA,East Timor,0,0,NA,NA,NA,0,0,NA,NA,NA,124.27075,-9.04989,21791,1826,TLS,NA,NA,626,NA,NA,NA,NA,NA
8394,Congolese Exclusive Economic Zone,8633,200NM,8633,Republic of the Congo,COG,Republic of the Congo,0,0,NA,NA,NA,0,0,NA,NA,NA,10.59577,-5.33648,8394,33807,COG,NA,NA,178,NA,NA,178,NA,NA
