mrgid,pol_type,geoname,eez_ter_iso3,eez_ter_name,eez_sov_iso3,eez_sov_name,region,eez_lon,eez_lat
26519,200NM,Aruban Exclusive Economic Zone,ABW,Aruba,NLD,Netherlands,Latin America & Caribbean,-69.67347579611449,13.740727810151586
48965,Overlapping claim,Overlapping claim: Venezuela / Aruba / Dominican Republic,ABW,Aruba,NLD,Netherlands,Latin America & Caribbean,-69.65199735339097,15.303730062364133
8478,200NM,Angolan Exclusive Economic Zone,AGO,Angola,AGO,Angola,Sub-Saharan Africa,11.03601866047679,-11.700560939819674
8412,200NM,Anguilla Exclusive Economic Zone,AIA,Anguilla,GBR,United Kingdom,Latin America & Caribbean,-62.5436150341724,20.016989413170087
5670,200NM,Albanian Exclusive Economic Zone,ALB,Albania,ALB,Albania,Europe & Central Asia,19.115650579315425,40.922630901595
8360,200NM,United Arab Emirates Exclusive Economic Zone,ARE,United Arab Emirates,ARE,United Arab Emirates,Middle East & North Africa,53.89200774393185,24.940176484649193
48947,Overlapping claim,Overlapping claim: Iran / United Arab Emirates,ARE,United Arab Emirates,ARE,United Arab Emirates,Middle East & North Africa,55.171456179330775,26.011326583865127
50170,Overlapping claim,Overlapping claim Qatar / Saudi Arabia / United Arab Emirates,ARE,United Arab Emirates,ARE,United Arab Emirates,Middle East & North Africa,51.59951027545091,24.692322444600354
8383,Overlapping claim,Overlapping claim South Georgia and South Sandwich Islands: UK / Argentina,ARG,Argentina,ARG,Argentina,Latin America & Caribbean,-31.262942116161085,-56.52403030032328
8389,Overlapping claim,Overlapping claim Falkland / Malvinas Islands: UK / Argentina,ARG,Argentina,ARG,Argentina,Latin America & Caribbean,-58.32519369745881,-51.667113522202825
8466,200NM,Argentinean Exclusive Economic Zone,ARG,Argentina,ARG,Argentina,Latin America & Caribbean,-62.15844950417256,-47.08218175852057
48961,Joint regime,Joint regime area Argentina / Uruguay,ARG,Argentina,ARG,Argentina,Latin America & Caribbean,-55.1610961186539,-36.25493243142485
8444,200NM,American Samoa Exclusive Economic Zone,ASM,American Samoa,USA,United States,East Asia & Pacific,190.93617438986902,-13.854904630623924
8489,200NM,Antarctic 200NM zone beyond the coastline,ATA,Antarctica,ATA,Antarctica,"NA",-10.995435688531712,-71.11323137795843
8339,200NM,Juan de Nova Exclusive Economic Zone,ATF,French Southern Territories,FRA,France,Sub-Saharan Africa,42.09471447819705,-17.306737364893497
8340,200NM,Bassas da India Exclusive Economic Zone,ATF,French Southern Territories,FRA,France,Sub-Saharan Africa,39.425026705545235,-20.860720466180403
8341,200NM,Ile Europa Exclusive Economic Zone,ATF,French Southern Territories,FRA,France,Sub-Saharan Africa,40.10915270367371,-23.536205432774523
8385,200NM,Crozet Islands Exclusive Economic Zone,ATF,French Southern Territories,FRA,France,Sub-Saharan Africa,51.212019946291896,-46.30683712323964
8386,200NM,Amsterdam Island & St. Paul Island Exclusive Economic Zone,ATF,French Southern Territories,FRA,France,Sub-Saharan Africa,77.54170609411422,-38.29423362382045
8387,200NM,Kerguelen Exclusive Economic Zone,ATF,French Southern Territories,FRA,France,Sub-Saharan Africa,68.97534902167536,-48.87814355032834
48944,Overlapping claim,Overlapping claim Mayotte: France / Comoros,ATF,French Southern Territories,FRA,France,Sub-Saharan Africa,45.306334855934736,-13.215670343447238
48945,Overlapping claim,Overlapping claim Glorioso Islands: France / Madagascar,ATF,French Southern Territories,FRA,France,Sub-Saharan Africa,47.09718010855173,-11.617839921304327
8414,200NM,Antigua and Barbuda Exclusive Economic Zone,ATG,Antigua & Barbuda,ATG,Antigua & Barbuda,Latin America & Caribbean,-60.57157515316423,18.731751394863437
8311,200NM,Australian Exclusive Economic Zone (Macquarie Island),AUS,Australia,AUS,Australia,East Asia & Pacific,158.65079404673756,-54.87762175664477
8323,200NM,Australian Exclusive Economic Zone,AUS,Australia,AUS,Australia,East Asia & Pacific,138.08098888868153,-27.363377382421866
21798,Joint regime,Protected Zone established under the Torres Strait Treaty,AUS,Australia,AUS,Australia,East Asia & Pacific,142.4130173997346,-9.501006144422968
26524,200NM,Azerbaijanis Exclusive Economic Zone,AZE,Azerbaijan,AZE,Azerbaijan,Europe & Central Asia,50.3304986501363,40.2824456814998
3293,200NM,Belgian Exclusive Economic Zone,BEL,Belgium,BEL,Belgium,Europe & Central Asia,2.7064149338177654,51.46542244283172
8393,200NM,Beninese Exclusive Economic Zone,BEN,Benin,BEN,Benin,Sub-Saharan Africa,2.4211772624452093,4.843117007570811
26518,200NM,Saba Exclusive Economic Zone,BES,Caribbean Netherlands,NLD,Netherlands,Latin America & Caribbean,-63.601225176569486,17.377698934858035
26520,200NM,Bonaire Exclusive Economic Zone,BES,Caribbean Netherlands,NLD,Netherlands,Latin America & Caribbean,-68.36962538765347,12.709945633593069
26526,200NM,Sint-Eustatius Exclusive Economic Zone,BES,Caribbean Netherlands,NLD,Netherlands,Latin America & Caribbean,-63.127962769639346,17.339905828074517
8481,200NM,Bangladeshi Exclusive Economic Zone,BGD,Bangladesh,BGD,Bangladesh,South Asia,90.55209692128138,20.518734311143216
5672,200NM,Bulgarian Exclusive Economic Zone,BGR,Bulgaria,BGR,Bulgaria,Europe & Central Asia,29.202831359176017,42.93342006633348
8358,200NM,Bahraini Exclusive Economic Zone,BHR,Bahrain,BHR,Bahrain,Middle East & North Africa,50.70479094041222,26.33165019435753
8404,200NM,Bahamas Exclusive Economic Zone,BHS,Bahamas,BHS,Bahamas,Latin America & Caribbean,-75.58098143390185,25.11588885730844
22491,200NM,Bosnian and Herzegovinian Exclusive Economic Zone,BIH,Bosnia & Herzegovina,BIH,Bosnia & Herzegovina,Europe & Central Asia,17.592755999999998,42.916553066666665
48952,200NM,Saint-Barthélemy Exclusive Economic Zone,BLM,St. Barthélemy,FRA,France,Latin America & Caribbean,-62.62889888150627,17.93297518065941
8457,200NM,Belizean Exclusive Economic Zone,BLZ,Belize,BLZ,Belize,Latin America & Caribbean,-87.59608640762488,17.19018002233621
8402,200NM,Bermudian Exclusive Economic Zone,BMU,Bermuda,GBR,United Kingdom,North America,-64.80690991115456,32.36897886770621
8381,200NM,Brazilian Exclusive Economic Zone (Trindade),BRA,Brazil,BRA,Brazil,Latin America & Caribbean,-29.096404311291707,-20.502722435791664
8464,200NM,Brazilian Exclusive Economic Zone,BRA,Brazil,BRA,Brazil,Latin America & Caribbean,-39.457078502593944,-11.09170578649266
8418,200NM,Barbados Exclusive Economic Zone,BRB,Barbados,BRB,Barbados,Latin America & Caribbean,-57.994325622113465,13.322759201401702
48969,Joint regime,Joint regime area Guyana / Barbados,BRB,Barbados,BRB,Barbados,Latin America & Caribbean,-57.132329791278124,10.680923071127165
26521,200NM,Bruneian Exclusive Economic Zone,BRN,Brunei,BRN,Brunei,East Asia & Pacific,113.38936451794011,6.058388220019945
8493,200NM,Canadian Exclusive Economic Zone,CAN,Canada,CAN,Canada,North America,-89.9731721986714,68.57471602102177
48943,Overlapping claim,Overlapping claim: Canada / USA,CAN,Canada,CAN,Canada,North America,-139.85217638858856,72.0317566683869
8308,200NM,Cocos Islands Exclusive Economic Zone,CCK,Cocos (Keeling) Islands,AUS,Australia,East Asia & Pacific,96.85425749274644,-12.03143900614391
8465,200NM,Chilean Exclusive Economic Zone,CHL,Chile,CHL,Chile,Latin America & Caribbean,-75.62638162366174,-40.99005994085683
21787,200NM,Chilean Exclusive Economic Zone (Easter Island),CHL,Chile,CHL,Chile,Latin America & Caribbean,-107.438818543726,-26.824143172331507
22756,200NM,Chilean Exclusive Economic Zone (San Felix and San Ambrosio islands),CHL,Chile,CHL,Chile,Latin America & Caribbean,-79.99078473883215,-26.3308677873375
8486,200NM,Chinese Exclusive Economic Zone,CHN,China,CHN,China,East Asia & Pacific,118.14923307938409,27.74046762220886
48954,Overlapping claim,Overlapping claim Senkaku Islands: Japan / China / Taiwan,CHN,China,CHN,China,East Asia & Pacific,124.12220839884654,26.520434206536756
49003,Overlapping claim,Overlapping claim South China Sea,CHN,China,CHN,China,East Asia & Pacific,114.10087377399451,13.140183042425111
8473,200NM,Ivory Coast Exclusive Economic Zone,CIV,Côte d’Ivoire,CIV,Côte d’Ivoire,Sub-Saharan Africa,-5.452023779137968,3.3082875323407115
8475,200NM,Cameroonian Exclusive Economic Zone,CMR,Cameroon,CMR,Cameroon,Sub-Saharan Africa,9.300434492025538,3.4772637831282696
8477,200NM,Democratic Republic of the Congo Exclusive Economic Zone,COD,Congo - Kinshasa,COD,Congo - Kinshasa,Sub-Saharan Africa,10.735273106431384,-6.401141459573165
8394,200NM,Congolese Exclusive Economic Zone,COG,Congo - Brazzaville,COG,Congo - Brazzaville,Sub-Saharan Africa,10.594287393981782,-5.338096166732102
8446,200NM,Cook Islands Exclusive Economic Zone,COK,Cook Islands,NZL,New Zealand,East Asia & Pacific,198.69677968493357,-15.018977885118503
8426,200NM,Colombian Exclusive Economic Zone,COL,Colombia,COL,Colombia,Latin America & Caribbean,-78.06155985070035,8.605629545945035
21792,Joint regime,Joint regime area Colombia / Jamaica,COL,Colombia,COL,Colombia,Latin America & Caribbean,-79.14566490451662,15.47209281572385
48970,Joint regime,Joint regime area Colombia / Dominican Republic,COL,Colombia,COL,Colombia,Latin America & Caribbean,-72.50386113298597,15.018509674362624
48971,Overlapping claim,Overlapping claim: Venezuela / Colombia / Dominican Republic,COL,Colombia,COL,Colombia,Latin America & Caribbean,-71.09015076799125,15.053343238020268
48974,Joint regime,Joint regime area Ecuador / Colombia,COL,Colombia,COL,Colombia,Latin America & Caribbean,-81.43550492021444,1.4605795462248234
48984,200NM,Colombian Exclusive Economic Zone (Serranilla),COL,Colombia,COL,Colombia,Latin America & Caribbean,-79.85553729267686,15.796771030233337
48985,200NM,Colombian Exclusive Economic Zone (Bajo Nuevo),COL,Colombia,COL,Colombia,Latin America & Caribbean,-78.63266142920482,15.85050058617272
62596,200NM,Colombian Exclusive Economic Zone (Serrana),COL,Colombia,COL,Colombia,Latin America & Caribbean,-80.30280806689285,14.38118835631707
62598,200NM,Colombian Exclusive Economic Zone (Quitasueño),COL,Colombia,COL,Colombia,Latin America & Caribbean,-81.16099787633055,14.303186812817362
8334,200NM,Comoran Exclusive Economic Zone,COM,Comoros,COM,Comoros,Sub-Saharan Africa,43.45492517450583,-11.423457211882843
48944,Overlapping claim,Overlapping claim Mayotte: France / Comoros,COM,Comoros,COM,Comoros,Sub-Saharan Africa,45.306334855934736,-13.215670343447238
8362,200NM,Cape Verdean Exclusive Economic Zone,CPV,Cape Verde,CPV,Cape Verde,Sub-Saharan Africa,-24.17122862135537,16.091889400095532
8424,200NM,Costa Rican Exclusive Economic Zone,CRI,Costa Rica,CRI,Costa Rica,Latin America & Caribbean,-86.50696965196342,6.737510784287869
48968,Joint regime,Joint regime area Costa Rica / Ecuador (Galapagos),CRI,Costa Rica,CRI,Costa Rica,Latin America & Caribbean,-88.84133458221648,3.22637325597341
8406,200NM,Cuban Exclusive Economic Zone,CUB,Cuba,CUB,Cuba,Latin America & Caribbean,-81.52473164607048,21.602341831526115
26517,200NM,Curaçaoan Exclusive Economic Zone,CUW,Curaçao,NLD,Netherlands,Latin America & Caribbean,-68.97164667585461,13.163013013397956
8309,200NM,Christmas Island Exclusive Economic Zone,CXR,Christmas Island,AUS,Australia,East Asia & Pacific,105.36544288401373,-11.2429437219028
8407,200NM,Cayman Islands Exclusive Economic Zone,CYM,Cayman Islands,GBR,United Kingdom,Latin America & Caribbean,-81.13867387414176,19.153266724680204
48972,Joint regime,Joint regime area Honduras / Cayman Islands,CYM,Cayman Islands,GBR,United Kingdom,Latin America & Caribbean,-83.94222219899999,18.701111121333334
8376,200NM,Cypriote Exclusive Economic Zone,CYP,Cyprus,CYP,Cyprus,Europe & Central Asia,32.634987967726445,34.48921490785099
5669,200NM,German Exclusive Economic Zone,DEU,Germany,DEU,Germany,Europe & Central Asia,8.39044305949205,54.55522172036694
8352,200NM,Djiboutian Exclusive Economic Zone,DJI,Djibouti,DJI,Djibouti,Middle East & North Africa,43.43087622800546,11.996486557487136
48956,Overlapping claim,Overlapping claim Doumeira Islands: Djibouti / Eritrea,DJI,Djibouti,DJI,Djibouti,Middle East & North Africa,43.22471429745022,12.760458255086201
8417,200NM,Dominican Exclusive Economic Zone,DMA,Dominica,DMA,Dominica,Latin America & Caribbean,-60.7209899313635,15.497345395268422
5674,200NM,Danish Exclusive Economic Zone,DNK,Denmark,DNK,Denmark,Europe & Central Asia,9.256507277761415,56.138160489636384
48967,Joint regime,Joint regime area United Kingdom / Denmark (Faeroe Islands),DNK,Denmark,DNK,Denmark,Europe & Central Asia,-7.517071675873157,60.03616101344183
48973,Joint regime,Joint regime area Iceland / Denmark (Faeroe Islands),DNK,Denmark,DNK,Denmark,Europe & Central Asia,-10.985800513825403,63.15078412991847
8409,200NM,Dominican Republic Exclusive Economic Zone,DOM,Dominican Republic,DOM,Dominican Republic,Latin America & Caribbean,-69.6720731033331,19.137829182823374
48965,Overlapping claim,Overlapping claim: Venezuela / Aruba / Dominican Republic,DOM,Dominican Republic,DOM,Dominican Republic,Latin America & Caribbean,-69.65199735339097,15.303730062364133
48970,Joint regime,Joint regime area Colombia / Dominican Republic,DOM,Dominican Republic,DOM,Dominican Republic,Latin America & Caribbean,-72.50386113298597,15.018509674362624
48971,Overlapping claim,Overlapping claim: Venezuela / Colombia / Dominican Republic,DOM,Dominican Republic,DOM,Dominican Republic,Latin America & Caribbean,-71.09015076799125,15.053343238020268
48982,Overlapping claim,Overlapping claim: Puerto Rico / Dominican Republic,DOM,Dominican Republic,DOM,Dominican Republic,Latin America & Caribbean,-66.8414374563535,20.893701322548207
8378,200NM,Algerian Exclusive Economic Zone,DZA,Algeria,DZA,Algeria,Middle East & North Africa,3.542337477281987,37.20425169699385
8403,200NM,Ecuadorian Exclusive Economic Zone (Galapagos),ECU,Ecuador,ECU,Ecuador,Latin America & Caribbean,-90.83156665493132,-0.04191555166940466
8431,200NM,Ecuadorian Exclusive Economic Zone,ECU,Ecuador,ECU,Ecuador,Latin America & Caribbean,-82.20526408700847,-0.9679189849507326
48962,Joint regime,Joint regime area Peru / Ecuador,ECU,Ecuador,ECU,Ecuador,Latin America & Caribbean,-82.53101335502019,-3.3885185391538064
48968,Joint regime,Joint regime area Costa Rica / Ecuador (Galapagos),ECU,Ecuador,ECU,Ecuador,Latin America & Caribbean,-88.84133458221648,3.22637325597341
